chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209859	394622	-0.105725	-0.091591	-0.057454	-0.069725
Chr01	264400	489986	-0.085788	-0.053329	-0.035684	-0.050237
Chr01	394723	611059	0.209475	0.103511	0.065532	0.140377
Chr01	490083	758585	0.230837	0.112306	0.068003	0.142241
Chr01	611068	930552	-0.212695	-0.101605	-0.062228	-0.111014
Chr01	758638	1067319	-0.114389	-0.039456	-0.026302	-0.072028
Chr01	930663	1199425	-0.059769	-0.015027	-0.010670	-0.041688
Chr01	1067907	1375023	-0.283956	-0.076884	-0.051791	-0.209408
Chr01	1199464	1484841	-0.182564	-0.068116	-0.042588	-0.134612
Chr01	1375068	1561291	-0.032148	-0.015430	-0.009912	-0.019129
Chr01	1484849	1690175	-0.348135	-0.158230	-0.098755	-0.251924
Chr01	1561417	1878238	-0.487464	-0.191628	-0.107039	-0.390904
Chr01	1690198	2064246	-0.493354	-0.202305	-0.107828	-0.395183
Chr01	1878267	2188944	-0.329273	-0.144501	-0.083476	-0.255399
Chr01	2064272	2264519	-0.057775	-0.027251	-0.017366	-0.037862
Chr01	2189001	2424050	-0.119686	-0.072428	-0.045369	-0.072267
Chr01	2264554	2508804	-0.186805	-0.125948	-0.077983	-0.111569
Chr01	2424112	2639670	-0.095046	-0.065492	-0.039146	-0.046523
Chr01	2508805	2705144	0.022657	0.017455	0.009637	0.014702
Chr01	2640585	2750586	-0.086348	-0.081684	-0.038742	-0.055193
Chr01	2705209	2845749	-0.253259	-0.200555	-0.103154	-0.155996
Chr01	2750649	2955719	-0.362765	-0.232246	-0.138256	-0.213182
Chr01	2845842	3112811	-0.265495	-0.125057	-0.082200	-0.154040
Chr01	2955748	3286189	-0.116824	-0.039992	-0.026937	-0.068923
Chr01	3112825	3444762	-0.162731	-0.057805	-0.035781	-0.102501
Chr01	3286634	3612235	-0.008134	-0.002894	-0.001902	-0.006839
Chr01	3444802	3839522	-0.034070	-0.010821	-0.007277	-0.030251
Chr01	3612318	4002914	-0.416268	-0.167885	-0.095344	-0.310573
Chr01	3839523	4133783	-0.283765	-0.114965	-0.068525	-0.191908
Chr01	4002982	4284375	-0.185736	-0.062882	-0.041227	-0.120926
Chr01	4133934	4411052	-0.422432	-0.222987	-0.129981	-0.298502
Chr01	4284384	4492673	-0.260643	-0.182591	-0.110879	-0.161147
Chr01	4411054	4679504	-0.079517	-0.029723	-0.020799	-0.049231
Chr01	4494120	4863961	-0.299457	-0.091613	-0.061329	-0.225311
Chr01	4679506	5076656	-0.257613	-0.069599	-0.049187	-0.192521
Chr01	4864010	5335058	-0.141408	-0.034798	-0.024853	-0.097421
