chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	558695	784516	-0.157879	-0.118255	-0.074036	-0.110806
Superscaffold1	784856	1052377	-0.076364	-0.056444	-0.029646	-0.041718
Superscaffold1	1052532	1410788	0.068459	0.030130	0.017822	0.045278
Superscaffold1	1411170	1780614	-0.432674	-0.246702	-0.140489	-0.296395
Superscaffold1	1780857	2111046	0.106656	0.036152	0.019057	0.070966
Superscaffold1	2111097	2342748	0.126993	0.064361	0.037377	0.083238
Superscaffold1	2342954	2520454	-0.005969	-0.005117	-0.002929	-0.005344
Superscaffold1	2520458	2685073	0.014822	0.015565	0.007883	0.011780
Superscaffold1	2685133	2818287	-0.062980	-0.078807	-0.036130	-0.034868
Superscaffold1	2818480	3005099	-0.441530	-0.538931	-0.230101	-0.318618
Superscaffold1	3005181	3239831	0.092153	0.079080	0.039393	0.044520
Superscaffold1	3239834	3576148	-0.069887	-0.029498	-0.017363	-0.037824
Superscaffold1	3576155	3939650	0.104051	0.049564	0.027835	0.057923
Superscaffold1	3939899	4235148	-0.182969	-0.119536	-0.062700	-0.116908
Superscaffold1	4235442	4515581	0.084228	0.047634	0.026449	0.056056
Superscaffold1	4515632	4780364	0.138395	0.112018	0.056545	0.079908
Superscaffold1	4780459	5118827	0.046645	0.023016	0.014991	0.031832
Superscaffold1	5118831	5592073	-0.108262	-0.028253	-0.019172	-0.076112
Superscaffold1	5592249	5837283	0.212965	0.110748	0.070782	0.127400
Superscaffold1	5837378	6189220	0.114409	0.052191	0.032630	0.068042
Superscaffold1	6189245	6494535	0.107808	0.039267	0.025119	0.064159
Superscaffold1	6494939	6872427	-0.097275	-0.039542	-0.026101	-0.068601
Superscaffold1	6872442	7292462	0.103856	0.044116	0.024001	0.073392
Superscaffold1	7293000	7703286	-0.030881	-0.009617	-0.006599	-0.021528
Superscaffold1	7705250	8454841	-0.020852	-0.006656	-0.003919	-0.012673
Superscaffold1	8454851	9147364	0.101658	0.044031	0.028357	0.053980
Superscaffold1	9147816	10126559	0.134276	0.056377	0.035405	0.087724
Superscaffold1	10127254	10678878	0.025888	0.015565	0.008637	0.011515
Superscaffold1	10678885	10871515	0.030763	0.017799	0.010110	0.019953
Superscaffold1	10871730	11144726	-0.026278	-0.011270	-0.006908	-0.013497
Superscaffold1	11144756	11466365	-0.319352	-0.163757	-0.096294	-0.233487
Superscaffold1	11466380	11794684	-0.213818	-0.093373	-0.051746	-0.151634
Superscaffold1	11794702	12102697	-0.071679	-0.033546	-0.022175	-0.046866
Superscaffold1	12102700	12338250	-0.250705	-0.218408	-0.100076	-0.165086
Superscaffold1	12338292	12552139	0.040528	0.045766	0.023927	0.021154
Superscaffold1	12552148	12884494	-0.025528	-0.011141	-0.005909	-0.016477
Superscaffold1	12884499	13244561	-0.036419	-0.015837	-0.008200	-0.027654
Superscaffold1	13244827	13858185	-0.013215	-0.003122	-0.001917	-0.008539
Superscaffold1	13859160	14402210	-0.106816	-0.033848	-0.020593	-0.073633
Superscaffold1	14402366	14771826	-0.006948	-0.002562	-0.001449	-0.004140
Superscaffold1	14771831	15073167	-0.087401	-0.035226	-0.023265	-0.060432
Superscaffold1	15073448	15404612	-0.043024	-0.012103	-0.008316	-0.037085
Superscaffold1	15404644	15749323	-0.257316	-0.081828	-0.049770	-0.182547
Superscaffold1	15749410	16062025	-0.091196	-0.035264	-0.020579	-0.057534
Superscaffold1	16062050	16442227	-0.123489	-0.036109	-0.023014	-0.078872
Superscaffold1	16442228	16729269	-0.024255	-0.014953	-0.008482	-0.014602
Superscaffold1	16729307	17081148	-0.044707	-0.018792	-0.011409	-0.025156
Superscaffold1	17081534	17535296	0.034469	0.012800	0.007316	0.026058
Superscaffold1	17535338	18191016	-0.121825	-0.071810	-0.033647	-0.069014
Superscaffold1	18191181	18379265	-0.276098	-0.338779	-0.120592	-0.131657
Superscaffold1	18379339	18842167	-0.031795	-0.011648	-0.007024	-0.015370
Superscaffold1	18843963	19132093	-0.283737	-0.136888	-0.084619	-0.201500
Superscaffold1	19132111	19557724	-0.012685	-0.006429	-0.004320	-0.013080
Superscaffold1	19557755	19825371	0.220197	0.106136	0.071021	0.166063
Superscaffold1	19825379	20136476	-0.087549	-0.030339	-0.019252	-0.050871
Superscaffold1	20137000	20508770	0.297302	0.145460	0.086318	0.208906
Superscaffold1	20508779	21147431	-0.061381	-0.031032	-0.015126	-0.040762
Superscaffold1	21147522	21447617	0.112339	0.043163	0.024698	0.073244
Superscaffold1	21447943	21765499	-0.062793	-0.028030	-0.015579	-0.040805
Superscaffold1	21765545	22153832	0.196500	0.091715	0.052129	0.123371
Superscaffold1	22153844	22651149	0.090487	0.022477	0.014306	0.058396
Superscaffold1	22651240	23113448	0.403608	0.124934	0.075658	0.309199
Superscaffold1	23113509	23537023	0.070239	0.020739	0.011871	0.055493
Superscaffold1	23537039	23878519	-0.148896	-0.060249	-0.032299	-0.094380
Superscaffold1	23878774	24288024	-0.140418	-0.047584	-0.029605	-0.078011
Superscaffold1	24288091	24641385	-0.040072	-0.017076	-0.009797	-0.024668
Superscaffold1	24641751	24922550	0.192182	0.068399	0.044148	0.138050
Superscaffold1	24922563	25399614	-0.242698	-0.076710	-0.045419	-0.172996
Superscaffold1	25399626	25686314	-0.098669	-0.039500	-0.024463	-0.058999
Superscaffold1	25686397	26041323	-0.381536	-0.178645	-0.115628	-0.276275
Superscaffold1	26041363	26333233	-0.056027	-0.020232	-0.010918	-0.025966
Superscaffold1	26333453	26808654	0.189453	0.045022	0.030937	0.119052
Superscaffold1	26808662	27229281	-0.235020	-0.057443	-0.032319	-0.147844
Superscaffold1	27229314	27559038	0.029800	0.013624	0.008066	0.023851
Superscaffold1	27560238	27826113	-0.010702	-0.005891	-0.003064	-0.008523
Superscaffold1	27826139	28011904	-0.173204	-0.127836	-0.067359	-0.103789
Superscaffold1	28012130	28264729	0.243624	0.142928	0.079069	0.144140
Superscaffold1	28264753	28712950	-0.064127	-0.018265	-0.013231	-0.040544
Superscaffold1	28712994	29212698	-0.102182	-0.022401	-0.014913	-0.070929
Superscaffold1	29212699	29473782	0.121303	0.064623	0.033299	0.070340
Superscaffold1	29473943	29788868	-0.204601	-0.111954	-0.053065	-0.126946
Superscaffold1	29789112	30055516	0.002556	0.001358	0.000654	0.003683
Superscaffold1	30055848	30636983	-0.004435	-0.001615	-0.000958	-0.001929
Superscaffold1	30637938	31133176	-0.157177	-0.048463	-0.029297	-0.116853
Superscaffold1	31133363	31578385	-0.012107	-0.003668	-0.002165	-0.004322
Superscaffold1	31578540	32326544	0.114342	0.040554	0.021103	0.065363
Superscaffold1	32326571	32647243	0.299970	0.140987	0.085332	0.224710
Superscaffold1	32647253	33020470	-0.132517	-0.048241	-0.029583	-0.093069
Superscaffold1	33020473	33409246	-0.239377	-0.120648	-0.068066	-0.155647
Superscaffold1	33409913	33601372	-0.014483	-0.008689	-0.005498	-0.009819
Superscaffold1	33601849	33856384	-0.042765	-0.033794	-0.019029	-0.023203
Superscaffold1	33856567	34127152	-0.289723	-0.099342	-0.062841	-0.203878
Superscaffold1	34127174	34378782	-0.266855	-0.100652	-0.061964	-0.154187
Superscaffold1	34378882	34957390	0.006726	0.001264	0.000893	0.004733
Superscaffold1	34957399	35537863	-0.095358	-0.037242	-0.022558	-0.059715
Superscaffold1	35542298	36562850	0.001685	0.000559	0.000346	0.000966
Superscaffold1	36563077	37069586	0.264405	0.074833	0.048984	0.145743
Superscaffold1	37069855	37406662	0.025471	0.009903	0.006106	0.014593
Superscaffold1	37407139	37630471	0.443237	0.207063	0.122572	0.298489
Superscaffold1	37630521	38259326	-0.004353	-0.001754	-0.001040	-0.005639
Superscaffold1	38259387	38553324	0.319290	0.121627	0.078249	0.246302
Superscaffold1	38553483	38883182	-0.023481	-0.008210	-0.005077	-0.014929
Superscaffold1	38883571	39153255	0.073375	0.026660	0.016929	0.058452
Superscaffold1	39153314	39603065	-0.088684	-0.026528	-0.015548	-0.073877
Superscaffold1	39603430	39930651	-0.020977	-0.006490	-0.004136	-0.009328
Superscaffold1	39930679	40283801	0.157019	0.047076	0.031007	0.103773
Superscaffold1	40283898	40752375	-0.009910	-0.002889	-0.001869	-0.008503
Superscaffold1	40752446	41226398	0.081029	0.020782	0.012641	0.055243
Superscaffold1	41226507	41603733	-0.077545	-0.021835	-0.013702	-0.053497
Superscaffold1	41603735	41933411	0.209682	0.051120	0.030541	0.172661
Superscaffold1	41933423	42580503	0.059120	0.006499	0.004703	0.048063
Superscaffold1	42580804	43154375	0.112672	0.017598	0.011738	0.094234
Superscaffold1	43154408	43785362	0.200576	0.027770	0.018059	0.162298
Superscaffold1	43785489	44004143	-0.380678	-0.136610	-0.074307	-0.328849
Superscaffold1	44004147	44523416	0.270073	0.102800	0.046957	0.235780
Superscaffold1	44523417	45050117	-0.131094	-0.025774	-0.015869	-0.079927
Superscaffold1	45050216	45632128	0.078834	0.014084	0.009966	0.057582
Superscaffold1	45632185	46367426	-0.029539	-0.003636	-0.002614	-0.021204
Superscaffold1	46367435	47280996	0.010129	0.001020	0.000751	0.007208
Superscaffold1	47281008	47979606	0.012913	0.001538	0.001123	0.012622
Superscaffold1	47979679	48465921	-0.133410	-0.024105	-0.014812	-0.090929
Superscaffold1	48466130	48942619	0.086528	0.015170	0.008506	0.069282
