chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	525122	657221	0.239129	0.224599	0.161772	0.127439
Superscaffold1	657229	796759	-0.019057	-0.011370	-0.008080	-0.007724
Superscaffold1	796768	1022882	0.254699	0.202615	0.119498	0.122998
Superscaffold1	1022954	1264501	0.021792	0.013404	0.008769	0.006593
Superscaffold1	1264593	1423516	-0.021092	-0.020268	-0.011881	-0.011570
Superscaffold1	1423566	1621707	0.191747	0.155026	0.096739	0.085741
Superscaffold1	1621835	1906838	-0.169344	-0.103235	-0.061662	-0.086203
Superscaffold1	1907109	2237955	-0.104699	-0.042971	-0.025212	-0.045726
Superscaffold1	2238003	2419845	-0.103857	-0.088579	-0.052096	-0.047051
Superscaffold1	2419931	2602240	-0.156638	-0.142334	-0.085361	-0.095006
Superscaffold1	2602281	2762492	0.051122	0.060953	0.031405	0.023477
Superscaffold1	2762514	2876329	0.130441	0.172574	0.077937	0.058969
Superscaffold1	2876375	3079240	-0.136123	-0.148061	-0.066979	-0.065752
Superscaffold1	3079242	3243514	0.094132	0.106975	0.052312	0.042863
Superscaffold1	3243545	3509939	0.020800	0.013839	0.008647	0.011180
Superscaffold1	3509948	3768407	0.047697	0.037796	0.021161	0.021820
Superscaffold1	3768420	4017827	-0.093757	-0.079731	-0.041468	-0.035004
Superscaffold1	4017880	4255295	0.202840	0.151618	0.089607	0.088108
Superscaffold1	4256051	4496126	-0.084559	-0.055872	-0.033574	-0.033848
Superscaffold1	4496160	4751083	0.055054	0.057027	0.028738	0.033341
Superscaffold1	4751100	4932066	-0.076151	-0.062152	-0.040092	-0.032200
Superscaffold1	4932172	5241472	-0.193813	-0.138173	-0.080335	-0.115527
Superscaffold1	5241554	5489161	-0.254278	-0.252203	-0.130966	-0.142905
Superscaffold1	5489202	5689931	-0.118563	-0.106182	-0.063246	-0.067066
Superscaffold1	5689963	5912110	-0.196168	-0.124932	-0.076424	-0.092137
Superscaffold1	5912777	6200205	-0.165743	-0.114513	-0.065797	-0.091242
Superscaffold1	6200221	6396266	-0.071588	-0.056636	-0.032545	-0.034039
Superscaffold1	6396292	6656111	-0.211922	-0.133882	-0.081974	-0.108912
Superscaffold1	6656255	6902575	-0.287915	-0.142400	-0.093723	-0.139414
Superscaffold1	6902639	7247177	-0.225720	-0.120490	-0.073471	-0.110181
Superscaffold1	7247681	7542831	0.042953	0.025675	0.016139	0.016578
Superscaffold1	7542906	7876430	-0.080532	-0.075010	-0.039382	-0.032540
Superscaffold1	7876490	8523435	0.027700	0.017534	0.011245	0.009462
Superscaffold1	8523505	9165360	0.072431	0.054778	0.033533	0.038807
Superscaffold1	9168334	9889912	0.052362	0.031243	0.020480	0.022595
Superscaffold1	9889922	10583972	0.011279	0.008117	0.004793	0.001102
Superscaffold1	10584560	10800797	-0.086592	-0.066425	-0.041265	-0.040173
Superscaffold1	10801049	11034919	-0.131294	-0.113414	-0.057186	-0.064701
Superscaffold1	11034969	11261711	-0.098076	-0.054797	-0.038682	-0.036967
Superscaffold1	11261728	11511206	-0.082477	-0.035027	-0.026617	-0.028614
Superscaffold1	11511262	11746492	-0.087644	-0.046446	-0.029244	-0.030271
Superscaffold1	11746502	11961014	-0.186189	-0.179285	-0.098737	-0.084180
Superscaffold1	11961061	12215649	-0.122495	-0.078593	-0.049399	-0.060006
Superscaffold1	12215661	12480817	0.144456	0.129637	0.075582	0.063554
Superscaffold1	12480849	12807407	-0.004357	-0.002168	-0.001425	-0.003642
Superscaffold1	12807434	13172361	-0.072005	-0.026214	-0.018821	-0.034888
Superscaffold1	13172370	13709490	-0.273640	-0.103193	-0.070208	-0.174759
Superscaffold1	13713262	14192240	-0.148884	-0.061388	-0.040011	-0.067425
Superscaffold1	14192861	14629010	-0.049843	-0.022586	-0.013643	-0.029377
Superscaffold1	14629013	14878957	0.084684	0.053704	0.033312	0.040738
Superscaffold1	14879023	15129464	0.256759	0.182834	0.108835	0.179972
Superscaffold1	15129586	15380291	0.416909	0.265703	0.151503	0.306478
Superscaffold1	15380306	15604894	0.109136	0.073681	0.045113	0.060744
Superscaffold1	15604956	15874402	-0.299299	-0.131171	-0.074621	-0.144543
Superscaffold1	15874495	16100956	-0.216028	-0.203452	-0.087389	-0.116054
Superscaffold1	16101340	16359572	-0.363631	-0.229183	-0.118705	-0.205578
Superscaffold1	16359585	16682890	-0.065267	-0.045234	-0.026349	-0.033270
Superscaffold1	16682899	16943726	-0.034347	-0.033121	-0.020535	-0.016444
Superscaffold1	16943729	17214715	0.151082	0.132433	0.076139	0.070930
Superscaffold1	17214769	17650199	-0.101219	-0.042199	-0.029485	-0.052846
Superscaffold1	17650201	18285463	0.006057	0.004742	0.002485	0.001803
Superscaffold1	18285465	18442638	-0.100753	-0.086478	-0.047473	-0.046073
Superscaffold1	18444018	18830528	-0.174579	-0.106807	-0.062024	-0.081998
Superscaffold1	18830541	19103958	0.020651	0.013697	0.009474	0.006577
Superscaffold1	19103960	19274404	-0.069127	-0.050536	-0.031816	-0.036415
Superscaffold1	19274450	19695254	-0.080142	-0.034587	-0.026545	-0.043620
Superscaffold1	19695282	19952403	-0.177033	-0.077304	-0.056282	-0.087467
Superscaffold1	19952464	20175800	-0.122290	-0.088276	-0.049930	-0.062757
Superscaffold1	20175858	20472320	-0.031181	-0.020604	-0.012187	-0.015526
Superscaffold1	20472351	21088448	0.039903	0.020839	0.010862	0.018820
Superscaffold1	21089053	21367289	-0.111231	-0.052625	-0.032211	-0.070848
Superscaffold1	21367525	21632950	-0.031841	-0.023481	-0.011937	-0.012678
Superscaffold1	21632974	22010210	0.093507	0.054461	0.036015	0.041417
Superscaffold1	22010231	22325119	-0.008933	-0.004319	-0.002776	-0.004704
Superscaffold1	22325140	23006935	-0.004968	-0.000964	-0.000751	-0.003507
Superscaffold1	23007009	23532665	0.333590	0.114433	0.070194	0.195215
Superscaffold1	23532767	23874000	-0.072950	-0.033761	-0.021988	-0.035368
Superscaffold1	23874001	24168604	-0.416819	-0.376412	-0.192730	-0.257912
Superscaffold1	24168719	24406271	-0.135583	-0.175096	-0.085063	-0.078778
Superscaffold1	24406574	24817572	0.027296	0.008890	0.006372	0.016182
