chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	524078	665068	-0.173805	-0.147203	-0.086873	-0.120102
Superscaffold1	665074	817710	-0.155248	-0.096349	-0.058462	-0.090561
Superscaffold1	818003	1106817	-0.191922	-0.142631	-0.070682	-0.102977
Superscaffold1	1106884	1341646	-0.179701	-0.089262	-0.052774	-0.099550
Superscaffold1	1342182	1552207	-0.256088	-0.096830	-0.057225	-0.159839
Superscaffold1	1552264	1902015	-0.168657	-0.085665	-0.050863	-0.115607
Superscaffold1	1902023	2230376	-0.206127	-0.079413	-0.043843	-0.153474
Superscaffold1	2230389	2442943	-0.061735	-0.032787	-0.021569	-0.038610
Superscaffold1	2442962	2641159	-0.109582	-0.080835	-0.048958	-0.067976
Superscaffold1	2641464	2795042	0.056529	0.071103	0.035007	0.032500
Superscaffold1	2795056	2981150	-0.268027	-0.287115	-0.119253	-0.162558
Superscaffold1	2981293	3224596	-0.038262	-0.024790	-0.014253	-0.023745
Superscaffold1	3224612	3523346	0.119399	0.048033	0.030007	0.067898
Superscaffold1	3523359	3954203	-0.188741	-0.059644	-0.036355	-0.113911
Superscaffold1	3954242	4190955	-0.121749	-0.077337	-0.038836	-0.065729
Superscaffold1	4191113	4500671	-0.066876	-0.028993	-0.018312	-0.037792
Superscaffold1	4500699	4878556	-0.259714	-0.117229	-0.077186	-0.163749
Superscaffold1	4878557	5293025	-0.067017	-0.022114	-0.014855	-0.044246
Superscaffold1	5293120	5686548	-0.005118	-0.001377	-0.001005	-0.003867
Superscaffold1	5686667	6037954	0.172998	0.059944	0.041072	0.107627
Superscaffold1	6038085	6459850	-0.035334	-0.009646	-0.006671	-0.021570
Superscaffold1	6459890	6815665	-0.109346	-0.038141	-0.026074	-0.064601
Superscaffold1	6815762	7257596	-0.410088	-0.155756	-0.094362	-0.270840
Superscaffold1	7257615	7609846	-0.251273	-0.103539	-0.066110	-0.181144
Superscaffold1	7609880	8274726	-0.333727	-0.144476	-0.085102	-0.206592
Superscaffold1	8274838	8568356	0.013959	0.007535	0.004113	0.009883
Superscaffold1	8568375	9488555	-0.013335	-0.005464	-0.003386	-0.006981
Superscaffold1	9490758	10521311	0.099835	0.035179	0.022968	0.067639
Superscaffold1	10521340	10831453	-0.121871	-0.049014	-0.034164	-0.080278
Superscaffold1	10831455	11140253	0.201541	0.085712	0.052745	0.141119
Superscaffold1	11140292	11489227	-0.529276	-0.253081	-0.157726	-0.416762
Superscaffold1	11489274	11874060	-0.112101	-0.037287	-0.022372	-0.075361
Superscaffold1	11874984	12150657	0.013672	0.006234	0.004250	0.011095
Superscaffold1	12150887	12463689	0.123333	0.061211	0.034671	0.069428
Superscaffold1	12463756	12717701	-0.137371	-0.060842	-0.037279	-0.091577
Superscaffold1	12717727	13012991	-0.088621	-0.034280	-0.019847	-0.070174
Superscaffold1	13013110	13727024	-0.122665	-0.023493	-0.016002	-0.091081
Superscaffold1	13727287	14382436	0.022690	0.004973	0.003120	0.017812
Superscaffold1	14382558	14806908	0.170324	0.044816	0.029125	0.114286
Superscaffold1	14806997	15099885	-0.108778	-0.045767	-0.029602	-0.073099
Superscaffold1	15099891	15520479	-0.184175	-0.035116	-0.025284	-0.137852
Superscaffold1	15520495	15892497	-0.232190	-0.061860	-0.040167	-0.169875
Superscaffold1	15892502	16219609	0.030612	0.011009	0.006695	0.023834
Superscaffold1	16219612	16647287	-0.166437	-0.045436	-0.030018	-0.105539
Superscaffold1	16647347	16883356	0.030388	0.016264	0.008404	0.013436
Superscaffold1	16883517	17302774	-0.066564	-0.031052	-0.017649	-0.042209
Superscaffold1	17302775	17888311	-0.095912	-0.029339	-0.018038	-0.073656
Superscaffold1	17888365	18323875	-0.454321	-0.532687	-0.178614	-0.286866
Superscaffold1	18323889	18729117	0.061065	0.016158	0.010696	0.038740
Superscaffold1	18729692	19097872	0.017081	0.006210	0.004213	0.008074
Superscaffold1	19097932	19269458	-0.250127	-0.152532	-0.091471	-0.153258
Superscaffold1	19269561	19659567	-0.411827	-0.253163	-0.162165	-0.288987
Superscaffold1	19659592	19956193	-0.142225	-0.051886	-0.033068	-0.096224
Superscaffold1	19956214	20335876	0.090551	0.025551	0.017167	0.052235
Superscaffold1	20335887	21030316	-0.052979	-0.015922	-0.009117	-0.031850
Superscaffold1	21030336	21374269	-0.191984	-0.068603	-0.041766	-0.140485
Superscaffold1	21374576	21742597	0.027331	0.010481	0.005939	0.023347
Superscaffold1	21742599	22154152	-0.099445	-0.031249	-0.020541	-0.063742
Superscaffold1	22154475	22754943	0.050257	0.009265	0.006227	0.031346
Superscaffold1	22754960	23247275	-0.140888	-0.032300	-0.019759	-0.111260
Superscaffold1	23247388	23690143	-0.128459	-0.034000	-0.020933	-0.095189
Superscaffold1	23690151	24032071	-0.269332	-0.095649	-0.059885	-0.188499
Superscaffold1	24032348	24450673	-0.051386	-0.016517	-0.010930	-0.028785
Superscaffold1	24450723	24705482	0.010540	0.004331	0.002699	0.007597
Superscaffold1	24705499	25097048	-0.109150	-0.038005	-0.021958	-0.073765
Superscaffold1	25097090	25512769	-0.045759	-0.012642	-0.007971	-0.029801
Superscaffold1	25512805	25891052	-0.053225	-0.016179	-0.011637	-0.040464
Superscaffold1	25891085	26284339	-0.125359	-0.033774	-0.023431	-0.070619
Superscaffold1	26284448	26812517	-0.012019	-0.002255	-0.001599	-0.009732
Superscaffold1	26812540	27293642	0.145289	0.032417	0.019291	0.110290
Superscaffold1	27293655	27684883	-0.009111	-0.003068	-0.001955	-0.011199
Superscaffold1	27684922	27922005	-0.320994	-0.281273	-0.122758	-0.174314
Superscaffold1	27922006	28160752	-0.114111	-0.047105	-0.029196	-0.066535
Superscaffold1	28160932	28550716	-0.029796	-0.009131	-0.006122	-0.018268
Superscaffold1	28550739	28913022	-0.386725	-0.163677	-0.115357	-0.251173
Superscaffold1	28913062	29337429	-0.325898	-0.086456	-0.056162	-0.229934
