chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	540523	698283	0.059017	0.083119	0.045176	0.030795
Superscaffold1	698352	850416	0.486349	0.434663	0.241636	0.291739
Superscaffold1	850577	1160328	0.339084	0.255837	0.140033	0.179529
Superscaffold1	1160975	1364757	0.204492	0.151656	0.088232	0.086134
Superscaffold1	1364992	1528119	0.308151	0.186929	0.106870	0.123981
Superscaffold1	1528135	1845013	0.323079	0.177921	0.100043	0.182199
Superscaffold1	1845202	2004845	0.011505	0.006725	0.003129	0.003255
Superscaffold1	2004881	2188909	0.128669	0.083298	0.036063	0.080499
Superscaffold1	2188941	2362774	0.103381	0.094873	0.053012	0.059232
Superscaffold1	2362886	2459746	-0.141328	-0.238907	-0.098909	-0.091586
Superscaffold1	2459750	2610581	0.104655	0.108377	0.058271	0.066308
Superscaffold1	2610666	2762410	0.065843	0.093099	0.042518	0.037115
Superscaffold1	2762425	2860456	0.085608	0.123567	0.050517	0.052683
Superscaffold1	2860487	3064384	-0.046946	-0.060293	-0.023179	-0.031618
Superscaffold1	3064400	3229052	0.041992	0.049245	0.022554	0.021874
Superscaffold1	3229070	3443778	0.169643	0.129855	0.068025	0.093410
Superscaffold1	3444818	3627542	0.219922	0.155439	0.084678	0.126794
Superscaffold1	3627544	3798918	0.152105	0.170231	0.061386	0.072479
Superscaffold1	3799001	3993903	0.083603	0.079958	0.033507	0.044128
Superscaffold1	3994358	4238826	0.189988	0.149529	0.074350	0.107137
Superscaffold1	4238859	4453196	0.190077	0.170096	0.079217	0.104504
Superscaffold1	4453201	4657563	0.378077	0.371132	0.185201	0.271483
Superscaffold1	4657693	4864508	-0.066967	-0.074021	-0.039696	-0.037801
Superscaffold1	4864666	5065099	0.154771	0.166594	0.076422	0.096675
Superscaffold1	5065137	5268069	0.488650	0.413594	0.213368	0.302320
Superscaffold1	5268118	5552701	0.167658	0.090598	0.054643	0.088126
Superscaffold1	5552969	5796132	0.122739	0.067730	0.043486	0.083801
Superscaffold1	5796150	6105245	0.241887	0.117343	0.077937	0.150183
