chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121260	150002	-0.572982	-0.276611	-0.146730	-0.427712
Chr01	150406	165020	-0.631337	-0.540492	-0.234965	-0.408095
Chr01	165138	184037	-0.466388	-0.452025	-0.225819	-0.277840
Chr01	184056	190092	-0.084729	-0.079032	-0.050058	-0.047723
Chr01	190209	206362	-0.065144	-0.042408	-0.025178	-0.038557
Chr01	206418	213991	0.292894	0.152051	0.113629	0.192277
Chr01	214117	219623	0.329242	0.169161	0.121344	0.241463
Chr01	219635	231425	0.213948	0.077664	0.060432	0.144398
Chr01	231749	244112	0.067254	0.024685	0.016514	0.013684
Chr01	244242	252496	-0.041784	-0.019551	-0.014965	-0.027333
Chr01	252632	258372	-0.503621	-0.236079	-0.157569	-0.439918
Chr01	258439	265462	-0.747748	-0.241257	-0.163784	-0.632384
Chr01	265477	276012	-0.381813	-0.190058	-0.111102	-0.289048
Chr01	276077	303488	-0.420935	-0.257120	-0.135768	-0.269086
Chr01	303739	316824	-0.104482	-0.058694	-0.041333	-0.062080
Chr01	316840	350126	-0.398775	-0.149063	-0.104736	-0.256778
Chr01	350158	381843	0.490426	0.272672	0.179290	0.330193
Chr01	381875	403339	-0.245912	-0.102174	-0.071863	-0.149500
Chr01	403350	425480	-0.289847	-0.051454	-0.038992	-0.133311
Chr01	425499	436442	-0.043004	-0.021614	-0.014048	-0.009885
Chr01	436777	450773	0.082872	0.022079	0.019075	0.019477
Chr01	450784	471749	-0.125774	-0.057709	-0.040404	-0.070342
Chr01	473440	482787	-0.054024	-0.030235	-0.021535	-0.042011
Chr01	483052	502152	-0.078640	-0.029500	-0.019554	-0.044357
Chr01	506929	519463	-0.031150	-0.012450	-0.009124	-0.007745
Chr01	519811	533341	0.067443	0.051333	0.043116	0.062850
Chr01	534198	561814	-0.044331	-0.014075	-0.010635	-0.024428
Chr01	562073	577804	0.257398	0.056696	0.049877	0.146744
Chr01	577861	610361	0.479961	0.118512	0.099558	0.325748
Chr01	610382	627130	0.226963	0.102276	0.078492	0.156173
Chr01	627287	636938	-0.001922	-0.001888	-0.001158	0.021431
Chr01	637389	651890	0.042618	0.033580	0.022074	0.045564
Chr01	651899	659648	0.222311	0.100745	0.081998	0.158507
Chr01	659665	674075	0.491737	0.149180	0.127613	0.358571
Chr01	674120	725416	-0.300522	-0.164329	-0.084293	-0.175449
Chr01	725708	807926	-0.003194	-0.001179	-0.000757	-0.008881
Chr01	808013	842759	-0.264985	-0.120363	-0.065703	-0.166946
Chr01	842784	858584	-0.458666	-0.268555	-0.094185	-0.285463
Chr01	858659	876509	0.226604	0.137020	0.060395	0.162844
Chr01	877300	899639	-0.238874	-0.082592	-0.057642	-0.136155
Chr01	899640	937511	-0.274434	-0.091732	-0.052384	-0.177080
Chr01	937604	954627	0.581902	0.220646	0.137328	0.226479
Chr01	954684	974128	0.502583	0.236232	0.119728	0.416648
Chr01	974218	996654	-0.411245	-0.100167	-0.069399	-0.360366
Chr01	996840	1028640	-0.324177	-0.042212	-0.029100	-0.231099
Chr01	1028787	1050070	-0.654296	-0.053047	-0.039946	-0.446819
Chr01	1050234	1078990	-0.686281	-0.242771	-0.141027	-0.583905
Chr01	1079594	1103722	0.031920	0.018852	0.009730	0.015241
Chr01	1103819	1117838	-0.874523	-1.238273	-0.416843	-0.775416
Chr01	1117867	1142704	-0.059465	-0.028237	-0.017846	-0.055097
Chr01	1142745	1155563	-0.291029	-0.074795	-0.054551	-0.258653
Chr01	1155958	1170367	0.117814	0.020820	0.016958	0.076777
Chr01	1170425	1184684	0.470374	0.103843	0.077370	0.351520
Chr01	1184806	1206709	0.136594	0.053944	0.027443	0.116833
Chr01	1206729	1231432	0.011086	0.004387	0.002018	0.033818
Chr01	1231484	1291914	-0.210652	-0.074359	-0.029761	-0.117700
Chr01	1292035	1309213	0.377326	0.145026	0.079653	0.176192
Chr01	1309227	1319814	-0.243129	-0.307833	-0.107666	-0.214667
Chr01	1319827	1336245	0.105207	0.055035	0.034166	0.085966
Chr01	1336373	1382029	-0.191122	-0.061022	-0.029008	-0.105557
Chr01	1382131	1403748	0.418670	0.086936	0.062475	0.266035
Chr01	1405957	1420630	0.057686	0.025473	0.017355	0.030250
Chr01	1422345	1450823	0.266869	0.147727	0.075029	0.201089
Chr01	1450857	1457229	0.014972	0.009360	0.004784	0.004451
Chr01	1457339	1465150	0.229751	0.128492	0.070474	0.217873
Chr01	1465249	1473421	0.236650	0.114235	0.071983	0.199913
Chr01	1473442	1484775	0.032860	0.017652	0.011081	0.037066
Chr01	1484849	1501700	0.320414	0.153916	0.095701	0.279949
Chr01	1501758	1511616	0.069109	0.029500	0.019061	0.059860
Chr01	1511663	1534491	0.149398	0.035628	0.025622	0.138252
Chr01	1534533	1539988	0.003863	0.002822	0.001641	-0.015002
Chr01	1540010	1552343	0.144672	0.041012	0.030025	0.116108
Chr01	1552403	1569322	-0.410920	-0.145033	-0.079239	-0.355894
Chr01	1569458	1589035	0.320411	0.145177	0.069378	0.287301
Chr01	1589056	1629153	0.558078	0.203445	0.107503	0.514004
Chr01	1629162	1643146	-0.271058	-0.146792	-0.080542	-0.226532
Chr01	1643310	1655288	-0.636228	-0.488469	-0.204006	-0.558972
Chr01	1655305	1669767	0.621022	0.269012	0.181191	0.587769
Chr01	1669824	1682592	0.159034	0.045127	0.031594	0.097701
Chr01	1682596	1688869	-0.080433	-0.038553	-0.023968	-0.038101
Chr01	1688874	1692507	-0.450973	-0.726059	-0.262810	-0.276056
Chr01	1692693	1710693	0.071572	0.031383	0.010234	0.035399
Chr01	1710741	1741844	-0.568084	-0.188581	-0.092530	-0.503917
Chr01	1741884	1789079	-0.792731	-0.393107	-0.151379	-0.712716
Chr01	1789267	1810645	-0.458174	-0.174381	-0.077606	-0.417296
Chr01	1811024	1830935	-0.345084	-0.141256	-0.061874	-0.245325
Chr01	1830938	1858895	0.397242	0.170087	0.086382	0.407194
Chr01	1859231	1873870	-0.558163	-0.344461	-0.121992	-0.411307
Chr01	1873877	1892200	-0.305162	-0.131371	-0.057964	-0.246000
Chr01	1892253	1900288	-0.672042	-0.613488	-0.162790	-0.615626
Chr01	1900413	1976836	-0.477359	-0.099231	-0.055129	-0.371454
Chr01	1976947	2003886	0.066627	0.011234	0.006469	0.045030
Chr01	2003971	2022846	-0.105616	-0.025048	-0.013686	-0.084361
Chr01	2022890	2040813	-0.291073	-0.147191	-0.079872	-0.181733
Chr01	2040814	2053225	0.140684	0.072632	0.043785	0.104706
Chr01	2053279	2066776	-0.042485	-0.023661	-0.013604	-0.043538
Chr01	2066836	2087142	0.231444	0.053715	0.036171	0.144520
Chr01	2087214	2103958	0.072751	0.036442	0.022092	0.058946
Chr01	2104030	2130513	0.075597	0.023380	0.011827	0.054028
Chr01	2130523	2157322	-0.167293	-0.069760	-0.047337	-0.113107
Chr01	2157603	2183123	0.235901	0.059125	0.044565	0.117855
Chr01	2183195	2197899	0.480021	0.106318	0.082546	0.311029
Chr01	2197950	2212519	-0.410452	-0.203848	-0.123206	-0.348317
Chr01	2212686	2223808	-0.009307	-0.005411	-0.003308	-0.043166
Chr01	2224026	2230919	0.187539	0.124504	0.069645	0.114539
Chr01	2230924	2245925	-0.010439	-0.003930	-0.002761	0.000517
Chr01	2246177	2253464	0.092280	0.078319	0.039728	0.054994
Chr01	2253484	2259301	0.150853	0.219879	0.118011	0.077735
Chr01	2259331	2266182	0.130148	0.113737	0.078971	0.067486
Chr01	2266186	2273743	0.454349	0.180913	0.163666	0.246074
Chr01	2273829	2288036	0.256760	0.071981	0.056675	0.129147
Chr01	2288085	2311792	0.001162	0.000414	0.000278	0.016928
Chr01	2314088	2376269	0.266720	0.118207	0.057033	0.136316
Chr01	2376319	2395895	-0.282983	-0.147801	-0.085620	-0.234157
Chr01	2395933	2418214	0.199441	0.083547	0.060133	0.185214
Chr01	2418603	2434495	0.046055	0.019197	0.013367	0.041722
Chr01	2434541	2445280	0.067847	0.023974	0.017464	0.054825
Chr01	2445301	2467637	-0.008233	-0.004336	-0.002770	0.000459
Chr01	2467641	2476057	0.452919	0.233973	0.168694	0.332692
Chr01	2476088	2491899	0.110740	0.045656	0.032580	0.079328
Chr01	2492171	2495644	-0.415161	-0.870658	-0.305018	-0.324496
Chr01	2495756	2500719	-0.240219	-0.200630	-0.129120	-0.204941
Chr01	2500770	2506308	-0.608035	-0.476031	-0.252412	-0.468947
Chr01	2506341	2526086	0.050525	0.025852	0.015463	0.027272
Chr01	2526159	2539213	-0.276341	-0.138819	-0.077310	-0.185114
Chr01	2539309	2577368	-0.174820	-0.068233	-0.038966	-0.081143
Chr01	2577386	2599910	-0.755118	-1.186871	-0.403614	-0.619087
Chr01	2599928	2604502	-0.893079	-1.566650	-0.442151	-0.765933
Chr01	2604541	2612785	-0.819299	-1.529437	-0.489603	-0.693667
Chr01	2612823	2617601	-0.501763	-0.484041	-0.235536	-0.388374
Chr01	2617622	2624874	-0.244659	-0.229838	-0.102280	-0.136076
Chr01	2625068	2643225	0.604687	0.231051	0.165307	0.525304
Chr01	2643311	2661212	0.366153	0.111760	0.081634	0.327152
Chr01	2661336	2669527	0.573740	0.197220	0.175772	0.575718
Chr01	2669607	2680007	0.397419	0.174899	0.133794	0.324511
Chr01	2680127	2690597	0.394745	0.177615	0.133945	0.291136
Chr01	2690610	2702238	-0.184272	-0.164083	-0.083552	-0.151731
Chr01	2702260	2712410	0.093311	0.062319	0.020301	0.079078
Chr01	2712468	2720250	0.460546	0.198366	0.093133	0.322961
Chr01	2720263	2724460	0.345746	0.222190	0.104778	0.284066
Chr01	2724478	2733569	0.078397	0.075640	0.029432	0.023978
Chr01	2733642	2737915	0.201928	0.206079	0.101115	0.099814
Chr01	2737929	2750338	-0.240489	-0.198685	-0.086810	-0.133553
Chr01	2750388	2758335	0.065072	0.055594	0.034377	0.027042
Chr01	2758347	2770761	0.258417	0.254461	0.101849	0.168533
Chr01	2770863	2779660	-0.326492	-0.210477	-0.109233	-0.169587
Chr01	2779713	2790626	-0.336148	-0.396135	-0.163832	-0.190317
Chr01	2790696	2795017	-0.164544	-0.170459	-0.077678	-0.102502
Chr01	2795030	2803879	-0.659154	-0.701415	-0.323047	-0.413796
Chr01	2803954	2812595	0.090649	0.077097	0.049099	0.043833
Chr01	2812678	2822054	0.198918	0.093284	0.057977	0.116481
Chr01	2822114	2843497	-0.195547	-0.141223	-0.080120	-0.136625
Chr01	2843726	2857792	-0.299950	-0.224392	-0.120724	-0.190389
Chr01	2858332	2879393	-0.245283	-0.143213	-0.078558	-0.154701
Chr01	2879402	2908849	-0.058177	-0.016067	-0.009743	-0.074960
Chr01	2908932	2921829	0.453284	0.149017	0.105500	0.337245
Chr01	2921864	2941519	0.286703	0.134390	0.084216	0.244212
Chr01	2941530	2955779	0.579917	0.262337	0.177036	0.570505
Chr01	2955799	2977769	0.385480	0.153085	0.103458	0.328888
Chr01	2977787	3016911	-0.033500	-0.007338	-0.004473	-0.019229
Chr01	3017269	3029388	-0.495740	-0.155341	-0.085858	-0.254150
Chr01	3029405	3048912	-0.383007	-0.216111	-0.107528	-0.243606
Chr01	3049155	3069588	-0.218082	-0.097121	-0.067166	-0.160204
Chr01	3069644	3083509	-0.092786	-0.039296	-0.028973	-0.070487
Chr01	3083757	3094996	-0.033280	-0.015092	-0.011052	-0.004808
Chr01	3095067	3112825	0.279317	0.128620	0.085470	0.178328
Chr01	3112836	3138243	0.331000	0.083762	0.061824	0.255552
Chr01	3138251	3162231	-0.113095	-0.030688	-0.020025	-0.046417
Chr01	3162253	3168472	0.049285	0.037300	0.020934	0.010461
Chr01	3168476	3176558	-0.415167	-0.420650	-0.176748	-0.259052
Chr01	3176565	3196873	-0.341307	-0.124337	-0.068548	-0.216228
Chr01	3197357	3215581	-0.261478	-0.047987	-0.028237	-0.219217
Chr01	3216055	3250365	-0.175985	-0.052979	-0.031626	-0.156949
Chr01	3250371	3274899	-0.279327	-0.145717	-0.082069	-0.155801
Chr01	3274968	3294578	-0.478958	-0.176520	-0.115922	-0.350260
Chr01	3294605	3313114	-0.494197	-0.166710	-0.074612	-0.321174
Chr01	3313200	3331521	0.193008	0.067690	0.037502	0.110129
Chr01	3331618	3356578	-0.154145	-0.053137	-0.031481	-0.076566
Chr01	3356633	3370441	-0.134809	-0.067649	-0.031373	-0.078805
Chr01	3370649	3397325	0.271515	0.053370	0.032974	0.196109
Chr01	3397404	3405299	0.108457	0.055654	0.034131	0.031870
Chr01	3405336	3422407	0.154501	0.093825	0.055283	0.086113
Chr01	3422438	3432464	-0.123218	-0.128157	-0.051665	-0.088147
Chr01	3432505	3444275	0.517801	0.317134	0.108730	0.448193
Chr01	3444610	3463684	-0.326838	-0.117536	-0.054318	-0.249786
Chr01	3463719	3494351	-0.399808	-0.157450	-0.076603	-0.313673
Chr01	3497753	3529125	0.054042	0.012609	0.007260	0.048148
Chr01	3529224	3557931	0.042021	0.009540	0.006263	0.002268
Chr01	3558034	3582966	-0.261423	-0.071287	-0.042538	-0.201624
Chr01	3582990	3590451	0.208069	0.102640	0.055077	0.128664
Chr01	3590481	3615300	0.073152	0.029877	0.019144	0.061129
Chr01	3615406	3649232	0.017974	0.003764	0.002206	0.001533
Chr01	3650533	3682735	-0.450445	-0.130342	-0.082629	-0.436031
Chr01	3682769	3697528	0.337803	0.143933	0.089479	0.302326
Chr01	3697604	3725850	0.305320	0.144377	0.065894	0.277677
Chr01	3725851	3765497	-0.132703	-0.065733	-0.026646	-0.106218
Chr01	3765818	3783526	0.538546	0.267081	0.132514	0.419202
Chr01	3783556	3792988	-0.348723	-0.274266	-0.131290	-0.207382
Chr01	3793000	3814554	-0.567742	-0.856668	-0.272164	-0.345071
Chr01	3814556	3834613	-0.682508	-0.811551	-0.358727	-0.499629
Chr01	3834618	3848673	-0.267880	-0.142804	-0.070207	-0.198788
Chr01	3848882	3870455	-0.132204	-0.062576	-0.027530	-0.122706
Chr01	3870488	3907705	-0.428284	-0.172911	-0.064796	-0.388026
Chr01	3908767	3933982	-0.404973	-0.163155	-0.082041	-0.311930
Chr01	3934573	3964265	0.129258	0.052725	0.022101	0.115122
Chr01	3964332	3988453	-0.571281	-0.216099	-0.128723	-0.533020
Chr01	3988928	4006493	0.070797	0.041385	0.026360	0.039373
Chr01	4006707	4026868	-0.189276	-0.079018	-0.051073	-0.116606
Chr01	4027059	4047117	-0.026654	-0.007114	-0.005597	-0.029290
Chr01	4047231	4065619	0.100990	0.031113	0.021341	0.083103
Chr01	4065635	4081770	0.888772	0.302019	0.241651	0.776369
Chr01	4081815	4123772	-0.086229	-0.029202	-0.016187	-0.053954
Chr01	4123868	4143406	0.013349	0.009662	0.004989	0.011980
Chr01	4143440	4168414	0.192305	0.152144	0.057067	0.178283
Chr01	4168759	4182005	-0.043256	-0.054659	-0.011360	-0.015327
Chr01	4183117	4203241	0.209692	0.081420	0.043923	0.170465
Chr01	4203254	4224814	-0.416220	-0.176417	-0.078444	-0.343775
Chr01	4225687	4241188	-0.390116	-0.241962	-0.139087	-0.265538
Chr01	4241684	4258480	-0.630139	-0.410075	-0.178346	-0.528311
Chr01	4258493	4267784	-0.105906	-0.070824	-0.039255	-0.075437
Chr01	4267793	4275507	0.109906	0.089829	0.035901	0.082790
Chr01	4275622	4291512	0.548064	0.281871	0.192112	0.367761
Chr01	4291652	4302803	0.433439	0.197008	0.147555	0.390833
Chr01	4302843	4315465	-0.096996	-0.034747	-0.025991	-0.063723
Chr01	4315468	4328034	0.061946	0.054562	0.030931	0.031711
Chr01	4328039	4331894	-0.056952	-0.133035	-0.047096	-0.044428
Chr01	4332107	4375521	0.286865	0.119112	0.041864	0.230920
Chr01	4375973	4401766	0.112737	0.060950	0.037820	0.034675
Chr01	4401779	4409041	-0.014581	-0.007009	-0.004926	-0.005161
Chr01	4409047	4421538	0.376912	0.256115	0.121992	0.147036
Chr01	4421585	4432052	0.319447	0.186534	0.134830	0.151915
Chr01	4432230	4438919	0.170939	0.115465	0.082054	0.095702
Chr01	4438929	4448131	-0.009166	-0.007024	-0.003598	0.002498
Chr01	4448169	4456038	0.174213	0.137905	0.104829	0.108248
Chr01	4456050	4468039	0.039090	0.017822	0.010915	0.013511
Chr01	4468079	4473274	-0.056701	-0.030566	-0.021220	-0.024290
Chr01	4473598	4486265	-0.141183	-0.082372	-0.039696	-0.078038
Chr01	4486282	4490485	-0.332198	-0.287917	-0.179487	-0.196051
Chr01	4490518	4498579	0.224784	0.127275	0.090849	0.136305
Chr01	4498643	4507907	0.248382	0.188192	0.135255	0.153018
Chr01	4507912	4524895	0.150357	0.049549	0.033802	0.088530
Chr01	4525000	4549967	-0.316153	-0.094460	-0.064107	-0.231979
Chr01	4553159	4576499	0.142413	0.057647	0.027083	0.063627
Chr01	4576823	4590177	0.031915	0.017471	0.008574	0.015321
Chr01	4590273	4609950	-0.007294	-0.002693	-0.001774	0.007254
Chr01	4609968	4624161	0.122341	0.045858	0.027276	0.098691
Chr01	4624197	4638810	-0.220056	-0.062440	-0.040211	-0.092592
Chr01	4638828	4652935	0.089411	0.052274	0.028497	0.044200
Chr01	4652946	4679504	-0.410806	-0.225460	-0.100841	-0.237407
Chr01	4679506	4697018	0.451668	0.166863	0.110484	0.384132
Chr01	4697378	4714788	0.167129	0.110012	0.064615	0.143298
Chr01	4714925	4761469	0.263058	0.091967	0.044005	0.219622
Chr01	4761522	4794257	0.653887	0.242586	0.118376	0.642606
Chr01	4794369	4821396	0.350035	0.124442	0.057799	0.341299
Chr01	4821860	4841967	-0.138799	-0.034404	-0.023326	-0.080138
Chr01	4841994	4856732	-0.706782	-0.456168	-0.206633	-0.446911
Chr01	4856934	4865945	-0.435808	-0.356483	-0.166600	-0.411559
Chr01	4866050	4875762	0.433300	0.233475	0.147185	0.431158
Chr01	4875811	4897626	0.523614	0.226571	0.164424	0.453698
Chr01	4897670	4919976	0.675436	0.209283	0.184141	0.570745
Chr01	4920341	4941443	0.613281	0.124138	0.093154	0.362330
Chr01	4941494	4947793	0.051592	0.025175	0.017087	0.016326
Chr01	4947799	4976950	-0.141737	-0.049215	-0.036288	-0.141378
Chr01	4977822	4999064	-0.456043	-0.157960	-0.104055	-0.256844
Chr01	4999163	5005198	-0.422390	-0.319147	-0.193575	-0.341965
Chr01	5005228	5024299	0.458442	0.197495	0.107334	0.290592
Chr01	5024322	5072720	-0.466331	-0.105806	-0.063983	-0.306624
Chr01	5073706	5081422	-0.911252	-1.448458	-0.470461	-0.898418
Chr01	5081426	5097519	-0.905273	-0.812947	-0.310889	-0.830149
Chr01	5097597	5112634	0.325447	0.149975	0.073708	0.266563
Chr01	5112749	5140073	-0.002311	-0.000558	-0.000385	0.007886
Chr01	5140317	5158974	0.040192	0.010690	0.007016	0.040033
Chr01	5159364	5188135	-0.349891	-0.117604	-0.073466	-0.296581
Chr01	5188148	5198153	-0.205706	-0.109243	-0.058385	-0.123575
Chr01	5198283	5204531	-0.721086	-0.935444	-0.269013	-0.461954
Chr01	5204545	5211672	-0.821850	-0.912855	-0.334874	-0.665728
Chr01	5211798	5227282	-0.152549	-0.114293	-0.071153	-0.108086
Chr01	5227331	5285281	0.221816	0.060587	0.048862	0.148387
Chr01	5286734	5384344	-0.174855	-0.058281	-0.029345	-0.117008
Chr01	5384739	5434584	0.243813	0.082691	0.069359	0.204765
Chr01	5434693	5454942	0.373938	0.123641	0.106194	0.250880
Chr01	5454993	5482860	-0.347266	-0.120639	-0.089100	-0.320035
Chr01	5482960	5502636	-0.943536	-0.324991	-0.217986	-0.916130
Chr01	5502748	5506806	-0.966925	-0.530993	-0.326318	-0.881858
Chr01	5506849	5521350	0.135542	0.055555	0.043694	0.131500
Chr01	5521994	5559198	-0.286241	-0.093787	-0.063283	-0.170257
Chr01	5559201	5570335	-0.314161	-0.360809	-0.208215	-0.275209
