chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	73920	143245	0.075192	0.024451	0.015048	0.044527
Chr01	143495	152485	-0.155302	-0.062359	-0.040776	-0.113446
Chr01	152562	164419	-0.184550	-0.125833	-0.081042	-0.134072
Chr01	164454	182642	-0.442080	-0.300270	-0.188147	-0.302631
Chr01	182751	185527	-0.025708	-0.058486	-0.030692	-0.017616
Chr01	185540	190484	0.031915	0.031998	0.020443	0.020498
Chr01	190626	203575	-0.201650	-0.203433	-0.114754	-0.123846
Chr01	203582	208309	-0.140026	-0.151681	-0.088131	-0.097675
Chr01	208317	213415	-0.093274	-0.105280	-0.071535	-0.069787
Chr01	213449	217322	0.042447	0.046840	0.034348	0.018577
Chr01	217334	219911	-0.125715	-0.183455	-0.112977	-0.084064
Chr01	219953	225404	0.062307	0.062476	0.044867	0.030622
Chr01	225408	231881	0.112505	0.129267	0.096211	0.078090
Chr01	231913	238021	-0.128754	-0.131224	-0.087710	-0.074680
Chr01	238025	246190	-0.167100	-0.104243	-0.075290	-0.101565
Chr01	246199	251424	-0.071358	-0.072368	-0.049797	-0.045655
Chr01	251431	255862	-0.227365	-0.252271	-0.160224	-0.173066
Chr01	255865	259086	0.421845	0.381040	0.302453	0.258794
Chr01	259088	263071	-0.275969	-0.256516	-0.164685	-0.152177
Chr01	263142	265425	-0.160451	-0.143717	-0.093344	-0.101307
Chr01	265462	273249	-0.201320	-0.160310	-0.105238	-0.140551
Chr01	273298	276588	-0.090673	-0.111798	-0.066022	-0.052712
Chr01	276609	286897	-0.264099	-0.280235	-0.153724	-0.181055
Chr01	287002	307750	0.020073	0.013843	0.007569	0.000630
Chr01	307922	315717	0.453604	0.305926	0.237933	0.286088
Chr01	315729	323744	-0.133581	-0.098321	-0.057709	-0.056882
Chr01	323876	344788	-0.045518	-0.036572	-0.019115	-0.031584
Chr01	344913	352606	-0.194055	-0.300362	-0.139708	-0.133590
Chr01	352704	383061	0.582755	0.330289	0.218573	0.462216
Chr01	383070	389718	0.294327	0.229383	0.178250	0.162309
Chr01	389876	398660	-0.422687	-0.373011	-0.224182	-0.296827
Chr01	399217	404784	-0.395429	-0.406306	-0.219916	-0.263073
Chr01	404798	426399	-0.075208	-0.018183	-0.013751	-0.046193
Chr01	426431	435107	0.059631	0.045338	0.032939	0.030878
Chr01	435164	452788	-0.100511	-0.035803	-0.030504	-0.060699
Chr01	452887	477108	-0.064443	-0.025692	-0.020216	-0.048531
Chr01	477242	486065	0.047646	0.023990	0.020264	0.025480
Chr01	486069	506826	0.061454	0.018676	0.014322	0.036254
Chr01	506851	516773	-0.236838	-0.158097	-0.098721	-0.199065
Chr01	516786	528812	0.508016	0.294902	0.182069	0.458097
Chr01	528836	558093	0.316478	0.147590	0.071435	0.209113
Chr01	558759	574857	0.205938	0.072879	0.050676	0.157366
Chr01	574880	578987	0.487524	0.210676	0.165690	0.432864
Chr01	578995	596819	0.668540	0.313348	0.264194	0.608823
Chr01	596898	617138	0.687833	0.258562	0.222697	0.528000
Chr01	617139	631137	0.001072	0.000573	0.000406	0.019644
Chr01	631258	652022	0.247917	0.083417	0.063742	0.124421
Chr01	652144	660521	0.088464	0.048074	0.034229	0.058636
Chr01	660524	677633	0.097320	0.040157	0.029949	0.077749
Chr01	677647	720108	-0.151764	-0.104837	-0.049651	-0.103416
Chr01	720633	778731	0.034483	0.027185	0.012567	0.023706
Chr01	781035	819912	-0.184970	-0.167481	-0.093843	-0.135736
Chr01	821888	839763	-0.160709	-0.059950	-0.034283	-0.111454
