chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	236889	519132	0.020063	0.009809	0.006428	0.007216
Chr01	364359	661369	0.073374	0.038528	0.024282	0.041437
Chr01	519206	948229	-0.031785	-0.016150	-0.009813	-0.027208
Chr01	661379	1116570	-0.082217	-0.027000	-0.017309	-0.054607
Chr01	948230	1293868	0.000798	0.000211	0.000140	0.004359
Chr01	1116579	1459210	0.065534	0.023776	0.014352	0.048128
Chr01	1293884	1555800	0.185649	0.090178	0.055456	0.130081
Chr01	1459255	1677154	0.129760	0.057723	0.035180	0.101236
Chr01	1555851	1844192	-0.027664	-0.011872	-0.006033	-0.014279
Chr01	1677263	2009001	-0.091679	-0.041951	-0.018392	-0.054492
Chr01	1844203	2156969	-0.062938	-0.029858	-0.014239	-0.041434
Chr01	2009007	2257348	0.045204	0.022444	0.013111	0.024801
Chr01	2156982	2425100	0.091266	0.052835	0.032580	0.054782
Chr01	2257375	2519759	-0.068906	-0.047600	-0.028482	-0.038654
Chr01	2425115	2635563	-0.158366	-0.131737	-0.073019	-0.109106
Chr01	2519770	2722709	0.103145	0.065149	0.039433	0.079805
Chr01	2635698	2800001	0.045748	0.030153	0.017197	0.031218
Chr01	2722720	2931330	-0.145699	-0.116076	-0.059520	-0.087610
Chr01	2800013	3086224	-0.035772	-0.019498	-0.011916	-0.025021
Chr01	2931389	3209573	-0.009344	-0.004131	-0.002559	-0.006357
Chr01	3086408	3393099	-0.068542	-0.023178	-0.014256	-0.040167
Chr01	3209583	3532320	-0.000742	-0.000264	-0.000160	-0.001651
Chr01	3393104	3696755	0.121248	0.049944	0.030213	0.077084
Chr01	3532365	3849400	0.104139	0.052555	0.029671	0.067748
Chr01	3697251	4026268	0.001998	0.001123	0.000551	0.000787
Chr01	3849617	4202152	0.064131	0.027788	0.015106	0.054273
Chr01	4026272	4312904	0.035370	0.017567	0.009816	0.031529
Chr01	4202181	4438908	-0.054734	-0.038059	-0.018307	-0.030271
Chr01	4312958	4522287	0.064908	0.048705	0.025170	0.032864
Chr01	4438919	4656709	0.097360	0.053412	0.032430	0.056564
Chr01	4522314	4858932	0.115653	0.051502	0.029377	0.081371
Chr01	4656736	5005603	-0.014583	-0.005856	-0.003631	-0.009050
Chr01	4859058	5193904	-0.211204	-0.082778	-0.053465	-0.151941
Chr01	5006359	5490087	-0.191832	-0.079659	-0.046728	-0.129761
Chr01	5193985	5622772	-0.152554	-0.082964	-0.048083	-0.102184
Chr01	5490099	5775308	-0.167303	-0.107475	-0.059407	-0.105765
Chr01	5622805	5879784	-0.158395	-0.106775	-0.055771	-0.092070
Chr01	5775336	6006072	-0.191121	-0.135795	-0.068620	-0.123678
Chr01	5879887	6155691	0.108901	0.051583	0.030462	0.078749
Chr01	6006090	6319493	-0.042540	-0.020628	-0.012289	-0.033368
Chr01	6155781	6586892	-0.441578	-0.271283	-0.146615	-0.381144
Chr01	6319500	6798970	0.123975	0.049428	0.034160	0.106146
Chr01	6587111	6953338	0.615198	0.221705	0.157769	0.560147
Chr01	6799013	7158684	0.276799	0.111260	0.075169	0.228848
Chr01	6953342	7367793	-0.138936	-0.063945	-0.041060	-0.096065
Chr01	7158942	7562331	0.039799	0.020437	0.011403	0.032126
Chr01	7368259	7747225	0.260170	0.104220	0.058107	0.203839
Chr01	7562510	7873714	0.065330	0.026730	0.014589	0.051329
Chr01	7747247	7968454	-0.254168	-0.139956	-0.074792	-0.175559
Chr01	7873742	8066684	-0.116504	-0.077648	-0.037854	-0.073902
Chr01	7968669	8183860	0.279772	0.186487	0.102778	0.183720
Chr01	8066887	8264701	0.399150	0.233730	0.135956	0.282602
Chr01	8183874	8379011	0.240666	0.092582	0.056730	0.108819
Chr01	8264702	8485350	0.056634	0.022494	0.012315	0.021158
Chr01	8379194	8584524	0.241945	0.152912	0.069202	0.168870
Chr01	8485674	8675199	0.144968	0.093127	0.043998	0.104899
Chr01	8584560	8938811	-0.036625	-0.014329	-0.008738	-0.017046
Chr01	8675334	9287512	-0.048805	-0.015115	-0.010340	-0.022249
Chr01	8938818	9463362	-0.111715	-0.041838	-0.023762	-0.081329
Chr01	9287514	9639053	-0.184126	-0.083864	-0.046394	-0.155039
Chr01	9463676	9823692	-0.266075	-0.138537	-0.087232	-0.206247
Chr01	9639961	9918576	-0.091040	-0.049811	-0.030951	-0.065059
Chr01	9823946	10025971	0.129382	0.076112	0.047604	0.097108
Chr01	9918590	10138325	0.080784	0.049166	0.028587	0.051359
Chr01	10025972	10269548	-0.084231	-0.056677	-0.029060	-0.053802
Chr01	10138345	10408853	0.081506	0.045342	0.025715	0.047273
Chr01	10270204	10520347	0.106535	0.051250	0.028938	0.075027
Chr01	10408876	11029382	-0.193630	-0.090806	-0.050505	-0.144753
Chr01	10520420	11209176	-0.259845	-0.125038	-0.070111	-0.201177
Chr01	11029401	11343163	-0.118505	-0.061646	-0.032970	-0.078881
Chr01	11209231	11486501	0.022215	0.009527	0.006061	0.022162
Chr01	11343201	11637443	0.124735	0.044798	0.032055	0.091135
Chr01	11486541	11780171	0.233136	0.103063	0.063248	0.166704
Chr01	11637470	12091924	0.206960	0.105453	0.062193	0.144718
Chr01	11780476	12221783	0.131887	0.068855	0.039051	0.094046
Chr01	12091967	12336454	-0.331912	-0.231142	-0.092543	-0.234137
Chr01	12221924	12439707	-0.505710	-0.446627	-0.161869	-0.355128
Chr01	12336464	12545709	-0.119663	-0.077056	-0.032177	-0.081621
Chr01	12439723	12706895	0.108002	0.058724	0.026690	0.091886
Chr01	12545789	12840866	-0.005499	-0.003927	-0.001293	-0.004559
Chr01	12706966	13101101	-0.426996	-0.248335	-0.077589	-0.268952
Chr01	12841055	13231181	-0.276970	-0.130839	-0.054228	-0.163804
Chr01	13101389	13477978	0.056281	0.020596	0.010476	0.042307
Chr01	13231207	13665034	-0.238395	-0.087819	-0.046645	-0.182229
Chr01	13477984	13831041	-0.451492	-0.242936	-0.114153	-0.367369
Chr01	13665184	13993633	-0.259372	-0.150281	-0.071137	-0.197109
Chr01	13831256	14089187	0.025635	0.013217	0.007501	0.014309
Chr01	13993688	14183883	-0.146978	-0.103675	-0.048297	-0.071258
Chr01	14089216	14319536	-0.186856	-0.109004	-0.053628	-0.110931
Chr01	14183975	14437058	0.123147	0.048219	0.030011	0.092219
Chr01	14319550	14589960	0.113476	0.057584	0.029065	0.093362
Chr01	14437064	14706966	0.002368	0.001508	0.000684	0.009009
Chr01	14589988	14828663	0.172509	0.091945	0.047532	0.145275
Chr01	14707012	14941467	0.109656	0.056617	0.029261	0.069225
Chr01	14828774	15062290	0.026980	0.012007	0.006700	0.014931
Chr01	14941477	15167141	-0.007352	-0.003760	-0.001896	-0.000506
Chr01	15062332	15269548	-0.261049	-0.170964	-0.068623	-0.161051
Chr01	15167170	15391476	-0.251049	-0.151876	-0.058112	-0.157202
Chr01	15269609	15530508	-0.234076	-0.112699	-0.053778	-0.181980
Chr01	15391487	15670181	-0.157942	-0.070401	-0.038096	-0.125119
Chr01	15530611	16044259	0.009786	0.004593	0.002656	0.009677
Chr01	15670209	16162429	-0.094301	-0.050178	-0.029553	-0.053166
Chr01	16044363	16316504	-0.232962	-0.129474	-0.068005	-0.132941
Chr01	16162815	16467752	-0.078062	-0.035730	-0.019134	-0.046428
Chr01	16316512	16631623	0.077917	0.033453	0.018663	0.053326
Chr01	16467760	16807541	-0.035152	-0.015791	-0.008638	-0.025060
Chr01	16631657	16983078	0.111002	0.048523	0.029078	0.089446
Chr01	16809153	17144647	0.181953	0.072781	0.043930	0.149618
Chr01	16983102	17329533	-0.194590	-0.076195	-0.039177	-0.159286
Chr01	17144712	17490360	-0.154854	-0.060060	-0.031552	-0.117628
Chr01	17329651	17601445	0.043860	0.018825	0.010873	0.034114
