chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	547004	729857	-0.030974	-0.019049	-0.014114	-0.017888
Superscaffold1	729861	950853	0.085994	0.060735	0.039488	0.050337
Superscaffold1	950861	1301249	0.104376	0.056058	0.040215	0.049662
Superscaffold1	1301337	1599974	0.063765	0.043260	0.029049	0.043530
Superscaffold1	1599994	2000239	-0.193545	-0.083396	-0.054188	-0.124343
Superscaffold1	2000242	2330312	-0.009768	-0.004311	-0.002819	-0.002701
Superscaffold1	2330342	2569126	-0.018590	-0.011249	-0.007492	-0.016144
Superscaffold1	2569132	2786427	-0.113747	-0.089003	-0.056568	-0.065306
Superscaffold1	2786567	3083968	-0.036036	-0.024940	-0.013844	-0.021631
Superscaffold1	3084295	3398017	0.081018	0.050139	0.032260	0.046599
Superscaffold1	3398022	3747045	-0.035346	-0.019843	-0.013764	-0.020406
Superscaffold1	3747109	4146556	-0.092800	-0.044498	-0.028248	-0.056132
Superscaffold1	4146595	4470915	0.083215	0.047345	0.031743	0.058119
Superscaffold1	4470961	4794472	-0.002221	-0.001568	-0.000978	-0.000447
Superscaffold1	4794506	5133394	-0.108972	-0.062415	-0.043104	-0.071071
Superscaffold1	5133395	5498742	-0.384694	-0.245521	-0.154633	-0.313621
Superscaffold1	5498830	5714973	-0.132748	-0.118046	-0.071081	-0.089341
Superscaffold1	5715048	6092716	-0.054314	-0.025447	-0.018051	-0.039122
Superscaffold1	6092954	6369274	0.039617	0.022685	0.014300	0.023677
Superscaffold1	6369511	6717066	-0.116873	-0.057695	-0.039992	-0.082854
Superscaffold1	6717085	7122046	-0.106363	-0.051007	-0.033304	-0.062496
Superscaffold1	7122047	7525092	-0.176805	-0.075997	-0.054092	-0.125011
Superscaffold1	7525269	8356986	-0.206384	-0.077547	-0.058286	-0.148624
Superscaffold1	8356987	9248054	-0.026943	-0.013874	-0.009752	-0.016986
Superscaffold1	9249521	10425702	0.020340	0.008823	0.006267	0.007816
Superscaffold1	10430287	10812582	-0.052950	-0.031000	-0.021743	-0.034533
Superscaffold1	10812595	11139983	-0.012585	-0.006033	-0.004071	-0.008574
Superscaffold1	11140118	11572621	-0.036853	-0.011917	-0.009618	-0.030438
Superscaffold1	11572627	11909195	-0.087749	-0.047179	-0.030216	-0.045461
Superscaffold1	11909215	12244863	-0.152611	-0.079337	-0.055482	-0.095548
Superscaffold1	12245129	12616556	0.006764	0.004426	0.002927	0.003609
Superscaffold1	12618001	13098796	-0.004958	-0.001517	-0.001165	-0.003595
Superscaffold1	13098801	13730154	-0.272600	-0.091675	-0.066549	-0.204620
Superscaffold1	13730252	14406202	-0.131863	-0.042860	-0.029478	-0.085258
Superscaffold1	14406342	14829031	0.057964	0.025479	0.017361	0.037609
Superscaffold1	14829094	15125489	0.286680	0.169687	0.108952	0.209161
Superscaffold1	15125577	15410503	0.479525	0.271160	0.173714	0.403490
Superscaffold1	15411025	15748818	-0.169238	-0.079152	-0.048430	-0.114100
Superscaffold1	15748833	16061522	-0.110386	-0.049598	-0.030808	-0.073776
Superscaffold1	16061552	16457897	-0.393479	-0.160231	-0.102841	-0.293664
Superscaffold1	16457899	16787709	0.074535	0.051180	0.033330	0.041732
Superscaffold1	16787710	17151078	0.025768	0.016103	0.010619	0.010979
Superscaffold1	17152270	17748152	-0.041407	-0.015681	-0.011643	-0.026768
Superscaffold1	17750263	18377381	-0.134565	-0.061019	-0.040518	-0.086611
Superscaffold1	18377422	18870377	-0.060688	-0.030010	-0.019369	-0.038575
Superscaffold1	18870384	19137042	-0.057673	-0.029554	-0.022499	-0.038420
Superscaffold1	19137095	19661019	-0.144896	-0.057011	-0.043098	-0.101814
Superscaffold1	19661368	19985792	-0.182121	-0.068052	-0.052892	-0.105347
Superscaffold1	19987971	20330162	-0.156858	-0.088629	-0.056938	-0.107874
Superscaffold1	20331170	21062039	0.033165	0.015759	0.009267	0.022532
Superscaffold1	21062074	21391375	-0.035770	-0.015584	-0.010149	-0.027874
Superscaffold1	21391452	21798832	0.136066	0.062329	0.040847	0.085468
Superscaffold1	21798857	22244088	0.096006	0.048494	0.033075	0.065112
Superscaffold1	22244830	23033943	-0.026840	-0.005079	-0.004063	-0.017944
Superscaffold1	23033948	23684956	0.206303	0.059786	0.039801	0.139476
Superscaffold1	23685049	24093008	-0.229475	-0.126348	-0.078729	-0.161694
Superscaffold1	24093122	24391943	-0.254680	-0.262651	-0.144538	-0.195675
Superscaffold1	24392109	24856159	-0.070041	-0.022994	-0.017145	-0.046521
Superscaffold1	24862709	25384076	-0.161440	-0.060572	-0.038672	-0.116848
Superscaffold1	25384175	25727122	0.088568	0.039819	0.029027	0.057630
Superscaffold1	25727173	25943331	0.141072	0.140207	0.096398	0.079983
Superscaffold1	25943392	26273789	-0.202456	-0.114037	-0.066504	-0.138587
Superscaffold1	26273808	26646277	-0.278802	-0.150396	-0.096991	-0.191338
Superscaffold1	26646299	26979799	-0.647971	-0.413628	-0.218465	-0.554812
Superscaffold1	26979966	27287804	-0.133567	-0.075800	-0.034330	-0.104281
Superscaffold1	27287995	27643441	-0.064862	-0.033991	-0.020335	-0.049018
Superscaffold1	27643459	27935570	-0.028978	-0.019653	-0.012362	-0.018923
Superscaffold1	27935808	28172149	0.158554	0.105588	0.066047	0.103722
Superscaffold1	28172214	28522192	-0.047962	-0.032142	-0.020449	-0.033197
Superscaffold1	28522265	28803293	-0.300587	-0.266015	-0.169885	-0.224724
Superscaffold1	28803299	29277546	-0.285008	-0.133308	-0.077019	-0.206831
Superscaffold1	29277812	29623359	-0.280021	-0.127735	-0.084559	-0.199589
Superscaffold1	29623369	29989814	-0.012293	-0.004703	-0.002966	-0.010080
Superscaffold1	29989854	30344889	-0.101423	-0.078697	-0.049344	-0.076595
Superscaffold1	30345258	30913762	-0.409350	-0.238563	-0.147942	-0.298830
Superscaffold1	30913791	31213339	-0.362264	-0.185354	-0.111838	-0.261617
Superscaffold1	31213410	31670714	-0.257800	-0.097019	-0.068040	-0.167777
Superscaffold1	31670978	32292914	-0.336715	-0.193009	-0.119134	-0.236999
Superscaffold1	32293139	32599767	-0.108206	-0.055645	-0.040371	-0.067163
Superscaffold1	32600138	32994502	0.152964	0.061689	0.045348	0.115294
Superscaffold1	32994610	33399223	0.160665	0.069069	0.050714	0.110238
Superscaffold1	33399230	33598480	0.200717	0.102694	0.075888	0.160095
Superscaffold1	33598510	33905627	0.060401	0.041545	0.028399	0.033984
Superscaffold1	33905669	34210964	-0.335040	-0.129744	-0.090331	-0.263668
Superscaffold1	34210969	34667356	0.049989	0.020778	0.014893	0.025944
Superscaffold1	34667425	35174303	-0.225479	-0.078781	-0.057464	-0.172109
Superscaffold1	35174314	36092007	-0.058861	-0.023150	-0.016080	-0.044963
Superscaffold1	36092092	36955858	-0.143426	-0.055666	-0.037932	-0.094472
Superscaffold1	36956029	37185752	-0.330296	-0.201823	-0.128144	-0.208170
Superscaffold1	37185758	37526789	-0.014507	-0.005529	-0.004051	-0.007822
Superscaffold1	37526868	38045471	-0.046608	-0.025013	-0.015652	-0.031168
Superscaffold1	38045483	38420491	0.007658	0.002698	0.001950	0.003751
Superscaffold1	38420492	38737153	-0.273155	-0.094711	-0.070612	-0.163173
Superscaffold1	38737209	39023994	0.138439	0.049006	0.039847	0.078167
Superscaffold1	39024329	39302834	-0.179582	-0.059474	-0.042497	-0.122345
Superscaffold1	39302956	39699264	-0.159603	-0.068355	-0.044258	-0.116793
Superscaffold1	39699335	40034225	-0.383475	-0.102164	-0.078584	-0.291559
Superscaffold1	40034271	40377507	-0.109569	-0.045307	-0.034128	-0.062441
Superscaffold1	40377648	40840688	0.126853	0.054571	0.041758	0.092802
Superscaffold1	40840715	41313462	-0.598649	-0.336204	-0.183251	-0.503383
Superscaffold1	41313464	41792321	0.339468	0.125949	0.085541	0.257224
Superscaffold1	41792413	42261434	-0.089546	-0.035674	-0.021612	-0.085892
Superscaffold1	42261448	42885510	-0.048331	-0.014562	-0.010150	-0.031916
Superscaffold1	42885656	43764356	-0.225587	-0.037996	-0.028695	-0.172939
Superscaffold1	43764459	44727846	-0.038797	-0.005829	-0.004428	-0.027939
Superscaffold1	44727999	45257146	0.076550	0.035616	0.025698	0.050083
Superscaffold1	45257147	45877837	-0.230268	-0.108587	-0.073806	-0.152620
Superscaffold1	45878731	47003048	0.010357	0.002677	0.002136	0.003525
Superscaffold1	47003184	48014293	0.052963	0.014002	0.011521	0.024101
Superscaffold1	48014664	48599892	-0.166413	-0.037127	-0.027144	-0.119882
