chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	557434	721411	-0.054521	-0.044905	-0.026924	-0.033848
Superscaffold1	721423	901656	0.131952	0.069434	0.042122	0.077342
Superscaffold1	901731	1242888	-0.129663	-0.066591	-0.040592	-0.067766
Superscaffold1	1242951	1468905	0.036100	0.011223	0.007732	0.021828
Superscaffold1	1468913	1843668	-0.183131	-0.063507	-0.041940	-0.115788
Superscaffold1	1843692	2188315	-0.388378	-0.139138	-0.077640	-0.290423
Superscaffold1	2188345	2418872	-0.062674	-0.030497	-0.020373	-0.044687
Superscaffold1	2418944	2616583	-0.160372	-0.108673	-0.067135	-0.102001
Superscaffold1	2616691	2793697	0.031972	0.032989	0.017037	0.018438
Superscaffold1	2793742	2990728	-0.331603	-0.306295	-0.134351	-0.227646
Superscaffold1	2990733	3273911	-0.012050	-0.005953	-0.003738	-0.009308
Superscaffold1	3274030	3635525	-0.034553	-0.012402	-0.007632	-0.019434
Superscaffold1	3635600	4018698	-0.197842	-0.069491	-0.041647	-0.119688
Superscaffold1	4018708	4440823	-0.090783	-0.032175	-0.020143	-0.049177
Superscaffold1	4440836	4778819	-0.395255	-0.229174	-0.133606	-0.262482
Superscaffold1	4778855	5199730	-0.026440	-0.008228	-0.005729	-0.011868
Superscaffold1	5199819	5647964	-0.159397	-0.037749	-0.026517	-0.101873
Superscaffold1	5648040	5986929	0.292891	0.106811	0.074795	0.177876
Superscaffold1	5987115	6428900	-0.014929	-0.004184	-0.002890	-0.008106
Superscaffold1	6430017	6798215	-0.160231	-0.061038	-0.040600	-0.098799
Superscaffold1	6798274	7260447	-0.305667	-0.105753	-0.066241	-0.195938
Superscaffold1	7260475	7665494	-0.197855	-0.083739	-0.053401	-0.142688
Superscaffold1	7665617	8352034	-0.381031	-0.162866	-0.094737	-0.248141
Superscaffold1	8352911	8785068	-0.024732	-0.012156	-0.006737	-0.014533
Superscaffold1	8795103	9956557	0.080722	0.025577	0.017816	0.054852
Superscaffold1	9956690	10705360	0.023124	0.008649	0.005760	0.019618
Superscaffold1	10705391	11040992	-0.030154	-0.011643	-0.007325	-0.011403
Superscaffold1	11041006	11413775	-0.217363	-0.082223	-0.054560	-0.154858
Superscaffold1	11414204	11769808	-0.375641	-0.151428	-0.087560	-0.275831
Superscaffold1	11770954	12129319	0.013181	0.005261	0.003623	0.012402
Superscaffold1	12129662	12456114	0.051153	0.024662	0.014161	0.027991
Superscaffold1	12456166	12749348	-0.290483	-0.127795	-0.077022	-0.203426
Superscaffold1	12749379	13029828	0.148300	0.062070	0.034961	0.111911
Superscaffold1	13029872	13762142	-0.135082	-0.023829	-0.016443	-0.097118
Superscaffold1	13762148	14416891	-0.073873	-0.017769	-0.011083	-0.051151
Superscaffold1	14417213	14845457	0.147190	0.041653	0.027456	0.099927
Superscaffold1	14845460	15162136	-0.118440	-0.040490	-0.026378	-0.079059
Superscaffold1	15162356	15590533	-0.246732	-0.053543	-0.037524	-0.173273
Superscaffold1	15590582	15973043	-0.186557	-0.052443	-0.033716	-0.132257
Superscaffold1	15973128	16346485	-0.065880	-0.019170	-0.012043	-0.045797
Superscaffold1	16346692	16709598	-0.122332	-0.042104	-0.027451	-0.066867
Superscaffold1	16709907	17075006	0.070697	0.027776	0.015993	0.034541
Superscaffold1	17075031	17535218	-0.076459	-0.026661	-0.016717	-0.049460
Superscaffold1	17535228	18221300	-0.099078	-0.047385	-0.024915	-0.057615
Superscaffold1	18221309	18499478	-0.003427	-0.001512	-0.000874	-0.005498
Superscaffold1	18499978	18992872	-0.048550	-0.012947	-0.008616	-0.027689
Superscaffold1	18992887	19183551	0.012453	0.005634	0.003701	0.001692
Superscaffold1	19183552	19604431	-0.541464	-0.312557	-0.195814	-0.415075
Superscaffold1	19604436	19918798	-0.266903	-0.098488	-0.064947	-0.187816
Superscaffold1	19918988	20312662	0.116769	0.030903	0.020687	0.069431
Superscaffold1	20312782	21017878	-0.043538	-0.012923	-0.007531	-0.029176
Superscaffold1	21018271	21353393	-0.185307	-0.070864	-0.042070	-0.136803
Superscaffold1	21353552	21724857	0.002190	0.000813	0.000467	0.005762
Superscaffold1	21725056	22153878	-0.115530	-0.036718	-0.023696	-0.066736
Superscaffold1	22154152	22775461	0.031037	0.005350	0.003632	0.021132
Superscaffold1	22775468	23297701	-0.135253	-0.031926	-0.019323	-0.106302
Superscaffold1	23297733	23731261	-0.157879	-0.043760	-0.026972	-0.121737
Superscaffold1	23731266	24158244	-0.336594	-0.109392	-0.068365	-0.234680
Superscaffold1	24158303	24504345	-0.044781	-0.017434	-0.010967	-0.028298
Superscaffold1	24504352	24806836	-0.032654	-0.012333	-0.007640	-0.021934
Superscaffold1	24806844	25286820	-0.115364	-0.032435	-0.020149	-0.082692
Superscaffold1	25286930	25620996	0.061002	0.016513	0.010815	0.031087
Superscaffold1	25621504	26013752	-0.263827	-0.092845	-0.064909	-0.173028
Superscaffold1	26013767	26332177	-0.242106	-0.078913	-0.048509	-0.149288
Superscaffold1	26332369	26908175	0.068571	0.011944	0.008614	0.043671
Superscaffold1	26908204	27347834	0.147944	0.036104	0.021243	0.111074
Superscaffold1	27347835	27801754	0.042268	0.013793	0.008706	0.024059
Superscaffold1	27801802	27992468	-0.367865	-0.305209	-0.132225	-0.191639
Superscaffold1	27992708	28259520	0.040194	0.016607	0.010663	0.027847
Superscaffold1	28259526	28702855	-0.069604	-0.021009	-0.015062	-0.042025
Superscaffold1	28702880	29098161	-0.350832	-0.117833	-0.076552	-0.261543
Superscaffold1	29098394	29469825	-0.035467	-0.010645	-0.007030	-0.027156
Superscaffold1	29470058	29834319	-0.484547	-0.224033	-0.118030	-0.355971
Superscaffold1	29834368	30239128	-0.457996	-0.202961	-0.128830	-0.337991
Superscaffold1	30239841	30934188	-0.002359	-0.000557	-0.000385	-0.003393
