chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55618	64180	-0.260985	-0.103686	-0.081732	-0.210918
Chr01	64213	70673	0.924519	0.423651	0.384965	0.791690
Chr01	70722	75973	0.154003	0.073568	0.057804	0.136527
Chr01	76459	82241	-0.575533	-0.431485	-0.263948	-0.491119
Chr01	82244	131155	-0.351766	-0.291615	-0.143300	-0.236424
Chr01	131156	149904	-0.471567	-0.508404	-0.197141	-0.262430
Chr01	149939	153474	-0.596204	-1.712675	-0.334111	-0.272017
Chr01	153475	166314	-0.277499	-0.396061	-0.155425	-0.145152
Chr01	166322	181584	0.048956	0.060662	0.029971	0.028960
Chr01	181638	185206	0.363546	0.423374	0.273782	0.185986
Chr01	185214	188869	0.368425	0.392625	0.229111	0.160589
Chr01	188941	193661	0.193249	0.268071	0.158853	0.088481
Chr01	193675	203381	0.229039	0.239846	0.166622	0.135753
Chr01	203401	206568	-0.039899	-0.038024	-0.021013	-0.067022
Chr01	206602	209490	-0.048344	-0.046352	-0.027881	-0.037267
Chr01	209497	212706	0.028920	0.021900	0.014554	0.010504
Chr01	212744	216250	-0.075456	-0.052692	-0.035900	-0.050122
Chr01	216252	218126	-0.101472	-0.100419	-0.060446	-0.065965
Chr01	218128	220185	-0.078541	-0.066458	-0.039933	-0.067470
Chr01	220230	223611	0.049614	0.037847	0.026784	0.019584
Chr01	223678	227273	0.134704	0.126243	0.076607	0.044381
Chr01	227294	231538	0.198985	0.162032	0.112806	0.055256
Chr01	231686	235831	-0.081259	-0.074718	-0.046856	-0.040916
Chr01	235835	239590	-0.082501	-0.094265	-0.052752	-0.041399
Chr01	239679	247242	0.133319	0.076175	0.051275	0.046315
Chr01	247259	249970	0.109638	0.107639	0.072892	0.040910
Chr01	250011	252911	0.253888	0.236217	0.156869	0.101239
Chr01	252920	255474	-0.128190	-0.332707	-0.127043	-0.053011
Chr01	255502	258196	-0.246328	-0.411767	-0.171441	-0.126797
Chr01	258211	261800	-0.134307	-0.166194	-0.083386	-0.061999
Chr01	261802	263913	-0.086475	-0.197280	-0.068346	-0.039268
Chr01	263920	268288	-0.306013	-0.618521	-0.241174	-0.155874
Chr01	268350	270651	0.243599	0.263919	0.160245	0.098288
Chr01	270664	275135	0.068748	0.064845	0.027617	0.041909
Chr01	275159	276632	0.093449	0.081161	0.045310	0.045162
Chr01	276681	286654	0.004238	0.003607	0.002071	0.007276
Chr01	286668	306694	0.297953	0.234399	0.119857	0.201827
Chr01	306706	311424	0.356304	0.320357	0.244320	0.287072
Chr01	311455	316653	0.062037	0.105637	0.044659	0.046777
Chr01	316713	321919	0.108069	0.197578	0.081548	0.055945
Chr01	321922	333294	0.006619	0.003899	0.002138	-0.019227
Chr01	333656	343535	0.095418	0.047468	0.030740	0.019361
Chr01	343563	351343	-0.037319	-0.027246	-0.021186	-0.021088
Chr01	351355	359891	0.509716	0.281493	0.214408	0.318554
Chr01	359929	383713	0.614498	0.259584	0.183179	0.498442
Chr01	383718	389704	0.123598	0.158991	0.091794	0.075445
Chr01	389711	394512	0.092628	0.086780	0.061400	0.037286
