chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	85486	147377	0.402668	0.187186	0.120922	0.215184
Chr01	147455	156106	0.328118	0.092202	0.073513	0.158261
Chr01	156122	169055	0.206728	0.081029	0.061727	0.132039
Chr01	180733	185202	-0.144009	-0.224703	-0.109595	-0.057173
Chr01	185206	189910	0.197817	0.173377	0.120108	0.118998
Chr01	190092	203510	0.083016	0.047537	0.035645	0.042465
Chr01	203545	208305	-0.364061	-0.195397	-0.132184	-0.286456
Chr01	208309	213591	-0.234192	-0.114642	-0.083059	-0.161328
Chr01	213607	217426	-0.345294	-0.182855	-0.131737	-0.244154
Chr01	217441	220085	-0.423480	-0.255589	-0.172956	-0.312074
Chr01	220120	225811	0.056800	0.038312	0.027627	0.031345
Chr01	225848	233356	0.050124	0.046790	0.033144	0.037618
Chr01	233379	238646	-0.266124	-0.309614	-0.154594	-0.185592
Chr01	238654	248022	0.076826	0.029895	0.022971	0.054738
Chr01	248104	253710	0.301884	0.168290	0.130443	0.230570
Chr01	253714	274018	-0.589024	-0.502114	-0.246906	-0.513421
Chr01	274028	277173	-0.038206	-0.030254	-0.019157	-0.013434
Chr01	277471	289090	-0.209529	-0.160839	-0.096252	-0.124826
Chr01	289106	311424	0.110006	0.044799	0.033594	0.091193
Chr01	311455	319425	0.269443	0.196280	0.110866	0.129961
Chr01	319447	338583	0.151209	0.068748	0.046808	0.076784
Chr01	338789	351545	-0.075045	-0.059928	-0.035946	-0.029045
Chr01	351556	368299	0.779934	0.373741	0.283788	0.542353
Chr01	369241	389711	0.287328	0.122960	0.092369	0.166986
Chr01	389718	401188	0.428889	0.224497	0.170273	0.220329
Chr01	401231	417073	0.262228	0.056497	0.044431	0.096403
Chr01	417080	431078	0.242727	0.066152	0.050149	0.127391
Chr01	431140	447031	0.619809	0.276145	0.181714	0.427127
Chr01	447198	465506	0.387600	0.115156	0.087582	0.253695
Chr01	465508	483075	-0.519575	-0.248735	-0.136379	-0.404765
Chr01	483434	499288	-0.407008	-0.122553	-0.078201	-0.303699
Chr01	499856	516531	-0.474899	-0.228351	-0.143172	-0.438275
Chr01	516556	529861	0.229490	0.101266	0.069820	0.201086
Chr01	530023	564516	0.283303	0.058225	0.039467	0.173303
Chr01	564527	577476	0.448853	0.113866	0.094293	0.383324
Chr01	577490	596954	0.693928	0.233896	0.195944	0.634506
Chr01	596969	617455	0.772711	0.316056	0.257196	0.632694
Chr01	617459	634441	0.433109	0.137586	0.110040	0.243862
Chr01	635508	655296	0.302027	0.075831	0.060162	0.135334
Chr01	655498	670509	0.311758	0.087413	0.072113	0.217874
Chr01	670639	701234	0.030445	0.018314	0.009619	0.043181
Chr01	701313	765239	-0.552332	-0.330460	-0.177225	-0.357999
Chr01	765942	818135	0.124875	0.067161	0.044831	0.073507
Chr01	818179	847371	-0.473024	-0.152366	-0.087758	-0.395186
Chr01	847669	864712	-0.338383	-0.181178	-0.075639	-0.230922
Chr01	864781	880901	0.101328	0.067626	0.038935	0.053251
Chr01	881134	904801	0.163609	0.056756	0.038144	0.080496
Chr01	904864	925554	0.529260	0.277572	0.222951	0.434886
Chr01	925673	933164	-0.633602	-0.369829	-0.222199	-0.476106
Chr01	933174	948515	-0.142954	-0.054649	-0.034524	-0.078119
Chr01	948552	983763	0.142175	0.043150	0.025619	0.129988
Chr01	984073	1015432	-0.302631	-0.036938	-0.027997	-0.138444
Chr01	1015442	1030687	0.037176	0.003571	0.003080	0.009707
Chr01	1030715	1048994	-0.041250	-0.004087	-0.003317	-0.016680
Chr01	1049235	1070660	-0.547907	-0.070794	-0.049631	-0.312047
Chr01	1070673	1100437	-0.436141	-0.058089	-0.039165	-0.373603
Chr01	1102914	1119831	-0.645338	-0.200245	-0.113834	-0.530794
Chr01	1119837	1142159	-0.364497	-0.115396	-0.079048	-0.273290
Chr01	1142230	1151415	-0.073438	-0.019180	-0.014309	-0.029781
Chr01	1151467	1162450	-0.447020	-0.132744	-0.091011	-0.399424
Chr01	1162458	1173748	0.605088	0.141984	0.114446	0.589572
Chr01	1173834	1186091	0.593463	0.197537	0.137752	0.420961
Chr01	1186138	1209894	-0.105452	-0.032743	-0.017265	-0.103690
Chr01	1209961	1255262	0.223263	0.063730	0.032272	0.225507
Chr01	1255588	1293974	-0.372561	-0.086238	-0.051921	-0.312166
Chr01	1294907	1313277	-0.312167	-0.220677	-0.114160	-0.293560
Chr01	1313302	1336052	-0.180832	-0.037593	-0.025124	-0.147441
Chr01	1336218	1375463	-0.158847	-0.040748	-0.030280	-0.097082
Chr01	1375532	1393236	-0.688526	-0.320611	-0.197865	-0.456477
Chr01	1393340	1410605	-0.586592	-0.220264	-0.151828	-0.493180
Chr01	1410622	1435851	-0.234015	-0.188375	-0.095751	-0.196759
Chr01	1435862	1452404	0.638173	0.317115	0.209977	0.560214
