chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	568409	804165	0.122575	0.085122	0.054907	0.075614
Superscaffold1	804348	1133962	0.173610	0.130562	0.070877	0.115927
Superscaffold1	1134004	1443920	0.099108	0.034715	0.023271	0.061533
Superscaffold1	1443926	1881071	-0.221371	-0.101421	-0.057839	-0.148285
Superscaffold1	1881180	2229183	0.124634	0.039446	0.021085	0.085101
Superscaffold1	2229184	2428053	0.013521	0.008617	0.005064	0.007036
Superscaffold1	2428364	2602719	0.149765	0.163991	0.091305	0.087257
Superscaffold1	2602752	2767328	-0.060776	-0.078934	-0.036636	-0.032144
Superscaffold1	2767414	2938677	-0.340342	-0.385224	-0.175995	-0.229112
Superscaffold1	2938680	3112011	0.011841	0.013464	0.006063	0.003199
Superscaffold1	3112012	3419601	0.076575	0.042455	0.022492	0.041427
Superscaffold1	3419613	3739282	-0.159144	-0.079970	-0.044455	-0.091112
Superscaffold1	3739293	4056856	-0.119321	-0.063708	-0.032261	-0.069205
Superscaffold1	4057089	4342214	0.141500	0.094616	0.053686	0.097780
Superscaffold1	4342348	4608432	0.204485	0.133417	0.069332	0.119004
Superscaffold1	4608548	4880963	-0.051740	-0.031770	-0.019081	-0.029574
Superscaffold1	4880977	5282546	-0.020819	-0.008650	-0.005340	-0.015679
Superscaffold1	5282884	5677226	0.015647	0.005081	0.003513	0.009317
Superscaffold1	5677289	6020489	0.134548	0.055223	0.035593	0.085197
Superscaffold1	6020612	6343137	0.105415	0.048166	0.027500	0.060209
Superscaffold1	6343144	6690629	0.080726	0.045689	0.028267	0.058615
Superscaffold1	6690696	7152647	-0.108596	-0.044391	-0.024865	-0.072641
Superscaffold1	7152663	7479274	0.074189	0.035671	0.019605	0.046325
Superscaffold1	7479296	7978133	-0.065426	-0.015222	-0.010533	-0.036035
Superscaffold1	7978433	8573282	0.168465	0.084760	0.044472	0.112904
Superscaffold1	8573294	9616550	0.074179	0.032355	0.019410	0.040847
Superscaffold1	9625810	10557684	0.024553	0.011976	0.007215	0.013970
Superscaffold1	10557732	10831349	0.053004	0.027282	0.017403	0.033544
Superscaffold1	10831394	11124722	-0.117340	-0.057085	-0.031417	-0.062076
Superscaffold1	11124917	11432534	-0.240898	-0.112217	-0.065886	-0.163105
Superscaffold1	11432558	11749036	-0.350149	-0.159921	-0.091408	-0.259815
Superscaffold1	11749038	12109688	-0.023176	-0.010972	-0.007205	-0.010151
Superscaffold1	12109771	12354960	-0.235024	-0.215914	-0.096124	-0.154083
Superscaffold1	12354999	12594505	0.012470	0.010423	0.005920	0.004518
Superscaffold1	12594578	12917142	-0.073225	-0.033338	-0.016778	-0.046317
Superscaffold1	12917145	13386188	-0.165529	-0.058001	-0.033364	-0.130056
Superscaffold1	13386430	14019338	-0.105360	-0.025191	-0.015023	-0.075885
Superscaffold1	14019670	14556156	-0.030549	-0.011997	-0.006894	-0.020671
Superscaffold1	14556364	14872744	-0.025338	-0.010604	-0.006317	-0.016087
Superscaffold1	14872767	15264082	-0.135209	-0.037050	-0.026140	-0.107270
Superscaffold1	15264206	15627363	-0.278538	-0.091457	-0.056979	-0.201680
Superscaffold1	15627381	15964011	-0.244941	-0.095669	-0.053247	-0.166625
Superscaffold1	15964149	16254868	-0.114063	-0.052234	-0.026894	-0.068532
Superscaffold1	16254957	16670264	-0.111712	-0.046021	-0.026940	-0.068674
Superscaffold1	16670268	17014407	0.072436	0.032951	0.020048	0.051618
Superscaffold1	17014585	17342150	0.267592	0.141709	0.077406	0.172946
Superscaffold1	17342164	18019502	0.028982	0.011376	0.006210	0.019759
Superscaffold1	18019553	18344571	-0.285209	-0.386946	-0.123908	-0.124817
Superscaffold1	18344591	18714761	-0.131904	-0.067027	-0.034351	-0.075746
Superscaffold1	18716518	19091416	-0.092913	-0.046729	-0.028188	-0.059601
Superscaffold1	19091445	19427582	-0.075958	-0.041576	-0.026594	-0.055504
Superscaffold1	19427675	19764036	0.339216	0.179243	0.122922	0.258347
Superscaffold1	19764140	20031873	-0.062332	-0.029948	-0.018416	-0.038747
Superscaffold1	20031887	20445542	0.198726	0.074927	0.046850	0.139112
Superscaffold1	20445826	21096584	-0.207008	-0.100879	-0.048194	-0.136128
Superscaffold1	21096729	21402922	0.162834	0.065931	0.037946	0.105630
Superscaffold1	21402932	21724141	-0.085092	-0.040864	-0.021587	-0.052392
Superscaffold1	21724225	22103610	0.132020	0.069623	0.038227	0.078595
Superscaffold1	22103829	22619337	0.109192	0.026850	0.016806	0.075861
Superscaffold1	22619618	23111311	0.448593	0.141278	0.086435	0.347291
Superscaffold1	23111367	23537753	0.040957	0.012066	0.006719	0.034366
Superscaffold1	23537774	23891871	-0.140756	-0.057358	-0.030043	-0.083696
Superscaffold1	23892094	24311095	-0.112286	-0.038883	-0.024403	-0.067311
Superscaffold1	24311107	24669272	0.103864	0.036238	0.023139	0.074565
Superscaffold1	24669312	25076114	0.089251	0.030283	0.017459	0.063285
Superscaffold1	25076197	25476596	-0.291345	-0.097826	-0.060350	-0.182500
Superscaffold1	25476597	25817681	-0.067653	-0.029188	-0.017872	-0.048238
Superscaffold1	25817684	26192281	-0.251595	-0.101381	-0.060321	-0.185291
Superscaffold1	26192292	26416293	-0.022823	-0.011332	-0.005707	-0.015232
Superscaffold1	26416379	26933875	-0.004098	-0.000905	-0.000596	-0.002757
Superscaffold1	26933967	27305733	-0.340866	-0.110016	-0.057999	-0.236092
Superscaffold1	27305775	27656221	-0.007071	-0.002951	-0.001686	-0.010355
Superscaffold1	27656279	27907268	-0.103815	-0.100390	-0.046477	-0.055355
Superscaffold1	27907283	28099100	-0.174031	-0.119280	-0.062220	-0.094008
Superscaffold1	28099206	28384020	0.142978	0.083556	0.046137	0.067895
Superscaffold1	28384059	28921180	-0.138458	-0.033016	-0.025507	-0.094231
Superscaffold1	28921183	29326434	0.062976	0.016367	0.009848	0.040851
Superscaffold1	29326444	29642397	-0.023269	-0.011928	-0.006619	-0.019207
Superscaffold1	29642428	29922178	-0.158401	-0.086910	-0.036681	-0.112297
Superscaffold1	29922207	30217703	-0.028155	-0.018916	-0.010331	-0.012621
