chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	568869	783127	0.152317	0.112378	0.072873	0.096304
Superscaffold1	783130	1070119	0.286851	0.207902	0.116516	0.149677
Superscaffold1	1070127	1358554	0.198118	0.087899	0.057834	0.118762
Superscaffold1	1358567	1644670	0.208442	0.085022	0.056025	0.144116
Superscaffold1	1645659	2101931	0.083096	0.029618	0.015195	0.057047
Superscaffold1	2101982	2370910	0.021687	0.010562	0.006267	0.014499
Superscaffold1	2371004	2535817	0.050299	0.048803	0.027538	0.021053
Superscaffold1	2535876	2704447	0.005978	0.006823	0.003178	0.005574
Superscaffold1	2704449	2845806	-0.052093	-0.057467	-0.027395	-0.031231
Superscaffold1	2845828	3069681	-0.302789	-0.436489	-0.172454	-0.185786
Superscaffold1	3069688	3270616	0.129102	0.130692	0.059101	0.072330
Superscaffold1	3270852	3608737	0.010249	0.004867	0.002844	0.012293
Superscaffold1	3608743	3972455	0.043153	0.022382	0.011837	0.024100
Superscaffold1	3972456	4347337	0.018552	0.009862	0.005795	0.017691
Superscaffold1	4347508	4638884	0.171102	0.104944	0.055863	0.099331
Superscaffold1	4639014	4907395	-0.098341	-0.062130	-0.037426	-0.059041
Superscaffold1	4907429	5365626	-0.022344	-0.008090	-0.005186	-0.016429
Superscaffold1	5365756	5725694	0.199543	0.068988	0.047325	0.131904
Superscaffold1	5725734	6105804	0.114039	0.045358	0.029205	0.068935
Superscaffold1	6105900	6409635	0.061933	0.027608	0.016113	0.035078
Superscaffold1	6409652	6785189	-0.007079	-0.003454	-0.002206	-0.004198
Superscaffold1	6785312	7251399	0.057085	0.020916	0.012097	0.039681
Superscaffold1	7251510	7576031	0.023163	0.012832	0.006819	0.014894
Superscaffold1	7581071	8413255	0.060403	0.013147	0.009202	0.037489
Superscaffold1	8413422	9014326	0.107174	0.050276	0.029457	0.056745
Superscaffold1	9015198	10283001	0.068193	0.024523	0.015852	0.042281
Superscaffold1	10283023	10755276	-0.044369	-0.023743	-0.014493	-0.025321
Superscaffold1	10755412	10990000	0.110018	0.070343	0.038025	0.066043
Superscaffold1	10990146	11355300	-0.160206	-0.058167	-0.037257	-0.107782
Superscaffold1	11355302	11634955	-0.445563	-0.241928	-0.137206	-0.327824
Superscaffold1	11635081	12058451	-0.096230	-0.037224	-0.024321	-0.066440
Superscaffold1	12058489	12319152	-0.164831	-0.135473	-0.065963	-0.107825
Superscaffold1	12319291	12576926	-0.021876	-0.020015	-0.011248	-0.017563
Superscaffold1	12576945	12915722	-0.029718	-0.012292	-0.006551	-0.017056
Superscaffold1	12915740	13410148	-0.153927	-0.049451	-0.028622	-0.119044
Superscaffold1	13410172	14140035	0.046991	0.011387	0.006942	0.030216
Superscaffold1	14140076	14623668	-0.018979	-0.007250	-0.004229	-0.014172
Superscaffold1	14624669	14907576	0.143533	0.062853	0.037479	0.099198
Superscaffold1	14907579	15355160	-0.260712	-0.069628	-0.047747	-0.210927
Superscaffold1	15355564	15691969	-0.151036	-0.046452	-0.029918	-0.106827
Superscaffold1	15692052	16041407	-0.139376	-0.055322	-0.031263	-0.090164
Superscaffold1	16041440	16379218	-0.216184	-0.081717	-0.045265	-0.137753
Superscaffold1	16379268	16714953	0.001603	0.000916	0.000518	0.000414
Superscaffold1	16715453	17054446	-0.129031	-0.061318	-0.036535	-0.082130
Superscaffold1	17054450	17424902	0.232082	0.111011	0.060230	0.148771
Superscaffold1	17425265	18154849	-0.047190	-0.021142	-0.011162	-0.027629
Superscaffold1	18154858	18389199	-0.104166	-0.109948	-0.046599	-0.048283
Superscaffold1	18389222	18942365	-0.001190	-0.000443	-0.000247	0.003919
Superscaffold1	18942380	19152901	-0.184811	-0.099091	-0.064975	-0.128649
Superscaffold1	19152934	19613860	0.247837	0.122206	0.086065	0.193854
Superscaffold1	19616327	19917743	-0.058732	-0.028108	-0.017802	-0.036176
Superscaffold1	19917899	20270867	0.061865	0.019903	0.012396	0.036692
Superscaffold1	20271161	20863956	0.143938	0.069153	0.036888	0.098784
Superscaffold1	20864902	21268526	-0.098365	-0.041341	-0.024181	-0.069296
Superscaffold1	21268557	21597237	-0.085105	-0.038290	-0.019571	-0.049864
Superscaffold1	21597241	21991150	0.059553	0.028769	0.016493	0.034773
Superscaffold1	21991159	22446309	0.240554	0.069379	0.044612	0.170898
Superscaffold1	22446392	22940296	0.461258	0.157216	0.093088	0.352891
Superscaffold1	22940352	23429576	0.107890	0.027373	0.016122	0.081076
Superscaffold1	23429626	23803260	-0.190953	-0.078072	-0.040952	-0.136432
Superscaffold1	23803261	24289161	-0.008214	-0.002399	-0.001531	-0.006383
Superscaffold1	24289165	24658495	0.064549	0.024260	0.015286	0.044503
Superscaffold1	24658506	25057628	0.106998	0.034650	0.020954	0.075384
Superscaffold1	25057630	25458721	-0.249581	-0.086442	-0.052026	-0.156869
Superscaffold1	25458742	25800455	0.006517	0.002735	0.001727	0.002300
Superscaffold1	25800572	26189750	-0.165327	-0.068657	-0.040706	-0.116136
Superscaffold1	26189752	26447045	-0.035640	-0.016720	-0.008695	-0.022642
Superscaffold1	26447060	26977747	-0.059141	-0.012579	-0.008011	-0.037310
Superscaffold1	26978314	27348102	-0.213528	-0.079216	-0.040836	-0.134495
Superscaffold1	27348159	27689011	-0.131596	-0.058025	-0.032156	-0.092289
Superscaffold1	27689086	27926719	-0.247467	-0.272173	-0.116946	-0.144755
Superscaffold1	27927436	28147341	0.090425	0.044804	0.027996	0.043748
Superscaffold1	28147376	28537457	0.109770	0.049975	0.029846	0.060041
Superscaffold1	28537587	29007097	-0.175110	-0.048013	-0.032888	-0.116852
Superscaffold1	29009897	29380044	0.080289	0.024088	0.014703	0.050359
Superscaffold1	29380969	29697270	-0.087031	-0.040736	-0.022248	-0.058069
Superscaffold1	29697611	29991603	-0.120892	-0.063283	-0.029345	-0.087846
Superscaffold1	29991639	30312763	0.083260	0.045979	0.026751	0.033965
Superscaffold1	30312858	31031386	0.050475	0.016967	0.009423	0.028883
Superscaffold1	31031389	31429386	-0.169121	-0.062090	-0.034400	-0.118799
Superscaffold1	31429514	32293596	0.052401	0.016657	0.009329	0.030398
Superscaffold1	32293638	32621646	0.286830	0.133590	0.077872	0.190533
Superscaffold1	32622141	32966079	0.041185	0.016569	0.009779	0.028739
Superscaffold1	32966089	33385016	-0.195814	-0.088456	-0.051402	-0.128289
Superscaffold1	33385036	33593537	0.059303	0.031840	0.021295	0.036938
Superscaffold1	33593631	33863599	-0.139276	-0.097392	-0.055427	-0.083680
Superscaffold1	33863831	34124370	-0.218840	-0.086519	-0.052131	-0.160012
Superscaffold1	34124543	34386496	-0.176892	-0.067873	-0.040727	-0.108252
Superscaffold1	34387033	35026604	-0.008782	-0.001763	-0.001206	-0.007091
Superscaffold1	35026781	35840554	-0.092429	-0.037507	-0.023026	-0.054774
Superscaffold1	35840746	36743618	0.101404	0.034399	0.022038	0.064023
Superscaffold1	36744558	37160888	0.244378	0.087213	0.056419	0.146943
Superscaffold1	37160894	37535287	0.204538	0.070952	0.043657	0.136063
Superscaffold1	37535597	38060349	0.127580	0.060621	0.034960	0.073723
Superscaffold1	38060538	38490095	-0.061693	-0.018208	-0.011544	-0.036710
Superscaffold1	38490181	38872046	0.091842	0.029505	0.019247	0.058836
Superscaffold1	38872059	39117262	-0.031632	-0.013340	-0.007701	-0.023400
Superscaffold1	39117264	39575911	-0.148978	-0.055887	-0.031130	-0.120764
Superscaffold1	39575914	39920019	0.021673	0.006785	0.004199	0.022855
Superscaffold1	39920080	40290192	0.107761	0.033743	0.021724	0.074934
Superscaffold1	40290199	40740621	-0.145695	-0.045940	-0.027953	-0.089636
Superscaffold1	40740724	41259551	0.075398	0.021165	0.011867	0.049379
Superscaffold1	41259632	41684509	-0.071406	-0.024436	-0.014834	-0.053067
Superscaffold1	41684559	42081177	0.181086	0.036932	0.022419	0.153188
Superscaffold1	42081259	42873529	0.137422	0.015830	0.011606	0.119797
Superscaffold1	42873556	43606891	0.219476	0.029028	0.018711	0.186035
Superscaffold1	43607009	43947332	-0.023236	-0.006611	-0.003859	-0.019317
Superscaffold1	43947337	44436463	0.190544	0.075491	0.033819	0.152338
Superscaffold1	44436616	45106097	-0.141550	-0.023676	-0.015175	-0.089512
Superscaffold1	45106107	45678169	-0.219230	-0.058811	-0.036666	-0.176672
Superscaffold1	45679804	46086098	-0.840701	-0.531421	-0.228087	-0.787599
Superscaffold1	46086550	46967964	0.000200	0.000041	0.000023	0.003606
Superscaffold1	46967965	47813304	-0.003924	-0.000697	-0.000429	0.005774
Superscaffold1	47813395	48379482	0.087893	0.014616	0.009033	0.064560
Superscaffold1	48379500	48786246	-0.002028	-0.000458	-0.000236	0.001313
Superscaffold1	48787606	49303923	-0.112813	-0.023779	-0.014488	-0.074464
Superscaffold1	49303992	49701111	0.032513	0.006054	0.003865	0.015578
Superscaffold1	49701483	50059019	-0.340460	-0.169237	-0.081348	-0.308074
Superscaffold1	50059023	50349745	-0.144174	-0.072631	-0.038638	-0.114030
Superscaffold1	50349769	50868947	0.007706	0.003206	0.002232	0.004859
Superscaffold1	50868980	51154199	0.190568	0.159256	0.086921	0.107655
Superscaffold2	95071	423143	-0.154793	-0.074980	-0.042720	-0.059152
Superscaffold2	423169	697125	0.139883	0.075491	0.041689	0.063443
Superscaffold2	697147	987549	0.179076	0.092498	0.053286	0.104060
Superscaffold2	987698	1334423	0.086277	0.030053	0.018452	0.037629
Superscaffold2	1334483	1643017	0.071497	0.037396	0.022600	0.028685
Superscaffold2	1643342	2049457	0.065856	0.017481	0.010872	0.041978
Superscaffold2	2052346	2463492	0.014440	0.004246	0.002802	0.006382
Superscaffold2	2463573	3244948	0.208578	0.099325	0.063324	0.130066
Superscaffold2	3244982	3642327	-0.141261	-0.076664	-0.041147	-0.091444
Superscaffold2	3642363	4134368	-0.052998	-0.020850	-0.010936	-0.037986
Superscaffold2	4134483	4548955	-0.113075	-0.044225	-0.024619	-0.077554
Superscaffold2	4549262	4889052	0.113198	0.045371	0.026172	0.074561
Superscaffold2	4889081	5316033	0.128180	0.050916	0.031665	0.074090
Superscaffold2	5317965	5646820	0.331113	0.143433	0.083286	0.214758
Superscaffold2	5646971	6126637	0.424852	0.205786	0.099391	0.303977
Superscaffold2	6126662	6605874	-0.000382	-0.000105	-0.000068	0.001082
Superscaffold2	6605885	7290556	0.007862	0.002253	0.001313	0.008508
Superscaffold2	7290570	7713869	-0.206725	-0.066704	-0.039076	-0.141170
Superscaffold2	7713975	8208949	-0.105411	-0.033278	-0.020209	-0.071785
Superscaffold2	8209060	8971651	-0.090773	-0.023316	-0.015011	-0.057678
Superscaffold2	8971876	9579069	0.220089	0.072202	0.043742	0.153178
Superscaffold2	9579525	10089879	-0.011029	-0.003220	-0.001945	-0.007751
Superscaffold2	10089959	10591608	-0.127645	-0.043487	-0.026981	-0.087688
Superscaffold2	10591626	10952028	-0.117533	-0.046145	-0.026811	-0.072272
Superscaffold2	10952050	11312473	0.049499	0.017518	0.010009	0.029749
Superscaffold2	11312515	11694126	0.107097	0.034688	0.019552	0.060478
Superscaffold2	11694169	12793981	0.206947	0.089604	0.044969	0.135255
Superscaffold2	12793999	13229425	0.024801	0.010424	0.005698	0.018090
Superscaffold2	13229448	13694575	0.110295	0.036856	0.019088	0.089147
Superscaffold2	13695283	14054636	0.372525	0.163610	0.100478	0.270662
Superscaffold2	14054653	14355071	-0.102459	-0.063268	-0.028919	-0.070179
Superscaffold2	14355376	14856532	0.044321	0.015776	0.008522	0.034172
Superscaffold2	14856566	15246175	-0.076386	-0.027814	-0.014831	-0.056168
Superscaffold2	15248862	16453545	-0.058272	-0.020009	-0.012227	-0.037639
Superscaffold2	16453892	16747956	0.059663	0.036314	0.019637	0.032152
Superscaffold2	16747972	17234794	-0.018802	-0.007364	-0.004202	-0.008175
Superscaffold2	17234800	17708996	0.009081	0.003369	0.002009	0.007298
Superscaffold2	17709124	18160118	0.099328	0.030775	0.016621	0.065199
Superscaffold2	18160373	18567077	-0.361916	-0.139234	-0.071269	-0.286586
Superscaffold2	18567099	19200788	-0.156424	-0.035922	-0.020296	-0.104101
Superscaffold2	19200790	19628329	-0.059419	-0.024211	-0.013252	-0.035068
Superscaffold2	19628463	19895033	-0.047547	-0.040813	-0.021125	-0.042030
Superscaffold2	19895116	20266023	0.000145	0.000038	0.000022	-0.005984
Superscaffold2	20266113	20712261	0.015311	0.005087	0.002569	0.010518
Superscaffold2	20712268	21247905	0.113278	0.034523	0.022298	0.068577
Superscaffold2	21248363	21807014	0.061456	0.014918	0.009297	0.056024
Superscaffold2	21807027	22261864	-0.147964	-0.042861	-0.023241	-0.094705
Superscaffold2	22268443	22690024	0.003483	0.001586	0.000930	0.009638
Superscaffold2	22690039	23131083	-0.077851	-0.022752	-0.014436	-0.046910
Superscaffold2	23131117	23534057	0.259000	0.077820	0.043293	0.188745
Superscaffold2	23534137	23931860	0.089800	0.029083	0.016196	0.061069
Superscaffold2	23932147	24331944	-0.181018	-0.067299	-0.034541	-0.119707
Superscaffold2	24332115	24643053	-0.211010	-0.085189	-0.045018	-0.144065
Superscaffold2	24643108	25130067	-0.159195	-0.061884	-0.032550	-0.130303
Superscaffold2	25130170	25513003	0.045733	0.018770	0.010504	0.033574
Superscaffold2	25513659	26026106	0.127668	0.031977	0.020043	0.090606
Superscaffold2	26026170	26395136	0.236909	0.101228	0.059923	0.204772
Superscaffold2	26395349	26912911	0.034601	0.009899	0.005987	0.028649
Superscaffold2	26913000	27302500	-0.215333	-0.097297	-0.053029	-0.143175
Superscaffold2	27302526	27664883	-0.102774	-0.031475	-0.020471	-0.060362
Superscaffold2	27664988	28739173	0.189349	0.072238	0.046281	0.122909
Superscaffold2	28739357	28986143	-0.033881	-0.016013	-0.007984	-0.017232
Superscaffold2	28986147	29309895	-0.171759	-0.081059	-0.038831	-0.111259
