chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	588397	879639	-0.332849	-0.236824	-0.120948	-0.190082
Superscaffold1	879690	1301974	-0.164306	-0.091577	-0.052523	-0.108276
Superscaffold1	1301977	1540797	-0.264879	-0.149603	-0.085964	-0.200501
Superscaffold1	1541853	1994096	-0.072810	-0.031588	-0.016976	-0.053834
Superscaffold1	1994102	2307412	0.010147	0.004205	0.002214	0.008724
Superscaffold1	2307453	2547927	0.040014	0.024991	0.015743	0.022514
Superscaffold1	2547941	2791023	0.051263	0.031889	0.020121	0.034519
Superscaffold1	2791029	3069266	-0.032365	-0.020324	-0.010580	-0.020697
Superscaffold1	3069275	3467832	0.059569	0.021603	0.013865	0.034695
Superscaffold1	3467937	3877711	0.099651	0.040981	0.023398	0.058027
Superscaffold1	3877955	4316121	0.123063	0.060460	0.036541	0.096396
Superscaffold1	4316145	4665083	0.034364	0.019151	0.010686	0.026273
Superscaffold1	4665386	5098185	0.168467	0.077583	0.051059	0.104252
Superscaffold1	5098307	5580138	0.251402	0.088173	0.056410	0.169004
Superscaffold1	5580294	5826707	0.142781	0.092596	0.054439	0.078892
Superscaffold1	5826718	6197671	-0.021568	-0.011913	-0.007294	-0.012693
Superscaffold1	6197783	6622418	0.305482	0.117519	0.080428	0.217188
Superscaffold1	6622437	7103365	0.372204	0.142538	0.089028	0.279105
Superscaffold1	7103366	7369177	-0.084420	-0.042627	-0.025332	-0.051856
Superscaffold1	7369325	7763042	0.098513	0.059107	0.032583	0.052958
Superscaffold1	7763063	8408701	0.284676	0.134943	0.076493	0.161077
Superscaffold1	8408716	9175272	0.015755	0.006583	0.004125	0.009961
Superscaffold1	9175354	10252783	0.023579	0.008594	0.005764	0.017634
Superscaffold1	10253011	10777956	0.020186	0.008938	0.005896	0.006903
Superscaffold1	10778013	11135599	0.088754	0.042716	0.024320	0.060893
Superscaffold1	11135658	11496891	0.021922	0.008256	0.005363	0.021684
Superscaffold1	11496911	11879739	0.018040	0.007234	0.004314	0.010668
Superscaffold1	11879823	12337963	0.045551	0.015330	0.010100	0.028111
Superscaffold1	12338076	12669827	0.196539	0.105979	0.063029	0.128372
Superscaffold1	12670842	12987875	-0.098265	-0.060463	-0.029096	-0.065577
Superscaffold1	12988290	13358638	0.563170	0.291893	0.150774	0.364741
Superscaffold1	13358650	13838055	0.459090	0.213309	0.098896	0.242670
Superscaffold1	13838085	14445682	-0.011330	-0.003364	-0.002041	-0.009550
Superscaffold1	14446453	14821657	0.044158	0.019049	0.011301	0.029149
Superscaffold1	14821979	15090218	0.285905	0.123529	0.078771	0.144110
Superscaffold1	15090341	15352606	0.529044	0.237690	0.156259	0.408744
Superscaffold1	15352741	15599156	0.230656	0.122324	0.077355	0.146827
Superscaffold1	15599551	15913458	0.158585	0.075139	0.041186	0.106502
Superscaffold1	15913606	16211744	0.146455	0.061135	0.036557	0.092120
Superscaffold1	16211784	16596232	0.229475	0.091331	0.055327	0.174144
Superscaffold1	16597192	16866059	-0.003136	-0.002013	-0.001125	0.000567
Superscaffold1	16866121	17333035	0.063466	0.021841	0.013822	0.043525
Superscaffold1	17333315	17954653	0.186595	0.068360	0.041326	0.131281
Superscaffold1	17954806	18479187	0.201254	0.083312	0.045244	0.127686
Superscaffold1	18479418	18986132	-0.037607	-0.013421	-0.008689	-0.021414
Superscaffold1	18986133	19260959	-0.049404	-0.022636	-0.015536	-0.042815
Superscaffold1	19260971	19720013	0.238182	0.107375	0.073499	0.171707
Superscaffold1	19720036	20109212	0.149555	0.042147	0.029787	0.109967
Superscaffold1	20121165	20609778	0.299788	0.104783	0.068353	0.218347
Superscaffold1	20609944	21218342	0.433999	0.175966	0.106950	0.333783
Superscaffold1	21218355	21621286	0.120822	0.047107	0.026540	0.089452
Superscaffold1	21621390	22011829	-0.032119	-0.014196	-0.009075	-0.022126
Superscaffold1	22011838	22582503	0.013439	0.004100	0.002744	0.017308
Superscaffold1	22582679	22987525	-0.643219	-0.298851	-0.175812	-0.536413
Superscaffold1	22987541	23488381	0.378515	0.107894	0.063168	0.304572
Superscaffold1	23489118	23927674	0.040809	0.013403	0.008182	0.031056
Superscaffold1	23927707	24416765	0.036042	0.008267	0.005865	0.023005
