chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	524284	666294	0.265494	0.303423	0.208779	0.133068
Superscaffold1	666416	828914	0.003566	0.002075	0.001432	0.001759
Superscaffold1	828943	1124567	0.102089	0.091299	0.051859	0.051694
Superscaffold1	1125412	1321004	0.076557	0.045929	0.032354	0.030543
Superscaffold1	1321011	1500283	-0.008691	-0.008346	-0.004600	-0.004521
Superscaffold1	1500297	1804627	0.092172	0.073141	0.044034	0.039698
Superscaffold1	1804700	2109264	-0.119877	-0.050833	-0.028111	-0.056447
Superscaffold1	2109268	2309055	-0.047595	-0.030120	-0.020249	-0.018730
Superscaffold1	2309071	2451341	-0.037088	-0.031225	-0.018797	-0.018840
Superscaffold1	2451376	2613904	-0.134294	-0.124958	-0.069845	-0.077201
Superscaffold1	2613931	2768998	0.018177	0.024289	0.011959	0.008359
Superscaffold1	2769003	2877791	0.151975	0.218040	0.089269	0.068371
Superscaffold1	2877865	3059088	-0.199808	-0.266488	-0.103391	-0.096225
Superscaffold1	3059240	3195281	0.013399	0.016403	0.007739	0.004627
Superscaffold1	3195318	3407954	0.044109	0.039831	0.022532	0.016924
Superscaffold1	3407996	3659834	-0.003252	-0.002138	-0.001404	-0.001505
Superscaffold1	3660077	3873171	0.064128	0.065423	0.030621	0.024443
Superscaffold1	3873222	4108153	-0.101280	-0.067266	-0.036960	-0.031888
Superscaffold1	4108165	4357428	0.063841	0.053948	0.031522	0.041127
Superscaffold1	4357508	4554404	-0.095704	-0.070772	-0.043101	-0.041210
Superscaffold1	4554595	4772130	0.067261	0.076868	0.032663	0.033983
Superscaffold1	4772148	4915420	-0.063993	-0.056360	-0.036845	-0.026760
Superscaffold1	4915521	5193456	-0.168424	-0.122191	-0.070224	-0.093992
Superscaffold1	5193564	5373659	-0.270604	-0.293561	-0.148144	-0.150607
Superscaffold1	5373686	5602321	-0.246855	-0.234429	-0.119441	-0.138883
Superscaffold1	5602343	5755004	-0.029072	-0.034725	-0.018642	-0.014788
Superscaffold1	5755007	5989276	-0.150000	-0.100659	-0.062436	-0.078043
Superscaffold1	5989281	6241694	-0.241474	-0.163198	-0.092522	-0.115782
Superscaffold1	6241753	6404134	-0.120805	-0.093885	-0.052808	-0.053326
Superscaffold1	6404141	6660344	-0.194207	-0.118979	-0.073488	-0.100402
Superscaffold1	6660826	6886358	-0.296538	-0.146594	-0.097294	-0.144333
Superscaffold1	6886895	7214376	-0.301025	-0.184021	-0.108176	-0.149570
Superscaffold1	7214403	7494249	-0.022200	-0.012120	-0.007654	-0.013992
Superscaffold1	7494285	7763710	-0.070876	-0.073960	-0.037612	-0.030857
Superscaffold1	7763711	8293013	0.134567	0.104036	0.067834	0.054432
Superscaffold1	8293054	8653714	0.028140	0.019742	0.011570	0.012657
Superscaffold1	8653784	9488555	-0.006868	-0.004296	-0.002830	-0.008580
Superscaffold1	9488704	10100026	0.058794	0.044841	0.027626	0.030453
Superscaffold1	10100112	10585988	-0.006622	-0.005782	-0.003211	-0.007279
Superscaffold1	10586002	10775272	-0.076512	-0.066856	-0.040861	-0.033219
Superscaffold1	10775275	10983861	0.004146	0.003380	0.001720	0.000633
Superscaffold1	10983903	11188109	-0.134132	-0.075439	-0.052668	-0.051874
Superscaffold1	11188133	11449633	-0.040878	-0.022610	-0.015828	-0.016932
Superscaffold1	11449652	11645620	-0.128626	-0.054625	-0.039529	-0.036119
Superscaffold1	11645625	11876827	-0.195006	-0.217864	-0.103569	-0.088112
Superscaffold1	11876838	12060591	-0.237114	-0.159445	-0.103898	-0.114390
Superscaffold1	12061121	12305207	0.020898	0.013495	0.008190	0.010649
Superscaffold1	12305233	12496484	0.208096	0.253362	0.142241	0.113646
Superscaffold1	12496538	12809956	-0.034758	-0.015738	-0.010638	-0.018230
Superscaffold1	12810067	13123634	-0.013811	-0.004861	-0.003490	-0.007427
Superscaffold1	13123702	13626640	-0.316346	-0.109287	-0.074903	-0.189822
Superscaffold1	13626654	14017349	-0.187581	-0.079366	-0.051755	-0.081948
Superscaffold1	14018635	14507843	-0.098091	-0.050541	-0.031391	-0.048994
Superscaffold1	14507890	14772199	0.098865	0.055616	0.031762	0.047965
Superscaffold1	14772259	14975457	-0.093578	-0.071892	-0.040738	-0.046316
Superscaffold1	14975460	15185312	0.486959	0.382985	0.233056	0.370586
Superscaffold1	15185657	15430877	0.370976	0.250755	0.145030	0.266599
Superscaffold1	15431087	15667132	0.003212	0.001842	0.001094	0.001067
Superscaffold1	15667159	15879696	-0.309105	-0.167523	-0.089952	-0.146558
Superscaffold1	15879776	16066458	-0.122273	-0.100200	-0.046529	-0.059194
Superscaffold1	16066477	16315459	-0.389525	-0.267034	-0.130930	-0.205343
Superscaffold1	16315460	16565233	-0.087283	-0.062330	-0.034163	-0.043554
Superscaffold1	16565325	16763070	-0.044202	-0.052795	-0.027681	-0.021639
Superscaffold1	16763076	17037952	-0.032720	-0.028270	-0.016520	-0.013289
Superscaffold1	17038069	17313870	0.174510	0.126571	0.080652	0.082858
Superscaffold1	17313871	17781207	-0.130261	-0.054388	-0.038011	-0.068182
Superscaffold1	17781952	18285951	0.001192	0.001240	0.000573	-0.000870
Superscaffold1	18286007	18439893	-0.132534	-0.112413	-0.062320	-0.063852
Superscaffold1	18440073	18788359	-0.172446	-0.123358	-0.064017	-0.080180
Superscaffold1	18797318	19064849	-0.032118	-0.022311	-0.015680	-0.012612
Superscaffold1	19064876	19183552	0.014358	0.011593	0.007663	0.000314
Superscaffold1	19183563	19582325	-0.094357	-0.046458	-0.032573	-0.040348
Superscaffold1	19582334	19822091	-0.280986	-0.116567	-0.088634	-0.154094
Superscaffold1	19822099	20005486	-0.132522	-0.070228	-0.049145	-0.047900
Superscaffold1	20005487	20267165	-0.181133	-0.125502	-0.070664	-0.100374
Superscaffold1	20267166	20516652	0.032119	0.022290	0.012749	0.016207
Superscaffold1	20516656	21081528	-0.046475	-0.024725	-0.012741	-0.024075
Superscaffold1	21081545	21268614	-0.088297	-0.059080	-0.031191	-0.051898
Superscaffold1	21268646	21558903	-0.165252	-0.088376	-0.047658	-0.071229
Superscaffold1	21559101	21829365	-0.012191	-0.005864	-0.004099	-0.004251
Superscaffold1	21830121	22161326	0.164364	0.098883	0.061491	0.090871
Superscaffold1	22161497	22500547	-0.040550	-0.020406	-0.013110	-0.022910
Superscaffold1	22500553	23117786	0.065461	0.013523	0.010322	0.033760
Superscaffold1	23117813	23588667	0.286468	0.081717	0.053718	0.150484
Superscaffold1	23588748	23892131	-0.106701	-0.060174	-0.037090	-0.052488
Superscaffold1	23892150	24168453	-0.438702	-0.428713	-0.208787	-0.254971
Superscaffold1	24168544	24382851	-0.190243	-0.175371	-0.095229	-0.088308
Superscaffold1	24382876	24772863	0.048281	0.015479	0.011094	0.027263
Superscaffold1	24772890	25071539	0.127126	0.089038	0.049947	0.060468
Superscaffold1	25073721	25419775	-0.316851	-0.167054	-0.096902	-0.197240
Superscaffold1	25419972	25643905	-0.104156	-0.054998	-0.037669	-0.036457
Superscaffold1	25644442	25839145	-0.062794	-0.043982	-0.029492	-0.027761
Superscaffold1	25839165	26081961	-0.158771	-0.136277	-0.084691	-0.085037
Superscaffold1	26082019	26290338	-0.139842	-0.067712	-0.038143	-0.059243
Superscaffold1	26290448	26527984	-0.171639	-0.095240	-0.059222	-0.077428
Superscaffold1	26528097	26810566	-0.697732	-0.723873	-0.294062	-0.541908
Superscaffold1	26810645	27073382	-0.355343	-0.167373	-0.086300	-0.256982
Superscaffold1	27073587	27276347	-0.155570	-0.144569	-0.050235	-0.076944
Superscaffold1	27276376	27446394	-0.379827	-0.695282	-0.207197	-0.211408
Superscaffold1	27446893	27664114	-0.048289	-0.027869	-0.015614	-0.023954
Superscaffold1	27664124	27865544	0.054955	0.053190	0.028784	0.018412
Superscaffold1	27865588	28001331	-0.116886	-0.201836	-0.073830	-0.046250
Superscaffold1	28001354	28172914	-0.129659	-0.128490	-0.067848	-0.077956
Superscaffold1	28172945	28376731	0.072088	0.067225	0.036103	0.037185
Superscaffold1	28376766	28675822	-0.312583	-0.438202	-0.218747	-0.202798
Superscaffold1	28675935	28863828	-0.262277	-0.222067	-0.140596	-0.139785
Superscaffold1	28863953	29153243	-0.357058	-0.199192	-0.100732	-0.230538
Superscaffold1	29153310	29404847	-0.156947	-0.075734	-0.047756	-0.053577
Superscaffold1	29404895	29637802	0.053824	0.038240	0.022537	0.038651
Superscaffold1	29637974	29876448	-0.058820	-0.028957	-0.014705	-0.021215
Superscaffold1	29876677	30123929	-0.222914	-0.201953	-0.106996	-0.114823
Superscaffold1	30123953	30329016	-0.115315	-0.196495	-0.079708	-0.057225
Superscaffold1	30329291	30767451	-0.287819	-0.228030	-0.117298	-0.130179
Superscaffold1	30768136	30968302	-0.628431	-0.741762	-0.302784	-0.400317
Superscaffold1	30968335	31188459	-0.289823	-0.180513	-0.101963	-0.170159
Superscaffold1	31188571	31544101	-0.206045	-0.108259	-0.062560	-0.077481
Superscaffold1	31544473	31826054	-0.371395	-0.218660	-0.131310	-0.198086
Superscaffold1	31826100	32193588	0.099471	0.071927	0.047096	0.064608
Superscaffold1	32193644	32459935	0.013361	0.005831	0.004052	0.002967
Superscaffold1	32460206	32716953	0.441983	0.282484	0.183587	0.238777
Superscaffold1	32718184	33062879	-0.067512	-0.037086	-0.025069	-0.041565
Superscaffold1	33062990	33344328	0.014112	0.007156	0.004598	0.003128
Superscaffold1	33344528	33490325	-0.379581	-0.288780	-0.175902	-0.172602
Superscaffold1	33490343	33608275	-0.170078	-0.098500	-0.066767	-0.093153
Superscaffold1	33608607	33832425	0.030304	0.024884	0.014801	0.012289
Superscaffold1	33832428	34005923	-0.290882	-0.237892	-0.137109	-0.180269
Superscaffold1	34005965	34205734	-0.075704	-0.029902	-0.020314	-0.039167
Superscaffold1	34205923	34425929	0.029630	0.019639	0.012417	0.012933
Superscaffold1	34427254	34793660	0.107358	0.048765	0.032524	0.048593
Superscaffold1	34793677	35117204	-0.316323	-0.190753	-0.119608	-0.158073
Superscaffold1	35117917	35463274	-0.204778	-0.154294	-0.086927	-0.130133
Superscaffold1	35463281	36059525	-0.030306	-0.015423	-0.010280	-0.016488
Superscaffold1	36060653	36719023	-0.163297	-0.093264	-0.054641	-0.088139
Superscaffold1	36719086	37032324	-0.354093	-0.192653	-0.127196	-0.185674
Superscaffold1	37032556	37236129	-0.236701	-0.196542	-0.113998	-0.116012
Superscaffold1	37236136	37456131	-0.121471	-0.065842	-0.045902	-0.051821
Superscaffold1	37456716	37625229	-0.016819	-0.010430	-0.005544	-0.008006
