chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	567028	804180	0.024538	0.016111	0.010067	0.014253
Superscaffold1	804348	1158441	0.221022	0.144586	0.082539	0.131446
Superscaffold1	1158548	1472975	0.088720	0.028275	0.019284	0.055001
Superscaffold1	1473383	1919973	-0.066257	-0.028344	-0.016801	-0.043018
Superscaffold1	1920133	2274901	0.104444	0.034048	0.018358	0.069366
Superscaffold1	2275704	2455554	-0.092860	-0.067502	-0.039583	-0.055145
Superscaffold1	2455665	2639133	0.136861	0.113665	0.065312	0.077919
Superscaffold1	2639142	2793978	-0.064647	-0.087828	-0.039031	-0.037341
Superscaffold1	2793987	2984669	-0.328292	-0.359933	-0.164989	-0.213812
Superscaffold1	2984732	3235455	0.001754	0.001487	0.000731	-0.000234
Superscaffold1	3235463	3600213	-0.048004	-0.021090	-0.012440	-0.024016
Superscaffold1	3600222	3965350	-0.004818	-0.002357	-0.001246	-0.004442
Superscaffold1	3965387	4258113	-0.081284	-0.055680	-0.029774	-0.042830
Superscaffold1	4258124	4565506	0.123021	0.066476	0.037873	0.066795
Superscaffold1	4565565	4838791	0.034037	0.026753	0.014206	0.023024
Superscaffold1	4839033	5252576	0.028265	0.011017	0.006798	0.018652
Superscaffold1	5252598	5668014	-0.170504	-0.051557	-0.035111	-0.105001
Superscaffold1	5668045	6009880	0.132383	0.055094	0.036368	0.085152
Superscaffold1	6009932	6326505	0.063946	0.031438	0.017255	0.038384
Superscaffold1	6326507	6682923	0.110044	0.054227	0.035761	0.075628
Superscaffold1	6683036	7156727	-0.091176	-0.034482	-0.019776	-0.058121
Superscaffold1	7157296	7483338	0.064457	0.030662	0.016969	0.037925
Superscaffold1	7483400	8006527	-0.029993	-0.006539	-0.004743	-0.017526
Superscaffold1	8006529	8643017	0.106834	0.050635	0.027148	0.066687
Superscaffold1	8643045	9807241	0.078267	0.031356	0.020178	0.047576
Superscaffold1	9807422	10651855	-0.028138	-0.013452	-0.008154	-0.015319
