chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	523762	645426	-0.144341	-0.129021	-0.087282	-0.064328
Superscaffold1	645447	806734	-0.016451	-0.010407	-0.007282	-0.006992
Superscaffold1	806767	1085161	0.218624	0.168509	0.107348	0.129028
Superscaffold1	1086192	1313420	0.111276	0.072228	0.050736	0.042396
Superscaffold1	1313666	1536338	0.060603	0.043406	0.027606	0.033894
Superscaffold1	1537647	1886934	-0.200840	-0.104781	-0.068292	-0.102510
Superscaffold1	1887057	2216872	0.019508	0.008324	0.004825	0.008469
Superscaffold1	2217532	2408348	-0.140367	-0.097907	-0.063377	-0.070541
Superscaffold1	2408366	2608449	0.078660	0.060972	0.038366	0.045769
Superscaffold1	2608482	2795199	0.108942	0.115710	0.064681	0.052588
Superscaffold1	2795212	2980983	0.000462	0.000488	0.000204	0.001386
Superscaffold1	2981098	3189625	0.034165	0.031049	0.017679	0.018043
Superscaffold1	3189989	3460324	0.039603	0.028414	0.017903	0.018145
Superscaffold1	3460485	3746117	-0.055335	-0.034440	-0.022457	-0.028342
Superscaffold1	3746148	4024706	-0.144567	-0.108751	-0.056975	-0.065706
Superscaffold1	4024783	4383473	-0.089462	-0.056130	-0.034531	-0.046207
Superscaffold1	4383561	4635364	-0.084359	-0.058078	-0.033994	-0.045186
Superscaffold1	4635444	4843883	-0.096243	-0.100050	-0.056251	-0.050636
Superscaffold1	4843914	5130701	0.006231	0.004044	0.002542	0.001952
Superscaffold1	5131035	5370723	-0.284834	-0.249790	-0.133590	-0.173953
Superscaffold1	5370731	5615579	-0.274588	-0.234995	-0.126801	-0.152128
Superscaffold1	5615594	5823261	0.016596	0.012418	0.007827	0.007294
Superscaffold1	5823339	6110700	-0.109986	-0.071924	-0.045444	-0.062594
Superscaffold1	6110718	6368923	0.055499	0.031202	0.020308	0.030143
Superscaffold1	6368960	6641235	-0.199392	-0.124009	-0.080321	-0.122609
Superscaffold1	6641336	6879753	-0.194249	-0.105104	-0.070027	-0.106509
Superscaffold1	6879829	7227723	-0.282436	-0.175609	-0.108749	-0.164144
Superscaffold1	7227766	7544179	-0.017338	-0.008828	-0.005820	-0.011852
Superscaffold1	7544272	7880094	-0.172657	-0.131685	-0.077800	-0.072216
Superscaffold1	7880097	8532229	0.030304	0.017887	0.012071	0.011597
Superscaffold1	8532231	9278673	-0.017286	-0.012177	-0.007620	-0.010834
Superscaffold1	9278674	10054977	0.021700	0.014385	0.009488	0.010921
Superscaffold1	10054988	10645380	-0.002594	-0.001650	-0.001048	-0.005180
Superscaffold1	10645455	10842348	-0.090238	-0.070470	-0.045859	-0.042267
Superscaffold1	10842711	11110558	-0.089384	-0.053495	-0.031672	-0.046468
Superscaffold1	11110719	11417958	-0.019061	-0.009784	-0.007049	-0.010348
Superscaffold1	11418121	11684306	-0.177051	-0.063567	-0.047948	-0.067458
Superscaffold1	11684317	11942164	-0.121706	-0.103825	-0.056592	-0.058252
Superscaffold1	11942403	12210243	-0.085550	-0.049402	-0.032687	-0.046085
Superscaffold1	12210288	12473705	0.114700	0.112410	0.066679	0.057940
Superscaffold1	12473713	12797920	0.136292	0.069264	0.046369	0.066725
Superscaffold1	12798329	13156852	-0.100570	-0.036915	-0.026421	-0.052288
Superscaffold1	13157380	13697142	-0.244445	-0.089697	-0.062218	-0.157511
Superscaffold1	13697531	14171114	-0.145241	-0.061300	-0.040891	-0.072543
Superscaffold1	14171194	14628933	-0.068375	-0.028191	-0.017676	-0.039806
Superscaffold1	14629013	14893221	0.059507	0.031940	0.021256	0.032071
Superscaffold1	14893467	15147397	0.297207	0.210923	0.125584	0.229695
Superscaffold1	15147626	15400273	0.343052	0.210459	0.125153	0.251085
Superscaffold1	15400298	15662203	0.054339	0.030197	0.018825	0.028613
Superscaffold1	15662208	15921361	-0.294756	-0.140153	-0.080775	-0.159037
Superscaffold1	15921389	16161785	-0.171137	-0.148723	-0.068348	-0.092530
Superscaffold1	16161833	16456755	-0.391569	-0.202017	-0.114694	-0.228434
Superscaffold1	16456785	16734250	0.034098	0.024677	0.015695	0.017956
Superscaffold1	16734252	17060268	0.065820	0.043533	0.028772	0.027262
Superscaffold1	17060307	17428215	0.123320	0.069380	0.046480	0.062308
Superscaffold1	17428227	18056224	-0.013144	-0.005598	-0.003712	-0.006897
Superscaffold1	18056306	18368416	-0.034785	-0.031858	-0.018255	-0.017117
Superscaffold1	18368432	18646164	-0.083824	-0.050175	-0.030524	-0.044117
Superscaffold1	18646213	19098661	-0.114622	-0.065585	-0.043315	-0.056438
Superscaffold1	19098721	19421960	-0.028567	-0.016873	-0.011681	-0.018466
Superscaffold1	19422574	19774466	-0.117810	-0.044687	-0.035391	-0.072039
Superscaffold1	19774841	20013753	-0.295196	-0.130286	-0.094572	-0.145438
Superscaffold1	20013775	20314055	-0.102685	-0.064985	-0.038986	-0.060405
Superscaffold1	20314072	20828044	0.015332	0.008061	0.004584	0.009026
Superscaffold1	20828150	21201842	-0.014880	-0.008249	-0.004687	-0.011719
Superscaffold1	21201926	21526019	-0.066662	-0.035827	-0.020521	-0.034400
Superscaffold1	21526021	21832309	0.016471	0.008975	0.005894	0.009874
Superscaffold1	21832311	22204385	0.057374	0.030180	0.019826	0.033903
Superscaffold1	22204475	22733463	-0.003310	-0.000929	-0.000693	-0.003243
Superscaffold1	22733482	23294232	0.250977	0.063492	0.044597	0.151612
Superscaffold1	23294346	23740424	0.101785	0.032630	0.023047	0.056579
Superscaffold1	23740615	24088740	-0.187989	-0.101293	-0.062880	-0.112822
Superscaffold1	24088765	24317541	-0.338134	-0.480047	-0.215654	-0.230927
Superscaffold1	24317571	24722099	0.044378	0.015473	0.011340	0.029623
Superscaffold1	24722134	25108377	0.060896	0.027406	0.018214	0.032074
Superscaffold1	25108378	25458770	-0.307277	-0.177019	-0.099068	-0.167392
Superscaffold1	25458832	25701294	0.048394	0.026631	0.018656	0.025886
Superscaffold1	25701741	25901843	-0.008632	-0.006370	-0.004447	-0.000426
Superscaffold1	25901890	26163003	-0.057126	-0.045754	-0.023567	-0.029243
Superscaffold1	26163199	26387385	-0.188851	-0.125110	-0.074327	-0.093208
Superscaffold1	26387386	26660670	-0.471314	-0.337310	-0.179661	-0.324826
Superscaffold1	26660729	26974767	-0.577133	-0.343776	-0.180775	-0.444019
Superscaffold1	26974827	27225796	-0.238540	-0.163849	-0.068934	-0.168659
Superscaffold1	27225810	27382675	-0.322710	-0.440997	-0.143802	-0.167808
Superscaffold1	27382717	27688538	0.082141	0.041863	0.025215	0.038025
Superscaffold1	27688545	27922996	-0.024490	-0.020907	-0.011937	-0.013554
Superscaffold1	27923082	28108347	-0.090049	-0.069620	-0.039490	-0.042367
Superscaffold1	28108371	28327119	0.302946	0.256019	0.147030	0.178254
Superscaffold1	28327144	28641249	-0.286665	-0.313669	-0.176284	-0.201939
Superscaffold1	28641340	28916657	-0.313070	-0.242484	-0.157927	-0.204148
Superscaffold1	28917025	29289388	-0.348075	-0.177714	-0.096188	-0.235868
Superscaffold1	29289389	29528517	-0.257959	-0.148837	-0.089442	-0.163546
Superscaffold1	29528583	29873593	-0.020200	-0.007716	-0.004903	-0.013237
Superscaffold1	29873685	30211174	-0.055056	-0.040845	-0.025597	-0.036008
Superscaffold1	30211218	30691582	-0.195319	-0.184688	-0.089931	-0.119355
Superscaffold1	30691598	30913998	-0.431997	-0.370770	-0.203953	-0.273102
Superscaffold1	30914008	31164780	-0.432780	-0.307493	-0.165189	-0.277470
Superscaffold1	31164799	31577033	-0.138789	-0.054279	-0.036253	-0.073747
Superscaffold1	31577067	31859868	-0.399964	-0.254063	-0.150803	-0.249224
Superscaffold1	31859881	32325212	-0.053464	-0.026613	-0.017883	-0.031199
Superscaffold1	32325218	32640621	0.273157	0.144903	0.106100	0.139168
Superscaffold1	32640648	32982999	0.090920	0.041345	0.028362	0.053944
Superscaffold1	32983000	33401751	-0.115429	-0.047493	-0.032791	-0.069885
Superscaffold1	33401789	33570503	0.199234	0.106773	0.075446	0.134300
Superscaffold1	33570518	33821517	0.048191	0.040217	0.025528	0.027575
Superscaffold1	33821585	34025210	-0.176756	-0.128307	-0.080153	-0.125529
Superscaffold1	34025290	34235998	-0.140021	-0.064521	-0.043184	-0.081158
Superscaffold1	34236066	34590537	0.074918	0.034922	0.024900	0.033956
Superscaffold1	34590554	34968113	-0.192235	-0.068368	-0.048766	-0.120837
Superscaffold1	34968156	35428061	-0.298962	-0.163371	-0.102946	-0.209724
Superscaffold1	35428414	36111962	0.041576	0.020542	0.014386	0.021949
Superscaffold1	36111994	36772924	-0.202478	-0.103233	-0.063484	-0.112329
Superscaffold1	36772948	37076845	-0.278718	-0.185111	-0.119273	-0.191033
Superscaffold1	37076896	37377513	-0.173198	-0.078017	-0.056766	-0.083939
Superscaffold1	37377838	37584265	0.183182	0.107505	0.062235	0.109039
Superscaffold1	37584477	37863321	-0.196611	-0.145310	-0.083708	-0.103534
Superscaffold1	37863662	38286672	-0.066081	-0.033518	-0.022317	-0.032784
Superscaffold1	38286757	38522059	0.010377	0.003402	0.002495	0.004151
Superscaffold1	38522187	38764652	-0.216826	-0.087134	-0.062881	-0.114202
Superscaffold1	38764685	38966533	0.149779	0.072146	0.056078	0.066138
Superscaffold1	38966556	39190456	-0.090412	-0.033777	-0.024520	-0.046183
Superscaffold1	39190462	39545623	-0.043553	-0.017320	-0.010574	-0.021552
Superscaffold1	39545787	39789511	-0.252932	-0.116617	-0.074109	-0.187062
Superscaffold1	39789672	40059866	-0.301806	-0.086961	-0.068162	-0.186371
Superscaffold1	40059981	40296859	-0.014187	-0.006519	-0.004845	-0.005395
Superscaffold1	40297353	40692628	0.169218	0.087795	0.064151	0.095441
Superscaffold1	40692992	41114154	-0.350966	-0.172793	-0.112206	-0.252603
Superscaffold1	41114251	41542248	-0.429082	-0.212306	-0.120838	-0.298638
Superscaffold1	41542265	41924382	0.310220	0.090677	0.059459	0.208683
Superscaffold1	41925263	42262291	-0.071310	-0.042876	-0.023053	-0.066507
Superscaffold1	42262326	42796416	-0.159255	-0.052886	-0.035227	-0.092280
Superscaffold1	42796490	43589593	0.099451	0.016111	0.012021	0.062791
Superscaffold1	43590224	44109387	-0.451938	-0.119327	-0.078753	-0.265174
Superscaffold1	44112413	44797294	0.068655	0.018285	0.012831	0.038549
Superscaffold1	44797305	45322729	0.129094	0.074773	0.051902	0.081468
Superscaffold1	45323431	45786965	-0.287369	-0.198422	-0.112413	-0.148510
Superscaffold1	45786973	46843535	0.035507	0.007804	0.006295	0.011188
Superscaffold1	46843565	47846148	0.042071	0.008787	0.007276	0.013710
Superscaffold1	47846532	48302393	-0.054980	-0.024933	-0.016497	-0.028498
Superscaffold1	48302420	48773768	-0.342771	-0.082016	-0.058389	-0.246596
Superscaffold1	48773869	49367710	0.141241	0.057227	0.043364	0.078143
Superscaffold1	49367797	49985352	0.094781	0.026668	0.019865	0.047022
Superscaffold1	49985353	50261393	0.515545	0.151274	0.100344	0.279918
Superscaffold1	50261537	50406352	-0.308856	-0.505180	-0.186985	-0.211156
Superscaffold1	50406412	50763793	0.038550	0.033405	0.020698	0.022203
Superscaffold1	50763838	51037427	-0.050401	-0.054988	-0.035012	-0.031300
Superscaffold1	51037550	51539401	0.066500	0.059787	0.037651	0.031092
Superscaffold2	256716	528536	-0.348325	-0.320081	-0.181379	-0.195180
Superscaffold2	528679	763022	-0.380082	-0.249565	-0.135715	-0.212472
Superscaffold2	763027	1013124	-0.238444	-0.132190	-0.083263	-0.144797
Superscaffold2	1013163	1302998	-0.579375	-0.293024	-0.191936	-0.374750
Superscaffold2	1302999	1560721	-0.411861	-0.339709	-0.196686	-0.284091
Superscaffold2	1560726	1865688	-0.553708	-0.312403	-0.175808	-0.383606
Superscaffold2	1866210	2104756	0.188363	0.088808	0.059053	0.099265
Superscaffold2	2105316	2418409	-0.125280	-0.069110	-0.045771	-0.060136
Superscaffold2	2418960	2870392	-0.033153	-0.031889	-0.015414	-0.020166
Superscaffold2	2870419	3466258	-0.007725	-0.004490	-0.002884	-0.007075
Superscaffold2	3466261	3827078	-0.025366	-0.012613	-0.007417	-0.010133
Superscaffold2	3827255	4284032	-0.069537	-0.031952	-0.020018	-0.036659
Superscaffold2	4284050	4753193	-0.073595	-0.025425	-0.015761	-0.036936
Superscaffold2	4753200	4959545	-0.144738	-0.079747	-0.053559	-0.075415
Superscaffold2	4959712	5242194	0.221272	0.236446	0.112475	0.111250
Superscaffold2	5242281	5434590	-0.060981	-0.048328	-0.026687	-0.031711
Superscaffold2	5434593	5901816	-0.129834	-0.063585	-0.036613	-0.056648
Superscaffold2	5901986	6349537	-0.234964	-0.088211	-0.061605	-0.140552
Superscaffold2	6349544	6896494	-0.022184	-0.006869	-0.004856	-0.010619
Superscaffold2	6896553	7488953	0.088334	0.032425	0.022308	0.051766
Superscaffold2	7488963	7769279	0.033834	0.013968	0.009879	0.023052
Superscaffold2	7769373	8103640	-0.058162	-0.025485	-0.016819	-0.026769
Superscaffold2	8103743	8458525	-0.122250	-0.055727	-0.038833	-0.060792
Superscaffold2	8458826	9049912	-0.018538	-0.010497	-0.006963	-0.011463
Superscaffold2	9049950	9426130	-0.169705	-0.082192	-0.054009	-0.083781
Superscaffold2	9426443	9828953	-0.028116	-0.013851	-0.009081	-0.016256
Superscaffold2	9829144	10125077	-0.148816	-0.083397	-0.047125	-0.070795
