chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	255632	637490	-0.094226	-0.027977	-0.021839	-0.060990
Chr01	445776	945504	-0.009479	-0.003207	-0.002311	-0.003741
Chr01	637532	1169748	0.003603	0.001048	0.000727	0.004806
Chr01	945517	1445685	0.107332	0.028974	0.019776	0.081471
Chr01	1170282	1560769	0.329526	0.111182	0.075457	0.244258
Chr01	1445846	1743514	0.081269	0.029193	0.018681	0.064967
Chr01	1561082	1996188	-0.222935	-0.088788	-0.045089	-0.183430
Chr01	1743649	2195870	-0.147487	-0.055650	-0.028976	-0.115900
Chr01	1996493	2305725	-0.016906	-0.006358	-0.004102	-0.012166
Chr01	2195981	2502772	0.069141	0.034265	0.022911	0.054372
Chr01	2305732	2662293	0.057304	0.027662	0.018834	0.050969
Chr01	2502840	2760835	0.041690	0.019435	0.012844	0.030256
Chr01	2662418	2889409	0.066007	0.033299	0.021443	0.041258
Chr01	2761006	3088515	0.016144	0.006268	0.004371	0.008595
Chr01	2889668	3308853	0.082970	0.024771	0.017321	0.056172
Chr01	3088746	3534206	0.014682	0.004448	0.002879	0.010487
Chr01	3309483	3783592	0.025389	0.007750	0.004999	0.013094
Chr01	3534531	4008888	-0.052037	-0.019178	-0.011551	-0.044195
Chr01	3783593	4213602	-0.011445	-0.004965	-0.002848	-0.008646
Chr01	4009154	4380468	0.050700	0.022709	0.013307	0.038614
Chr01	4213825	4495798	-0.023464	-0.012396	-0.007321	-0.015592
Chr01	4380511	4679788	0.040414	0.016357	0.011056	0.022672
Chr01	4495829	4922137	0.126145	0.044278	0.028782	0.093999
Chr01	4679983	5160410	-0.073307	-0.025294	-0.016294	-0.059271
Chr01	4922181	5512698	-0.143055	-0.047548	-0.032103	-0.104253
Chr01	5160662	5721894	0.149709	0.057455	0.039468	0.102682
Chr01	5513040	5881399	0.014763	0.006857	0.004409	0.013192
Chr01	5722081	6082563	-0.089182	-0.038192	-0.023326	-0.060375
Chr01	5881606	6247128	0.311991	0.123410	0.084625	0.243582
Chr01	6082661	6518294	0.117439	0.048850	0.033735	0.092317
Chr01	6247280	7029722	-0.034710	-0.006344	-0.005136	-0.029558
Chr01	6518538	7313199	0.214188	0.032335	0.027963	0.153419
Chr01	7029828	7483749	0.014314	0.004703	0.003390	0.007792
Chr01	7313235	7765479	0.084698	0.027359	0.017392	0.063981
Chr01	7483760	7913468	-0.010134	-0.003180	-0.001995	-0.009327
Chr01	7765624	8064844	-0.292686	-0.124814	-0.074362	-0.221837
Chr01	7913515	8256228	0.073089	0.029115	0.018713	0.055751
Chr01	8064850	8465247	0.457597	0.141432	0.098383	0.338781
Chr01	8256428	8652884	0.276070	0.078822	0.053626	0.193509
Chr01	8465342	8944422	0.048807	0.013472	0.009383	0.038510
Chr01	8652899	9352802	0.078322	0.022604	0.015406	0.066069
Chr01	8944466	9561464	-0.084633	-0.027707	-0.018060	-0.069342
Chr01	9353167	9773640	-0.254965	-0.095509	-0.061680	-0.219044
Chr01	9561540	9950145	-0.034833	-0.012753	-0.008925	-0.030180
Chr01	9774459	10085759	0.132742	0.043382	0.031444	0.094595
Chr01	9950628	10298015	-0.102069	-0.039094	-0.025598	-0.066860
Chr01	10085837	10441765	0.099453	0.038515	0.025018	0.063654
Chr01	10298116	10983203	0.015354	0.005002	0.003425	0.011263
Chr01	10441798	11208640	-0.230948	-0.074364	-0.048872	-0.190427
Chr01	10983328	11388559	-0.076837	-0.023810	-0.016201	-0.055651
Chr01	11208657	11597108	0.024476	0.006915	0.005207	0.024915
Chr01	11388561	11805668	0.111002	0.035696	0.025032	0.089136
Chr01	11597164	12163101	0.122040	0.043588	0.029050	0.085589
Chr01	11805785	12352879	-0.042087	-0.016091	-0.009522	-0.026986
Chr01	12163747	12557658	-0.068329	-0.024061	-0.014162	-0.039720
Chr01	12352907	12757237	0.164108	0.053881	0.037434	0.109512
Chr01	12557661	12998259	0.028434	0.010543	0.005074	0.019647
Chr01	12757266	13271812	-0.187092	-0.062916	-0.028010	-0.121677
Chr01	12998700	13575609	-0.007231	-0.002047	-0.001304	-0.001152
Chr01	13272063	13819815	-0.189550	-0.064704	-0.039335	-0.144742
Chr01	13575877	14036091	-0.137564	-0.057063	-0.032314	-0.107725
Chr01	13819855	14158194	-0.013948	-0.005998	-0.003521	-0.008067
Chr01	14036212	14308130	-0.023513	-0.009207	-0.005783	-0.010961
Chr01	14158201	14461255	0.107380	0.036189	0.024279	0.086751
Chr01	14308159	14645018	0.199936	0.082252	0.048470	0.177532
Chr01	14461264	14792715	0.243809	0.115832	0.061452	0.211049
Chr01	14645020	14939171	0.070947	0.030122	0.017136	0.056880
Chr01	14792783	15094057	0.012329	0.004894	0.002826	0.011974
Chr01	14939248	15232108	-0.194053	-0.096033	-0.046887	-0.143299
Chr01	15094254	15418174	-0.410445	-0.212306	-0.097082	-0.319085
Chr01	15232152	15619292	-0.338609	-0.131111	-0.071791	-0.277650
Chr01	15418332	16072771	-0.158540	-0.053226	-0.032835	-0.125828
Chr01	15619373	16273037	-0.058187	-0.022112	-0.013386	-0.037692
