chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556001	727312	-0.107756	-0.145836	-0.073021	-0.059357
Superscaffold1	727378	881323	0.354402	0.332540	0.168596	0.222157
Superscaffold1	881513	1194556	0.126151	0.095553	0.052229	0.077786
Superscaffold1	1194581	1412765	-0.076930	-0.060613	-0.031441	-0.036256
Superscaffold1	1412848	1614855	-0.055294	-0.039528	-0.021607	-0.027703
Superscaffold1	1614890	1891418	0.259747	0.157797	0.083519	0.154682
Superscaffold1	1891511	2066740	0.179502	0.135612	0.051777	0.106271
Superscaffold1	2066786	2232330	0.096918	0.062820	0.030830	0.056423
Superscaffold1	2232333	2393513	0.134853	0.125839	0.067828	0.080951
Superscaffold1	2393539	2551193	-0.018467	-0.020568	-0.010683	-0.016344
Superscaffold1	2551239	2710323	0.018776	0.022518	0.010916	0.014631
Superscaffold1	2710402	2831273	0.154974	0.228481	0.100245	0.095118
Superscaffold1	2831307	3050772	-0.069810	-0.080284	-0.033216	-0.042694
Superscaffold1	3050787	3240648	-0.009538	-0.009583	-0.004698	-0.005172
Superscaffold1	3240649	3471079	0.046858	0.031905	0.017297	0.027508
Superscaffold1	3471136	3674461	0.200811	0.162489	0.080837	0.123575
Superscaffold1	3675094	3905953	0.206032	0.156364	0.072223	0.115987
Superscaffold1	3905966	4174068	0.099990	0.078758	0.034758	0.057179
Superscaffold1	4174077	4451012	0.126163	0.100573	0.052936	0.077811
Superscaffold1	4451021	4679208	0.375338	0.339277	0.179611	0.261488
Superscaffold1	4679211	4915574	0.088646	0.078375	0.043328	0.049255
Superscaffold1	4915687	5180448	0.183797	0.175527	0.088980	0.116249
Superscaffold1	5180495	5472763	0.170876	0.086213	0.053265	0.095492
Superscaffold1	5472880	5759723	0.057896	0.028672	0.018048	0.038328
Superscaffold1	5759734	6107504	0.330482	0.148083	0.100874	0.220090
Superscaffold1	6107814	6449658	-0.065518	-0.029808	-0.019107	-0.044037
Superscaffold1	6449701	6818128	0.070948	0.029652	0.019792	0.048211
Superscaffold1	6818596	7210915	-0.299142	-0.130013	-0.077047	-0.184463
Superscaffold1	7211043	7502881	-0.089952	-0.053998	-0.028498	-0.054895
Superscaffold1	7502932	7876242	0.008229	0.003782	0.002191	0.004124
Superscaffold1	7876390	8504906	0.120988	0.063534	0.035530	0.069801
Superscaffold1	8504908	9148575	0.061766	0.030730	0.019405	0.031182
Superscaffold1	9148579	10007470	0.064931	0.029968	0.019749	0.046154
Superscaffold1	10010486	10662265	-0.038874	-0.020406	-0.012417	-0.022704
Superscaffold1	10662306	10851792	0.155134	0.104637	0.061496	0.089867
Superscaffold1	10851962	11135599	-0.045124	-0.026381	-0.014526	-0.028310
Superscaffold1	11135703	11446569	-0.302740	-0.150532	-0.095359	-0.220454
Superscaffold1	11446614	11734566	-0.163681	-0.086636	-0.048877	-0.128476
Superscaffold1	11734569	11962996	0.046901	0.030850	0.017447	0.024927
Superscaffold1	11963052	12198360	0.084593	0.064716	0.035408	0.048320
Superscaffold1	12198383	12474861	0.094961	0.080771	0.042352	0.051441
Superscaffold1	12474873	12732332	-0.038059	-0.024374	-0.012312	-0.021698
Superscaffold1	12732504	13033833	0.053349	0.023943	0.013058	0.039553
Superscaffold1	13033998	13416928	0.552769	0.282782	0.157663	0.418303
Superscaffold1	13416973	13836724	0.471079	0.373462	0.185926	0.325161
Superscaffold1	13836941	14391727	-0.142345	-0.062860	-0.034951	-0.104693
Superscaffold1	14391769	14773625	0.057900	0.021163	0.012784	0.037926
Superscaffold1	14773630	14992309	-0.029517	-0.017898	-0.009816	-0.018439
Superscaffold1	14992933	15223853	0.317130	0.110041	0.081169	0.207509
Superscaffold1	15224104	15585462	-0.091946	-0.029226	-0.019065	-0.070248
Superscaffold1	15585508	15926915	-0.148707	-0.049665	-0.029775	-0.105019
Superscaffold1	15926917	16300622	0.175813	0.056783	0.036851	0.144881
Superscaffold1	16300793	16662631	-0.055315	-0.028085	-0.016146	-0.034995
Superscaffold1	16662704	16873025	0.101843	0.053386	0.028998	0.046868
Superscaffold1	16873126	17181634	0.025343	0.016516	0.008476	0.014126
Superscaffold1	17181951	17652052	-0.009044	-0.003365	-0.002086	-0.011023
Superscaffold1	17652083	18260155	-0.049839	-0.032558	-0.016762	-0.026660
Superscaffold1	18260190	18504047	-0.151204	-0.081209	-0.044467	-0.094697
Superscaffold1	18504105	18980927	-0.017057	-0.006160	-0.003860	-0.008037
Superscaffold1	18981167	19192780	-0.374986	-0.227326	-0.134969	-0.218601
Superscaffold1	19192906	19612535	0.241361	0.142173	0.094889	0.186534
Superscaffold1	19612571	19918373	-0.107381	-0.046720	-0.029719	-0.073719
Superscaffold1	19918444	20226037	-0.039553	-0.017255	-0.010509	-0.024200
