chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	208566	431665	-0.194347	-0.135236	-0.087880	-0.145541
Chr01	276011	544829	0.019724	0.012288	0.007425	0.012856
Chr01	431669	659703	0.179138	0.101226	0.060117	0.093082
Chr01	544832	904864	-0.021572	-0.012155	-0.006893	-0.015646
Chr01	659777	1062789	-0.135673	-0.053119	-0.033934	-0.093033
Chr01	904874	1202113	0.035267	0.010918	0.007654	0.025403
Chr01	1063025	1403061	-0.081266	-0.031839	-0.020063	-0.065982
Chr01	1202125	1536102	-0.005914	-0.002701	-0.001650	-0.004766
Chr01	1403321	1660429	-0.124164	-0.063661	-0.036345	-0.098222
Chr01	1536128	1788934	-0.216682	-0.103929	-0.053294	-0.150468
Chr01	1660433	1925707	-0.015533	-0.006428	-0.003107	-0.007199
Chr01	1788938	2055041	0.028457	0.011499	0.005846	0.020378
Chr01	1927454	2181082	-0.055751	-0.023869	-0.014508	-0.034544
Chr01	2055054	2253295	-0.109083	-0.059510	-0.036117	-0.065471
Chr01	2181149	2378077	-0.049731	-0.044753	-0.024374	-0.026214
Chr01	2253383	2455720	0.003786	0.004341	0.002127	0.006179
Chr01	2378080	2510848	-0.018939	-0.025082	-0.010685	-0.005890
Chr01	2455728	2616975	-0.137189	-0.180384	-0.076703	-0.072452
Chr01	2510923	2669409	0.013606	0.014390	0.007106	0.010701
Chr01	2616978	2717506	0.104687	0.107677	0.050631	0.060549
Chr01	2669440	2773564	-0.049313	-0.059626	-0.025527	-0.030506
Chr01	2717524	2854013	-0.247674	-0.293524	-0.138547	-0.163564
Chr01	2773587	2943135	-0.244731	-0.277879	-0.128017	-0.143260
Chr01	2854079	3034603	-0.022401	-0.030119	-0.010951	-0.011617
Chr01	2943188	3127328	0.112492	0.114784	0.050857	0.059073
Chr01	3034619	3237194	0.116499	0.067762	0.035706	0.060634
Chr01	3127547	3394235	-0.255486	-0.121486	-0.066755	-0.163191
Chr01	3237276	3490177	-0.292858	-0.145690	-0.082551	-0.197752
Chr01	3394262	3590345	0.401161	0.237600	0.150025	0.288521
Chr01	3490182	3789806	0.276640	0.158888	0.095191	0.216032
Chr01	3590382	3927206	-0.376294	-0.233285	-0.114063	-0.279379
Chr01	3789817	4047112	-0.449965	-0.371128	-0.160627	-0.316987
Chr01	3927262	4169528	-0.222774	-0.129224	-0.068749	-0.141039
