chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60127	73733	-0.672982	-0.220949	-0.155756	-0.510048
Chr01	73746	79848	-0.858267	-0.653391	-0.336550	-0.723200
Chr01	79850	123569	-0.783664	-0.534452	-0.261823	-0.606105
Chr01	123588	149063	-0.188114	-0.107909	-0.045007	-0.082625
Chr01	149094	156165	-0.333030	-0.498825	-0.113226	-0.092926
Chr01	156250	167851	-0.645802	-0.873301	-0.276821	-0.329191
Chr01	167857	183781	-0.162536	-0.222844	-0.123201	-0.068378
Chr01	183872	186738	0.207246	0.240906	0.146831	0.109804
Chr01	186785	193675	0.018179	0.017005	0.010345	0.011317
Chr01	193684	203908	-0.096505	-0.103565	-0.067001	-0.038578
Chr01	203944	208056	-0.216729	-0.189949	-0.110560	-0.091769
Chr01	208057	210026	0.161180	0.221217	0.135740	0.050611
Chr01	210028	214748	-0.031681	-0.032184	-0.020127	-0.023833
Chr01	214768	217242	0.004785	0.007426	0.004137	0.001300
Chr01	217306	219513	-0.012140	-0.017111	-0.010005	-0.007960
Chr01	219514	223532	-0.029888	-0.037787	-0.022775	-0.013648
Chr01	223574	227738	0.223950	0.193812	0.134920	0.089512
Chr01	228037	233145	0.312239	0.194353	0.154100	0.089836
Chr01	233156	237892	-0.222780	-0.325945	-0.159327	-0.104032
Chr01	238021	243789	-0.156869	-0.177082	-0.091154	-0.097433
Chr01	243990	249326	-0.029811	-0.023960	-0.015889	-0.005482
Chr01	249335	252457	0.118780	0.102295	0.073087	0.046438
Chr01	252494	255351	0.055055	0.047490	0.034810	0.009228
Chr01	255381	257972	-0.495211	-1.075970	-0.326977	-0.229779
Chr01	257997	261266	-0.781800	-2.674394	-0.523441	-0.451507
Chr01	261273	263106	-0.373378	-1.486948	-0.288515	-0.140602
Chr01	263114	264669	-0.392908	-1.050381	-0.329141	-0.171417
Chr01	264691	270088	-0.400242	-0.499511	-0.261296	-0.253008
Chr01	270089	275167	0.003369	0.002700	0.001298	0.017542
Chr01	275201	277173	-0.234079	-0.288179	-0.129832	-0.120665
Chr01	277234	288838	-0.400761	-0.620138	-0.222623	-0.214530
Chr01	288907	309709	-0.282295	-0.186492	-0.095395	-0.149859
Chr01	309728	314935	-0.122721	-0.116836	-0.085090	-0.092999
Chr01	314955	319746	-0.196287	-0.363493	-0.142467	-0.089183
Chr01	319783	333997	-0.356401	-0.234094	-0.135383	-0.184331
Chr01	334013	345332	0.094615	0.036795	0.025790	0.045322
Chr01	345333	353786	-0.058762	-0.071170	-0.043216	-0.023366
Chr01	353881	384061	-0.660743	-0.304950	-0.206512	-0.448600
Chr01	384130	389871	-0.056956	-0.038564	-0.029619	-0.034183
Chr01	389876	396209	-0.139514	-0.094148	-0.068551	-0.049636
Chr01	396463	403091	-0.135518	-0.159369	-0.094755	-0.041366
Chr01	403119	408664	-0.012116	-0.012716	-0.006745	-0.002958
Chr01	408720	425300	0.011777	0.004703	0.003262	0.018432
Chr01	425321	432014	0.185889	0.146098	0.079710	0.097122
Chr01	432055	437922	0.299096	0.268736	0.119270	0.155556
Chr01	438088	447268	-0.679162	-0.107884	-0.088996	-0.090998
Chr01	447280	452883	-0.061790	-0.033187	-0.023173	-0.026936
Chr01	452887	464866	-0.583772	-0.428534	-0.251832	-0.318387
Chr01	464871	473609	-0.732740	-0.612857	-0.345833	-0.509813
Chr01	473649	478982	-0.631317	-0.618849	-0.338299	-0.508708
Chr01	478991	482902	-0.609261	-0.663302	-0.351614	-0.408625
Chr01	482975	489003	-0.634341	-0.433068	-0.224874	-0.414726
Chr01	489021	496746	-0.155189	-0.076991	-0.047392	-0.075963
Chr01	496748	502023	-0.685561	-0.448155	-0.226539	-0.510256
Chr01	502034	512720	-0.526559	-0.535888	-0.229168	-0.280384
Chr01	512765	518186	-0.546103	-0.438520	-0.194633	-0.217681
Chr01	518196	523765	0.109306	0.113604	0.043485	0.071004
Chr01	523829	527468	0.244808	0.249720	0.118600	0.140729
Chr01	527579	531726	0.122938	0.142807	0.052019	0.058895
Chr01	531736	549652	-0.478364	-0.706230	-0.138858	-0.267144
