chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	621027	909572	-0.354907	-0.254794	-0.130506	-0.207340
Superscaffold1	909584	1376886	-0.148594	-0.068854	-0.042047	-0.100835
Superscaffold1	1377041	1777534	-0.312635	-0.168112	-0.098684	-0.226458
Superscaffold1	1777646	2121891	0.048612	0.019079	0.009564	0.034742
Superscaffold1	2121909	2419170	0.061825	0.029474	0.018087	0.038560
Superscaffold1	2419255	2688826	0.096246	0.058712	0.037596	0.063441
Superscaffold1	2688955	2918987	0.037628	0.025231	0.013473	0.024122
Superscaffold1	2919015	3316145	0.021673	0.009629	0.006041	0.009602
Superscaffold1	3316614	3756810	0.130086	0.046113	0.028324	0.073567
Superscaffold1	3756856	4180434	0.054506	0.025677	0.014561	0.037688
Superscaffold1	4180538	4562254	0.194023	0.098817	0.063378	0.150437
Superscaffold1	4562422	4992495	0.243669	0.113442	0.070190	0.154620
Superscaffold1	4992501	5547542	0.189865	0.060994	0.039242	0.131647
Superscaffold1	5548661	5828478	0.135360	0.075128	0.046091	0.077075
Superscaffold1	5828607	6273684	-0.079717	-0.038214	-0.023614	-0.053174
Superscaffold1	6274029	6666561	0.226309	0.102610	0.067131	0.165432
Superscaffold1	6668084	7184140	0.270851	0.103658	0.064998	0.200662
Superscaffold1	7184460	7495962	-0.062766	-0.033067	-0.019097	-0.047734
Superscaffold1	7495969	7880438	0.085803	0.040632	0.024566	0.045383
Superscaffold1	7880461	8526218	0.211483	0.122374	0.062871	0.116274
Superscaffold1	8526286	9726751	0.017175	0.006218	0.004132	0.012764
Superscaffold1	9726787	10647287	0.028777	0.012261	0.008100	0.013633
Superscaffold1	10647373	10990850	0.055116	0.026854	0.015959	0.034947
Superscaffold1	10990854	11359879	0.204580	0.082605	0.052443	0.143086
Superscaffold1	11360362	11736406	-0.048730	-0.018562	-0.011068	-0.032463
Superscaffold1	11736425	12189854	0.063937	0.024153	0.016200	0.041435
Superscaffold1	12189865	12586620	0.111008	0.053831	0.031945	0.071095
Superscaffold1	12586651	12906031	-0.123879	-0.071890	-0.035907	-0.090131
Superscaffold1	12906071	13259271	0.388363	0.186759	0.099860	0.270093
Superscaffold1	13259327	13803188	0.460557	0.219378	0.106307	0.248928
Superscaffold1	13803312	14401639	0.189171	0.064305	0.036250	0.132873
Superscaffold1	14401828	14829825	0.027189	0.010582	0.006418	0.019411
Superscaffold1	14829948	15105241	0.181618	0.088242	0.053759	0.100530
Superscaffold1	15105342	15396044	0.524565	0.242497	0.154670	0.389295
Superscaffold1	15396277	15672559	0.219984	0.106608	0.065321	0.153944
Superscaffold1	15672615	15996911	0.104771	0.048837	0.027101	0.071801
Superscaffold1	15997015	16276102	0.102795	0.045832	0.025604	0.066665
Superscaffold1	16276147	16706443	0.122855	0.046170	0.029479	0.089848
Superscaffold1	16706502	17010990	-0.144048	-0.103689	-0.049534	-0.083630
Superscaffold1	17010993	17505696	-0.041707	-0.014883	-0.009281	-0.030625
Superscaffold1	17505990	18300265	0.243005	0.091932	0.050714	0.162918
Superscaffold1	18300736	18652194	-0.141282	-0.063294	-0.037178	-0.099494
Superscaffold1	18652226	19102967	0.207519	0.094571	0.064452	0.150507
Superscaffold1	19102981	19560187	0.215701	0.102838	0.069317	0.155848
Superscaffold1	19560215	19915176	0.476798	0.181987	0.125844	0.369592
Superscaffold1	19915343	20326155	-0.022173	-0.007275	-0.004837	-0.017083
Superscaffold1	20328032	21086220	0.140988	0.045784	0.026861	0.100974
Superscaffold1	21086316	21399685	0.451437	0.217223	0.134365	0.374824
Superscaffold1	21399691	21812690	0.048026	0.019159	0.010965	0.036764
Superscaffold1	21812793	22316240	0.159501	0.050209	0.033678	0.122031
Superscaffold1	22316294	22786830	-0.622403	-0.299274	-0.179811	-0.528630
Superscaffold1	22786831	23263141	-0.037978	-0.012442	-0.007106	-0.034462
Superscaffold1	23263151	23761429	0.202463	0.060284	0.036291	0.162535
Superscaffold1	23761812	24249253	0.026303	0.007085	0.004730	0.021453
Superscaffold1	24249259	24681940	0.309980	0.101314	0.067117	0.253486
Superscaffold1	24681968	25112726	0.088882	0.030862	0.018843	0.067389
