chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209071	431669	-0.154202	-0.112184	-0.072794	-0.113987
Chr01	275764	554938	0.067113	0.040228	0.023787	0.043966
Chr01	431694	671163	0.235441	0.126530	0.076283	0.126511
Chr01	554967	927305	0.053370	0.028272	0.017071	0.031289
Chr01	671188	1108971	-0.236519	-0.080570	-0.050755	-0.160435
Chr01	927308	1286899	-0.141733	-0.039022	-0.025439	-0.097560
Chr01	1109587	1473449	-0.084147	-0.033414	-0.020843	-0.069102
Chr01	1287326	1578120	-0.126469	-0.063772	-0.038427	-0.097074
Chr01	1473459	1691546	-0.119409	-0.059661	-0.033820	-0.084754
Chr01	1579050	1860558	-0.021520	-0.009216	-0.004534	-0.014936
Chr01	1691571	2012377	-0.077167	-0.032460	-0.014711	-0.048236
Chr01	1860571	2115786	-0.169514	-0.070784	-0.038377	-0.108787
Chr01	2013214	2225195	-0.043898	-0.021475	-0.013435	-0.028696
Chr01	2115796	2291796	0.011589	0.009261	0.005204	0.006859
Chr01	2225200	2425287	-0.079549	-0.092562	-0.044062	-0.045473
Chr01	2292351	2495401	-0.066987	-0.081076	-0.035888	-0.035498
Chr01	2425366	2599190	-0.053467	-0.064601	-0.029116	-0.024732
Chr01	2495440	2662998	-0.067182	-0.079676	-0.036681	-0.034225
Chr01	2599340	2714915	0.083636	0.093073	0.043037	0.050895
Chr01	2663009	2770256	0.038172	0.044806	0.019836	0.020789
Chr01	2714928	2847663	-0.202225	-0.249642	-0.116106	-0.132109
Chr01	2770274	2944757	-0.251752	-0.292678	-0.133660	-0.150241
Chr01	2848183	3055763	-0.164675	-0.190208	-0.072608	-0.088116
Chr01	2944817	3166236	-0.024365	-0.019161	-0.008994	-0.012617
Chr01	3055800	3307604	-0.168838	-0.086814	-0.047623	-0.095086
Chr01	3166262	3443051	-0.305209	-0.152039	-0.083194	-0.198969
Chr01	3307619	3558167	0.144021	0.077491	0.046935	0.100067
Chr01	3443325	3727103	0.309981	0.163504	0.103762	0.228493
Chr01	3558172	3863529	0.034821	0.021961	0.011445	0.026746
Chr01	3727737	4032973	-0.283064	-0.223378	-0.097448	-0.195385
Chr01	3863550	4169176	-0.337029	-0.180721	-0.097167	-0.223458
Chr01	4032998	4284398	-0.122930	-0.060516	-0.034145	-0.081554
Chr01	4169230	4395200	-0.051683	-0.040323	-0.018010	-0.030821
Chr01	4284415	4457615	0.020059	0.023357	0.009651	0.013335
Chr01	4395632	4535194	-0.012113	-0.009365	-0.005781	-0.006409
Chr01	4457746	4658928	-0.222486	-0.122615	-0.073777	-0.130245
Chr01	4535198	4852650	-0.202617	-0.087833	-0.049709	-0.133381
Chr01	4659112	5004089	-0.252649	-0.101193	-0.061205	-0.185193
Chr01	4852687	5203534	-0.287498	-0.095715	-0.060290	-0.209192
Chr01	5004143	5485271	-0.174690	-0.052247	-0.033532	-0.119801
Chr01	5203553	5647155	-0.112416	-0.044548	-0.029147	-0.077285
Chr01	5485772	5846868	-0.099262	-0.042915	-0.025482	-0.061399
Chr01	5647219	5942669	-0.117518	-0.049809	-0.029664	-0.067304
Chr01	5846887	6065637	-0.036819	-0.018863	-0.010325	-0.018993
Chr01	5942694	6222437	-0.021277	-0.009603	-0.005552	-0.014240
Chr01	6065652	6427551	-0.169269	-0.079122	-0.042966	-0.120080
Chr01	6222562	6800332	0.074267	0.021867	0.013730	0.060960
Chr01	6427606	7012304	0.290227	0.073445	0.049590	0.243096
Chr01	6800347	7187955	0.034065	0.012830	0.008424	0.027284
Chr01	7012496	7352672	-0.235376	-0.127609	-0.079688	-0.173308
Chr01	7188092	7486928	-0.350879	-0.221660	-0.124636	-0.261542
Chr01	7352741	7684530	-0.352303	-0.188449	-0.099390	-0.259859
Chr01	7486966	7850028	-0.255804	-0.115594	-0.060045	-0.191298
Chr01	7684757	7955578	-0.043140	-0.020931	-0.011225	-0.037671
Chr01	7850111	8070464	-0.026641	-0.014734	-0.007724	-0.022937
Chr01	7955615	8220590	-0.008004	-0.002839	-0.001653	-0.008816
Chr01	8070493	8406499	-0.042263	-0.009121	-0.006039	-0.030351
Chr01	8220608	8583633	-0.116280	-0.031573	-0.019726	-0.091770
Chr01	8406565	8669103	-0.128099	-0.058666	-0.030881	-0.091700
Chr01	8583645	8849838	-0.077493	-0.042012	-0.023215	-0.042273
Chr01	8669212	9193598	-0.054583	-0.026984	-0.015674	-0.022473
Chr01	8849924	9383890	-0.295484	-0.107567	-0.064373	-0.180181
Chr01	9193660	9563714	-0.315404	-0.125309	-0.074040	-0.251054
Chr01	9383975	9766101	-0.110797	-0.053639	-0.031319	-0.087738
Chr01	9563810	9871636	0.002751	0.001540	0.000918	0.003811
Chr01	9766188	9965733	-0.181934	-0.103211	-0.062545	-0.085714
Chr01	9871657	10058299	-0.031639	-0.016656	-0.010392	-0.012934
Chr01	9965755	10172959	0.034381	0.023864	0.012339	0.016223
Chr01	10058303	10287133	-0.079187	-0.062990	-0.027642	-0.045776
Chr01	10173017	10460767	-0.103166	-0.043603	-0.026132	-0.064287
Chr01	10287176	10936196	-0.090403	-0.035228	-0.022225	-0.063645
Chr01	10460801	11014244	-0.422244	-0.304506	-0.161881	-0.311279
Chr01	10936228	11182104	-0.524382	-0.481871	-0.210713	-0.381527
Chr01	11014256	11313186	-0.305039	-0.146423	-0.080224	-0.210449
Chr01	11182127	11488147	-0.151916	-0.054571	-0.035475	-0.108950
Chr01	11313375	11577542	-0.086056	-0.037853	-0.025841	-0.058259
Chr01	11488517	11699307	-0.315608	-0.280477	-0.139998	-0.213307
Chr01	11577546	11787661	-0.164168	-0.136419	-0.064254	-0.102074
Chr01	11699344	12004628	0.204697	0.133997	0.077354	0.112855
Chr01	11787716	12105267	0.134435	0.085844	0.054401	0.073144
Chr01	12004657	12249906	-0.167509	-0.089256	-0.048003	-0.099086
Chr01	12105299	12399378	-0.324609	-0.160020	-0.076691	-0.240989
Chr01	12249981	12479034	-0.256425	-0.146218	-0.062866	-0.170802
Chr01	12399447	12723025	-0.377523	-0.194336	-0.083182	-0.255254
Chr01	12479208	12870256	-0.719329	-0.362599	-0.166059	-0.650970
Chr01	12723142	13160612	-0.761129	-0.275723	-0.151505	-0.695957
Chr01	12870345	13342005	-0.517518	-0.160691	-0.092658	-0.419560
