chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	557942	727378	-0.256547	-0.194008	-0.113143	-0.150092
Superscaffold1	727648	908356	0.106357	0.047262	0.029380	0.061501
Superscaffold1	908386	1265475	-0.075893	-0.035854	-0.022009	-0.035944
Superscaffold1	1265566	1500864	0.087054	0.022195	0.015470	0.050137
Superscaffold1	1500942	1868770	-0.219598	-0.078235	-0.050732	-0.138850
Superscaffold1	1868791	2188961	-0.343987	-0.127235	-0.069548	-0.258841
Superscaffold1	2189064	2406780	-0.115698	-0.062348	-0.039217	-0.077039
Superscaffold1	2406788	2610120	-0.097131	-0.065547	-0.040993	-0.059632
Superscaffold1	2610250	2778925	0.002194	0.002688	0.001295	0.002291
Superscaffold1	2779088	2943799	-0.260713	-0.281420	-0.112629	-0.159219
Superscaffold1	2943815	3161180	0.018415	0.014211	0.008044	0.007233
Superscaffold1	3161390	3482842	0.023923	0.009655	0.005954	0.014806
Superscaffold1	3483116	3871507	-0.199072	-0.071694	-0.041659	-0.118875
Superscaffold1	3871546	4201206	-0.223059	-0.093833	-0.053681	-0.135003
Superscaffold1	4201231	4555728	-0.142998	-0.055340	-0.035554	-0.091573
Superscaffold1	4555742	4900950	-0.349687	-0.181002	-0.111093	-0.228247
Superscaffold1	4900982	5259328	-0.041388	-0.014640	-0.009509	-0.024732
Superscaffold1	5259549	5667215	-0.113997	-0.029332	-0.020590	-0.064177
Superscaffold1	5667388	5984887	0.257941	0.102337	0.070036	0.158565
Superscaffold1	5984899	6351232	0.046726	0.015259	0.009879	0.031336
Superscaffold1	6351627	6715601	-0.142510	-0.057745	-0.038370	-0.094322
Superscaffold1	6715870	7153008	-0.396496	-0.164836	-0.094774	-0.274619
Superscaffold1	7153262	7485117	-0.267059	-0.103214	-0.062905	-0.184096
Superscaffold1	7485375	7827201	-0.034858	-0.014270	-0.008985	-0.016521
Superscaffold1	7827259	8507495	-0.222894	-0.104472	-0.058633	-0.136531
Superscaffold1	8507565	9336079	-0.069822	-0.027897	-0.017411	-0.037280
Superscaffold1	9336436	10459738	0.081657	0.027633	0.018468	0.059225
Superscaffold1	10460967	10815792	-0.176321	-0.070255	-0.048370	-0.115451
Superscaffold1	10815987	11119659	0.077621	0.030476	0.018755	0.055821
Superscaffold1	11120277	11453896	-0.420055	-0.195010	-0.122299	-0.321289
Superscaffold1	11454039	11819217	-0.217176	-0.082113	-0.048356	-0.149739
Superscaffold1	11819458	12117328	-0.025695	-0.011826	-0.007872	-0.016552
Superscaffold1	12117398	12407118	-0.051372	-0.025184	-0.014166	-0.026396
Superscaffold1	12407204	12676468	-0.198238	-0.089962	-0.054750	-0.131303
Superscaffold1	12676600	12999844	-0.053025	-0.021819	-0.012602	-0.037771
Superscaffold1	13000040	13708917	-0.143038	-0.026816	-0.018147	-0.107248
Superscaffold1	13708960	14345791	-0.034237	-0.008582	-0.005272	-0.020252
Superscaffold1	14345834	14789125	0.099181	0.025411	0.016259	0.066669
Superscaffold1	14789990	15091393	-0.027388	-0.011207	-0.007372	-0.017013
Superscaffold1	15091424	15503436	-0.195754	-0.043599	-0.029166	-0.138586
Superscaffold1	15503555	15839550	-0.273577	-0.073880	-0.048120	-0.199895
Superscaffold1	15839942	16147845	0.145038	0.055517	0.032334	0.094325
Superscaffold1	16147899	16503428	-0.287010	-0.097139	-0.058602	-0.193702
Superscaffold1	16504727	16813074	-0.077214	-0.033077	-0.020104	-0.041506
Superscaffold1	16813133	17197547	0.107689	0.043007	0.024538	0.057867
Superscaffold1	17197802	17630409	-0.184571	-0.063209	-0.038759	-0.142630
Superscaffold1	17630503	18287564	-0.220721	-0.154056	-0.068941	-0.102412
Superscaffold1	18287615	18618062	-0.032952	-0.009941	-0.006257	-0.022347
Superscaffold1	18618063	19074850	-0.058963	-0.019533	-0.012715	-0.033130
Superscaffold1	19074857	19236127	-0.207412	-0.124168	-0.075433	-0.118125
Superscaffold1	19236161	19634804	-0.520059	-0.325522	-0.200308	-0.389829
Superscaffold1	19634806	19945958	-0.237436	-0.091386	-0.057033	-0.164656
Superscaffold1	19946075	20312341	-0.035388	-0.011135	-0.006961	-0.019733
Superscaffold1	20312369	20946332	-0.130839	-0.041482	-0.023073	-0.075077
Superscaffold1	20946378	21309608	-0.023979	-0.007976	-0.004808	-0.013940
Superscaffold1	21309663	21674767	-0.272911	-0.116118	-0.063990	-0.180652
Superscaffold1	21674887	22009751	-0.016903	-0.008919	-0.005118	-0.009806
Superscaffold1	22009778	22501229	0.032958	0.007553	0.005082	0.023303
Superscaffold1	22501460	23114816	-0.249666	-0.049644	-0.031298	-0.180055
