chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	125362	151716	-0.250279	-0.076772	-0.049445	-0.155839
Chr01	151783	166501	-0.449769	-0.218947	-0.135738	-0.262937
Chr01	166549	184278	-0.479626	-0.346774	-0.205747	-0.282517
Chr01	184291	191575	-0.150038	-0.101074	-0.066932	-0.084429
Chr01	191712	208083	-0.147447	-0.080620	-0.049679	-0.097764
Chr01	208095	214862	0.116957	0.050009	0.041286	0.076246
Chr01	214891	220330	0.215204	0.097181	0.073937	0.148714
Chr01	220389	233848	-0.074585	-0.026391	-0.021211	-0.053845
Chr01	233903	248609	-0.081983	-0.026599	-0.019552	-0.047393
Chr01	248615	255833	-0.313081	-0.139298	-0.103682	-0.286834
Chr01	255862	265303	-0.193277	-0.055264	-0.042610	-0.152371
Chr01	265407	276537	-0.197018	-0.090473	-0.058302	-0.152238
Chr01	276578	306358	-0.377586	-0.172751	-0.103791	-0.265985
Chr01	306694	319100	-0.109534	-0.050634	-0.038115	-0.071145
Chr01	319222	350901	-0.445588	-0.193436	-0.125156	-0.319837
Chr01	351201	383650	0.474255	0.258343	0.171662	0.360935
Chr01	384020	403339	-0.516878	-0.226898	-0.151106	-0.363620
Chr01	403350	426318	-0.288264	-0.065203	-0.048107	-0.180552
Chr01	426340	439012	0.026058	0.011352	0.008963	0.009650
Chr01	439047	452422	-0.157350	-0.047121	-0.040043	-0.044546
Chr01	452445	476981	-0.139285	-0.056930	-0.044018	-0.091731
Chr01	477016	488191	0.078105	0.036063	0.029732	0.046639
Chr01	488287	512315	-0.175248	-0.061539	-0.039228	-0.101098
Chr01	512459	522954	-0.474357	-0.351852	-0.206385	-0.246628
Chr01	523145	539549	-0.599237	-0.496451	-0.287721	-0.580659
Chr01	540516	561546	-0.404327	-0.232193	-0.122350	-0.302364
Chr01	561586	577983	-0.319538	-0.099539	-0.074456	-0.271760
Chr01	578048	610147	0.436534	0.161106	0.127281	0.375752
Chr01	610215	625399	0.129293	0.067852	0.051499	0.093155
Chr01	625444	637532	0.520747	0.463560	0.343089	0.423296
Chr01	637576	652573	0.507686	0.460411	0.328741	0.455254
Chr01	652695	660239	0.408301	0.219411	0.168348	0.289813
Chr01	660367	670798	0.542990	0.229448	0.198621	0.431659
Chr01	670814	723137	-0.267587	-0.160544	-0.077053	-0.174074
Chr01	723208	802011	-0.229034	-0.128351	-0.065452	-0.135698
Chr01	804354	839384	-0.069182	-0.029908	-0.017073	-0.039564
Chr01	839637	852451	-0.503828	-0.276690	-0.109523	-0.351114
Chr01	852777	868562	-0.116373	-0.078035	-0.029005	-0.078887
Chr01	868724	885549	-0.016075	-0.009338	-0.005457	-0.021405
Chr01	886082	925481	-0.185802	-0.070981	-0.040491	-0.112600
Chr01	925494	943277	-0.094084	-0.030063	-0.019856	-0.041987
Chr01	943617	961307	0.611801	0.157457	0.108383	0.239526
Chr01	961425	983667	0.204335	0.089118	0.047366	0.188508
Chr01	984021	1006427	-0.162507	-0.041512	-0.026357	-0.109751
Chr01	1006443	1030682	-0.196344	-0.033691	-0.026135	-0.174005
Chr01	1030715	1050611	-0.109821	-0.013961	-0.010420	-0.076245
Chr01	1050710	1077824	-0.598729	-0.186081	-0.110442	-0.492011
Chr01	1077896	1104031	-0.027136	-0.015089	-0.008206	-0.037236
Chr01	1104075	1118088	-0.864752	-1.177531	-0.399139	-0.759720
Chr01	1118217	1144747	-0.003529	-0.001613	-0.001015	0.002769
Chr01	1144815	1157087	-0.310533	-0.065330	-0.049528	-0.290794
Chr01	1157202	1170602	0.106481	0.022556	0.018469	0.066749
Chr01	1170607	1184875	0.331702	0.084144	0.063159	0.245091
Chr01	1184941	1206337	0.183816	0.070489	0.036802	0.148521
Chr01	1206709	1218559	-0.098438	-0.031996	-0.015161	-0.090915
Chr01	1218561	1289752	0.111329	0.025091	0.013604	0.066992
Chr01	1289827	1308363	-0.147285	-0.059570	-0.035992	-0.082839
Chr01	1309213	1319814	-0.547356	-0.737649	-0.238510	-0.514659
Chr01	1319827	1336024	-0.155351	-0.084823	-0.053622	-0.104540
Chr01	1336052	1382510	-0.102835	-0.038856	-0.018654	-0.053186
Chr01	1382517	1402441	0.209114	0.051886	0.036074	0.149095
Chr01	1403234	1419546	-0.006649	-0.002931	-0.001933	-0.007480
Chr01	1419577	1449384	0.120020	0.074070	0.033601	0.095129
Chr01	1449422	1455979	0.011578	0.007573	0.003927	0.011305
Chr01	1456096	1463637	0.143227	0.087208	0.049447	0.137805
Chr01	1463817	1471402	-0.038367	-0.025970	-0.014052	-0.047374
Chr01	1471840	1480489	0.370289	0.222609	0.141015	0.336847
Chr01	1480532	1495180	0.399729	0.184944	0.124135	0.341669
Chr01	1495206	1509394	0.412929	0.183181	0.127916	0.380107
Chr01	1509426	1520149	-0.017152	-0.006660	-0.004460	-0.018326
Chr01	1520242	1536785	0.107719	0.039612	0.028147	0.076512
Chr01	1536791	1543660	0.019371	0.014082	0.008007	0.018688
Chr01	1543669	1561698	-0.125480	-0.035933	-0.023070	-0.094811
Chr01	1561707	1580584	-0.232750	-0.088284	-0.043622	-0.179202
Chr01	1581327	1596156	0.696817	0.396882	0.188789	0.655544
Chr01	1596157	1635586	0.042422	0.015679	0.008243	0.035110
Chr01	1635615	1646942	-0.600248	-0.445429	-0.188172	-0.538710
Chr01	1646963	1663118	0.073725	0.031832	0.019088	0.064217
Chr01	1663188	1675452	0.449219	0.158388	0.106041	0.344335
Chr01	1675478	1687131	-0.050659	-0.017901	-0.011528	-0.008701
Chr01	1687132	1690188	-0.374492	-0.512134	-0.233989	-0.246123
Chr01	1690190	1701617	-0.406518	-0.404164	-0.093765	-0.142407
