chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121258	148612	-0.405699	-0.183755	-0.105305	-0.290428
Chr01	148638	160600	-0.616908	-0.436688	-0.211460	-0.483037
Chr01	160626	182751	-0.438378	-0.181697	-0.122502	-0.270053
Chr01	182753	186335	0.424761	0.237452	0.172744	0.179895
Chr01	186360	194587	0.058624	0.029978	0.020556	0.021531
Chr01	194954	205914	-0.060685	-0.032999	-0.023951	-0.005585
Chr01	205955	210380	-0.056651	-0.062090	-0.037957	-0.026786
Chr01	210418	216455	-0.368337	-0.264383	-0.173583	-0.239614
Chr01	216564	219304	-0.185631	-0.160168	-0.109300	-0.112393
Chr01	219310	224029	-0.209372	-0.272384	-0.155602	-0.127268
Chr01	224202	231023	-0.026200	-0.029920	-0.020361	-0.012186
Chr01	231089	237401	0.041404	0.042027	0.026613	0.032033
Chr01	237403	246365	0.053961	0.034255	0.025274	0.035567
Chr01	246369	251820	0.044643	0.044268	0.031584	0.045995
Chr01	251871	256145	-0.359347	-0.388490	-0.243068	-0.304490
Chr01	256149	260657	-0.773852	-0.408400	-0.252025	-0.581955
Chr01	260700	263021	-0.533007	-0.967678	-0.397687	-0.428571
Chr01	263044	265477	-0.344899	-0.320606	-0.195927	-0.275868
Chr01	265491	274270	-0.399506	-0.410735	-0.233088	-0.335196
Chr01	274337	280709	-0.082725	-0.076463	-0.048404	-0.041944
Chr01	280784	295510	-0.242184	-0.211651	-0.110065	-0.137891
Chr01	295724	313087	0.330135	0.169119	0.125073	0.255802
Chr01	313095	320303	0.389427	0.365200	0.181960	0.259591
Chr01	320358	340503	-0.020433	-0.009637	-0.005632	-0.016712
Chr01	340590	351870	-0.100733	-0.070152	-0.043232	-0.033379
Chr01	351876	369514	0.859561	0.457460	0.333794	0.596392
Chr01	369581	389058	0.348259	0.146123	0.108975	0.211948
Chr01	389070	400448	0.330175	0.184527	0.132360	0.191257
Chr01	400464	407694	0.297729	0.212417	0.129912	0.167905
Chr01	407722	427215	0.313225	0.077815	0.057283	0.171188
Chr01	427287	439275	0.522607	0.375000	0.203888	0.322928
Chr01	439356	455782	0.566455	0.145779	0.117348	0.367492
Chr01	456008	477517	0.185377	0.088709	0.057595	0.139645
Chr01	477572	485688	-0.097540	-0.058886	-0.033442	-0.066875
Chr01	485903	501375	0.455883	0.179427	0.123796	0.383317
Chr01	501570	518637	0.121246	0.059836	0.034884	0.072103
Chr01	518757	529679	0.911998	0.659127	0.412145	0.882195
Chr01	529680	561672	0.525253	0.210932	0.102754	0.418147
Chr01	561703	575457	0.498018	0.219332	0.146276	0.429312
Chr01	575458	580006	0.812553	0.490259	0.389356	0.779799
Chr01	580021	606145	0.827192	0.454110	0.377485	0.801697
Chr01	606149	619338	0.587143	0.287413	0.223450	0.484828
Chr01	619698	634367	0.208277	0.116999	0.070906	0.147118
Chr01	634441	654862	0.255500	0.073572	0.052713	0.125656
Chr01	654886	661894	0.512813	0.252040	0.197760	0.377128
Chr01	661921	681131	0.244784	0.130333	0.089068	0.215249
Chr01	681270	723137	-0.050912	-0.039789	-0.018210	-0.029941
Chr01	723393	797158	-0.101331	-0.053153	-0.032688	-0.047333
Chr01	797304	835273	-0.110420	-0.040951	-0.028153	-0.081094
Chr01	835317	848983	0.132473	0.094494	0.040110	0.094324
Chr01	849084	864124	0.039305	0.027915	0.010350	0.043603
Chr01	864173	878195	-0.104818	-0.101678	-0.042068	-0.086187
Chr01	878196	903819	0.021141	0.007778	0.005257	0.003833
Chr01	903832	927853	-0.438688	-0.093628	-0.074532	-0.301041
Chr01	927953	935694	-0.215799	-0.278485	-0.146379	-0.149594
Chr01	935889	977726	0.195179	0.062967	0.037428	0.177901
Chr01	977782	1013617	-0.579748	-0.073561	-0.048560	-0.267069
Chr01	1013774	1030816	-0.648948	-0.049938	-0.041215	-0.187781
Chr01	1030880	1049843	-0.188713	-0.028186	-0.019093	-0.057364
Chr01	1050070	1071183	-0.595979	-0.097341	-0.063672	-0.424391
Chr01	1071273	1103703	-0.604239	-0.090426	-0.059898	-0.565913
Chr01	1103707	1121384	-0.874808	-0.600564	-0.237605	-0.810884
Chr01	1121414	1143938	-0.392306	-0.109338	-0.077244	-0.288592
Chr01	1143957	1152344	-0.170061	-0.044506	-0.035327	-0.119174
Chr01	1152398	1165586	-0.292057	-0.070439	-0.054171	-0.240147
Chr01	1165621	1175917	0.689558	0.279325	0.220154	0.694915
Chr01	1175923	1189673	0.640439	0.212498	0.152125	0.418451
Chr01	1189939	1212543	-0.245703	-0.111053	-0.048692	-0.202737
Chr01	1212620	1264049	-0.099748	-0.047471	-0.019587	-0.073548
Chr01	1264620	1296157	-0.249889	-0.028271	-0.019025	-0.143449
Chr01	1296262	1314855	-0.450419	-0.299301	-0.172537	-0.450002
Chr01	1314867	1353611	-0.127846	-0.020888	-0.014803	-0.112103
Chr01	1357928	1380961	0.314403	0.038952	0.034142	0.080470
Chr01	1380963	1400669	-0.597795	-0.243698	-0.162714	-0.563566
Chr01	1400847	1417301	-0.359551	-0.102843	-0.077945	-0.277648
Chr01	1417309	1447256	0.355354	0.205412	0.122073	0.278914
Chr01	1447685	1456491	0.465497	0.193590	0.116345	0.424749
Chr01	1456600	1468123	0.842949	0.394351	0.236221	0.812115
Chr01	1468370	1486842	0.435735	0.132330	0.087306	0.346197
Chr01	1487035	1508225	0.001090	0.000194	0.000142	-0.010317
Chr01	1508263	1520242	-0.093007	-0.037163	-0.022333	-0.068514
Chr01	1520329	1536300	0.021517	0.004466	0.003342	0.009999
Chr01	1536322	1540944	-0.054143	-0.038077	-0.025079	-0.011794
Chr01	1541065	1547286	-0.171509	-0.112818	-0.065106	-0.093553
Chr01	1547332	1558367	-0.124569	-0.057293	-0.034002	-0.069258
Chr01	1558513	1571408	-0.750730	-0.719194	-0.248966	-0.582491
Chr01	1571486	1591548	-0.455904	-0.165236	-0.080793	-0.419724
Chr01	1591646	1634674	-0.172835	-0.052116	-0.028276	-0.182240
Chr01	1635138	1647735	-0.533865	-0.335918	-0.148856	-0.493520
Chr01	1647736	1665218	0.089329	0.037501	0.023155	0.071637
Chr01	1665243	1675724	0.539489	0.167803	0.125640	0.476141
Chr01	1675768	1686348	0.040706	0.013066	0.009270	0.043825
Chr01	1686425	1689463	0.055436	0.033302	0.022939	0.018928
Chr01	1689504	1692693	-0.087991	-0.043462	-0.030697	-0.027027
Chr01	1692695	1716835	-0.107716	-0.019318	-0.011731	-0.065173
Chr01	1716971	1779169	-0.275494	-0.071755	-0.037982	-0.284799
Chr01	1781835	1805467	0.043680	0.011013	0.006335	0.020968
Chr01	1806219	1830577	0.295545	0.066646	0.035220	0.261497
Chr01	1830882	1843989	0.339954	0.177622	0.112308	0.218143
Chr01	1843991	1860906	0.523752	0.216566	0.100620	0.385441
Chr01	1860933	1888842	-0.822513	-0.349708	-0.148968	-0.797873
Chr01	1890154	1915201	-0.667862	-0.194950	-0.092599	-0.637416
Chr01	1916844	1977189	-0.527799	-0.184451	-0.102346	-0.361446
Chr01	1977239	1992002	-0.530522	-0.339890	-0.113167	-0.346909
Chr01	1992060	2003971	0.361459	0.159847	0.082570	0.270698
Chr01	2004533	2017294	0.280697	0.107101	0.049940	0.158457
Chr01	2017302	2031962	-0.516983	-0.176134	-0.106817	-0.385738
Chr01	2032152	2042028	-0.300768	-0.184027	-0.107751	-0.265240
Chr01	2042061	2049670	0.114432	0.057821	0.036387	0.098914
Chr01	2049731	2063319	-0.238666	-0.067485	-0.048678	-0.178517
Chr01	2064330	2083327	-0.032651	-0.014905	-0.009357	-0.017213
Chr01	2083671	2094173	-0.535923	-0.200794	-0.148883	-0.440500
Chr01	2094210	2098431	0.335031	0.146083	0.118677	0.295852
Chr01	2098578	2108406	-0.350615	-0.235093	-0.107308	-0.327063
Chr01	2108527	2119857	-0.344934	-0.214009	-0.100087	-0.270951
Chr01	2121668	2154872	-0.138589	-0.033371	-0.024031	-0.123732
Chr01	2154896	2170424	-0.148995	-0.056474	-0.041846	-0.075414
Chr01	2170444	2181714	-0.085240	-0.038085	-0.028965	-0.056492
Chr01	2181775	2195870	0.531339	0.113509	0.081574	0.165542
Chr01	2195898	2208213	-0.248174	-0.157223	-0.091772	-0.153919
Chr01	2208402	2212738	-0.330961	-0.312918	-0.165075	-0.218608
Chr01	2212740	2220862	0.458923	0.266721	0.154079	0.280629
Chr01	2220994	2226073	0.696653	0.564858	0.399238	0.530725
Chr01	2226103	2231481	-0.066701	-0.060328	-0.028583	-0.033184
Chr01	2231508	2236608	0.048833	0.037421	0.020082	0.031905
Chr01	2236617	2248783	-0.183977	-0.115180	-0.071221	-0.116280
Chr01	2248809	2255826	0.048952	0.060503	0.026634	0.030711
Chr01	2255867	2261241	0.265427	0.197106	0.115054	0.120766
Chr01	2261271	2266045	-0.116064	-0.093767	-0.054645	-0.061936
Chr01	2266080	2272886	-0.317468	-0.421506	-0.234329	-0.211599
Chr01	2272898	2278097	-0.496916	-0.897323	-0.398834	-0.353251
Chr01	2278105	2293212	0.462790	0.164345	0.121294	0.291776
Chr01	2293232	2308425	-0.264582	-0.188143	-0.090695	-0.201061
Chr01	2308465	2338633	-0.000867	-0.000506	-0.000301	-0.008359
Chr01	2338652	2375667	-0.482273	-0.446835	-0.228425	-0.374354
Chr01	2375729	2382961	-0.558748	-0.546892	-0.215029	-0.372034
Chr01	2382972	2398934	-0.692866	-0.307518	-0.166877	-0.554009
Chr01	2400001	2415756	0.354226	0.105123	0.081023	0.317113
Chr01	2415848	2422646	0.276052	0.166336	0.102978	0.133355
Chr01	2422663	2428756	0.464767	0.319470	0.219656	0.258145
Chr01	2428759	2434364	0.435414	0.300190	0.184439	0.300114
Chr01	2434365	2441582	0.328149	0.220809	0.135355	0.211414
Chr01	2441667	2447586	0.413419	0.381967	0.190842	0.270060
Chr01	2447604	2470515	0.503794	0.378907	0.209989	0.346160
Chr01	2470608	2475647	0.553522	0.326984	0.217521	0.417662
Chr01	2475707	2483576	0.198745	0.101640	0.062868	0.089548
Chr01	2483625	2495128	-0.222123	-0.143241	-0.066328	-0.104610
Chr01	2495155	2500625	0.347413	0.230059	0.139324	0.128932
Chr01	2500663	2505725	0.509018	0.262998	0.161582	0.194607
Chr01	2505773	2511686	-0.123693	-0.107044	-0.065820	-0.079676
Chr01	2511738	2525244	0.165177	0.101482	0.059783	0.091182
Chr01	2525391	2534692	0.359063	0.299796	0.156366	0.217909
Chr01	2534750	2540656	0.286475	0.223976	0.136630	0.184360
Chr01	2541135	2577203	0.158647	0.055297	0.041032	0.120314
Chr01	2577336	2600120	-0.320755	-0.274046	-0.139736	-0.215466
Chr01	2600255	2605846	-0.922847	-1.479931	-0.403974	-0.909229
Chr01	2605848	2616795	-0.249633	-0.162615	-0.083915	-0.145020
Chr01	2616818	2620761	0.120604	0.060626	0.037956	0.071335
Chr01	2620770	2627551	-0.248843	-0.115760	-0.077782	-0.100948
Chr01	2628189	2641391	0.481114	0.341853	0.173657	0.339433
Chr01	2641622	2647194	0.096649	0.072879	0.037896	0.039227
Chr01	2647204	2657418	-0.283182	-0.460766	-0.128485	-0.191466
Chr01	2657525	2661878	0.278314	0.147113	0.107075	0.206513
Chr01	2661900	2666213	0.154443	0.090633	0.065886	0.131431
Chr01	2666245	2673875	-0.171311	-0.078802	-0.056258	-0.128475
Chr01	2673947	2681067	-0.185512	-0.111652	-0.064144	-0.095752
Chr01	2681185	2687509	-0.204553	-0.099263	-0.065011	-0.142311
Chr01	2687519	2692917	0.314239	0.250718	0.144139	0.166634
Chr01	2692970	2702238	0.413974	0.225376	0.152730	0.258491
Chr01	2702244	2706474	0.073275	0.055747	0.028261	0.047297
Chr01	2706514	2711829	0.512936	0.318395	0.184325	0.447418
Chr01	2711866	2715482	0.331451	0.245412	0.094702	0.216590
Chr01	2715514	2718065	0.432343	0.363939	0.182284	0.285592
Chr01	2718087	2721947	0.404608	0.260187	0.133542	0.340055
Chr01	2721956	2729058	0.092469	0.056392	0.027629	0.050349
Chr01	2729148	2734748	0.542506	0.394717	0.244031	0.374293
Chr01	2734831	2738393	0.148337	0.154844	0.081280	0.080053
Chr01	2738446	2751126	0.151271	0.118470	0.073530	0.091101
Chr01	2751196	2762561	0.032701	0.023349	0.015235	0.007150
Chr01	2762597	2770291	-0.089412	-0.103736	-0.065160	-0.071195
Chr01	2770328	2775472	0.061185	0.054228	0.042834	0.044747
Chr01	2775594	2784427	0.115652	0.116265	0.090218	0.090853
Chr01	2784910	2793646	-0.491978	-0.452905	-0.230418	-0.347250
Chr01	2793654	2802762	-0.615397	-0.574007	-0.284645	-0.474192
Chr01	2802790	2812374	-0.353333	-0.219104	-0.134984	-0.186936
Chr01	2812384	2817396	-0.331045	-0.171621	-0.112415	-0.223492
Chr01	2817429	2823834	-0.565616	-0.333237	-0.191762	-0.427406
Chr01	2823835	2844115	-0.326524	-0.123019	-0.084633	-0.170948
Chr01	2844278	2856052	-0.594977	-0.520864	-0.263342	-0.498948
Chr01	2856057	2869407	-0.712421	-0.774942	-0.258157	-0.363724
Chr01	2869794	2884052	0.097711	0.042679	0.026660	0.036846
Chr01	2884053	2897756	-0.579078	-0.621583	-0.230613	-0.433693
Chr01	2897786	2912639	-0.318504	-0.241675	-0.078680	-0.174772
Chr01	2912672	2918332	0.154012	0.176475	0.086162	0.089756
Chr01	2918337	2923923	-0.470240	-0.966771	-0.191608	-0.275406
Chr01	2923991	2938740	-0.195950	-0.197838	-0.075456	-0.133802
Chr01	2938756	2944296	0.346235	0.218638	0.122306	0.137973
Chr01	2944334	2953057	0.113775	0.060215	0.031975	0.030715
Chr01	2953141	2957465	0.585609	0.332974	0.214333	0.414810
Chr01	2957546	2967392	0.295173	0.231705	0.122365	0.211387
Chr01	2967608	2984367	0.148083	0.092511	0.045127	0.059265
Chr01	2984748	3013805	-0.132108	-0.057477	-0.022738	-0.030996
Chr01	3013827	3026395	-0.367232	-0.235188	-0.098844	-0.183407
Chr01	3026648	3032557	-0.163970	-0.139585	-0.044707	-0.077807
Chr01	3032569	3050314	-0.353880	-0.182477	-0.074782	-0.195899
Chr01	3050360	3068940	-0.185294	-0.152690	-0.071119	-0.099201
Chr01	3069085	3079555	-0.115572	-0.038893	-0.026228	-0.047240
Chr01	3079639	3086995	0.060622	0.013903	0.010928	0.031481
Chr01	3087044	3094557	-0.249011	-0.138274	-0.090251	-0.161749
Chr01	3094866	3117285	0.147890	0.063254	0.042963	0.111810
Chr01	3117358	3144673	0.009729	0.001861	0.001356	0.034642
Chr01	3145352	3168351	0.123329	0.032682	0.022498	0.124992
Chr01	3168472	3179980	-0.111178	-0.039740	-0.028098	-0.087018
Chr01	3180080	3199562	-0.228809	-0.092675	-0.046334	-0.124872
Chr01	3199737	3219791	-0.034863	-0.008059	-0.004412	-0.033168
Chr01	3219827	3248000	-0.465449	-0.139406	-0.085188	-0.415367
Chr01	3249558	3279347	-0.570071	-0.111204	-0.081838	-0.430976
Chr01	3279397	3298566	-0.534659	-0.483037	-0.208968	-0.415337
Chr01	3298616	3309517	-0.651128	-0.712272	-0.265730	-0.557051
Chr01	3309577	3333041	-0.405176	-0.126802	-0.074563	-0.366078
Chr01	3333063	3354422	-0.780781	-0.538869	-0.305688	-0.713233
Chr01	3354467	3372238	-0.431635	-0.183032	-0.094079	-0.357795
Chr01	3372976	3399679	-0.256509	-0.062502	-0.038565	-0.239511
Chr01	3399706	3413511	0.192026	0.055514	0.042856	0.094913
Chr01	3413515	3424725	0.108352	0.077077	0.045137	0.090300
Chr01	3424763	3437501	-0.608987	-0.372946	-0.180291	-0.494032
Chr01	3437507	3464413	-0.743408	-0.201180	-0.101025	-0.604406
Chr01	3464419	3481367	-0.471226	-0.234873	-0.121294	-0.360386
Chr01	3481385	3490464	-0.179165	-0.120086	-0.067510	-0.090740
Chr01	3490777	3513281	-0.119274	-0.042098	-0.024624	-0.062962
Chr01	3513580	3529499	0.782012	0.322754	0.223886	0.718391
Chr01	3529679	3538834	0.617123	0.304199	0.199433	0.424743
Chr01	3538901	3551037	0.955374	0.538477	0.477373	0.932985
Chr01	3551045	3558360	0.887451	0.591829	0.475727	0.816808
Chr01	3558396	3575593	0.891531	0.472817	0.310786	0.836579
Chr01	3575680	3586553	0.699740	0.277198	0.192605	0.623609
Chr01	3586614	3593853	0.684594	0.311695	0.243602	0.648045
Chr01	3593878	3634936	-0.526139	-0.102959	-0.068028	-0.409624
Chr01	3635259	3663960	-0.589714	-0.146478	-0.101254	-0.404524
Chr01	3664532	3689296	-0.545612	-0.178352	-0.098704	-0.423285
Chr01	3689329	3705533	-0.751379	-0.522364	-0.261401	-0.684896
Chr01	3706156	3757253	-0.520990	-0.279774	-0.121065	-0.469504
Chr01	3758159	3782802	0.605828	0.265125	0.135775	0.538249
Chr01	3782920	3794440	0.456882	0.191386	0.120465	0.389200
Chr01	3794528	3819054	-0.386169	-0.417612	-0.151038	-0.253598
Chr01	3819182	3840227	-0.207059	-0.095352	-0.053821	-0.178747
Chr01	3840230	3851142	-0.374876	-0.391718	-0.139646	-0.234734
Chr01	3851300	3865287	-0.624939	-0.414880	-0.185582	-0.366433
Chr01	3865310	3892442	-0.860225	-0.521709	-0.229978	-0.782414
Chr01	3892461	3924950	-0.857793	-0.599667	-0.219824	-0.764769
Chr01	3925260	3946725	-0.594138	-0.398588	-0.172273	-0.469496
