chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	212418	464568	0.039395	0.025347	0.017801	0.025143
Chr01	294049	578569	0.202415	0.110271	0.066132	0.118490
Chr01	464595	830171	0.107365	0.064088	0.035564	0.059634
Chr01	578609	1006196	0.014981	0.007270	0.004458	0.009500
Chr01	831808	1172211	-0.123088	-0.036190	-0.024323	-0.089966
Chr01	1006229	1403321	-0.227690	-0.066052	-0.043195	-0.178906
Chr01	1172799	1539641	0.012052	0.005170	0.003157	0.007158
Chr01	1403748	1676138	0.035082	0.016448	0.009997	0.022513
Chr01	1539655	1827128	-0.076277	-0.033202	-0.017573	-0.057129
Chr01	1676257	2003039	-0.037205	-0.015018	-0.007195	-0.023280
Chr01	1827173	2108527	-0.062509	-0.024773	-0.013591	-0.042337
Chr01	2003118	2225521	0.016114	0.007495	0.004818	0.006771
Chr01	2108539	2305616	-0.008518	-0.006142	-0.003598	-0.008899
Chr01	2225523	2432027	-0.061078	-0.064017	-0.031876	-0.035809
Chr01	2305656	2499888	-0.086715	-0.109609	-0.048209	-0.048695
Chr01	2432086	2605865	-0.142268	-0.165852	-0.075654	-0.080361
Chr01	2499892	2664568	-0.004300	-0.004018	-0.002081	0.000065
Chr01	2605904	2716671	0.173427	0.146373	0.078021	0.103781
Chr01	2664610	2776024	0.060615	0.058363	0.029449	0.034965
Chr01	2716719	2864560	-0.150519	-0.167045	-0.084366	-0.097042
Chr01	2776033	2952769	-0.169696	-0.195074	-0.091763	-0.095667
Chr01	2864605	3055164	0.033841	0.040291	0.016065	0.014694
Chr01	2952783	3170699	0.181286	0.129291	0.065395	0.096842
Chr01	3055179	3335164	-0.106904	-0.049612	-0.028405	-0.064208
Chr01	3170731	3478161	-0.288316	-0.126924	-0.072721	-0.192997
Chr01	3335934	3582283	0.152108	0.081093	0.049528	0.106577
Chr01	3478551	3790720	0.185165	0.098913	0.059508	0.140268
Chr01	3582311	3871632	-0.078383	-0.045765	-0.024680	-0.052384
Chr01	3790770	4031202	-0.262972	-0.201885	-0.096040	-0.175463
Chr01	3871684	4167369	-0.229363	-0.126743	-0.068788	-0.155262
Chr01	4031217	4290868	0.025985	0.013083	0.007466	0.016026
Chr01	4167378	4403088	0.047141	0.032763	0.015497	0.027827
Chr01	4290881	4468329	0.029495	0.028847	0.012915	0.020542
Chr01	4403136	4578119	-0.072681	-0.046573	-0.029257	-0.041835
Chr01	4468339	4686842	-0.132030	-0.076421	-0.045775	-0.083372
