chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	576417	825686	0.134603	0.084375	0.053396	0.089502
Superscaffold1	825688	1222176	0.035658	0.022000	0.012594	0.022725
Superscaffold1	1222340	1536085	-0.058990	-0.023344	-0.014734	-0.034450
Superscaffold1	1536109	2056048	-0.011654	-0.003907	-0.002168	-0.008160
Superscaffold1	2056416	2366050	-0.030420	-0.012224	-0.007259	-0.018973
Superscaffold1	2366061	2543491	0.111177	0.089523	0.051421	0.063007
Superscaffold1	2543524	2759905	-0.058114	-0.049293	-0.025798	-0.029160
Superscaffold1	2760017	2942742	-0.419471	-0.444472	-0.205735	-0.303493
Superscaffold1	2942990	3200288	-0.103667	-0.063541	-0.035236	-0.060779
Superscaffold1	3200688	3608650	-0.065781	-0.028166	-0.017015	-0.033672
Superscaffold1	3608737	3985568	-0.018507	-0.008539	-0.004648	-0.011830
Superscaffold1	3985883	4412212	0.010153	0.004535	0.002791	0.017608
Superscaffold1	4412246	4680561	-0.000963	-0.000601	-0.000317	0.002106
Superscaffold1	4680698	5046166	-0.146690	-0.069523	-0.044423	-0.093146
Superscaffold1	5046192	5594573	-0.055587	-0.014892	-0.010105	-0.041164
Superscaffold1	5594653	5897534	0.148840	0.068470	0.042943	0.099504
Superscaffold1	5897656	6304642	0.050380	0.021492	0.013020	0.031193
Superscaffold1	6304648	6688859	0.080656	0.032773	0.021719	0.056240
Superscaffold1	6688886	7185030	-0.140059	-0.051256	-0.029976	-0.094493
Superscaffold1	7185701	7551284	-0.025792	-0.011728	-0.006910	-0.016723
Superscaffold1	7551329	8454074	-0.085541	-0.018311	-0.012451	-0.051252
Superscaffold1	8454358	9378072	0.083177	0.032754	0.020885	0.051807
Superscaffold1	9381174	10542240	-0.031316	-0.012053	-0.007637	-0.023356
Superscaffold1	10542977	10848034	0.029595	0.013853	0.008891	0.019579
Superscaffold1	10848156	11226995	-0.133140	-0.048060	-0.028938	-0.083558
Superscaffold1	11227112	11520231	-0.237422	-0.133837	-0.085351	-0.166534
Superscaffold1	11520566	11982065	-0.099306	-0.032486	-0.020760	-0.069059
Superscaffold1	11982069	12319514	-0.322217	-0.203589	-0.112417	-0.209789
Superscaffold1	12319649	12639690	-0.104308	-0.053890	-0.033277	-0.066700
Superscaffold1	12639835	13007667	-0.029282	-0.012942	-0.006533	-0.017738
Superscaffold1	13007677	13761988	-0.131313	-0.030459	-0.019303	-0.102801
Superscaffold1	13765998	14408578	-0.107486	-0.035436	-0.020538	-0.078852
Superscaffold1	14408601	14853536	-0.010494	-0.003523	-0.002158	-0.004423
Superscaffold1	14854173	15268371	-0.110599	-0.029314	-0.020760	-0.090607
Superscaffold1	15268654	15671815	-0.296207	-0.087689	-0.055675	-0.227352
Superscaffold1	15671931	16045643	-0.226339	-0.080922	-0.047476	-0.157902
Superscaffold1	16045711	16429227	-0.154229	-0.056221	-0.031989	-0.101631
Superscaffold1	16429229	16766364	-0.126893	-0.072027	-0.041735	-0.082588
Superscaffold1	16766399	17201552	0.069852	0.026711	0.015934	0.052769
Superscaffold1	17201567	17733854	0.131349	0.051024	0.029193	0.093475
Superscaffold1	17733986	18326036	-0.244465	-0.175192	-0.076278	-0.118606
Superscaffold1	18326038	18802447	-0.173994	-0.076857	-0.042180	-0.104486
Superscaffold1	18802530	19128576	0.100706	0.044635	0.030004	0.072222
Superscaffold1	19128613	19577496	0.264371	0.134428	0.093600	0.197833
Superscaffold1	19577550	19869744	0.000057	0.000026	0.000017	0.001345
Superscaffold1	19869774	20266376	0.078136	0.024135	0.015392	0.047816
Superscaffold1	20266401	20986967	-0.044247	-0.019717	-0.010220	-0.028308
Superscaffold1	20987009	21332687	0.051741	0.019257	0.011389	0.035056
Superscaffold1	21332837	21689935	-0.182197	-0.086785	-0.044506	-0.122415
Superscaffold1	21690007	22069554	0.106010	0.055886	0.031581	0.068531
Superscaffold1	22069712	22621104	0.196462	0.053351	0.032077	0.145072
Superscaffold1	22621143	23119025	0.380051	0.122181	0.072063	0.304313
Superscaffold1	23119044	23610496	-0.050885	-0.014805	-0.008374	-0.043052
Superscaffold1	23610578	23980598	-0.255176	-0.115778	-0.060054	-0.159742
Superscaffold1	23980668	24426385	-0.080930	-0.029113	-0.018410	-0.050590
Superscaffold1	24426887	24830584	0.092711	0.029384	0.018894	0.073769
Superscaffold1	24830593	25343318	-0.171089	-0.056002	-0.032507	-0.124074
Superscaffold1	25343371	25684485	-0.042327	-0.016977	-0.010137	-0.031895
Superscaffold1	25684669	26064673	-0.286168	-0.130015	-0.082902	-0.207099
Superscaffold1	26064875	26380792	-0.182688	-0.081395	-0.039724	-0.107529
Superscaffold1	26380851	26936119	0.031184	0.007313	0.004847	0.020892
Superscaffold1	26936450	27340623	-0.272512	-0.089194	-0.047401	-0.191587
Superscaffold1	27341944	27728825	0.021563	0.009378	0.005357	0.010095
Superscaffold1	27728902	27957269	-0.171355	-0.145949	-0.068479	-0.104105
Superscaffold1	27957507	28241775	0.201501	0.099214	0.058996	0.110555
Superscaffold1	28241781	28712358	-0.104129	-0.035713	-0.022447	-0.069231
Superscaffold1	28712378	29218067	0.085649	0.021984	0.014062	0.067685
Superscaffold1	29218270	29507006	0.069125	0.037832	0.019481	0.041651
Superscaffold1	29507068	29861101	-0.231987	-0.116036	-0.053142	-0.157911
Superscaffold1	29861120	30190245	-0.151738	-0.064785	-0.038628	-0.083009
Superscaffold1	30190290	30906345	0.006734	0.002166	0.001254	0.004041
Superscaffold1	30906368	31312993	-0.141922	-0.045795	-0.026060	-0.103404
