chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55036	64151	-0.135775	-0.056735	-0.045657	-0.100469
Chr01	64180	71028	0.934934	0.365328	0.333751	0.763918
Chr01	71036	77069	0.083423	0.047603	0.036209	0.069543
Chr01	77070	81771	-0.340330	-0.334029	-0.200771	-0.248780
Chr01	81823	129218	-0.456583	-0.379565	-0.188474	-0.337638
Chr01	129988	149791	-0.665655	-0.752660	-0.264407	-0.494557
Chr01	149860	153483	-0.823123	-2.755163	-0.420500	-0.539272
Chr01	153484	166228	-0.494380	-0.907967	-0.275612	-0.272500
Chr01	166238	181579	-0.309081	-0.832496	-0.241468	-0.158431
Chr01	181584	185065	0.115793	0.299274	0.153069	0.063845
Chr01	185077	187888	0.174714	0.358369	0.157115	0.083076
Chr01	188042	192825	0.094816	0.212470	0.086974	0.051401
Chr01	192842	202898	0.133441	0.198429	0.126185	0.085818
Chr01	202912	206295	-0.078645	-0.146208	-0.060638	-0.058857
Chr01	206343	209502	-0.101336	-0.177659	-0.081037	-0.061889
Chr01	209519	213415	-0.050937	-0.059388	-0.032854	-0.029884
Chr01	213449	216631	-0.071556	-0.065866	-0.042659	-0.046247
Chr01	216632	218453	-0.065630	-0.129303	-0.060814	-0.045738
Chr01	218478	220483	-0.064833	-0.084839	-0.045291	-0.049529
Chr01	220503	224636	-0.134658	-0.217103	-0.113595	-0.067959
Chr01	224638	228735	-0.052098	-0.144008	-0.050642	-0.021913
Chr01	228768	233259	-0.014162	-0.030342	-0.016178	-0.002724
Chr01	233276	236887	-0.164969	-0.309244	-0.135937	-0.083124
Chr01	236889	241718	-0.191932	-0.214967	-0.108041	-0.130425
Chr01	241863	247860	-0.029009	-0.033856	-0.017041	-0.008837
Chr01	247900	250709	-0.136720	-0.464403	-0.130710	-0.047501
Chr01	250742	253710	0.074203	0.114027	0.066968	0.047160
Chr01	253714	255602	-0.265185	-2.359156	-0.233780	-0.135672
Chr01	255606	258140	-0.361845	-2.012359	-0.297467	-0.213535
Chr01	258152	261408	-0.520018	-1.879972	-0.365028	-0.344178
Chr01	261410	263313	-0.618299	-11.698140	-0.487138	-0.385882
Chr01	263385	264589	-0.257666	-0.773754	-0.210284	-0.146644
Chr01	264608	269521	-0.645737	-4.488196	-0.469482	-0.459592
Chr01	269538	272790	0.156049	0.214892	0.114956	0.090688
Chr01	273120	275875	-0.135264	-0.205792	-0.060652	-0.056017
Chr01	275878	278392	0.027304	0.041262	0.019329	0.021684
Chr01	278400	289677	0.001505	0.002239	0.000977	-0.001397
Chr01	289697	308368	0.180620	0.129381	0.067713	0.108221
Chr01	308981	313938	0.223587	0.209662	0.152180	0.183182
Chr01	314140	319222	-0.085130	-0.176961	-0.059110	-0.050726
Chr01	319405	331076	-0.078270	-0.056678	-0.030871	-0.060179
Chr01	331793	344929	0.011372	0.004950	0.003439	0.008990
Chr01	344960	354090	0.010523	0.010097	0.006891	0.006838
Chr01	354100	383392	0.868143	0.307323	0.236669	0.670703
Chr01	383437	390114	0.122865	0.117801	0.081241	0.063838
Chr01	390172	396593	0.080951	0.088509	0.059314	0.033465
Chr01	396599	403203	0.068538	0.116657	0.047176	0.022165
Chr01	403219	408048	0.154686	0.210764	0.100216	0.070832
Chr01	408114	418774	0.333065	0.221620	0.104790	0.120056
Chr01	418796	426528	0.435378	0.318773	0.242215	0.323415
Chr01	426643	433829	0.390390	0.443013	0.180072	0.251933
Chr01	433852	442139	0.556942	0.439455	0.264844	0.263928
Chr01	442146	449564	0.043789	0.041548	0.024283	0.018638
Chr01	449578	453356	0.352263	0.401114	0.256302	0.207013
Chr01	454136	465886	0.062520	0.061903	0.029048	0.035521
Chr01	465890	477143	-0.286410	-0.459379	-0.146486	-0.167906
Chr01	477242	480792	-0.096400	-0.187258	-0.049686	-0.045854
Chr01	480798	487733	-0.193413	-0.146674	-0.075492	-0.112504
Chr01	487770	496192	0.021940	0.013483	0.007016	0.015522
Chr01	496221	499869	-0.185884	-0.140166	-0.068283	-0.115583
Chr01	499930	511491	-0.496998	-0.675249	-0.212683	-0.321856
Chr01	511500	517429	-0.185687	-0.176227	-0.066320	-0.066450
Chr01	517504	524743	0.532493	0.544953	0.249222	0.385619
Chr01	524864	530527	0.657317	0.618526	0.293971	0.536007
Chr01	530586	558517	0.413884	0.245898	0.074710	0.304896
Chr01	558573	567161	0.522981	0.226105	0.148734	0.398067
Chr01	567171	575540	0.675848	0.549118	0.344300	0.462903
Chr01	575543	577983	0.689669	0.461618	0.360191	0.472701
Chr01	578017	588681	0.744974	0.577580	0.427610	0.587572
Chr01	588687	607695	0.930911	0.645184	0.526189	0.894661
Chr01	607701	617894	0.634315	0.541556	0.354560	0.471234
Chr01	617942	624739	0.119596	0.129399	0.067834	0.050794
Chr01	624740	629782	-0.012491	-0.011614	-0.007543	-0.002141
Chr01	629822	635628	0.188761	0.146002	0.109876	0.053822
Chr01	635636	641142	0.269793	0.177047	0.124612	0.105985
Chr01	641178	650755	0.040135	0.024110	0.013396	0.017059
Chr01	650776	656524	-0.024710	-0.019172	-0.011170	-0.011106
Chr01	656532	660581	-0.040585	-0.015434	-0.011745	-0.015685
Chr01	660626	670161	0.006715	0.002245	0.001838	0.001341
Chr01	670162	680515	-0.261491	-0.190662	-0.113364	-0.167336
Chr01	680845	694162	-0.591719	-1.250405	-0.331125	-0.457961
Chr01	694185	706108	-0.570038	-1.250669	-0.277624	-0.397972
Chr01	709288	758585	0.055413	0.032295	0.020745	0.023322
Chr01	758638	801788	-0.353007	-0.275704	-0.119232	-0.143892
Chr01	801793	832256	0.102239	0.080550	0.045580	0.056714
Chr01	832363	841134	0.048990	0.059552	0.014888	0.032842
Chr01	841211	853392	0.149987	0.118610	0.029720	0.093954
Chr01	853451	863549	0.346614	0.528093	0.108805	0.203010
Chr01	863602	870672	-0.042823	-0.058282	-0.013600	-0.024303
Chr01	870703	878667	0.014213	0.028441	0.012300	-0.003946
Chr01	878693	892562	-0.062440	-0.144250	-0.056579	-0.029168
Chr01	892580	901506	-0.234410	-0.175600	-0.100100	-0.080775
Chr01	901559	910628	-0.534822	-0.404137	-0.188891	-0.346148
Chr01	910639	929786	-0.083942	-0.125021	-0.064014	-0.053427
Chr01	929852	935889	-0.324631	-1.344105	-0.262548	-0.168378
Chr01	935909	955806	-0.151724	-0.057303	-0.036728	-0.050931
Chr01	955900	968611	-0.428546	-0.392880	-0.117515	-0.154760
Chr01	968687	978098	0.445840	0.457780	0.143562	0.276191
Chr01	978206	985826	-0.215659	-0.121494	-0.073408	-0.091881
Chr01	985847	1008752	-0.513639	-0.158478	-0.076060	-0.219650
Chr01	1008812	1015427	-0.131445	-0.145750	-0.065517	-0.040867
Chr01	1015432	1028225	0.144371	0.030482	0.021099	0.046118
Chr01	1028293	1031912	0.043820	0.050852	0.022648	0.004964
Chr01	1031955	1038457	-0.363256	-0.149376	-0.063250	-0.143094
Chr01	1038564	1045877	-0.008142	-0.007388	-0.004715	-0.002478
Chr01	1045886	1054488	0.269636	0.134938	0.062280	0.090478
Chr01	1054517	1065939	-0.072433	-0.043052	-0.014060	-0.055873
Chr01	1065970	1080675	-0.390153	-0.102065	-0.066323	-0.122247
Chr01	1080685	1090014	-0.368552	-0.102158	-0.073123	-0.165997
Chr01	1091477	1099164	0.002322	0.001201	0.000610	0.001274
Chr01	1099183	1108973	-0.628150	-0.305539	-0.112689	-0.249113
Chr01	1109350	1121448	-0.258856	-0.170231	-0.064885	-0.121511
Chr01	1121480	1140310	-0.406420	-0.221735	-0.140314	-0.317307
Chr01	1140370	1146479	-0.096618	-0.040129	-0.025799	-0.049586
Chr01	1146511	1151808	-0.126238	-0.047042	-0.032136	-0.053371
Chr01	1151811	1156970	-0.594278	-0.318263	-0.177002	-0.404269
Chr01	1156974	1164753	-0.210986	-0.098376	-0.063717	-0.097099
Chr01	1164781	1168946	0.133154	0.084428	0.064313	0.051457
Chr01	1169114	1174123	0.169576	0.100107	0.066647	0.069823
Chr01	1174186	1179437	0.310962	0.147311	0.105402	0.144282
Chr01	1179647	1186138	0.158224	0.075213	0.046451	0.091193
Chr01	1186224	1198553	-0.223610	-0.103891	-0.058699	-0.069708
Chr01	1198654	1206772	-0.251291	-0.263710	-0.060664	-0.185425
Chr01	1206780	1212684	-0.353523	-0.257718	-0.088811	-0.229301
Chr01	1212738	1231604	-0.292155	-0.249838	-0.069673	-0.211312
Chr01	1231617	1256321	-0.392112	-0.491368	-0.115088	-0.228173
Chr01	1256358	1292479	-0.345613	-0.034357	-0.024503	-0.190287
Chr01	1292488	1299552	0.073117	0.023638	0.015659	0.019534
Chr01	1299595	1309366	-0.398262	-0.245476	-0.126711	-0.263135
Chr01	1309468	1315149	-0.094325	-0.050780	-0.028689	-0.045551
Chr01	1315161	1319910	-0.774046	-0.515524	-0.215286	-0.500902
Chr01	1319920	1327918	-0.283810	-0.074473	-0.052310	-0.043685
Chr01	1327942	1334735	0.212253	0.050736	0.040343	0.054028
Chr01	1334790	1369180	-0.238979	-0.174469	-0.058505	-0.122335
Chr01	1369214	1377736	-0.451543	-0.620044	-0.151280	-0.180197
Chr01	1378331	1383998	0.246872	0.254704	0.110665	0.132845
Chr01	1384068	1393233	0.126230	0.061256	0.031142	0.093740
Chr01	1393235	1403657	0.213110	0.128440	0.083648	0.179441
Chr01	1403743	1424695	0.034037	0.012623	0.008688	0.017161
Chr01	1424768	1451165	0.514946	0.206197	0.119108	0.411565
Chr01	1451187	1456600	0.389099	0.191185	0.103824	0.298624
Chr01	1456642	1461527	0.168454	0.059324	0.039751	0.079666
Chr01	1461554	1467406	0.066638	0.014790	0.008622	0.022090
Chr01	1467429	1472055	0.034458	0.012859	0.008264	0.004642
Chr01	1472174	1479144	-0.059894	-0.013498	-0.009587	-0.039524
Chr01	1479370	1488045	-0.542814	-0.288809	-0.165826	-0.397832
Chr01	1488058	1495180	-0.275464	-0.101361	-0.057924	-0.124598
Chr01	1495206	1502841	-0.018966	-0.009211	-0.006145	-0.008276
Chr01	1502978	1509073	0.052258	0.048080	0.024631	0.018887
Chr01	1509092	1515019	-0.128748	-0.107130	-0.053095	-0.057480
Chr01	1515025	1522768	-0.042357	-0.042809	-0.018921	-0.022079
Chr01	1522836	1533461	0.090324	0.072045	0.040510	0.041070
Chr01	1533523	1536323	0.001368	0.001573	0.000959	-0.004117
Chr01	1536441	1540351	-0.230421	-0.294392	-0.158675	-0.101175
Chr01	1540365	1544117	-0.163256	-0.280210	-0.139798	-0.088707
Chr01	1544207	1549489	0.102570	0.062742	0.036160	0.052691
Chr01	1549605	1556355	0.211940	0.147604	0.089763	0.107995
Chr01	1556379	1564974	0.303854	0.153379	0.066355	0.204993
Chr01	1564978	1574640	0.166781	0.111398	0.040857	0.114482
Chr01	1574659	1584614	0.381644	0.220809	0.093881	0.310660
Chr01	1584621	1593736	-0.118979	-0.081723	-0.032715	-0.164180
Chr01	1593910	1618888	0.541467	0.277821	0.106056	0.465338
Chr01	1619340	1629717	-0.346162	-0.285173	-0.085075	-0.222859
Chr01	1629718	1636821	0.075161	0.042934	0.024489	0.031508
Chr01	1636877	1643146	0.469440	0.126191	0.078533	0.152588
Chr01	1643310	1652317	-0.518563	-0.347979	-0.112860	-0.346598
Chr01	1652471	1657032	0.612891	0.164425	0.120346	0.255035
Chr01	1657069	1663540	0.252106	0.129005	0.083613	0.188666
Chr01	1664623	1669963	0.523796	0.220106	0.143631	0.387272
Chr01	1669966	1675703	-0.221296	-0.417279	-0.157491	-0.083487
Chr01	1675706	1681880	-0.095204	-0.164960	-0.056827	-0.039646
Chr01	1681892	1687647	-0.254325	-0.401048	-0.140879	-0.120317
Chr01	1687691	1690207	-0.135460	-0.245482	-0.102152	-0.062415
Chr01	1690208	1693594	-0.348700	-0.874323	-0.217073	-0.188130
Chr01	1693599	1699973	-0.762764	-3.259539	-0.350209	-0.438495
Chr01	1700003	1704748	-0.577653	-1.325213	-0.284800	-0.430064
Chr01	1704782	1715516	0.187511	0.121067	0.056500	0.054365
Chr01	1715649	1731132	-0.437039	-0.640385	-0.134207	-0.294107
Chr01	1731209	1738995	-0.336065	-0.282610	-0.083513	-0.240023
Chr01	1739027	1746718	-0.503121	-0.742322	-0.165018	-0.417638
Chr01	1746857	1756667	-0.567383	-0.834978	-0.235532	-0.438609
Chr01	1756699	1790638	-0.529080	-0.299672	-0.105868	-0.310919
Chr01	1790680	1796722	0.205467	0.098822	0.047458	0.131869
Chr01	1797019	1805230	-0.176375	-0.246947	-0.036026	-0.136036
Chr01	1805337	1811774	0.539576	0.281407	0.114682	0.470119
Chr01	1811822	1817548	0.220320	0.124244	0.038936	0.125177
Chr01	1817560	1827174	-0.374460	-0.477350	-0.111075	-0.182412
Chr01	1827230	1841964	0.389835	0.317990	0.100482	0.232795
Chr01	1841976	1845906	0.651878	0.757856	0.495851	0.484149
Chr01	1845934	1851379	0.526613	0.594308	0.179090	0.439210
Chr01	1851397	1862204	0.122683	0.079566	0.033264	0.064125
Chr01	1862238	1879897	-0.376998	-0.130403	-0.045225	-0.201678
Chr01	1879985	1891678	-0.336065	-0.215634	-0.070295	-0.244807
Chr01	1891718	1897267	-0.806192	-2.112233	-0.314918	-0.710204
Chr01	1897275	1903966	-0.807001	-1.833290	-0.340327	-0.745121
Chr01	1903985	1916562	-0.703083	-0.631948	-0.212937	-0.662622
Chr01	1916793	1950888	-0.347968	-0.248716	-0.116230	-0.218038
Chr01	1951515	1976119	-0.510966	-0.311778	-0.086514	-0.161191
Chr01	1976141	1983774	-0.488039	-0.808241	-0.120784	-0.174508
Chr01	1983848	1991780	-0.305241	-0.726950	-0.102356	-0.133715
Chr01	1991872	1995494	0.035005	0.063340	0.012679	0.012467
Chr01	1995567	2002935	0.534277	0.381932	0.200241	0.357989
Chr01	2002975	2009808	-0.101764	-0.047146	-0.018846	-0.079884
Chr01	2009821	2019575	0.119758	0.041320	0.021696	0.052597
Chr01	2019611	2027975	0.083195	0.056902	0.032283	0.048555
Chr01	2027986	2033189	0.155495	0.159908	0.083490	0.095439
Chr01	2033337	2041359	0.203367	0.150575	0.087709	0.116100
Chr01	2041459	2046447	-0.207571	-0.114608	-0.067155	-0.109840
Chr01	2046566	2051818	0.152574	0.126896	0.058014	0.073126
Chr01	2051879	2059350	0.362484	0.215514	0.148068	0.152911
Chr01	2059492	2069321	-0.251921	-0.253508	-0.077664	-0.126924
Chr01	2069331	2077995	-0.209494	-0.244644	-0.086161	-0.095892
Chr01	2078093	2088160	0.532614	0.410087	0.206202	0.354575
Chr01	2088174	2095611	0.458899	0.361261	0.237155	0.344940
Chr01	2095626	2102455	-0.109477	-0.111072	-0.050093	-0.070159
Chr01	2102513	2112380	-0.470466	-1.054874	-0.136205	-0.367102
Chr01	2112623	2119857	0.207676	0.143603	0.065455	0.114878
Chr01	2120093	2131333	0.193400	0.087975	0.052111	0.109995
Chr01	2131339	2152082	-0.196980	-0.094196	-0.060347	-0.057591
Chr01	2152085	2170110	0.349229	0.183328	0.114371	0.144661
Chr01	2170118	2180008	0.151117	0.098406	0.063012	0.043889
Chr01	2180039	2184889	0.673712	0.474986	0.354720	0.483664
Chr01	2184896	2188945	0.113362	0.146687	0.055820	0.071283
Chr01	2188948	2201052	0.230488	0.207868	0.126787	0.142387
