chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	559995	750103	-0.054721	-0.050390	-0.028064	-0.032641
Superscaffold1	750110	960952	0.125556	0.091356	0.048183	0.081346
Superscaffold1	961229	1282303	0.097084	0.060193	0.035021	0.054490
Superscaffold1	1282324	1497312	0.156193	0.105192	0.056940	0.066988
Superscaffold1	1497446	1872777	0.162167	0.069291	0.041947	0.082297
Superscaffold1	1872813	2101268	0.100543	0.059227	0.025813	0.069426
Superscaffold1	2101594	2308690	-0.020192	-0.013513	-0.007184	-0.014660
Superscaffold1	2308745	2460678	-0.042615	-0.038058	-0.021359	-0.028423
Superscaffold1	2460700	2656771	-0.201928	-0.144874	-0.084507	-0.131819
Superscaffold1	2656803	2804382	-0.104008	-0.105148	-0.051415	-0.066906
Superscaffold1	2804391	3039563	0.124279	0.101670	0.050096	0.082283
Superscaffold1	3039646	3251649	-0.024730	-0.020673	-0.011002	-0.013270
Superscaffold1	3251737	3536589	0.051974	0.027636	0.016442	0.034853
Superscaffold1	3536603	3772451	0.121789	0.090305	0.042396	0.076493
Superscaffold1	3772519	4015042	0.075757	0.054171	0.026120	0.045761
Superscaffold1	4015056	4400935	0.179780	0.111048	0.062343	0.120229
Superscaffold1	4400971	4660537	0.276013	0.207611	0.116434	0.200717
Superscaffold1	4660660	4913956	0.040395	0.028735	0.016615	0.022435
Superscaffold1	4914290	5229073	0.292478	0.212685	0.118173	0.195641
Superscaffold1	5229122	5596108	0.157886	0.064743	0.043007	0.088758
Superscaffold1	5596157	5952306	0.070146	0.027414	0.018693	0.049232
Superscaffold1	5952448	6377393	-0.173040	-0.074117	-0.047425	-0.123162
Superscaffold1	6377426	6784513	0.138498	0.060886	0.039198	0.103099
Superscaffold1	6784529	7212640	-0.316830	-0.128812	-0.079470	-0.218472
Superscaffold1	7212701	7523707	-0.043450	-0.021623	-0.012465	-0.023372
Superscaffold1	7523740	8016498	-0.057443	-0.023150	-0.013589	-0.027394
Superscaffold1	8016501	8643225	0.110944	0.048911	0.029165	0.069444
Superscaffold1	8643294	9762216	0.116033	0.049489	0.032921	0.076997
Superscaffold1	9762264	10610748	-0.028508	-0.012873	-0.008249	-0.011116
Superscaffold1	10610791	10847935	0.105950	0.061161	0.037793	0.062521
Superscaffold1	10847956	11139553	0.087289	0.051366	0.029105	0.062979
Superscaffold1	11139581	11474320	-0.482703	-0.247215	-0.152406	-0.385500
Superscaffold1	11476018	11740809	0.237677	0.126720	0.071173	0.177187
Superscaffold1	11740898	11966128	0.094214	0.067582	0.037504	0.059576
Superscaffold1	11966172	12242077	0.140249	0.101656	0.057011	0.090282
Superscaffold1	12242090	12512154	0.025651	0.016887	0.010003	0.018216
Superscaffold1	12512156	12856576	-0.065523	-0.033357	-0.017120	-0.041311
Superscaffold1	12856615	13260942	0.274168	0.108534	0.065723	0.210312
Superscaffold1	13260962	13753499	0.476481	0.347207	0.170067	0.362572
Superscaffold1	13753532	14337524	-0.306991	-0.137970	-0.076527	-0.234740
Superscaffold1	14337756	14764729	-0.037641	-0.013327	-0.008087	-0.028897
Superscaffold1	14764735	15049490	-0.046386	-0.025142	-0.014400	-0.028397
Superscaffold1	15049508	15265373	0.239772	0.090565	0.063373	0.156816
Superscaffold1	15265443	15671475	-0.168512	-0.054162	-0.033899	-0.131438
Superscaffold1	15671561	16092777	-0.037295	-0.012411	-0.007711	-0.028440
Superscaffold1	16092811	16472771	-0.092125	-0.032991	-0.020222	-0.069573
Superscaffold1	16473124	16814325	-0.013544	-0.007433	-0.004459	-0.013938
Superscaffold1	16814328	17182882	0.006450	0.002943	0.001754	0.006717
Superscaffold1	17183068	17670752	0.022295	0.009157	0.005425	0.019196
Superscaffold1	17670796	18315487	-0.289853	-0.181356	-0.090803	-0.171148
Superscaffold1	18315534	18748530	-0.004368	-0.001570	-0.000950	-0.003107
Superscaffold1	18749569	19130114	-0.406808	-0.202589	-0.120296	-0.283032
Superscaffold1	19130140	19502999	0.013394	0.007504	0.004783	0.006206
Superscaffold1	19503050	19825379	0.213970	0.099805	0.066805	0.168846
Superscaffold1	19825462	20147921	-0.045294	-0.021529	-0.012647	-0.035240
Superscaffold1	20147922	20570213	0.030539	0.010100	0.006507	0.017048
Superscaffold1	20570477	21169463	-0.049792	-0.021422	-0.011793	-0.036102
Superscaffold1	21169541	21394613	0.190686	0.097499	0.052473	0.106753
Superscaffold1	21394617	21716730	0.093535	0.036027	0.020497	0.054281
Superscaffold1	21716780	22175762	-0.046986	-0.017349	-0.011058	-0.034313
Superscaffold1	22176148	22754960	0.301792	0.087565	0.055619	0.225485
Superscaffold1	22754981	23138048	0.469178	0.240265	0.137240	0.399225
Superscaffold1	23139258	23697565	-0.067078	-0.017162	-0.010262	-0.048153
Superscaffold1	23697622	24132644	-0.223541	-0.081785	-0.049815	-0.164333
Superscaffold1	24132784	24637342	0.054046	0.016085	0.010675	0.038667
Superscaffold1	24638737	24917936	0.019671	0.007810	0.005005	0.017469
Superscaffold1	24917941	25404065	-0.171398	-0.056273	-0.033459	-0.107873
Superscaffold1	25404109	25759688	0.131661	0.051709	0.032533	0.092475
Superscaffold1	25760151	25937784	-0.160465	-0.138568	-0.081216	-0.090653
Superscaffold1	25937794	26270092	-0.239118	-0.124374	-0.062355	-0.173765
Superscaffold1	26270326	26522125	0.318947	0.143418	0.086184	0.229540
Superscaffold1	26524436	27215795	-0.200467	-0.035464	-0.022675	-0.146811
Superscaffold1	27225796	27500407	-0.186304	-0.101612	-0.056250	-0.129083
Superscaffold1	27500641	27828187	-0.040761	-0.016746	-0.010405	-0.033816
Superscaffold1	27828215	28060888	-0.223410	-0.178397	-0.096604	-0.152452
Superscaffold1	28060996	28339108	-0.206733	-0.116036	-0.071271	-0.137471
Superscaffold1	28339116	28678476	0.042499	0.030859	0.018553	0.027902
Superscaffold1	28678508	28802844	-0.094218	-0.122647	-0.063447	-0.051622
Superscaffold1	28802851	29273372	-0.273610	-0.081378	-0.050399	-0.202558
Superscaffold1	29273386	29547672	0.172670	0.080571	0.050182	0.125490
Superscaffold1	29547700	29862974	-0.054460	-0.026984	-0.013797	-0.043678
Superscaffold1	29863145	30204155	-0.165848	-0.081928	-0.051644	-0.101182
Superscaffold1	30204418	30818222	-0.080021	-0.022889	-0.015441	-0.046173
Superscaffold1	30818225	31213932	0.063934	0.021835	0.013635	0.048638
Superscaffold1	31214168	31639160	-0.200325	-0.081236	-0.048516	-0.147678
Superscaffold1	31639220	32402416	0.111784	0.032746	0.019948	0.055092
Superscaffold1	32402437	32756348	0.292619	0.105884	0.070778	0.224424
Superscaffold1	32756421	33222233	-0.252427	-0.083780	-0.052002	-0.179022
Superscaffold1	33222318	33542280	-0.054499	-0.023789	-0.016296	-0.040806
Superscaffold1	33542282	33801715	-0.082559	-0.075752	-0.036019	-0.051956
Superscaffold1	33801751	34018126	-0.036162	-0.019974	-0.012285	-0.016888
Superscaffold1	34018279	34211918	0.071581	0.032467	0.018570	0.046920
Superscaffold1	34211964	34451247	-0.023459	-0.013600	-0.007616	-0.014116
Superscaffold1	34451334	34901137	-0.069973	-0.019228	-0.013105	-0.052055
Superscaffold1	34901171	35463244	0.199959	0.072419	0.047822	0.138663
Superscaffold1	35463274	36460379	-0.138169	-0.051963	-0.031178	-0.089938
Superscaffold1	36462858	37143669	0.009372	0.002759	0.001852	0.007798
Superscaffold1	37143836	37529277	0.155630	0.055097	0.036552	0.119549
Superscaffold1	37529364	37902839	-0.058113	-0.025135	-0.015010	-0.039118
Superscaffold1	37902978	38436646	0.337137	0.135801	0.087505	0.265148
Superscaffold1	38436648	38838760	0.075959	0.024244	0.016239	0.057541
Superscaffold1	38838984	39106038	-0.092733	-0.030248	-0.019050	-0.079182
Superscaffold1	39106165	39380612	-0.265203	-0.095634	-0.054034	-0.192908
Superscaffold1	39380632	39695549	-0.140130	-0.046405	-0.031074	-0.088957
Superscaffold1	39695734	39928631	0.245139	0.092230	0.054343	0.183585
Superscaffold1	39928649	40228567	0.226101	0.059091	0.040814	0.126283
Superscaffold1	40229664	40590789	0.331930	0.112104	0.070817	0.213165
Superscaffold1	40590922	41091493	0.155298	0.041298	0.025545	0.090524
Superscaffold1	41091676	41553880	-0.081349	-0.025369	-0.015020	-0.061336
Superscaffold1	41554327	41933330	0.328045	0.143311	0.081565	0.305692
Superscaffold1	41933407	42355172	-0.419633	-0.265043	-0.140707	-0.359699
Superscaffold1	42355230	42817933	0.138526	0.050407	0.028341	0.110973
Superscaffold1	42818033	43214780	0.520798	0.257346	0.141900	0.466500
Superscaffold1	43214863	43604341	0.664810	0.323355	0.168165	0.610622
Superscaffold1	43604344	43910500	0.061719	0.032490	0.016882	0.048102
Superscaffold1	43910530	44329980	-0.115320	-0.047571	-0.025242	-0.103561
Superscaffold1	44330285	44725068	-0.182301	-0.096380	-0.048130	-0.157666
Superscaffold1	44725072	45077287	0.143752	0.063152	0.036771	0.118585
Superscaffold1	45077316	45571319	0.456284	0.318045	0.151147	0.402038
Superscaffold1	45574111	46089189	0.420549	0.184373	0.082965	0.346696
Superscaffold1	46089780	46737719	0.797292	0.368692	0.181050	0.741073
Superscaffold1	46739549	47266442	0.735497	0.377192	0.164490	0.673452
Superscaffold1	47266597	47696706	0.794300	0.423151	0.221093	0.749609
Superscaffold1	47696728	48013595	0.715694	0.543441	0.222345	0.619373
Superscaffold1	48013608	48336347	0.037584	0.036096	0.014191	0.027019
Superscaffold1	48336379	48545841	0.775654	0.404484	0.199255	0.742588
Superscaffold1	48545932	48963862	-0.270834	-0.108187	-0.061775	-0.192568
Superscaffold1	48963954	49306435	-0.228399	-0.107696	-0.053792	-0.102333
Superscaffold1	49306451	49622675	-0.329569	-0.142825	-0.066173	-0.130165
Superscaffold1	49622682	50030500	0.511784	0.292345	0.133388	0.441063
Superscaffold1	50030527	50224576	0.733657	0.637540	0.293327	0.711246
Superscaffold1	50224967	50491864	0.207567	0.110990	0.070910	0.137142
Superscaffold1	50492004	50873194	0.012006	0.009981	0.005846	0.007171
Superscaffold1	50873303	51069472	0.091159	0.093641	0.056536	0.058444
Superscaffold1	51069473	51705744	-0.142869	-0.125047	-0.064375	-0.092208
Superscaffold2	422851	725997	-0.142874	-0.084323	-0.048551	-0.098537
Superscaffold2	725998	1176085	-0.088465	-0.031779	-0.020409	-0.063682
Superscaffold2	1176352	1598818	-0.233157	-0.087296	-0.057683	-0.144736
Superscaffold2	1598923	1963889	0.091573	0.032359	0.019199	0.061995
Superscaffold2	1963954	2370972	-0.027817	-0.010004	-0.006112	-0.013721
Superscaffold2	2370973	2828456	0.181809	0.111438	0.060263	0.123591
Superscaffold2	2828458	3537831	0.077454	0.040904	0.025389	0.048567
Superscaffold2	3537832	3920828	0.061045	0.026718	0.015057	0.048060
Superscaffold2	3921030	4378066	-0.014732	-0.006231	-0.003427	-0.005820
Superscaffold2	4378585	4818756	-0.016161	-0.005510	-0.003190	-0.014815
Superscaffold2	4818971	5050546	-0.034515	-0.023110	-0.012586	-0.020131
Superscaffold2	5050719	5436959	0.041467	0.017428	0.010880	0.030413
Superscaffold2	5436981	6054346	0.027139	0.009989	0.005361	0.027092
Superscaffold2	6054358	6515251	0.252017	0.083330	0.060288	0.195634
Superscaffold2	6515254	7053964	0.155343	0.049912	0.030098	0.130307
Superscaffold2	7054112	7496261	0.091237	0.045992	0.026677	0.070183
Superscaffold2	7496317	7907640	-0.034458	-0.009528	-0.006136	-0.024854
Superscaffold2	7908417	8411447	-0.041431	-0.014767	-0.009279	-0.028357
Superscaffold2	8411625	9224619	-0.083294	-0.018734	-0.012491	-0.058245
Superscaffold2	9224772	9807104	0.108915	0.037515	0.022395	0.071691
Superscaffold2	9807160	10304798	-0.255320	-0.067212	-0.043398	-0.167039
Superscaffold2	10304806	10738476	0.066929	0.027996	0.017731	0.046016
Superscaffold2	10738557	11299663	-0.103304	-0.027067	-0.017066	-0.068764
Superscaffold2	11299708	11706585	-0.031043	-0.011096	-0.006225	-0.025184
Superscaffold2	11706593	12806575	0.059955	0.021743	0.012313	0.047611
Superscaffold2	12806887	13263695	-0.145540	-0.065263	-0.038520	-0.113294
