chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	67154	85486	0.759119	0.167213	0.114747	0.474429
Chr01	91630	146440	-0.207128	-0.142135	-0.072403	-0.139334
Chr01	147171	153273	-0.472611	-0.434952	-0.182823	-0.291005
Chr01	153300	167032	-0.201285	-0.134964	-0.091677	-0.148288
Chr01	167366	184435	0.045868	0.041239	0.026420	0.032066
Chr01	184438	189200	0.273256	0.250873	0.171028	0.144608
Chr01	189204	200944	0.156343	0.107764	0.083033	0.064204
Chr01	201094	208052	-0.266944	-0.204429	-0.132132	-0.186317
Chr01	208056	212264	-0.152566	-0.124514	-0.082045	-0.096547
Chr01	212267	217036	-0.303549	-0.204404	-0.141694	-0.198238
Chr01	217041	219635	-0.314414	-0.313865	-0.197331	-0.214105
Chr01	219710	224857	-0.143854	-0.144208	-0.091597	-0.083303
Chr01	224926	231935	0.010526	0.010163	0.006798	0.012402
Chr01	231980	238207	-0.118296	-0.111992	-0.071221	-0.061487
Chr01	238221	247356	-0.107161	-0.075344	-0.052197	-0.065723
Chr01	247366	252496	-0.066260	-0.083521	-0.055911	-0.032972
Chr01	252513	256276	-0.697059	-0.807275	-0.408712	-0.596373
Chr01	256278	260620	-0.266886	-0.217381	-0.139163	-0.183767
Chr01	260700	263038	-0.817878	-1.096351	-0.469501	-0.634016
Chr01	263044	265100	-0.730694	-0.724340	-0.371713	-0.562677
Chr01	265129	272218	-0.691952	-0.781285	-0.371347	-0.581363
Chr01	272245	277019	-0.235579	-0.201169	-0.120915	-0.132418
Chr01	277153	289106	-0.309884	-0.317465	-0.171681	-0.195097
Chr01	289115	311045	0.257977	0.159172	0.107476	0.171332
Chr01	311092	318529	0.379578	0.412514	0.209854	0.216765
Chr01	318530	337106	0.184416	0.132733	0.071182	0.104914
Chr01	337204	351277	-0.076339	-0.100767	-0.058413	-0.027811
Chr01	351279	359963	0.367911	0.251526	0.172769	0.174834
Chr01	361836	385658	0.272049	0.164685	0.104942	0.229537
Chr01	385689	392839	0.113496	0.108049	0.074162	0.062805
Chr01	392992	402941	0.124222	0.143701	0.083888	0.071192
Chr01	402963	415611	0.393477	0.236543	0.140998	0.270827
Chr01	415805	426528	0.616576	0.346563	0.267833	0.432770
Chr01	426702	434964	0.519618	0.479323	0.223041	0.377613
Chr01	434965	452788	0.564325	0.191563	0.149286	0.324954
Chr01	452887	478460	-0.282390	-0.111845	-0.069177	-0.209806
Chr01	478633	490083	-0.492325	-0.238279	-0.130832	-0.388876
Chr01	490306	509858	-0.174505	-0.054813	-0.037994	-0.107865
Chr01	509859	523371	0.257122	0.164511	0.086044	0.216820
Chr01	523407	544588	0.629460	0.398278	0.198883	0.579534
Chr01	544614	565785	0.048857	0.016788	0.008505	0.059645
Chr01	565834	576391	0.607908	0.253835	0.197152	0.554674
Chr01	576429	588177	0.527475	0.240710	0.198520	0.474044
Chr01	588191	610216	0.843944	0.333611	0.282386	0.793368
Chr01	610274	623186	0.251112	0.163153	0.104260	0.156470
Chr01	623590	638040	0.014550	0.008875	0.005463	0.027467
Chr01	638089	656343	0.131316	0.054489	0.034511	0.050571
Chr01	656363	670451	0.222893	0.087250	0.070275	0.172233
Chr01	670489	694749	0.247193	0.183908	0.106674	0.224385
Chr01	694804	751488	-0.292743	-0.159925	-0.080704	-0.182151
Chr01	754223	805662	0.099147	0.063756	0.039211	0.058857
Chr01	805732	837896	0.021674	0.008184	0.005109	0.018522
Chr01	839146	852278	-0.071060	-0.052245	-0.018122	-0.087967
Chr01	852409	865529	-0.271837	-0.215352	-0.082245	-0.217062
Chr01	865544	879153	0.008241	0.007232	0.003359	-0.000000
