chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	196719	307154	-0.340693	-0.454495	-0.236099	-0.228773
Chr01	245939	425372	-0.203063	-0.201755	-0.111299	-0.130427
Chr01	307238	520131	-0.010608	-0.010350	-0.005329	-0.006162
Chr01	425398	633182	0.108304	0.080981	0.042011	0.058405
Chr01	520160	802501	0.045774	0.031600	0.016770	0.024714
Chr01	633232	926388	-0.076274	-0.065085	-0.030403	-0.046009
Chr01	804354	1036151	-0.103921	-0.079790	-0.036511	-0.057712
Chr01	926407	1148658	-0.185805	-0.124591	-0.060226	-0.097480
Chr01	1036190	1217212	-0.186198	-0.123160	-0.059878	-0.109164
Chr01	1148708	1374901	-0.268850	-0.187875	-0.088372	-0.149700
Chr01	1217310	1473179	-0.068146	-0.049426	-0.024566	-0.041306
Chr01	1374934	1538229	0.038775	0.030335	0.016149	0.028565
Chr01	1473255	1629383	0.018942	0.013003	0.006574	0.008985
Chr01	1538249	1677722	0.106865	0.073342	0.034082	0.054952
Chr01	1629457	1756174	-0.063716	-0.067908	-0.024052	-0.033979
Chr01	1677799	1866737	-0.019908	-0.018117	-0.006021	-0.009340
Chr01	1756190	1991741	-0.146880	-0.119725	-0.038061	-0.077097
Chr01	1866748	2051879	-0.240622	-0.213828	-0.072955	-0.122348
Chr01	1991763	2118968	0.009770	0.008878	0.003825	0.004924
Chr01	2051977	2216509	0.054739	0.043811	0.022450	0.028443
Chr01	2118989	2263102	0.014285	0.012847	0.006809	0.005721
Chr01	2216516	2373078	-0.125706	-0.202000	-0.080300	-0.072625
Chr01	2263105	2445462	-0.009317	-0.011804	-0.005561	-0.000802
Chr01	2373082	2505807	-0.066160	-0.076798	-0.037288	-0.029876
Chr01	2445821	2603578	-0.226558	-0.311483	-0.135232	-0.129102
Chr01	2505845	2658635	-0.043870	-0.059310	-0.025721	-0.021368
Chr01	2603659	2706286	-0.063363	-0.065499	-0.033832	-0.035522
Chr01	2658654	2742333	-0.030612	-0.030648	-0.015599	-0.019167
Chr01	2706296	2806065	-0.071597	-0.093474	-0.038542	-0.042173
Chr01	2742360	2891046	-0.164868	-0.215622	-0.093119	-0.092161
Chr01	2806086	2963414	0.073770	0.078213	0.038378	0.044474
Chr01	2891065	3054107	0.080836	0.094663	0.045200	0.051378
Chr01	2963436	3122861	-0.014871	-0.019748	-0.009122	-0.012104
