chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	219542	502034	0.171634	0.097484	0.065640	0.123127
Chr01	344788	618332	0.443008	0.251614	0.154335	0.293370
Chr01	502102	870677	0.214580	0.129624	0.071522	0.135120
Chr01	618425	1052930	-0.094262	-0.035717	-0.022936	-0.060980
Chr01	870715	1211663	-0.151125	-0.041784	-0.028526	-0.105655
Chr01	1053013	1452742	-0.261692	-0.095979	-0.059359	-0.221272
Chr01	1211664	1555768	-0.039984	-0.017757	-0.010868	-0.032248
Chr01	1452802	1689331	0.004277	0.001854	0.001127	-0.001594
Chr01	1555769	1858895	-0.064567	-0.026219	-0.013846	-0.044635
Chr01	1689366	2039165	-0.104506	-0.038524	-0.019047	-0.064851
Chr01	1858909	2170424	-0.240203	-0.091605	-0.051491	-0.158537
Chr01	2039212	2253925	-0.074436	-0.037040	-0.023421	-0.047137
Chr01	2170444	2404320	-0.009068	-0.007285	-0.003999	-0.005256
Chr01	2254084	2482459	0.042392	0.041680	0.022068	0.026882
Chr01	2404514	2565617	-0.023351	-0.026752	-0.012622	-0.008719
Chr01	2482460	2657162	-0.071720	-0.085830	-0.037946	-0.038975
Chr01	2565635	2711284	0.052263	0.050459	0.025975	0.032323
Chr01	2657172	2772092	-0.115519	-0.110418	-0.052882	-0.074099
Chr01	2711296	2864358	-0.327018	-0.314616	-0.153013	-0.213979
Chr01	2772156	2956911	-0.253846	-0.244035	-0.121896	-0.142545
Chr01	2864450	3088433	-0.079538	-0.075527	-0.034331	-0.038345
Chr01	2956917	3270506	-0.108496	-0.051916	-0.029238	-0.060514
Chr01	3088442	3423464	-0.181707	-0.075972	-0.045275	-0.122694
Chr01	3270596	3544637	-0.095547	-0.044713	-0.026947	-0.066945
Chr01	3423550	3750864	0.015002	0.006467	0.003971	0.013707
Chr01	3544640	3877617	-0.140392	-0.074455	-0.040189	-0.104390
Chr01	3751234	4051618	-0.337891	-0.249452	-0.113023	-0.246234
Chr01	3878370	4194230	-0.281867	-0.145032	-0.078635	-0.195465
Chr01	4051922	4305445	-0.002265	-0.001168	-0.000658	-0.000998
Chr01	4194295	4415099	0.003062	0.002613	0.001151	0.003437
Chr01	4305844	4485089	-0.002097	-0.002025	-0.000909	0.001047
Chr01	4415107	4614005	-0.075884	-0.044092	-0.027791	-0.042289
Chr01	4485106	4773010	-0.143845	-0.063798	-0.038542	-0.094584
Chr01	4614715	4940136	-0.226972	-0.097495	-0.058053	-0.166845
Chr01	4773039	5181565	-0.234419	-0.076142	-0.048754	-0.177529
Chr01	4940292	5436300	-0.146124	-0.042192	-0.028077	-0.100174
Chr01	5181919	5632421	-0.053276	-0.021079	-0.013764	-0.035407
Chr01	5436304	5848504	-0.082111	-0.031265	-0.019584	-0.053010
Chr01	5632646	5952153	-0.106992	-0.038763	-0.024738	-0.063190
Chr01	5848518	6097736	-0.011571	-0.005361	-0.003043	-0.005100
Chr01	5952633	6262332	-0.072988	-0.031454	-0.017693	-0.044622
Chr01	6097743	6576613	-0.215389	-0.072054	-0.043683	-0.150039
Chr01	6262385	6863082	0.300070	0.088692	0.060939	0.250126
Chr01	6576978	7094162	0.437575	0.145310	0.101516	0.387527
Chr01	6863200	7296243	-0.130836	-0.061381	-0.036451	-0.104204
Chr01	7094196	7412859	-0.382292	-0.228697	-0.132243	-0.285916
Chr01	7296254	7629646	-0.364782	-0.197922	-0.110411	-0.281598
Chr01	7412898	7791394	-0.223678	-0.112323	-0.058347	-0.175031
Chr01	7630396	7930461	-0.017039	-0.008307	-0.004350	-0.015873
Chr01	7791418	8069561	-0.079018	-0.036799	-0.020540	-0.060724
Chr01	7930638	8252213	-0.195231	-0.063437	-0.037912	-0.127877
Chr01	8069634	8475853	-0.168436	-0.033674	-0.022533	-0.115598
Chr01	8252224	8629286	-0.217144	-0.062583	-0.038832	-0.172758
Chr01	8475898	8773035	-0.140565	-0.070017	-0.036682	-0.096576
Chr01	8629409	8959641	-0.081973	-0.037910	-0.021876	-0.034735
Chr01	8773090	9348416	-0.269926	-0.111228	-0.064560	-0.160474
Chr01	8960292	9542482	-0.274376	-0.106564	-0.062815	-0.218771
Chr01	9348592	9758573	-0.120692	-0.053101	-0.031040	-0.095795
Chr01	9542539	9863500	0.020878	0.011527	0.006854	0.016821
Chr01	9758719	9964669	-0.097246	-0.054293	-0.033051	-0.048134
Chr01	9863576	10063045	-0.101982	-0.056470	-0.034085	-0.054266
Chr01	9964875	10193995	0.001564	0.001099	0.000574	0.000706
Chr01	10063381	10346236	0.080325	0.040661	0.022838	0.036294
Chr01	10194062	10513910	-0.108568	-0.040421	-0.024784	-0.071792
Chr01	10346566	10985401	-0.331678	-0.153873	-0.089572	-0.244325
Chr01	10513935	11117791	-0.540573	-0.448523	-0.225584	-0.402768
Chr01	10985402	11292076	-0.462346	-0.291006	-0.145714	-0.333964
Chr01	11117859	11469733	-0.079223	-0.028063	-0.017913	-0.053139
Chr01	11292108	11571052	-0.044761	-0.018444	-0.012856	-0.031817
Chr01	11469792	11700345	-0.282298	-0.218692	-0.117738	-0.201290
Chr01	11571054	11800309	-0.163852	-0.122533	-0.062101	-0.107462
Chr01	11700347	12039961	0.125305	0.072070	0.042856	0.072263
Chr01	11800318	12127301	-0.007018	-0.003839	-0.002428	-0.003148
Chr01	12039975	12320976	-0.268278	-0.132767	-0.064712	-0.185324
Chr01	12127330	12433571	-0.287317	-0.140758	-0.067049	-0.197110
Chr01	12321037	12580888	-0.213014	-0.110696	-0.050334	-0.133140
Chr01	12433627	12812784	-0.530963	-0.275008	-0.120685	-0.443155
Chr01	12580938	13117674	-0.779866	-0.281588	-0.153787	-0.718958
Chr01	12812912	13287420	-0.599885	-0.193479	-0.110456	-0.517178
Chr01	13117692	13544578	-0.489248	-0.230436	-0.116098	-0.395624
Chr01	13287513	13746127	-0.511291	-0.226685	-0.116211	-0.406835
Chr01	13544735	13910699	-0.293979	-0.128490	-0.065150	-0.220120
Chr01	13746192	14067482	-0.220787	-0.101563	-0.054935	-0.162226
Chr01	13912100	14213738	-0.260605	-0.126895	-0.070149	-0.184116
Chr01	14067508	14366300	-0.412826	-0.167342	-0.100390	-0.325313
Chr01	14213812	14541437	-0.519737	-0.212292	-0.118854	-0.426619
Chr01	14366574	14689195	-0.450338	-0.200764	-0.112059	-0.383849
Chr01	14544646	14793928	-0.271031	-0.111272	-0.069517	-0.220991
Chr01	14689684	14938425	-0.313827	-0.144551	-0.082108	-0.229958
Chr01	14793940	15069934	-0.329515	-0.149733	-0.080300	-0.232991
Chr01	14938464	15183710	-0.235125	-0.115697	-0.055723	-0.154791
Chr01	15070016	15356258	-0.479865	-0.290228	-0.120042	-0.343630
Chr01	15184072	15545202	-0.567136	-0.306560	-0.132093	-0.431843
Chr01	15356337	15671178	-0.373486	-0.183007	-0.091851	-0.263849
Chr01	15545235	16093110	-0.060783	-0.024529	-0.015740	-0.038031
Chr01	15671429	16301319	0.029876	0.010283	0.006564	0.021148
Chr01	16093121	16445219	0.014006	0.005870	0.003196	0.010854
Chr01	16301324	16569420	-0.201926	-0.126005	-0.060176	-0.133944
Chr01	16445616	16722278	-0.221481	-0.119440	-0.060348	-0.165756
Chr01	16569601	16923982	-0.085808	-0.035542	-0.019704	-0.066460
Chr01	16722295	17099656	-0.178662	-0.061193	-0.036274	-0.142976
Chr01	16924228	17301371	-0.216923	-0.058580	-0.035562	-0.164288
Chr01	17099662	17418698	-0.351307	-0.132448	-0.073229	-0.227390
Chr01	17301493	17494901	-0.425715	-0.504134	-0.186732	-0.224520
Chr01	17418705	17574401	-0.160788	-0.167709	-0.073025	-0.086456
Chr01	17494904	17780210	-0.206738	-0.129656	-0.065924	-0.141954
Chr01	17574448	18010688	-0.460031	-0.244293	-0.122570	-0.334506
Chr01	17780241	18213110	-0.490967	-0.226794	-0.123315	-0.352347
Chr01	18010700	18320987	-0.430012	-0.198262	-0.115883	-0.298474
Chr01	18213119	18546310	-0.179252	-0.077875	-0.047752	-0.152102
Chr01	18321142	18668765	-0.045599	-0.018897	-0.011979	-0.037986
Chr01	18546407	18819133	-0.209549	-0.105724	-0.065660	-0.160332
Chr01	18668769	18953423	-0.205662	-0.100995	-0.060508	-0.144312
Chr01	18819184	19173166	-0.219476	-0.075032	-0.043881	-0.147306
Chr01	18953434	19335338	-0.307812	-0.100024	-0.058397	-0.225815
Chr01	19173383	19565582	-0.337477	-0.116533	-0.059695	-0.258854
Chr01	19335339	19736614	-0.641697	-0.371088	-0.148187	-0.570459
Chr01	19565620	19910808	-0.722135	-0.754958	-0.240862	-0.658487
Chr01	19736651	20007286	-0.293706	-0.165991	-0.083099	-0.216906
Chr01	19910945	20151469	-0.052014	-0.022080	-0.012113	-0.031860
Chr01	20007307	20331955	-0.166747	-0.066710	-0.036725	-0.122429
Chr01	20151552	20488241	-0.096005	-0.036633	-0.022424	-0.070918
Chr01	20331972	20598484	-0.080303	-0.038437	-0.021523	-0.055798
Chr01	20488337	20725987	-0.180426	-0.097077	-0.051482	-0.116018
Chr01	20598604	20917818	-0.026257	-0.010712	-0.005914	-0.015141
Chr01	20726004	21119276	-0.171129	-0.061059	-0.034337	-0.130696
Chr01	20917849	21260818	-0.484140	-0.219119	-0.115479	-0.381918
Chr01	21119812	21429871	-0.671311	-0.464937	-0.178191	-0.582755
Chr01	21260985	21614141	-0.479385	-0.261847	-0.107561	-0.421492
Chr01	21429880	21710915	-0.320880	-0.155997	-0.069674	-0.265057
Chr01	21614186	21903969	-0.225263	-0.098613	-0.048556	-0.190985
Chr01	21711115	22070706	-0.161007	-0.062466	-0.033703	-0.134287
Chr01	21904298	22173918	-0.409470	-0.207292	-0.103068	-0.321010
Chr01	22070739	22365819	-0.429696	-0.227917	-0.109274	-0.310984
Chr01	22174030	22565148	-0.454527	-0.208738	-0.109928	-0.353215
Chr01	22365861	22846246	-0.517994	-0.129105	-0.082418	-0.413854
Chr01	22565311	23034456	-0.486870	-0.119410	-0.074263	-0.397308
Chr01	22846280	23162264	-0.423847	-0.162642	-0.090162	-0.367515
Chr01	23034530	23360572	-0.378657	-0.149988	-0.084154	-0.315648
