chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	631241	955759	-0.191759	-0.095813	-0.058485	-0.106726
Superscaffold1	955938	1434825	0.175178	0.055953	0.039271	0.109876
Superscaffold1	1435021	1916639	0.176675	0.058135	0.038120	0.122015
Superscaffold1	1916728	2306393	0.103110	0.037369	0.020630	0.071312
Superscaffold1	2306778	2577276	0.183731	0.093932	0.063309	0.117491
Superscaffold1	2577281	2845473	0.005627	0.003015	0.001878	0.006027
Superscaffold1	2845512	3244731	0.010487	0.004632	0.002858	0.002474
Superscaffold1	3244732	3694073	0.117500	0.038151	0.024130	0.071845
Superscaffold1	3694198	4175042	-0.035493	-0.016269	-0.009107	-0.027248
Superscaffold1	4175095	4632902	0.264269	0.133159	0.083819	0.202702
Superscaffold1	4633061	5099515	0.181947	0.074428	0.050616	0.115779
Superscaffold1	5101693	5662334	0.116790	0.032695	0.022241	0.075889
Superscaffold1	5662358	5982091	0.105467	0.055840	0.034964	0.067972
Superscaffold1	5982279	6415888	0.135364	0.054213	0.037068	0.093088
Superscaffold1	6415965	6864478	0.155601	0.061975	0.041634	0.114330
Superscaffold1	6864481	7315242	0.034429	0.012744	0.007896	0.026381
Superscaffold1	7315297	7745532	0.189757	0.093854	0.058212	0.106577
Superscaffold1	7745667	8450091	0.271802	0.108719	0.064904	0.157083
Superscaffold1	8450131	9641061	0.032226	0.010850	0.007190	0.025848
Superscaffold1	9641291	10639128	0.095058	0.035757	0.024620	0.061942
Superscaffold1	10639437	11019271	-0.001698	-0.000717	-0.000447	-0.001875
Superscaffold1	11019430	11442096	0.014490	0.005450	0.003516	0.010573
Superscaffold1	11442256	11876821	-0.035308	-0.012495	-0.007716	-0.023394
Superscaffold1	11877024	12372278	0.083969	0.027055	0.018432	0.055855
Superscaffold1	12372661	12804082	-0.185947	-0.092993	-0.050712	-0.138967
Superscaffold1	12804174	13090329	0.389290	0.210326	0.114179	0.292689
Superscaffold1	13090344	13616327	0.459907	0.227580	0.106889	0.298432
