chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	568990	809228	-0.056624	-0.034549	-0.022938	-0.033785
Superscaffold1	809291	1168517	0.202101	0.122296	0.073582	0.113682
Superscaffold1	1168568	1496306	0.041424	0.012316	0.008365	0.029605
Superscaffold1	1496313	1950816	-0.160987	-0.062285	-0.037174	-0.108763
Superscaffold1	1952851	2263167	0.205560	0.073436	0.038955	0.139367
Superscaffold1	2263520	2449724	0.065275	0.043950	0.027387	0.036033
Superscaffold1	2449888	2617603	0.077799	0.081352	0.042223	0.045209
Superscaffold1	2617662	2790429	-0.059895	-0.070490	-0.034068	-0.032791
Superscaffold1	2790451	2978415	-0.410869	-0.500327	-0.211004	-0.286302
Superscaffold1	2978422	3234603	0.037815	0.027160	0.014698	0.016237
Superscaffold1	3235405	3593831	-0.103211	-0.045194	-0.026031	-0.056840
Superscaffold1	3593981	3965064	0.039752	0.019212	0.010416	0.022225
Superscaffold1	3965101	4252126	-0.148882	-0.100030	-0.052546	-0.091791
Superscaffold1	4252178	4543451	0.171756	0.102416	0.056713	0.109773
Superscaffold1	4543913	4811388	0.009125	0.007168	0.003584	0.005825
Superscaffold1	4811500	5210811	0.000812	0.000323	0.000200	0.002672
Superscaffold1	5210873	5618332	-0.259431	-0.083073	-0.054213	-0.178829
Superscaffold1	5618355	5972178	0.288164	0.119681	0.081966	0.187683
Superscaffold1	5972678	6338509	-0.002274	-0.000993	-0.000581	0.000518
Superscaffold1	6338745	6699194	-0.054834	-0.025012	-0.016414	-0.035324
Superscaffold1	6700971	7196676	-0.038961	-0.013693	-0.008242	-0.024505
Superscaffold1	7196696	7532116	0.038888	0.018720	0.010533	0.022753
Superscaffold1	7532164	8311020	-0.113339	-0.027581	-0.018602	-0.064679
Superscaffold1	8311125	8850597	0.042404	0.017919	0.010532	0.026086
Superscaffold1	8850657	9972591	0.122429	0.055445	0.033343	0.081170
Superscaffold1	9972841	10679579	-0.128744	-0.069021	-0.038581	-0.081829
Superscaffold1	10679621	10896626	0.020403	0.012505	0.006737	0.019369
Superscaffold1	10899049	11262016	-0.052205	-0.018983	-0.012006	-0.033758
Superscaffold1	11262121	11528807	-0.416669	-0.269142	-0.156841	-0.296758
Superscaffold1	11529057	11957772	-0.101761	-0.033153	-0.020617	-0.069683
Superscaffold1	11957774	12243227	-0.288422	-0.220418	-0.118559	-0.188880
Superscaffold1	12243396	12493881	-0.018357	-0.014335	-0.007842	-0.011858
Superscaffold1	12493925	12859824	0.004311	0.001882	0.001021	0.002159
Superscaffold1	12859866	13233496	-0.133220	-0.057875	-0.029747	-0.093330
Superscaffold1	13233544	13903270	-0.072991	-0.017709	-0.010735	-0.053453
Superscaffold1	13905027	14490665	-0.109240	-0.036535	-0.021802	-0.078411
Superscaffold1	14490777	14830145	0.050496	0.021436	0.012175	0.032665
Superscaffold1	14830163	15165112	-0.194177	-0.065879	-0.043819	-0.150479
Superscaffold1	15165120	15561172	-0.183657	-0.056302	-0.036484	-0.138501
Superscaffold1	15562162	15920140	-0.202413	-0.069122	-0.040574	-0.147232
Superscaffold1	15920215	16225614	-0.137307	-0.062540	-0.032927	-0.084030
Superscaffold1	16225629	16653483	-0.098310	-0.038149	-0.022533	-0.062105
Superscaffold1	16653487	16989821	-0.017687	-0.007800	-0.004833	-0.006986
Superscaffold1	16989911	17331724	0.225581	0.107377	0.062959	0.138648
Superscaffold1	17331735	18006177	0.017180	0.006614	0.003595	0.010870
Superscaffold1	18008788	18328670	-0.403571	-0.695073	-0.181562	-0.196173
Superscaffold1	18328754	18745451	-0.147603	-0.067501	-0.036033	-0.086953
Superscaffold1	18745515	19103635	0.108742	0.049447	0.032280	0.069930
Superscaffold1	19103782	19499866	-0.168261	-0.087954	-0.056250	-0.122665
Superscaffold1	19499909	19820262	0.218510	0.093779	0.064903	0.167229
Superscaffold1	19820273	20161158	-0.137752	-0.047873	-0.030395	-0.089731
Superscaffold1	20161167	20612990	0.231768	0.100694	0.059269	0.158625
Superscaffold1	20614551	21207455	-0.070259	-0.037801	-0.018549	-0.052998
Superscaffold1	21207583	21523539	0.054238	0.022494	0.012425	0.033553
Superscaffold1	21523572	21843972	-0.098466	-0.046225	-0.025747	-0.057898
Superscaffold1	21844060	22285828	0.193043	0.068865	0.043730	0.139324
Superscaffold1	22285884	22805681	0.268993	0.082786	0.047765	0.197497
Superscaffold1	22805828	23331589	0.226409	0.062693	0.036639	0.176160
Superscaffold1	23332067	23744359	-0.105413	-0.039466	-0.021169	-0.075684
Superscaffold1	23744372	24168749	-0.240576	-0.095448	-0.052572	-0.138707
Superscaffold1	24168827	24597501	-0.022459	-0.008597	-0.005274	-0.015811
Superscaffold1	24597526	24910483	0.089258	0.032420	0.020332	0.067684
Superscaffold1	24910752	25403750	-0.231233	-0.077879	-0.044011	-0.156598
Superscaffold1	25403830	25747639	-0.106187	-0.041149	-0.025743	-0.070978
Superscaffold1	25748638	26092535	-0.271921	-0.138401	-0.086959	-0.191665
Superscaffold1	26092683	26385681	-0.120328	-0.055118	-0.026359	-0.059297
Superscaffold1	26385807	26924153	0.040854	0.009276	0.006300	0.026007
Superscaffold1	26924203	27299166	-0.388049	-0.126524	-0.065151	-0.275415
Superscaffold1	27299224	27656378	0.029436	0.011818	0.006971	0.016672
Superscaffold1	27656417	27907249	-0.121131	-0.114525	-0.052415	-0.065565
Superscaffold1	27907268	28100415	-0.106739	-0.067921	-0.036095	-0.060090
Superscaffold1	28100444	28406883	0.227424	0.122531	0.070341	0.130945
Superscaffold1	28407035	28985901	-0.107476	-0.027405	-0.020201	-0.073083
Superscaffold1	28985953	29364819	-0.006826	-0.001856	-0.001116	-0.001283
Superscaffold1	29364826	29678221	-0.030802	-0.016981	-0.008716	-0.020960
Superscaffold1	29678231	29991678	-0.158039	-0.074141	-0.035466	-0.111546
Superscaffold1	29991679	30414426	-0.108891	-0.041036	-0.024710	-0.044034
Superscaffold1	30416126	31081301	0.023409	0.007953	0.004334	0.014484
Superscaffold1	31081307	31568784	-0.148005	-0.044303	-0.026088	-0.099148
Superscaffold1	31568890	32339179	0.070809	0.023775	0.012746	0.040974
Superscaffold1	32339305	32667000	0.278345	0.143919	0.082217	0.219318
Superscaffold1	32667037	33099801	-0.156291	-0.056570	-0.034434	-0.106004
Superscaffold1	33099868	33453523	-0.244302	-0.124898	-0.073378	-0.169603
Superscaffold1	33453600	33650132	-0.017525	-0.010831	-0.006521	-0.013685
Superscaffold1	33650312	33929767	-0.129660	-0.075329	-0.047569	-0.075688
Superscaffold1	33930049	34211600	-0.257020	-0.098089	-0.056588	-0.177949
Superscaffold1	34211623	34622594	-0.225743	-0.079466	-0.048273	-0.159017
Superscaffold1	34622638	35199650	-0.004052	-0.000885	-0.000594	-0.006458
Superscaffold1	35199861	35943360	-0.122660	-0.062029	-0.033803	-0.075542
Superscaffold1	35944317	36945038	-0.028161	-0.008596	-0.005236	-0.018944
Superscaffold1	36945980	37235710	0.172972	0.059490	0.039402	0.089643
Superscaffold1	37235821	37561334	0.257175	0.098549	0.059776	0.174331
Superscaffold1	37561355	38138170	-0.049614	-0.023469	-0.013180	-0.030256
Superscaffold1	38138355	38520753	0.297081	0.108727	0.067576	0.220704
Superscaffold1	38520764	38880414	0.017971	0.006387	0.004051	0.012178
Superscaffold1	38880471	39130146	-0.140642	-0.056191	-0.033294	-0.109215
Superscaffold1	39130249	39598365	-0.144907	-0.050692	-0.027744	-0.118639
Superscaffold1	39598401	39943705	-0.044556	-0.013834	-0.008685	-0.027049
Superscaffold1	39944018	40342103	0.208121	0.063730	0.041959	0.141448
Superscaffold1	40342190	40813180	-0.151135	-0.044829	-0.028442	-0.096701
