chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	56705	66016	-0.348484	-0.146605	-0.104961	-0.292078
Chr01	66034	71988	0.915640	0.499234	0.456472	0.794413
Chr01	72013	78977	-0.652311	-0.329524	-0.203833	-0.579213
Chr01	78992	120912	-0.728564	-0.445134	-0.244930	-0.632734
Chr01	120922	142269	-0.352740	-0.388259	-0.166859	-0.189144
Chr01	143235	152068	-0.476640	-1.034997	-0.256030	-0.231215
Chr01	152073	156419	-0.281888	-0.910997	-0.224897	-0.125029
Chr01	156669	167366	-0.437139	-0.840913	-0.261004	-0.242730
Chr01	167396	183261	-0.248340	-0.638052	-0.224383	-0.123190
Chr01	183269	185634	-0.192349	-0.903547	-0.266603	-0.093074
Chr01	185635	189558	-0.065251	-0.199944	-0.064768	-0.029603
Chr01	189572	195368	-0.180945	-0.695092	-0.247590	-0.093100
Chr01	195531	204663	0.063874	0.099266	0.058363	0.035949
Chr01	204693	208548	0.032291	0.078249	0.032085	0.013933
Chr01	208553	210604	0.001970	0.005306	0.002303	-0.003162
Chr01	210646	215616	0.092984	0.185793	0.094183	0.046441
Chr01	215619	217820	0.080727	0.200487	0.103622	0.044913
Chr01	217842	220164	-0.037525	-0.125921	-0.044709	-0.031501
Chr01	220169	223738	-0.102690	-0.161436	-0.097571	-0.045501
Chr01	223782	228260	0.042831	0.073295	0.038952	0.014644
Chr01	228291	232439	0.152154	0.206353	0.145544	0.045437
Chr01	232471	236771	-0.095411	-0.192843	-0.102803	-0.036742
Chr01	236785	243050	0.113484	0.168217	0.087622	0.052009
Chr01	243077	248247	0.064692	0.080727	0.052813	0.021384
Chr01	248278	251387	0.140296	0.205201	0.125814	0.045359
Chr01	251424	254392	0.043448	0.059621	0.036117	0.002901
Chr01	254436	256587	-0.228864	-0.230143	-0.125536	-0.089430
Chr01	256603	261117	-0.392237	-0.220643	-0.143091	-0.174693
Chr01	261125	263385	-0.113449	-0.157806	-0.087038	-0.041156
Chr01	263393	264882	-0.224086	-0.252083	-0.141169	-0.091110
Chr01	264903	270166	-0.287578	-0.398769	-0.171633	-0.128044
Chr01	270170	274444	0.033482	0.037787	0.021056	0.014554
Chr01	274510	276221	-0.107198	-0.210112	-0.061016	-0.040939
Chr01	276249	282998	-0.207381	-0.334916	-0.133884	-0.094787
Chr01	283835	306273	0.008383	0.007605	0.003630	-0.000813
Chr01	306281	311413	0.046263	0.036028	0.027474	0.032288
Chr01	311414	316084	-0.269680	-0.323053	-0.184612	-0.189853
Chr01	316181	320259	-0.395630	-0.795976	-0.268424	-0.228814
Chr01	320274	328329	-0.533021	-0.520548	-0.239195	-0.383196
Chr01	328369	340085	-0.576579	-0.328221	-0.187484	-0.216426
Chr01	340171	351622	-0.251866	-0.177390	-0.117747	-0.127226
Chr01	351627	368299	0.590231	0.227547	0.172199	0.425987
Chr01	369141	388144	0.390034	0.227102	0.161034	0.234974
Chr01	388158	394081	0.023018	0.019457	0.013652	0.005869
Chr01	394107	402552	-0.025759	-0.043836	-0.017860	-0.013617
Chr01	402558	406891	0.104767	0.225733	0.093069	0.054009
Chr01	406896	419496	0.196099	0.130827	0.062934	0.086690
Chr01	419549	428748	0.400710	0.247675	0.188791	0.262492
Chr01	428749	434606	0.133849	0.129850	0.057042	0.085944
Chr01	434806	444805	0.426522	0.210059	0.133120	0.111958
Chr01	444946	450218	0.184282	0.140977	0.091885	0.095995
Chr01	450226	457016	0.181342	0.197043	0.127178	0.116218
Chr01	457122	466283	-0.304937	-0.506286	-0.157943	-0.129491
Chr01	466400	478642	-0.149940	-0.309360	-0.090995	-0.070332
Chr01	478655	482902	-0.078401	-0.176984	-0.047245	-0.031138
Chr01	483052	489431	-0.267019	-0.151401	-0.085152	-0.125568
Chr01	489446	496779	0.193368	0.126778	0.068713	0.089146
Chr01	496788	502034	0.202286	0.145822	0.080275	0.131385
Chr01	502076	513123	0.140842	0.116158	0.050094	0.048516
Chr01	513197	518973	-0.095961	-0.089034	-0.030577	-0.043606
Chr01	519025	524673	0.509962	0.549666	0.265878	0.402299
Chr01	524687	530201	0.557082	0.381859	0.211028	0.439597
Chr01	530307	559596	0.222488	0.150827	0.042217	0.181178
Chr01	559647	568985	0.377334	0.151378	0.091264	0.249026
Chr01	569017	575725	0.535919	0.335973	0.232241	0.353432
Chr01	575729	578182	0.484027	0.280230	0.215479	0.263235
Chr01	578257	588314	0.522472	0.323232	0.242657	0.393865
Chr01	588318	606950	0.850188	0.431514	0.350364	0.781467
Chr01	607019	617942	0.616490	0.333510	0.229993	0.398980
Chr01	618014	625230	0.113249	0.079543	0.049452	0.039448
Chr01	625327	630082	0.035275	0.029357	0.019406	0.012861
Chr01	630118	635719	0.222497	0.134251	0.091449	0.065782
Chr01	635721	640908	0.642516	0.309643	0.235931	0.237755
Chr01	641010	650434	0.420489	0.228496	0.125046	0.111685
Chr01	650454	655502	0.341916	0.192540	0.113421	0.095273
Chr01	655529	659450	0.550647	0.269652	0.198266	0.357704
Chr01	659553	667441	0.502507	0.167280	0.146299	0.376479
Chr01	667518	674075	0.132880	0.106727	0.072258	0.073977
Chr01	674120	684247	-0.231894	-0.215148	-0.110929	-0.136948
Chr01	684278	701258	-0.352358	-0.705147	-0.153828	-0.169095
Chr01	701290	725353	-0.054767	-0.045083	-0.026459	-0.032062
Chr01	725366	793990	-0.397914	-0.250293	-0.103713	-0.201484
Chr01	793998	822535	-0.136868	-0.116943	-0.061017	-0.069954
Chr01	822545	836107	0.166386	0.108738	0.054606	0.110673
Chr01	836173	849731	0.174590	0.106598	0.036608	0.136343
Chr01	849797	860448	0.259423	0.206143	0.058285	0.229036
Chr01	860583	869202	-0.131565	-0.138352	-0.034972	-0.059648
Chr01	869268	877489	0.127206	0.114122	0.060826	0.048073
Chr01	877509	885267	-0.058671	-0.093238	-0.047515	-0.025301
Chr01	885299	899456	-0.094853	-0.064338	-0.038652	-0.035021
Chr01	899565	910023	-0.234394	-0.131295	-0.072426	-0.102912
Chr01	910140	929501	0.002388	0.002752	0.001642	0.004470
Chr01	929666	935694	-0.463425	-1.666020	-0.302944	-0.261602
Chr01	935795	954161	-0.035127	-0.014433	-0.008408	-0.000214
Chr01	954238	968227	-0.203002	-0.130423	-0.051713	-0.093294
Chr01	968228	977838	0.382339	0.280784	0.112033	0.311409
Chr01	977840	986219	-0.337236	-0.138981	-0.086091	-0.138733
Chr01	986240	1005377	-0.358520	-0.104679	-0.051212	-0.151208
Chr01	1005501	1013782	-0.398996	-0.440120	-0.150394	-0.156681
Chr01	1013805	1022303	0.473143	0.132028	0.096503	0.291859
Chr01	1022365	1030816	0.205666	0.088505	0.046746	0.039306
Chr01	1030837	1036802	-0.102351	-0.049674	-0.021631	-0.045834
Chr01	1036822	1043649	-0.027874	-0.013511	-0.006589	-0.015198
Chr01	1043950	1052858	0.543736	0.193701	0.101301	0.162671
Chr01	1052865	1065369	-0.018085	-0.009557	-0.003184	-0.015444
Chr01	1065382	1082293	-0.537692	-0.124388	-0.072483	-0.158797
Chr01	1082454	1096247	-0.646637	-0.138126	-0.095573	-0.310478
Chr01	1096270	1101501	0.032121	0.012554	0.005905	0.015424
Chr01	1101527	1114841	-0.576230	-0.476205	-0.139790	-0.312622
Chr01	1115285	1133689	-0.422700	-0.376985	-0.107985	-0.216557
Chr01	1133713	1142497	-0.404268	-0.171210	-0.111312	-0.332074
Chr01	1142510	1148658	-0.145494	-0.051094	-0.035787	-0.074980
Chr01	1148708	1153360	-0.338348	-0.176300	-0.100087	-0.181106
Chr01	1153473	1159310	-0.474384	-0.248773	-0.146525	-0.367051
Chr01	1159616	1167249	-0.023385	-0.009171	-0.006368	0.003257
Chr01	1167250	1171113	0.471925	0.180560	0.137414	0.180009
Chr01	1171152	1177769	0.499228	0.192949	0.141583	0.196544
Chr01	1177933	1185068	0.240768	0.090458	0.057816	0.117317
Chr01	1185083	1197005	0.165707	0.069075	0.045707	0.077249
Chr01	1197038	1206709	-0.078815	-0.055701	-0.016064	-0.056163
Chr01	1206729	1212933	-0.153629	-0.075899	-0.028533	-0.111864
Chr01	1212968	1231689	0.051871	0.028202	0.010214	0.035678
Chr01	1231727	1263713	-0.182029	-0.170020	-0.051045	-0.096716
Chr01	1263786	1290741	-0.492086	-0.047515	-0.031647	-0.322112
Chr01	1290866	1296006	0.459422	0.093328	0.075478	0.095184
Chr01	1296086	1306564	-0.166785	-0.059544	-0.030939	-0.062742
Chr01	1306567	1313813	-0.142313	-0.056658	-0.032610	-0.064086
Chr01	1313858	1319597	-0.685347	-0.410607	-0.183391	-0.320351
Chr01	1319664	1327465	-0.227793	-0.046244	-0.034435	-0.028196
Chr01	1327474	1334343	0.037182	0.008180	0.006097	0.013623
Chr01	1334399	1368824	-0.203384	-0.133551	-0.048257	-0.105223
Chr01	1369180	1378331	-0.648278	-1.039960	-0.221008	-0.268209
Chr01	1378520	1384069	0.445103	0.281133	0.150381	0.195294
Chr01	1384100	1394205	0.052657	0.030908	0.014094	0.058834
Chr01	1394344	1408158	-0.097913	-0.073419	-0.044015	-0.079615
Chr01	1408159	1438927	-0.120260	-0.059758	-0.029772	-0.090579
Chr01	1445471	1452742	0.400090	0.190019	0.110417	0.326535
Chr01	1452802	1457801	0.467176	0.182646	0.107492	0.314110
Chr01	1457814	1463276	0.305823	0.071830	0.047293	0.137858
Chr01	1463292	1470004	0.129099	0.028078	0.016745	0.045815
Chr01	1470045	1474030	0.541535	0.117498	0.082671	0.206285
Chr01	1474065	1483328	-0.589136	-0.188588	-0.123099	-0.362322
Chr01	1483392	1492674	-0.622135	-0.439830	-0.178397	-0.401138
Chr01	1492699	1501560	-0.023303	-0.006648	-0.004786	-0.025579
Chr01	1501588	1506335	-0.341781	-0.361405	-0.128899	-0.165063
Chr01	1506358	1512951	-0.192303	-0.204023	-0.083026	-0.112199
Chr01	1512984	1520271	-0.291973	-0.312868	-0.109021	-0.169847
Chr01	1520302	1533175	-0.038156	-0.019968	-0.011301	-0.027393
Chr01	1533217	1536138	-0.181932	-0.149416	-0.086879	-0.092366
Chr01	1536145	1540064	-0.227302	-0.234544	-0.131241	-0.084083
Chr01	1540113	1544100	-0.266964	-0.288728	-0.151456	-0.125724
Chr01	1544117	1549785	0.203359	0.087005	0.053918	0.072841
Chr01	1550079	1557093	0.352126	0.219021	0.132298	0.198000
Chr01	1557108	1564317	0.323380	0.224040	0.079662	0.219077
Chr01	1564603	1573582	0.189282	0.148461	0.045631	0.120277
Chr01	1573595	1582392	0.569075	0.296297	0.133161	0.356793
Chr01	1582530	1591646	-0.078903	-0.048263	-0.020296	-0.114804
Chr01	1592022	1603155	0.317606	0.183134	0.072899	0.266654
Chr01	1604216	1629717	-0.100199	-0.072617	-0.021659	-0.068750
Chr01	1629718	1635586	0.057274	0.040185	0.020634	0.023224
Chr01	1635733	1642019	0.547536	0.369671	0.170770	0.277851
