chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	530104	679881	0.144662	0.148670	0.099933	0.065539
Superscaffold1	680286	849784	0.100075	0.064279	0.042466	0.049322
Superscaffold1	849786	1151559	0.203245	0.143931	0.092684	0.090164
Superscaffold1	1151641	1349357	0.065708	0.047613	0.031086	0.025642
Superscaffold1	1349449	1543855	0.065386	0.057957	0.034518	0.035234
Superscaffold1	1543911	1888540	-0.002916	-0.001556	-0.000972	-0.000134
Superscaffold1	1888542	2202072	-0.076696	-0.031067	-0.018259	-0.037017
Superscaffold1	2202100	2369514	-0.121043	-0.101704	-0.063589	-0.050106
Superscaffold1	2369517	2521198	0.024058	0.020864	0.011546	0.005956
Superscaffold1	2521207	2683490	-0.092533	-0.079283	-0.048831	-0.046536
Superscaffold1	2683492	2802585	0.116762	0.141010	0.073601	0.053331
Superscaffold1	2802589	2962738	-0.061612	-0.080151	-0.027765	-0.028723
Superscaffold1	2962788	3103331	-0.067223	-0.088957	-0.044895	-0.029421
Superscaffold1	3103332	3286059	0.079147	0.093713	0.045701	0.037211
Superscaffold1	3286155	3536497	0.042328	0.029196	0.018781	0.020804
Superscaffold1	3536526	3758815	-0.004898	-0.003793	-0.002214	-0.003301
Superscaffold1	3758913	3996211	-0.078929	-0.068017	-0.033518	-0.029784
Superscaffold1	3996213	4251265	-0.032280	-0.023145	-0.013635	-0.013667
Superscaffold1	4251307	4476434	-0.118045	-0.075694	-0.045545	-0.048024
Superscaffold1	4476439	4663381	0.077560	0.085802	0.043225	0.034519
Superscaffold1	4663421	4840513	-0.121998	-0.151056	-0.077783	-0.059897
Superscaffold1	4840562	5073248	-0.016114	-0.010189	-0.006283	-0.007858
Superscaffold1	5073289	5306650	-0.162137	-0.132393	-0.075482	-0.091696
Superscaffold1	5306665	5530295	-0.257155	-0.264060	-0.133379	-0.144796
Superscaffold1	5530297	5707196	-0.159044	-0.176280	-0.097917	-0.090770
Superscaffold1	5707275	5900607	-0.162105	-0.114110	-0.067719	-0.076313
Superscaffold1	5900617	6152035	-0.083751	-0.062843	-0.035838	-0.050431
Superscaffold1	6152065	6361283	0.027509	0.019130	0.011239	0.012379
Superscaffold1	6361380	6555236	-0.444864	-0.270997	-0.168530	-0.191628
Superscaffold1	6555335	6775765	-0.166482	-0.096715	-0.062510	-0.083446
Superscaffold1	6776210	7116632	-0.147043	-0.065171	-0.039754	-0.056998
Superscaffold1	7116636	7331381	-0.232308	-0.157070	-0.094697	-0.106757
Superscaffold1	7331443	7586264	-0.157710	-0.113321	-0.069622	-0.082732
Superscaffold1	7586267	7908638	0.070500	0.066827	0.035441	0.027362
Superscaffold1	7909249	8524559	0.033817	0.019678	0.013019	0.012198
