chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	570555	816660	-0.071224	-0.039986	-0.027959	-0.039835
Superscaffold1	816700	1195198	0.178196	0.100030	0.062831	0.092606
Superscaffold1	1195861	1527040	0.078300	0.021473	0.014957	0.048174
Superscaffold1	1527061	2034571	-0.107743	-0.036425	-0.020851	-0.076966
Superscaffold1	2036312	2361067	0.063295	0.021723	0.013287	0.040826
Superscaffold1	2361068	2524980	0.021538	0.018756	0.010577	0.003621
Superscaffold1	2525014	2705684	-0.066738	-0.063848	-0.032011	-0.035877
Superscaffold1	2705705	2848312	0.034397	0.036271	0.018052	0.021762
Superscaffold1	2848369	3087609	-0.342854	-0.324146	-0.161022	-0.229147
Superscaffold1	3087615	3423793	-0.000111	-0.000053	-0.000031	-0.001335
Superscaffold1	3424579	3748893	-0.033187	-0.017304	-0.009825	-0.018853
Superscaffold1	3748909	4160181	-0.157010	-0.077682	-0.041370	-0.096291
Superscaffold1	4160183	4487767	0.205288	0.116274	0.066950	0.134187
Superscaffold1	4487785	4781755	0.183619	0.133376	0.071545	0.108457
Superscaffold1	4781756	5199832	0.118426	0.043005	0.029008	0.082934
Superscaffold1	5199843	5649844	-0.214572	-0.061392	-0.041447	-0.143579
Superscaffold1	5649876	5992026	0.176657	0.071219	0.048532	0.116538
Superscaffold1	5992037	6369323	-0.013812	-0.005408	-0.003344	-0.005987
Superscaffold1	6369517	6730063	-0.041498	-0.019122	-0.012636	-0.028514
Superscaffold1	6730130	7231557	0.072902	0.025290	0.015185	0.050678
Superscaffold1	7231819	7554619	0.090216	0.047316	0.026452	0.056559
Superscaffold1	7554622	8370467	-0.128803	-0.033753	-0.022772	-0.084006
Superscaffold1	8370527	9000302	0.146163	0.062617	0.038251	0.090827
Superscaffold1	9001323	10241671	0.042487	0.015140	0.009569	0.032839
Superscaffold1	10241685	10758054	-0.048394	-0.023313	-0.014486	-0.034378
Superscaffold1	10758090	11000521	0.003435	0.001994	0.001081	0.006024
Superscaffold1	11000589	11348656	-0.053759	-0.020717	-0.013156	-0.040923
Superscaffold1	11348678	11617540	-0.459203	-0.242591	-0.139172	-0.353218
Superscaffold1	11617545	12058451	-0.038366	-0.013059	-0.008604	-0.025066
Superscaffold1	12058489	12349167	-0.203796	-0.145558	-0.076365	-0.131551
Superscaffold1	12349245	12599058	0.060202	0.043789	0.026909	0.031782
Superscaffold1	12599097	12947796	-0.035911	-0.015234	-0.008150	-0.023020
Superscaffold1	12947805	13607106	-0.128004	-0.034149	-0.020686	-0.107960
Superscaffold1	13607354	14237810	0.026714	0.007744	0.004690	0.017760
Superscaffold1	14238336	14716018	-0.019542	-0.006267	-0.003750	-0.013114
Superscaffold1	14716401	15047169	-0.071051	-0.029666	-0.018747	-0.050621
Superscaffold1	15048196	15488012	-0.232014	-0.053861	-0.038114	-0.184338
Superscaffold1	15488081	15877320	-0.211025	-0.069332	-0.041555	-0.159107
Superscaffold1	15877381	16211623	0.075103	0.027771	0.016238	0.047833
Superscaffold1	16211759	16619606	-0.165072	-0.069267	-0.039356	-0.110386
Superscaffold1	16619704	16948600	-0.009423	-0.004065	-0.002549	-0.003832
Superscaffold1	16948780	17321253	0.159074	0.074207	0.041884	0.103689
Superscaffold1	17321258	17987605	0.014010	0.005203	0.002937	0.006451
Superscaffold1	17988925	18373939	-0.249556	-0.231748	-0.099374	-0.110764
Superscaffold1	18373940	18921159	-0.090503	-0.029884	-0.018403	-0.051265
Superscaffold1	18921231	19184190	-0.403211	-0.189072	-0.121796	-0.283675
Superscaffold1	19184253	19654513	0.141362	0.070997	0.049137	0.110896
Superscaffold1	19654526	19952861	-0.064276	-0.028744	-0.017721	-0.042696
Superscaffold1	19952917	20361542	0.059254	0.017779	0.011855	0.039930
Superscaffold1	20361562	21075429	0.048261	0.022553	0.011620	0.035437
Superscaffold1	21075431	21397223	0.081606	0.030656	0.018196	0.055118
Superscaffold1	21397351	21742181	-0.092697	-0.041419	-0.022957	-0.060569
Superscaffold1	21742597	22155354	0.201411	0.086756	0.050755	0.134670
Superscaffold1	22155646	22655107	0.203267	0.057766	0.035761	0.146468
Superscaffold1	22655141	23125265	0.379811	0.115735	0.069023	0.296804
Superscaffold1	23125295	23607011	0.076452	0.023016	0.013254	0.062471
Superscaffold1	23607246	23964145	-0.268164	-0.116238	-0.063070	-0.156669
Superscaffold1	23964160	24362978	-0.137262	-0.048863	-0.030878	-0.082491
Superscaffold1	24362990	24782191	0.124415	0.038010	0.024871	0.103899
Superscaffold1	24782208	25251932	-0.144660	-0.045955	-0.027490	-0.097756
Superscaffold1	25251989	25609186	-0.087948	-0.031130	-0.019147	-0.056787
Superscaffold1	25609347	26006564	-0.161111	-0.072325	-0.048255	-0.110326
Superscaffold1	26006643	26338344	-0.038398	-0.012270	-0.007139	-0.018840
Superscaffold1	26338484	26870043	0.110206	0.027141	0.018157	0.072710
Superscaffold1	26870175	27279472	-0.327064	-0.097714	-0.053348	-0.243392
Superscaffold1	27279477	27655438	0.071984	0.027957	0.016563	0.050609
Superscaffold1	27655450	27917779	-0.020857	-0.017991	-0.009058	-0.009801
Superscaffold1	27917834	28165983	0.012791	0.005626	0.003384	0.005986
Superscaffold1	28166291	28603532	0.158274	0.062873	0.040351	0.109793
Superscaffold1	28604160	29120547	-0.080145	-0.016500	-0.011647	-0.053099
Superscaffold1	29120560	29458165	0.105388	0.044089	0.025184	0.071053
Superscaffold1	29458166	29804448	-0.219517	-0.117621	-0.055744	-0.156784
Superscaffold1	29804450	30112222	-0.092764	-0.043244	-0.022493	-0.053266
Superscaffold1	30112245	30755901	-0.152927	-0.061491	-0.035997	-0.081346
Superscaffold1	30755908	31229874	-0.204615	-0.059334	-0.034734	-0.153939
Superscaffold1	31229881	31856944	0.052097	0.014858	0.009136	0.032678
Superscaffold1	31856995	32581787	0.143435	0.054130	0.029854	0.096542
Superscaffold1	32581788	32959449	0.168834	0.062942	0.038893	0.124825
Superscaffold1	32959488	33385615	-0.298841	-0.131163	-0.078421	-0.204712
Superscaffold1	33385666	33600589	-0.066864	-0.033944	-0.022319	-0.045284
Superscaffold1	33600689	33884035	-0.125513	-0.089818	-0.051863	-0.070783
Superscaffold1	33884040	34195380	-0.234580	-0.080822	-0.048979	-0.166514
Superscaffold1	34195524	34641374	-0.213323	-0.069941	-0.044008	-0.151074
Superscaffold1	34641424	35236997	-0.014984	-0.003075	-0.002125	-0.013580
Superscaffold1	35237211	36092305	-0.021072	-0.009013	-0.005356	-0.008673
Superscaffold1	36092533	37004161	0.144087	0.040951	0.026484	0.093591
Superscaffold1	37004168	37317371	0.204310	0.080445	0.050145	0.102893
Superscaffold1	37317374	37616120	0.242987	0.094904	0.058246	0.163421
Superscaffold1	37616128	38284465	0.062711	0.022222	0.013899	0.034062
Superscaffold1	38284481	38584792	0.188773	0.067583	0.042686	0.145768
Superscaffold1	38585427	38956308	-0.044044	-0.015458	-0.009934	-0.037509
Superscaffold1	38956414	39242659	-0.072703	-0.029807	-0.016699	-0.056862
Superscaffold1	39243256	39680445	-0.282072	-0.100635	-0.059839	-0.223315
Superscaffold1	39680569	40081350	0.223067	0.062374	0.038806	0.174763
Superscaffold1	40081359	40498800	0.072079	0.022300	0.013906	0.042074
Superscaffold1	40498815	40961200	-0.013515	-0.004452	-0.002704	-0.010042
Superscaffold1	40961265	41550589	-0.121482	-0.028920	-0.017931	-0.091500
Superscaffold1	41550593	41924161	0.164451	0.042566	0.025502	0.134439
Superscaffold1	41925263	42761808	0.071245	0.008152	0.005806	0.062690
Superscaffold1	42762044	43421658	0.248804	0.039013	0.026220	0.215888
Superscaffold1	43421672	43928086	-0.058731	-0.011400	-0.006828	-0.052364
Superscaffold1	43928320	44312207	-0.034649	-0.015127	-0.006405	-0.039679
Superscaffold1	44312262	44882064	0.033158	0.008465	0.004647	0.026185
Superscaffold1	44882067	45488867	0.052937	0.010191	0.006632	0.040382
Superscaffold1	45488874	45948372	-0.403196	-0.120753	-0.064292	-0.299914
Superscaffold1	45948715	46838667	-0.108273	-0.019641	-0.010602	-0.083919
Superscaffold1	46838738	47632138	0.203872	0.039606	0.022971	0.167479
Superscaffold1	47632295	48272230	0.080773	0.015981	0.008849	0.071444
Superscaffold1	48273741	48704254	0.052293	0.010695	0.005620	0.047989
Superscaffold1	48704686	49391863	-0.042485	-0.007554	-0.004810	-0.027997
Superscaffold1	49392266	49956735	0.065695	0.013185	0.008173	0.055794
Superscaffold1	49957295	50248052	-0.590349	-0.381061	-0.177700	-0.532848
Superscaffold1	50248078	50583250	0.199111	0.098659	0.060805	0.147203
Superscaffold1	50584238	51018925	0.122860	0.055926	0.038035	0.066302
Superscaffold1	51018980	51592015	0.186155	0.129525	0.069812	0.105708
Superscaffold2	242241	546429	0.083820	0.038630	0.025399	0.040309
Superscaffold2	546430	791110	0.193099	0.122864	0.064816	0.119022
Superscaffold2	791122	1145222	0.213561	0.079135	0.050289	0.113990
Superscaffold2	1145264	1452124	0.021613	0.007729	0.004962	0.008698
Superscaffold2	1452138	1896134	0.109030	0.031819	0.019601	0.050936
Superscaffold2	1896142	2306428	0.005380	0.001683	0.001052	0.001743
Superscaffold2	2306434	2872077	0.063760	0.024173	0.014914	0.045833
Superscaffold2	2874435	3570471	-0.215356	-0.105320	-0.060125	-0.129803
Superscaffold2	3571823	3968681	-0.010758	-0.004844	-0.002614	-0.006080
Superscaffold2	3968848	4472154	0.049122	0.016828	0.010018	0.041117
Superscaffold2	4472312	4856229	-0.017127	-0.006452	-0.003618	-0.015361
Superscaffold2	4856230	5299414	-0.107656	-0.041505	-0.025846	-0.063593
Superscaffold2	5299561	5759782	0.172604	0.050833	0.033299	0.100495
Superscaffold2	5759915	6245882	0.395176	0.165906	0.088631	0.314419
Superscaffold2	6245893	6730517	0.066844	0.018159	0.010855	0.047512
Superscaffold2	6730595	7493949	-0.211794	-0.053721	-0.030674	-0.147286
Superscaffold2	7494006	7950752	-0.318329	-0.096910	-0.060471	-0.235669
Superscaffold2	7950773	8522934	-0.138863	-0.037995	-0.023703	-0.092075
Superscaffold2	8523054	9247420	0.055120	0.014549	0.009544	0.037002
Superscaffold2	9247484	9914912	0.119280	0.029846	0.018478	0.077872
Superscaffold2	9914930	10451808	-0.075539	-0.022623	-0.013843	-0.054085
Superscaffold2	10451960	10849859	-0.066144	-0.029263	-0.017446	-0.036973
Superscaffold2	10849896	11273153	-0.099129	-0.031551	-0.018301	-0.059960
Superscaffold2	11273155	11688830	0.028655	0.008066	0.004824	0.015182
Superscaffold2	11688894	12778398	0.051101	0.023557	0.011533	0.035836
Superscaffold2	12778424	13284982	0.014896	0.004913	0.002946	0.011907
Superscaffold2	13285020	13800664	0.097724	0.025561	0.015246	0.071758
Superscaffold2	13800689	14223445	0.110171	0.041202	0.024936	0.087292
Superscaffold2	14223470	14739743	-0.093252	-0.029038	-0.017959	-0.061155
Superscaffold2	14739772	15172973	-0.069489	-0.020046	-0.012645	-0.052182
Superscaffold2	15172976	16415032	-0.041799	-0.013441	-0.008094	-0.033524
Superscaffold2	16415259	16750239	0.034267	0.019136	0.011063	0.019840
Superscaffold2	16750259	17272146	-0.191608	-0.067041	-0.040286	-0.115951
Superscaffold2	17273656	17756577	-0.075600	-0.024440	-0.015016	-0.057464
Superscaffold2	17756601	18218152	0.078212	0.024428	0.013517	0.057163
Superscaffold2	18218338	18727370	-0.320233	-0.093594	-0.052023	-0.266397
Superscaffold2	18727724	19285162	-0.125456	-0.028289	-0.017499	-0.080573
Superscaffold2	19285675	19714718	-0.125606	-0.062546	-0.035455	-0.104630
Superscaffold2	19714747	20056911	-0.048571	-0.021306	-0.012710	-0.031891
Superscaffold2	20057157	20446068	0.019764	0.005399	0.002857	0.011663
Superscaffold2	20446497	21014618	0.099282	0.035187	0.022536	0.062796
Superscaffold2	21014649	21405662	0.315718	0.092615	0.057649	0.252601
Superscaffold2	21405706	22017244	-0.206126	-0.044387	-0.028305	-0.158784
Superscaffold2	22017252	22504216	-0.015233	-0.005457	-0.003297	-0.009125
Superscaffold2	22504224	22884701	-0.210473	-0.092718	-0.051575	-0.132479
Superscaffold2	22884805	23317548	0.209779	0.051721	0.031820	0.152052
Superscaffold2	23317549	23771100	-0.030137	-0.008207	-0.004932	-0.018097
Superscaffold2	23771126	24215113	-0.175700	-0.059421	-0.032522	-0.136556
Superscaffold2	24215207	24523258	-0.032497	-0.012185	-0.006736	-0.023632
Superscaffold2	24523288	25021980	-0.079714	-0.021705	-0.012769	-0.059613
Superscaffold2	25022015	25496297	0.079536	0.028215	0.016663	0.060100
Superscaffold2	25496481	26025032	-0.018861	-0.003983	-0.002697	-0.012794
Superscaffold2	26025128	26440421	0.020403	0.006390	0.003978	0.017404
Superscaffold2	26440424	26991081	0.142265	0.033868	0.022653	0.106540
Superscaffold2	26991161	27406187	-0.197017	-0.068833	-0.041136	-0.140883
Superscaffold2	27406189	27769817	0.038065	0.011787	0.008107	0.023018
Superscaffold2	27769821	28841236	0.052643	0.019472	0.011256	0.035833
Superscaffold2	28841277	29109523	-0.060984	-0.026121	-0.013765	-0.039100
Superscaffold2	29109538	29469578	-0.353945	-0.144259	-0.077097	-0.252425
Superscaffold2	29469659	29735166	0.168314	0.062542	0.040326	0.093128
Superscaffold2	29736314	30206724	0.066572	0.022597	0.012589	0.050106
Superscaffold2	30207083	30812439	0.142015	0.035641	0.021617	0.116648
Superscaffold2	30812654	31243453	0.334669	0.096652	0.062527	0.256963
Superscaffold2	31243473	31698389	-0.019319	-0.004317	-0.002788	-0.011451
Superscaffold2	31698496	32415625	-0.067297	-0.021105	-0.012611	-0.045892
Superscaffold2	32415626	32839654	0.091925	0.026882	0.015517	0.060386
Superscaffold2	32839670	33267113	-0.000148	-0.000048	-0.000028	-0.000535
Superscaffold2	33267245	33779037	-0.179446	-0.055049	-0.032173	-0.138853
Superscaffold2	33779118	34266670	0.096429	0.029381	0.018283	0.079025
Superscaffold2	34266754	34611763	0.194490	0.086347	0.048586	0.145389
Superscaffold2	34611801	35087295	-0.266392	-0.084473	-0.046941	-0.215272
Superscaffold2	35087340	35569154	0.071549	0.018360	0.009795	0.048854
Superscaffold2	35569167	36326360	-0.108498	-0.029934	-0.017604	-0.077741
Superscaffold2	36326541	36651295	0.127197	0.049045	0.027728	0.094567
Superscaffold2	36651405	36987404	-0.054400	-0.023201	-0.013791	-0.033778
Superscaffold2	36987479	37433076	0.030851	0.007782	0.004844	0.019782
Superscaffold2	37433100	37830455	0.122344	0.031095	0.019268	0.078448
Superscaffold2	37830468	38561818	0.047266	0.014668	0.008094	0.038124
Superscaffold2	38561917	39014520	-0.037051	-0.010912	-0.006470	-0.029436
Superscaffold2	39014525	39425113	-0.000003	-0.000001	-0.000001	0.006280
Superscaffold2	39425133	39768354	0.078563	0.032350	0.019475	0.047970
Superscaffold2	39768715	40126794	0.084236	0.042363	0.022459	0.057941
Superscaffold2	40126879	40600622	-0.087384	-0.017955	-0.011516	-0.069619
Superscaffold2	40600646	40965055	0.069781	0.026959	0.014172	0.052338
Superscaffold2	40965198	41232747	0.182587	0.063553	0.044972	0.158653
Superscaffold2	41232824	41575136	0.089285	0.038067	0.023926	0.071810
Superscaffold2	41575235	41906081	0.341113	0.120256	0.069560	0.297097
Superscaffold2	41906299	42402595	-0.195446	-0.042618	-0.024315	-0.147029
Superscaffold2	42402601	42880566	0.138494	0.029869	0.018022	0.100347
Superscaffold2	42880645	43075222	0.564861	0.284944	0.189914	0.424604
Superscaffold2	43075224	43425084	0.293262	0.086093	0.052550	0.234402
Superscaffold2	43425585	44078262	0.208352	0.044795	0.026806	0.178574
Superscaffold2	44078268	44598689	0.703406	0.229569	0.120940	0.661755
Superscaffold2	44599171	45295667	0.141347	0.032766	0.018948	0.130207
Superscaffold2	45296898	46142824	-0.196962	-0.040074	-0.021984	-0.171826
Superscaffold2	46145624	46739959	0.067030	0.012135	0.007556	0.056498
Superscaffold2	46739975	47615532	0.050150	0.008226	0.004978	0.042293
Superscaffold2	47615541	48384027	0.092760	0.018734	0.010923	0.081502
Superscaffold2	48384068	48909946	-0.046254	-0.008144	-0.005264	-0.034406
Superscaffold2	48909959	49377471	0.061473	0.016446	0.009147	0.048898
Superscaffold2	49377548	49905223	-0.092828	-0.023574	-0.012818	-0.070755
Superscaffold2	49905274	50318652	0.128517	0.053401	0.029988	0.088878
Superscaffold2	50318754	50715660	-0.221927	-0.079949	-0.048150	-0.157045
Superscaffold2	50715692	51156965	0.031177	0.010694	0.005978	0.016951
Superscaffold2	51156996	51569986	0.055907	0.015636	0.008058	0.052239
Superscaffold2	51570033	51856174	0.330777	0.088328	0.059316	0.247111
Superscaffold2	51856200	52181806	0.506721	0.158313	0.098422	0.411407
Superscaffold2	52181820	52545574	0.191085	0.050135	0.026889	0.141769
Superscaffold2	52545607	52815162	0.303629	0.114148	0.070417	0.171216
Superscaffold2	52815165	53109205	0.103637	0.047926	0.028271	0.067873
Superscaffold2	53109589	53937549	-0.176159	-0.051471	-0.036111	-0.116695
Superscaffold2	53937944	54164924	-0.263464	-0.132869	-0.066121	-0.210622
Superscaffold2	54164937	55090821	-0.087566	-0.017228	-0.012025	-0.049090
Superscaffold2	55090988	55565314	0.206285	0.054082	0.042842	0.151658
Superscaffold2	55565329	56037163	-0.287368	-0.105225	-0.064613	-0.204832
Superscaffold2	56037178	56490715	-0.107996	-0.030185	-0.018205	-0.086872
Superscaffold2	56490841	56975541	0.197884	0.053351	0.033653	0.136613
Superscaffold2	56975619	57361615	0.058034	0.021026	0.011327	0.050072
Superscaffold2	57361690	57911559	-0.353990	-0.151599	-0.075913	-0.245290
Superscaffold2	57912084	58508894	-0.125586	-0.041159	-0.025840	-0.087018
Superscaffold2	58508983	58896131	-0.446637	-0.136841	-0.087409	-0.355371
Superscaffold2	58896133	59229429	0.053095	0.019492	0.011305	0.049199
Superscaffold2	59229501	59671691	-0.076883	-0.026400	-0.014395	-0.060216
Superscaffold2	59671791	60084234	0.350651	0.122997	0.066536	0.283041
Superscaffold2	60084291	60464915	-0.028137	-0.009529	-0.005350	-0.013688
Superscaffold2	60465141	60720087	0.006900	0.003060	0.001764	0.002327
Superscaffold2	60720721	60920976	0.203943	0.125516	0.069860	0.116621
Superscaffold2	60921044	61487998	-0.266041	-0.192774	-0.092606	-0.175277
Superscaffold2	61488067	62406118	0.095102	0.035915	0.021603	0.049693
Superscaffold2	62406129	62818046	0.290125	0.097797	0.059418	0.171927
Superscaffold2	62818734	63102698	-0.049158	-0.015187	-0.009877	-0.029811
Superscaffold2	63102700	63455680	0.298259	0.097316	0.063273	0.225588
Superscaffold2	63455685	63978160	-0.167970	-0.059331	-0.036825	-0.116156
Superscaffold2	63978192	64136616	0.534947	0.283366	0.182861	0.396156
Superscaffold2	64136836	64467220	0.047533	0.014715	0.009215	0.037020
Superscaffold2	64467251	64806416	-0.132813	-0.151222	-0.073102	-0.079698
Superscaffold2	64806421	65496787	-0.294979	-0.120941	-0.070320	-0.193018
Superscaffold2	65496811	66039102	-0.192686	-0.053986	-0.032083	-0.156083
Superscaffold2	66039151	66354868	-0.096249	-0.045170	-0.024317	-0.055263
Superscaffold2	66354907	66808103	0.458439	0.165113	0.084766	0.375785
Superscaffold2	66808200	67340696	0.025661	0.007972	0.004077	0.015079
Superscaffold2	67340703	67726446	-0.086770	-0.025532	-0.017422	-0.051756
Superscaffold2	67726890	68147206	-0.171405	-0.048933	-0.027208	-0.136667
Superscaffold2	68147733	68568584	-0.177610	-0.069543	-0.035228	-0.141184
Superscaffold2	68568589	68917914	-0.067127	-0.021652	-0.012481	-0.046661
Superscaffold2	68918025	69404597	-0.010555	-0.003433	-0.001981	-0.008082
Superscaffold2	69404605	69606715	-0.310835	-0.186484	-0.100446	-0.199161
Superscaffold2	69607342	69958569	0.188563	0.050118	0.038997	0.135207
Superscaffold2	69958816	70394149	0.092845	0.031640	0.020078	0.071072
Superscaffold2	70394376	71084727	-0.007123	-0.002768	-0.001625	-0.011367
Superscaffold2	71084758	71387544	-0.334891	-0.119762	-0.073638	-0.210309
Superscaffold2	71387714	71802175	0.090728	0.034871	0.020634	0.057526
Superscaffold2	71802187	72136073	-0.153411	-0.095126	-0.051625	-0.082765
Superscaffold2	72136075	72369064	0.457517	0.231722	0.149142	0.327763
Superscaffold2	72369071	72631725	0.027017	0.016507	0.008785	0.021931
Superscaffold2	72631751	72932962	-0.061954	-0.035146	-0.020198	-0.033455
Superscaffold2	72933279	73172740	-0.024000	-0.013951	-0.007818	-0.012822
Superscaffold2	73172742	73486070	0.082183	0.045362	0.025341	0.049218
Superscaffold2	73486135	73773290	0.100295	0.035797	0.021617	0.062238
Superscaffold2	73773304	73974451	-0.156155	-0.091412	-0.055861	-0.083785
Superscaffold2	73974452	74258499	-0.313154	-0.113805	-0.066845	-0.196015
Superscaffold2	74258593	74558059	-0.025967	-0.010894	-0.006376	-0.017725
Superscaffold2	74558307	74768893	-0.074806	-0.040663	-0.022895	-0.044244
