chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214476	352083	-0.303437	-0.323359	-0.181565	-0.194119
Chr01	262448	465534	-0.136352	-0.130150	-0.074442	-0.092855
Chr01	352120	569711	0.287144	0.264372	0.132882	0.187749
Chr01	465545	658065	0.520372	0.460953	0.241319	0.319945
Chr01	569748	852777	0.377833	0.320082	0.173592	0.240103
Chr01	658090	956580	0.162388	0.134660	0.065787	0.100522
Chr01	852810	1064785	0.097140	0.074695	0.035674	0.046909
Chr01	956633	1154285	0.041144	0.028401	0.013651	0.018662
Chr01	1064802	1254665	0.089286	0.059081	0.029147	0.048869
Chr01	1154291	1335962	0.149017	0.097653	0.049525	0.069369
Chr01	1254667	1460385	0.229677	0.162640	0.084836	0.120787
Chr01	1335985	1517481	0.234275	0.177706	0.091989	0.154557
Chr01	1460387	1581093	0.252339	0.182952	0.099990	0.148303
Chr01	1517482	1659569	0.269474	0.200919	0.092697	0.153660
Chr01	1581103	1706113	0.106931	0.105068	0.041879	0.059286
Chr01	1659570	1817548	0.007276	0.007435	0.002469	0.005389
Chr01	1706289	1896651	0.010204	0.009164	0.002817	0.010900
Chr01	1817560	2009131	-0.012718	-0.011309	-0.003940	-0.003580
Chr01	1896680	2081647	0.053462	0.045008	0.019090	0.027826
Chr01	2009140	2180038	0.085235	0.072831	0.034002	0.043500
Chr01	2082014	2231453	0.043136	0.038490	0.018498	0.022774
Chr01	2180039	2283302	0.038997	0.046649	0.023977	0.018616
Chr01	2231468	2422417	-0.211778	-0.257301	-0.122489	-0.131232
Chr01	2283318	2492865	-0.180056	-0.180203	-0.090575	-0.118300
Chr01	2422469	2574445	-0.069101	-0.073036	-0.038923	-0.035669
Chr01	2492892	2651738	-0.131117	-0.140142	-0.071278	-0.068085
Chr01	2574447	2706967	-0.024051	-0.021790	-0.012322	-0.011788
Chr01	2651840	2754663	0.150791	0.136208	0.076807	0.102254
Chr01	2706970	2823835	0.021297	0.021952	0.011011	0.016804
Chr01	2754669	2921923	-0.111759	-0.118960	-0.058041	-0.058499
Chr01	2823844	3018760	-0.020736	-0.024439	-0.011365	-0.011953
Chr01	2921961	3095759	-0.038672	-0.046958	-0.022273	-0.025746
Chr01	3018780	3187399	0.050797	0.051896	0.025416	0.031099
Chr01	3095780	3308331	0.009944	0.006723	0.003406	0.009357
Chr01	3187569	3419275	0.099171	0.058010	0.030035	0.062294
Chr01	3308853	3509298	0.207324	0.154761	0.070624	0.128739
Chr01	3419354	3589491	0.358181	0.253853	0.140037	0.249440
Chr01	3509436	3692703	0.414623	0.254551	0.156751	0.263102
Chr01	3589495	3834482	0.130684	0.087925	0.043345	0.073115
Chr01	3692756	3941864	-0.005936	-0.005728	-0.002002	0.002372
Chr01	3834505	4029796	0.004367	0.005207	0.001551	0.003409
Chr01	3941883	4141086	0.060607	0.053931	0.023700	0.035064
Chr01	4029811	4245069	-0.002351	-0.002202	-0.000963	-0.001323
Chr01	4141147	4326327	0.090327	0.103316	0.043726	0.061280
Chr01	4245077	4430930	0.135287	0.173664	0.066666	0.086305
Chr01	4326342	4494110	0.066120	0.073566	0.031770	0.033315
Chr01	4431016	4582247	0.076814	0.077100	0.040821	0.041245
Chr01	4494120	4677812	0.117799	0.106072	0.053414	0.061124
Chr01	4582248	4801779	0.151902	0.145332	0.060936	0.088731
Chr01	4677819	4913350	0.088102	0.069605	0.030914	0.052959
Chr01	4801804	5076357	-0.108196	-0.052746	-0.030345	-0.055084
Chr01	4913428	5210888	-0.104601	-0.052698	-0.028909	-0.061769
Chr01	5076620	5590792	-0.028224	-0.011644	-0.007105	-0.015583
Chr01	5211118	5751900	-0.040013	-0.013659	-0.009149	-0.026202
Chr01	5590795	5915932	-0.046802	-0.018643	-0.011861	-0.028816
Chr01	5751958	6061505	-0.112802	-0.049484	-0.028910	-0.065433
Chr01	5916030	6264961	-0.184835	-0.077406	-0.045519	-0.122736
Chr01	6061561	6649503	-0.227258	-0.070230	-0.045377	-0.168261
Chr01	6265336	6917414	-0.071486	-0.012760	-0.009337	-0.059240
Chr01	6649599	7167397	0.042314	0.007929	0.006315	0.037386
Chr01	6917955	7359860	-0.104382	-0.040207	-0.027186	-0.072417
Chr01	7167398	7500115	-0.180144	-0.097293	-0.055193	-0.114996
Chr01	7360053	7637184	-0.216615	-0.102249	-0.064102	-0.127787
Chr01	7500128	7827356	-0.400702	-0.169061	-0.101159	-0.271186
Chr01	7637293	7914125	-0.330096	-0.151335	-0.089304	-0.243766
Chr01	7827539	8009215	-0.128551	-0.093588	-0.045930	-0.083327
Chr01	7914197	8134052	-0.175232	-0.103411	-0.055645	-0.106033
Chr01	8009216	8340018	0.060718	0.017749	0.011587	0.036234
Chr01	8134084	8484295	0.250033	0.081107	0.050113	0.180106
Chr01	8340020	8611912	0.279695	0.136848	0.074958	0.198608
Chr01	8485231	8737679	0.092930	0.042576	0.024426	0.058996
Chr01	8612043	8958150	-0.093296	-0.037610	-0.023432	-0.040740
Chr01	8737816	9280780	-0.122495	-0.059477	-0.035129	-0.059289
Chr01	8958240	9409715	-0.181863	-0.093067	-0.048839	-0.124885
Chr01	9281089	9570952	-0.093330	-0.044676	-0.026011	-0.079318
Chr01	9409809	9746525	-0.020258	-0.010803	-0.006484	-0.016143
Chr01	9570960	9852143	-0.006175	-0.003791	-0.002104	-0.001928
Chr01	9746526	9930366	0.019994	0.012841	0.007983	0.012339
Chr01	9852159	10013874	0.114804	0.072322	0.045662	0.076477
Chr01	9930372	10091476	0.166556	0.115761	0.069487	0.103922
Chr01	10013903	10217660	-0.037515	-0.030935	-0.014802	-0.030821
Chr01	10091624	10348323	0.090432	0.057363	0.031307	0.046929
Chr01	10217662	10458308	0.071137	0.037288	0.022420	0.048318
Chr01	10348622	10940082	-0.221496	-0.111028	-0.066995	-0.143106
Chr01	10458516	11051444	-0.570589	-0.416223	-0.224323	-0.468069
Chr01	10940137	11215902	-0.524131	-0.413974	-0.194460	-0.432027
Chr01	11051452	11332889	-0.045623	-0.021785	-0.012052	-0.028687
Chr01	11216179	11439427	0.067895	0.031411	0.019786	0.043700
Chr01	11332966	11521442	0.104063	0.062813	0.039409	0.061440
Chr01	11439444	11619760	0.108180	0.083797	0.048106	0.067630
Chr01	11521444	11754124	0.092854	0.062801	0.033946	0.061339
Chr01	11619768	11832864	0.095363	0.067227	0.035308	0.058260
Chr01	11754226	12058969	0.007524	0.005826	0.003439	-0.000701
Chr01	11833620	12147174	-0.001186	-0.000823	-0.000492	-0.003776
Chr01	12058998	12276282	-0.295972	-0.210029	-0.091989	-0.175923
Chr01	12147333	12402778	-0.282721	-0.164521	-0.074935	-0.179224
Chr01	12276296	12508087	-0.139866	-0.093803	-0.042270	-0.101590
Chr01	12402901	12693915	-0.043709	-0.024430	-0.012063	-0.031305
