chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	189359	318291	-0.168479	-0.130937	-0.077967	-0.097361
Chr01	238994	425056	-0.142134	-0.090711	-0.053975	-0.076252
Chr01	318318	507677	-0.082498	-0.100299	-0.030711	-0.027588
Chr01	425114	610540	-0.028172	-0.031834	-0.010574	-0.005300
Chr01	507706	764360	-0.131884	-0.143004	-0.058014	-0.050400
Chr01	610555	910334	-0.157722	-0.217685	-0.062297	-0.050438
Chr01	764617	1067216	-0.039744	-0.036428	-0.012963	-0.010690
Chr01	910461	1211616	-0.051965	-0.032827	-0.016859	-0.027334
Chr01	1067788	1397083	-0.134571	-0.085719	-0.046987	-0.056160
Chr01	1211665	1522836	-0.250225	-0.165995	-0.086583	-0.092898
Chr01	1397515	1634717	-0.064276	-0.037632	-0.020998	-0.031277
Chr01	1522852	1755544	0.121810	0.057036	0.036901	0.053954
Chr01	1634810	2005233	0.184969	0.064364	0.042846	0.081136
Chr01	1755564	2110101	0.202381	0.081755	0.049474	0.084745
Chr01	2005272	2206371	0.260834	0.202204	0.103100	0.111420
Chr01	2110143	2265357	0.233431	0.209938	0.110436	0.115705
Chr01	2206419	2422603	0.116071	0.098451	0.051260	0.063171
Chr01	2265397	2495513	0.073507	0.061513	0.031706	0.043623
Chr01	2422646	2601822	0.028313	0.032927	0.014917	0.012302
Chr01	2495528	2670887	-0.049808	-0.056070	-0.027259	-0.024813
Chr01	2601840	2723439	-0.269465	-0.282042	-0.154856	-0.135445
Chr01	2670987	2791276	-0.073492	-0.074028	-0.041264	-0.034692
Chr01	2723453	2881533	0.181018	0.172483	0.092964	0.092217
Chr01	2791323	2955634	0.068399	0.068860	0.036063	0.032743
Chr01	2881555	3061739	-0.048352	-0.048005	-0.022783	-0.018869
Chr01	2955638	3143513	-0.025192	-0.025352	-0.012199	-0.007570
Chr01	3062037	3300011	-0.018709	-0.014941	-0.007348	-0.007757
Chr01	3143871	3443051	0.084595	0.053138	0.025973	0.035311
Chr01	3300020	3557324	-0.084278	-0.065673	-0.031605	-0.039231
Chr01	3443810	3693580	-0.233860	-0.169790	-0.093590	-0.104526
Chr01	3557326	3848111	-0.026555	-0.014718	-0.009558	-0.011637
Chr01	3693633	3993486	0.088811	0.046289	0.029187	0.035217
Chr01	3848177	4078640	0.037126	0.026232	0.013839	0.021119
Chr01	3993551	4199671	-0.013351	-0.010728	-0.004967	-0.000466
Chr01	4078746	4278180	0.129676	0.099409	0.043537	0.049909
Chr01	4199725	4364028	0.167036	0.187035	0.084909	0.066080
Chr01	4278181	4432914	0.082225	0.091828	0.054965	0.035008
Chr01	4364103	4486882	-0.006135	-0.006921	-0.003749	-0.006009
Chr01	4432967	4567040	-0.001114	-0.001412	-0.000657	-0.001469
Chr01	4486929	4641410	0.001955	0.002665	0.001080	0.002644
Chr01	4567050	4776822	0.047135	0.044471	0.021336	0.020575
Chr01	4641900	4888706	0.108900	0.080374	0.042715	0.045314
Chr01	4776829	4994757	0.092420	0.084584	0.038105	0.043152
Chr01	4888877	5133256	0.126836	0.115296	0.049577	0.056229
Chr01	4994859	5227085	0.304953	0.240487	0.128646	0.146605
Chr01	5133322	5558706	0.281715	0.188662	0.117509	0.156128
Chr01	5227224	5701720	0.083657	0.053720	0.030922	0.036925
Chr01	5558774	5839577	0.144036	0.110743	0.050747	0.061539
Chr01	5701829	5934328	0.186909	0.145305	0.061498	0.084553
Chr01	5839606	6042952	0.053892	0.041052	0.018142	0.021142
Chr01	5934452	6156462	-0.218697	-0.142823	-0.073230	-0.090944
Chr01	6042968	6238952	-0.149840	-0.138578	-0.055072	-0.055802
Chr01	6156470	6342251	0.143716	0.305601	0.048074	0.043897
Chr01	6239081	6641562	0.249389	0.157389	0.056985	0.092984
Chr01	6342300	6859551	0.052320	0.030407	0.013046	0.035217
Chr01	6641911	6971070	0.080592	0.049661	0.021994	0.052974
Chr01	6859617	7095408	0.232639	0.165507	0.062742	0.133119
Chr01	6971109	7245728	0.047268	0.052126	0.015632	0.024360
Chr01	7095435	7391210	-0.072301	-0.060975	-0.021290	-0.033342
Chr01	7245776	7538161	0.104076	0.059162	0.022727	0.056415
Chr01	7391217	7670398	0.155165	0.079079	0.032918	0.062837
Chr01	7538609	7830350	0.124429	0.065836	0.030020	0.044975
Chr01	7670526	7955516	0.111448	0.063956	0.031536	0.057790
Chr01	7830653	8078468	0.030523	0.019191	0.010447	0.012714
Chr01	7955534	8236256	-0.051574	-0.030135	-0.018289	-0.023795
Chr01	8078568	8459531	-0.038440	-0.020720	-0.012060	-0.016398
Chr01	8236746	8660568	0.026157	0.011231	0.006218	0.009947
Chr01	8459548	8854803	-0.016539	-0.007368	-0.004344	-0.002499
Chr01	8660618	9206569	-0.038340	-0.026917	-0.014557	-0.019544
Chr01	8854825	9375721	0.078981	0.056068	0.030100	0.035647
Chr01	9206608	9511381	0.139484	0.065189	0.040176	0.056810
Chr01	9375779	9587963	-0.019970	-0.012787	-0.008108	-0.007942
Chr01	9511419	9741044	0.028934	0.027647	0.016206	0.009533
Chr01	9587977	9848786	0.023374	0.020905	0.011814	0.010560
Chr01	9741045	9928180	-0.006964	-0.006683	-0.003921	-0.002741
Chr01	9848810	10026975	-0.050418	-0.050132	-0.026978	-0.024776
Chr01	9928591	10138133	0.028627	0.023102	0.013252	0.022359
Chr01	10026988	10286279	0.147262	0.095199	0.057950	0.083095
Chr01	10138159	10378161	0.130778	0.088434	0.053728	0.056337
Chr01	10286395	10519334	0.094206	0.050044	0.029924	0.038772
Chr01	10378162	10974237	0.068306	0.036433	0.020434	0.028652
