chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	536429	699183	0.166113	0.124157	0.090925	0.094174
Superscaffold1	699184	887021	-0.191081	-0.134856	-0.089507	-0.103694
Superscaffold1	887232	1247470	0.051376	0.035392	0.024280	0.028437
Superscaffold1	1247988	1474042	0.044647	0.031621	0.020800	0.026801
Superscaffold1	1474043	1853187	-0.088705	-0.046380	-0.031228	-0.052310
Superscaffold1	1853299	2211307	0.065216	0.024963	0.015235	0.033988
Superscaffold1	2211610	2414914	-0.090999	-0.060978	-0.040445	-0.049461
Superscaffold1	2414918	2609202	-0.092171	-0.059389	-0.039598	-0.044788
Superscaffold1	2609224	2795199	0.123374	0.122062	0.073904	0.068453
Superscaffold1	2795301	3025870	-0.061428	-0.054013	-0.026288	-0.034171
Superscaffold1	3025913	3224805	0.003290	0.003108	0.001652	-0.000274
Superscaffold1	3224866	3535356	-0.006156	-0.004022	-0.002683	-0.002280
Superscaffold1	3535510	3867089	0.058898	0.034188	0.021486	0.031348
Superscaffold1	3867169	4147066	-0.092067	-0.051952	-0.032383	-0.033537
Superscaffold1	4147104	4451040	-0.054012	-0.031269	-0.020075	-0.027577
Superscaffold1	4451056	4683291	-0.057293	-0.041276	-0.024520	-0.028700
Superscaffold1	4683292	4991507	-0.188648	-0.118674	-0.078089	-0.108791
Superscaffold1	4991691	5312640	-0.151199	-0.091858	-0.057459	-0.089667
Superscaffold1	5312722	5594120	-0.177196	-0.136393	-0.079960	-0.110582
Superscaffold1	5594206	5780288	-0.047694	-0.039770	-0.023592	-0.024813
Superscaffold1	5781245	6116308	-0.119702	-0.068613	-0.044444	-0.074973
Superscaffold1	6116405	6376833	-0.050915	-0.033020	-0.020044	-0.028185
Superscaffold1	6377051	6679268	-0.072840	-0.043889	-0.028427	-0.046374
Superscaffold1	6679643	7041358	-0.192601	-0.083599	-0.058472	-0.106169
Superscaffold1	7042069	7345213	-0.250215	-0.109410	-0.071863	-0.137489
Superscaffold1	7347096	7763063	-0.202007	-0.120767	-0.077354	-0.117853
Superscaffold1	7763111	8454608	-0.081717	-0.035805	-0.025663	-0.032478
Superscaffold1	8454669	9172473	-0.061016	-0.037137	-0.024098	-0.031839
Superscaffold1	9172622	10063640	0.016120	0.008189	0.005665	0.006898
Superscaffold1	10063641	10677844	0.025587	0.015606	0.010011	0.009930
Superscaffold1	10677899	10882920	-0.034030	-0.023654	-0.014192	-0.013869
Superscaffold1	10882925	11184855	-0.091678	-0.051178	-0.035457	-0.044473
Superscaffold1	11184856	11498602	-0.050895	-0.020954	-0.015762	-0.021617
