chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	557608	727312	-0.210040	-0.169561	-0.100682	-0.119263
Superscaffold1	727378	920586	0.083710	0.035502	0.022442	0.047444
Superscaffold1	920672	1275731	-0.046628	-0.018625	-0.012127	-0.020523
Superscaffold1	1275766	1515771	0.135967	0.033496	0.023494	0.075587
Superscaffold1	1515816	1894210	-0.223464	-0.078711	-0.050489	-0.149913
Superscaffold1	1894245	2223734	-0.322628	-0.127019	-0.069817	-0.251634
Superscaffold1	2223735	2432999	-0.013159	-0.007214	-0.004578	-0.011407
Superscaffold1	2433160	2634573	0.104072	0.065838	0.043038	0.065177
Superscaffold1	2634576	2799690	-0.058615	-0.061382	-0.030393	-0.031316
Superscaffold1	2799732	3001958	-0.206038	-0.194439	-0.087104	-0.134244
Superscaffold1	3002024	3298298	-0.091448	-0.045052	-0.027230	-0.048960
Superscaffold1	3298486	3627544	-0.050320	-0.020650	-0.012210	-0.028310
Superscaffold1	3627564	4017759	-0.156653	-0.050202	-0.030500	-0.095647
Superscaffold1	4017765	4450909	-0.185831	-0.057596	-0.036730	-0.108684
Superscaffold1	4451008	4799345	-0.293611	-0.177337	-0.106301	-0.194649
Superscaffold1	4799552	5233888	-0.079642	-0.024587	-0.016687	-0.051061
Superscaffold1	5234107	5663849	-0.206254	-0.048579	-0.035013	-0.119503
Superscaffold1	5663926	6011459	0.201214	0.074719	0.051346	0.123705
Superscaffold1	6011486	6428866	0.110081	0.032592	0.022262	0.083453
Superscaffold1	6428868	6795578	-0.143985	-0.059255	-0.038344	-0.087784
Superscaffold1	6795593	7246047	-0.401998	-0.147762	-0.088794	-0.264490
Superscaffold1	7246051	7591737	-0.242133	-0.100425	-0.063506	-0.171726
Superscaffold1	7591767	8316973	-0.049153	-0.016176	-0.010545	-0.025295
Superscaffold1	8317029	8742748	-0.140520	-0.069740	-0.038993	-0.086031
Superscaffold1	8742774	9848773	0.068374	0.021766	0.014795	0.047184
Superscaffold1	9848941	10721682	-0.074356	-0.026468	-0.017348	-0.043776
Superscaffold1	10721775	11047254	-0.157919	-0.060215	-0.037950	-0.096089
Superscaffold1	11047260	11412018	-0.243219	-0.098557	-0.064163	-0.184333
Superscaffold1	11412032	11819458	-0.325639	-0.125494	-0.075877	-0.238092
Superscaffold1	11819697	12151258	-0.091173	-0.037697	-0.025759	-0.056880
Superscaffold1	12151260	12474581	0.020886	0.010890	0.006161	0.009426
Superscaffold1	12474588	12807238	-0.235328	-0.082422	-0.051983	-0.166139
Superscaffold1	12807250	13101874	0.099572	0.043520	0.024443	0.074552
Superscaffold1	13101918	13868987	-0.042250	-0.006720	-0.004578	-0.029647
Superscaffold1	13870642	14534323	-0.056683	-0.013276	-0.008727	-0.039497
Superscaffold1	14534388	14894730	0.128613	0.042690	0.027667	0.087154
Superscaffold1	14894820	15335439	-0.131631	-0.029587	-0.020820	-0.102559
Superscaffold1	15335906	15692700	-0.179192	-0.048738	-0.032006	-0.120955
Superscaffold1	15693563	16055111	-0.037347	-0.011406	-0.007098	-0.022485
Superscaffold1	16055122	16420644	-0.240151	-0.078965	-0.046687	-0.163043
Superscaffold1	16420684	16730734	-0.071027	-0.028308	-0.017711	-0.036012
Superscaffold1	16730793	17118494	-0.006022	-0.002140	-0.001199	-0.003472
Superscaffold1	17118884	17563841	-0.141419	-0.049767	-0.031141	-0.103055
Superscaffold1	17563868	18245183	-0.198086	-0.111552	-0.054347	-0.116368
Superscaffold1	18245245	18551020	0.071623	0.028785	0.016759	0.040327
Superscaffold1	18551228	19026583	-0.061667	-0.017815	-0.011862	-0.034397
Superscaffold1	19026609	19211296	-0.117008	-0.058552	-0.038394	-0.067647
Superscaffold1	19211330	19625407	-0.478013	-0.295931	-0.184422	-0.354725
Superscaffold1	19625494	19922201	-0.200560	-0.077974	-0.050305	-0.140484
Superscaffold1	19922220	20316154	0.017461	0.005043	0.003229	0.011933
Superscaffold1	20316312	21015620	-0.150370	-0.050031	-0.027318	-0.094456
Superscaffold1	21016195	21334323	-0.170708	-0.061004	-0.036646	-0.116580
Superscaffold1	21334709	21736498	-0.149460	-0.056084	-0.032099	-0.097118
Superscaffold1	21736514	22159270	-0.153349	-0.049202	-0.031149	-0.098085
Superscaffold1	22159320	22772293	0.105153	0.019948	0.013296	0.071881
Superscaffold1	22772311	23287192	-0.138779	-0.031328	-0.019002	-0.104059
Superscaffold1	23287281	23730081	-0.127872	-0.035159	-0.021699	-0.099524
Superscaffold1	23730396	24170072	-0.337672	-0.099373	-0.064510	-0.226975
Superscaffold1	24170191	24556315	-0.039876	-0.014301	-0.009095	-0.026273
Superscaffold1	24556614	24822001	-0.088330	-0.037034	-0.022553	-0.062701
Superscaffold1	24822019	25338396	-0.114947	-0.029368	-0.018410	-0.080531
Superscaffold1	25338425	25701796	0.088752	0.022449	0.015189	0.053640
Superscaffold1	25703359	26076318	-0.506973	-0.186633	-0.123931	-0.373792
Superscaffold1	26076377	26359480	-0.399968	-0.149424	-0.085185	-0.278655
Superscaffold1	26359872	26919919	0.010154	0.001762	0.001244	0.007579
Superscaffold1	26919920	27364381	0.129146	0.031341	0.017937	0.097381
Superscaffold1	27364423	27798096	-0.153328	-0.050474	-0.030996	-0.105917
Superscaffold1	27798122	27982258	-0.263866	-0.244234	-0.104387	-0.120996
Superscaffold1	27982577	28239010	-0.032377	-0.015974	-0.009568	-0.020754
Superscaffold1	28239103	28694278	-0.118485	-0.033436	-0.023484	-0.074363
Superscaffold1	28694329	29040450	-0.406920	-0.170013	-0.101664	-0.289672
Superscaffold1	29040525	29435089	-0.015711	-0.004138	-0.002807	-0.012603
Superscaffold1	29435097	29812194	-0.354252	-0.154005	-0.082734	-0.253007
Superscaffold1	29812201	30177296	-0.534898	-0.294955	-0.172576	-0.404679
Superscaffold1	30177504	30804599	-0.116066	-0.033831	-0.021294	-0.066392
Superscaffold1	30804600	31242541	-0.085369	-0.020566	-0.012944	-0.058547
Superscaffold1	31242745	31847592	-0.192403	-0.044444	-0.029653	-0.126044
Superscaffold1	31847601	32361206	0.053622	0.022875	0.012655	0.036133
Superscaffold1	32361219	32803595	0.059677	0.018111	0.011473	0.046232
Superscaffold1	32803603	33209782	-0.194247	-0.057189	-0.036389	-0.133057
Superscaffold1	33209813	33533608	0.048774	0.024612	0.015546	0.030738
Superscaffold1	33533720	33804241	-0.209854	-0.107507	-0.062777	-0.109113
Superscaffold1	33804300	34017568	0.039966	0.019711	0.012454	0.023483
Superscaffold1	34017589	34256507	-0.338218	-0.123275	-0.077554	-0.245352
Superscaffold1	34256514	34657116	-0.213735	-0.072912	-0.045206	-0.145444
Superscaffold1	34657159	35216358	0.060331	0.011113	0.007816	0.039996
