chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	213338	402228	-0.200614	-0.132833	-0.084795	-0.137433
Chr01	269204	506866	-0.214660	-0.109358	-0.074504	-0.127921
Chr01	402252	637819	-0.042453	-0.015700	-0.011318	-0.021978
Chr01	506927	843013	0.011700	0.004248	0.002886	0.007528
Chr01	637971	979262	-0.295060	-0.110844	-0.070891	-0.176446
Chr01	843038	1140370	-0.346239	-0.087637	-0.058148	-0.242316
Chr01	979280	1294907	-0.203642	-0.041423	-0.028159	-0.146454
Chr01	1140625	1436118	-0.194389	-0.050599	-0.033978	-0.138596
Chr01	1294914	1533573	-0.042955	-0.015413	-0.010134	-0.033271
Chr01	1436640	1646942	-0.170314	-0.074532	-0.046039	-0.128313
Chr01	1533576	1802343	-0.401117	-0.177654	-0.101654	-0.308433
Chr01	1646963	2002570	-0.466547	-0.187665	-0.102095	-0.370577
Chr01	1802627	2155984	-0.338610	-0.120201	-0.069715	-0.256694
Chr01	2003118	2243346	-0.094574	-0.035047	-0.023528	-0.065566
Chr01	2156092	2382858	-0.158420	-0.087579	-0.056455	-0.104523
Chr01	2243390	2492413	-0.210725	-0.122535	-0.076444	-0.123275
Chr01	2382859	2612865	-0.272569	-0.164908	-0.096031	-0.159860
Chr01	2492446	2679337	-0.117092	-0.088256	-0.047286	-0.071528
Chr01	2612898	2725887	0.036400	0.030652	0.015413	0.024916
Chr01	2679444	2812421	-0.183331	-0.156382	-0.077942	-0.104915
Chr01	2725960	2920062	-0.245292	-0.164136	-0.098749	-0.153824
Chr01	2812446	3027906	0.119022	0.070040	0.045960	0.074302
Chr01	2920145	3177000	0.190057	0.079783	0.056402	0.112420
Chr01	3027907	3374884	-0.145104	-0.047262	-0.031455	-0.088127
Chr01	3177009	3529874	-0.332169	-0.113175	-0.071525	-0.222672
Chr01	3375300	3783378	-0.221285	-0.064057	-0.043004	-0.158801
Chr01	3529977	3954606	-0.261441	-0.098327	-0.059660	-0.193257
Chr01	3783404	4060159	-0.336092	-0.191083	-0.100870	-0.227057
Chr01	3954703	4214136	-0.229941	-0.083773	-0.052830	-0.152564
