chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	638191	931874	-0.151898	-0.076283	-0.045491	-0.082643
Superscaffold1	932013	1383441	0.156211	0.066344	0.043583	0.100286
Superscaffold1	1383534	1795035	0.247081	0.098254	0.064942	0.160445
Superscaffold1	1795092	2125606	0.165788	0.063428	0.032827	0.119391
Superscaffold1	2125944	2421915	0.073100	0.037778	0.022964	0.043335
Superscaffold1	2421956	2706686	0.049631	0.027685	0.017907	0.032976
Superscaffold1	2706690	2942989	-0.017758	-0.011525	-0.006090	-0.010600
Superscaffold1	2943242	3342486	0.017304	0.008230	0.005044	0.007776
Superscaffold1	3342514	3769547	0.133663	0.051707	0.029802	0.083070
Superscaffold1	3769592	4216343	0.056593	0.025111	0.014800	0.038079
Superscaffold1	4216481	4628892	0.281766	0.153555	0.089403	0.213819
Superscaffold1	4629083	5048785	0.116227	0.057296	0.035830	0.069903
Superscaffold1	5048981	5592768	0.230517	0.074989	0.049104	0.166831
Superscaffold1	5592829	5851698	0.109961	0.063734	0.038935	0.063388
Superscaffold1	5851797	6277534	-0.010721	-0.005071	-0.003109	-0.004868
Superscaffold1	6277680	6688691	0.078336	0.031273	0.021111	0.061258
Superscaffold1	6688754	7168251	0.344355	0.145840	0.086148	0.269598
Superscaffold1	7168641	7463649	-0.126070	-0.065858	-0.037699	-0.083329
Superscaffold1	7463999	7786214	0.221495	0.139011	0.075930	0.117970
Superscaffold1	7786773	8458625	0.176544	0.081934	0.047033	0.089101
Superscaffold1	8458697	9503411	0.029523	0.010880	0.007111	0.024400
Superscaffold1	9509120	10544876	0.056671	0.023681	0.015359	0.035254
Superscaffold1	10544944	10930524	0.132086	0.063002	0.038079	0.089992
Superscaffold1	10943488	11324011	0.187798	0.077447	0.046985	0.120795
Superscaffold1	11324016	11667303	-0.002619	-0.001007	-0.000624	0.002017
Superscaffold1	11667368	12134458	0.181781	0.067486	0.046125	0.123725
Superscaffold1	12134505	12572344	0.197556	0.091254	0.054164	0.123323
Superscaffold1	12572443	12891164	-0.102689	-0.055787	-0.028146	-0.071904
Superscaffold1	12891180	13195403	0.399445	0.213952	0.114185	0.291918
Superscaffold1	13195607	13748141	0.451449	0.215595	0.102946	0.260662
Superscaffold1	13748523	14368145	0.121108	0.041313	0.023382	0.079383
Superscaffold1	14368264	14804862	0.087930	0.035833	0.020920	0.061567
Superscaffold1	14805125	15079248	0.237337	0.118831	0.071107	0.119683
Superscaffold1	15079266	15352552	0.429962	0.216516	0.131159	0.328896
Superscaffold1	15352581	15623051	0.206503	0.112440	0.069626	0.140370
Superscaffold1	15623076	15923255	0.145961	0.071015	0.038065	0.099427
Superscaffold1	15923270	16219568	0.071667	0.034119	0.018715	0.044198
Superscaffold1	16219609	16653362	0.169655	0.067020	0.041511	0.131284
Superscaffold1	16653483	16950021	-0.233020	-0.173422	-0.084063	-0.133217
Superscaffold1	16950173	17393536	0.170469	0.064734	0.039379	0.131336
Superscaffold1	17393582	18052686	0.064129	0.025428	0.014769	0.042441
Superscaffold1	18052692	18561354	-0.027863	-0.011252	-0.006683	-0.020726
Superscaffold1	18561356	19082113	-0.321318	-0.154380	-0.091041	-0.255446
Superscaffold1	19082263	19551374	0.013598	0.005114	0.003558	0.008303
Superscaffold1	19552267	19919958	0.475048	0.170025	0.120075	0.365364
Superscaffold1	19920068	20326155	0.094046	0.032054	0.021129	0.068013
Superscaffold1	20328032	21120384	0.142509	0.041922	0.025129	0.103350
Superscaffold1	21120408	21492828	0.337484	0.148808	0.088111	0.263652
Superscaffold1	21492920	21884228	0.130481	0.057588	0.034307	0.100935
Superscaffold1	21884620	22341316	0.020201	0.006740	0.004394	0.019222
Superscaffold1	22341435	22805022	-0.616248	-0.315791	-0.186906	-0.517317
Superscaffold1	22805157	23347644	0.168995	0.053802	0.031201	0.127750
Superscaffold1	23347663	23825442	0.143798	0.044951	0.026436	0.117698
Superscaffold1	23825443	24322604	0.065841	0.015853	0.010694	0.043725
Superscaffold1	24322891	24696966	0.377452	0.153744	0.095038	0.298731
Superscaffold1	24697223	25142696	0.000893	0.000312	0.000189	0.002829
Superscaffold1	25142711	25586193	-0.112598	-0.038997	-0.023900	-0.084001
Superscaffold1	25586194	26009275	0.120042	0.049489	0.033705	0.085851
Superscaffold1	26009303	26323140	0.199761	0.094701	0.045773	0.137671
Superscaffold1	26323502	26698136	-0.011898	-0.005814	-0.003229	-0.009166
Superscaffold1	26698147	27206255	0.160361	0.041635	0.024731	0.121652
Superscaffold1	27206599	27483627	-0.086713	-0.048905	-0.023845	-0.045550
Superscaffold1	27483634	27834506	-0.040620	-0.014749	-0.008727	-0.032759
Superscaffold1	27834550	28057528	-0.220509	-0.150659	-0.078261	-0.122607
Superscaffold1	28057936	28533736	0.112232	0.034831	0.024024	0.076397
Superscaffold1	28533768	29117568	0.141566	0.037655	0.024491	0.102993
Superscaffold1	29117614	29495144	-0.140892	-0.051189	-0.032349	-0.106986
Superscaffold1	29495266	29940373	0.092316	0.029121	0.015308	0.064332
Superscaffold1	29940379	30328489	0.007586	0.004176	0.002689	0.005177
Superscaffold1	30328605	30908107	-0.136022	-0.063662	-0.036216	-0.088377
Superscaffold1	30908113	31276223	-0.278154	-0.105474	-0.063442	-0.217638
Superscaffold1	31276415	32029293	0.109101	0.033473	0.020521	0.081616
Superscaffold1	32031599	32676119	0.407563	0.152469	0.085675	0.330690
Superscaffold1	32676174	33208129	0.101136	0.029627	0.018247	0.074814
Superscaffold1	33208262	33576725	-0.096979	-0.039100	-0.027199	-0.060780
Superscaffold1	33576765	33866861	-0.127094	-0.078444	-0.047747	-0.082224
Superscaffold1	33866976	34140672	0.400754	0.173773	0.107434	0.309283
Superscaffold1	34140696	34403053	0.126320	0.052665	0.032301	0.083318
Superscaffold1	34403417	34793396	-0.219304	-0.103189	-0.058774	-0.150186
Superscaffold1	34793455	35291009	0.209924	0.061497	0.042931	0.152238
Superscaffold1	35291071	36203011	0.135153	0.048215	0.031530	0.084342
Superscaffold1	36204177	37001992	-0.008201	-0.002888	-0.001816	-0.006025
Superscaffold1	37002026	37392250	0.263988	0.111345	0.073508	0.205360
Superscaffold1	37392299	37788848	0.309031	0.119731	0.074734	0.227807
Superscaffold1	37788915	38353035	-0.162516	-0.064403	-0.042792	-0.121208
Superscaffold1	38353057	38727628	-0.070169	-0.021882	-0.014924	-0.047445
Superscaffold1	38727655	39055893	0.306999	0.116664	0.072888	0.268261
Superscaffold1	39055904	39396707	0.522488	0.217853	0.125005	0.443754
Superscaffold1	39396709	39863016	0.539093	0.223262	0.142252	0.460121
Superscaffold1	39863375	40194725	0.235463	0.080037	0.052696	0.186612
Superscaffold1	40194765	40732136	0.173163	0.045364	0.028888	0.127383
Superscaffold1	40732214	41175792	0.186563	0.065243	0.038582	0.142919
Superscaffold1	41175799	41608564	0.137050	0.051019	0.031094	0.112941
Superscaffold1	41608570	41976622	0.039752	0.015732	0.008795	0.036686
Superscaffold1	41976733	42494884	0.071729	0.024557	0.015225	0.051162
Superscaffold1	42496240	42867941	0.452680	0.224366	0.133022	0.364330
Superscaffold1	42868043	43414175	0.225093	0.057560	0.032682	0.181266
Superscaffold1	43414230	43854861	0.172938	0.040023	0.022521	0.121799
Superscaffold1	43854885	44266093	0.343171	0.133658	0.065818	0.283573
Superscaffold1	44266163	44742387	0.313775	0.107395	0.050659	0.212647
Superscaffold1	44742437	45094549	-0.355328	-0.180444	-0.097714	-0.235343
Superscaffold1	45094604	45586637	-0.082184	-0.039555	-0.020796	-0.063695
Superscaffold1	45587435	45950979	-0.636826	-0.273684	-0.137774	-0.548120
Superscaffold1	45951116	46950310	-0.260890	-0.048183	-0.026385	-0.231290
Superscaffold1	46950972	47574598	0.678190	0.257185	0.150887	0.608619
Superscaffold1	47574644	48047593	0.778956	0.343124	0.181294	0.732117
Superscaffold1	48047596	48468491	0.399376	0.151934	0.082815	0.349252
Superscaffold1	48468516	48837207	0.539447	0.161240	0.094731	0.494522
Superscaffold1	48837283	49355058	0.281385	0.063750	0.038475	0.229804
Superscaffold1	49355166	49986932	0.278898	0.051040	0.029962	0.214707
Superscaffold1	49986943	50329731	0.565597	0.312865	0.153131	0.534329
Superscaffold1	50329866	50967408	0.276887	0.065967	0.049921	0.193657
Superscaffold1	50967451	51469486	0.101697	0.044643	0.027996	0.061183
Superscaffold2	396561	777330	0.021345	0.007882	0.004734	0.016858
Superscaffold2	777342	1224749	0.031013	0.011367	0.007202	0.025227
Superscaffold2	1225120	1725936	0.191610	0.070183	0.047286	0.142344
Superscaffold2	1725971	2246030	0.197673	0.057666	0.035694	0.148311
Superscaffold2	2246130	2885033	0.290636	0.105987	0.067333	0.216082
Superscaffold2	2885179	3577669	-0.194817	-0.079337	-0.050567	-0.134160
Superscaffold2	3577778	3998845	0.112228	0.049638	0.027947	0.092444
Superscaffold2	3998922	4560668	0.014193	0.004330	0.002574	0.016889
Superscaffold2	4560680	4953480	0.001260	0.000483	0.000301	0.000603
Superscaffold2	4953508	5471338	0.018108	0.007569	0.004507	0.016698
Superscaffold2	5471359	6066763	0.218977	0.087624	0.044509	0.156029
Superscaffold2	6066882	6512455	0.049334	0.017256	0.011347	0.033664
Superscaffold2	6512477	7023896	0.474316	0.191923	0.106966	0.400085
Superscaffold2	7023918	7537155	0.691303	0.347913	0.217029	0.547483
Superscaffold2	7537805	8005862	0.186601	0.061582	0.037737	0.136736
Superscaffold2	8005966	8545307	0.114642	0.033479	0.020941	0.084066
Superscaffold2	8545732	9272814	0.057231	0.015235	0.010344	0.043668
Superscaffold2	9287513	9862196	0.293480	0.122334	0.069721	0.219965
Superscaffold2	9862221	10304370	0.028103	0.010164	0.005916	0.015120
Superscaffold2	10304463	10677805	0.108038	0.060922	0.033752	0.062076
Superscaffold2	10677811	11243867	0.120501	0.038543	0.023071	0.090573
Superscaffold2	11244707	11702908	0.141434	0.047042	0.028038	0.112891
Superscaffold2	11702975	12875696	0.216350	0.071609	0.040512	0.152579
Superscaffold2	12875797	13315416	0.106369	0.045163	0.026758	0.081400
Superscaffold2	13316066	13796963	0.326209	0.117649	0.063589	0.258717
Superscaffold2	13797029	14287329	0.117366	0.039650	0.022506	0.086733
Superscaffold2	14287426	14904648	0.009766	0.002370	0.001462	0.010091
Superscaffold2	14904675	15434765	0.121308	0.048610	0.026414	0.089563
Superscaffold2	15435820	16525546	0.091535	0.033757	0.020673	0.061597
Superscaffold2	16525861	16963091	-0.103548	-0.044586	-0.025567	-0.060429
Superscaffold2	16963096	17615975	0.387321	0.116683	0.074746	0.299726
Superscaffold2	17616029	18044542	0.187800	0.065321	0.037586	0.140116
Superscaffold2	18044621	18460065	0.351367	0.141358	0.079399	0.291328
Superscaffold2	18460084	18899824	0.533933	0.215026	0.113447	0.441523
Superscaffold2	18899929	19344966	0.216485	0.091156	0.048214	0.161705
Superscaffold2	19344989	19971021	-0.190991	-0.075120	-0.037042	-0.097754
Superscaffold2	19971029	20309741	0.175430	0.068653	0.035765	0.149380
Superscaffold2	20309929	20698540	0.236337	0.106749	0.056684	0.168720
Superscaffold2	20699515	21183922	0.163469	0.069842	0.043585	0.097367
Superscaffold2	21184106	21648820	0.512955	0.205063	0.119541	0.476159
Superscaffold2	21649381	22009847	0.783377	0.394239	0.249110	0.710210
Superscaffold2	22010057	22511060	0.311718	0.122957	0.074997	0.247200
Superscaffold2	22511088	22886119	-0.143990	-0.066078	-0.036555	-0.083597
Superscaffold2	22886123	23371910	0.403598	0.126264	0.076595	0.343787
Superscaffold2	23372278	23816832	0.104194	0.032112	0.019471	0.084725
Superscaffold2	23816943	24247489	0.418791	0.163631	0.088711	0.335043
