chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	583590	853550	-0.055710	-0.036620	-0.021573	-0.027190
Superscaffold1	853558	1282303	0.197981	0.103875	0.062327	0.113318
Superscaffold1	1282324	1593028	0.235601	0.086402	0.060324	0.142433
Superscaffold1	1593042	2005951	0.166029	0.068017	0.037632	0.115834
Superscaffold1	2006027	2318452	0.128476	0.054737	0.029388	0.086586
Superscaffold1	2318561	2547941	0.039866	0.025288	0.016093	0.020103
Superscaffold1	2551815	2777069	0.060451	0.041315	0.025203	0.039057
Superscaffold1	2777442	3026186	-0.099748	-0.074451	-0.035299	-0.061435
Superscaffold1	3026282	3401649	0.121731	0.048954	0.030359	0.068756
Superscaffold1	3401677	3791083	0.115965	0.050830	0.028237	0.069026
Superscaffold1	3791161	4184124	0.042063	0.020375	0.011618	0.026121
Superscaffold1	4184214	4518268	0.256151	0.135160	0.084206	0.187055
Superscaffold1	4518294	4903181	0.190693	0.114955	0.062114	0.115334
Superscaffold1	4903197	5397334	0.366461	0.124628	0.082998	0.255340
Superscaffold1	5397698	5715974	0.038684	0.017802	0.011274	0.022565
Superscaffold1	5716017	6016697	0.109281	0.066579	0.039119	0.068450
Superscaffold1	6016704	6417971	0.003194	0.001331	0.000846	0.003673
Superscaffold1	6418353	6794827	0.185095	0.092120	0.058122	0.129086
Superscaffold1	6794838	7229183	0.290644	0.123930	0.071571	0.206286
Superscaffold1	7229191	7501766	-0.010071	-0.006226	-0.003175	-0.006293
Superscaffold1	7501770	7786865	0.261889	0.184629	0.098301	0.142604
Superscaffold1	7787005	8398276	0.316458	0.163585	0.093774	0.137564
Superscaffold1	8398314	8931844	0.004976	0.002593	0.001427	0.003650
Superscaffold1	8947821	10023929	0.114891	0.051884	0.033416	0.071411
Superscaffold1	10023935	10694420	0.101887	0.045580	0.028897	0.059770
Superscaffold1	10694524	11016973	0.002131	0.001160	0.000634	0.003547
Superscaffold1	11016980	11362399	0.089338	0.038837	0.023622	0.061205
Superscaffold1	11362527	11708647	-0.037802	-0.015051	-0.008816	-0.025783
Superscaffold1	11709043	12130479	0.157987	0.064775	0.043894	0.107334
Superscaffold1	12130497	12548112	0.204571	0.097371	0.058565	0.123581
Superscaffold1	12548312	12863608	-0.120672	-0.063285	-0.032622	-0.083746
Superscaffold1	12863612	13120096	0.364978	0.203004	0.109018	0.272729
Superscaffold1	13123422	13625825	0.520956	0.237412	0.115169	0.293247
Superscaffold1	13625946	13983226	0.288473	0.145352	0.067291	0.130525
Superscaffold1	13984004	14573181	0.002974	0.001023	0.000624	-0.000619
Superscaffold1	14573250	14873720	0.145170	0.063742	0.037370	0.083647
Superscaffold1	14873763	15136964	0.287771	0.132342	0.082252	0.161995
Superscaffold1	15136972	15399161	0.504481	0.269424	0.162766	0.340724
Superscaffold1	15399220	15649992	0.247316	0.140377	0.084361	0.173380
Superscaffold1	15650064	15957596	0.173542	0.083447	0.045459	0.115544
Superscaffold1	15957650	16195255	0.117819	0.066361	0.034751	0.068551
Superscaffold1	16195311	16539179	0.220540	0.098130	0.056491	0.166813
Superscaffold1	16539282	16839577	0.000883	0.000511	0.000297	0.000938
Superscaffold1	16839672	17194060	0.114378	0.053607	0.032172	0.064996
Superscaffold1	17194074	17670752	0.157947	0.059151	0.035546	0.120458
Superscaffold1	17670796	18366509	-0.014426	-0.005836	-0.003252	-0.011873
Superscaffold1	18366554	18802422	-0.095930	-0.037070	-0.022377	-0.067727
Superscaffold1	18802439	19127529	0.047199	0.024402	0.016049	0.036354
