chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	528690	687103	-0.038658	-0.031224	-0.021548	-0.026016
Superscaffold1	687191	853405	0.053158	0.030229	0.020245	0.024464
Superscaffold1	853466	1163809	0.158975	0.120379	0.077812	0.068556
Superscaffold1	1163838	1382677	0.036917	0.029094	0.017718	0.016216
Superscaffold1	1382713	1633145	0.178917	0.140659	0.091546	0.094683
Superscaffold1	1633177	1914977	-0.206410	-0.135102	-0.077959	-0.096919
Superscaffold1	1914989	2248066	-0.116613	-0.046255	-0.028021	-0.054955
Superscaffold1	2248399	2426748	-0.031179	-0.023784	-0.014639	-0.012805
Superscaffold1	2426756	2611197	-0.050587	-0.044802	-0.026109	-0.028849
Superscaffold1	2611250	2785494	0.045777	0.048873	0.026860	0.021130
Superscaffold1	2785648	2951980	0.064576	0.069891	0.027473	0.027999
Superscaffold1	2952023	3108144	-0.069505	-0.088054	-0.046177	-0.033996
Superscaffold1	3108179	3329263	0.063039	0.056268	0.030611	0.027059
Superscaffold1	3329266	3626171	-0.021628	-0.012475	-0.008192	-0.007966
Superscaffold1	3626213	3906719	0.065544	0.049528	0.027389	0.029048
Superscaffold1	3906888	4183665	-0.062895	-0.044554	-0.024653	-0.031920
Superscaffold1	4183678	4458699	0.005081	0.003029	0.001893	0.009390
Superscaffold1	4459808	4675526	0.051341	0.041044	0.023301	0.026067
Superscaffold1	4675556	4902245	-0.040382	-0.035078	-0.021666	-0.017740
Superscaffold1	4902342	5200863	-0.171151	-0.121245	-0.069939	-0.097026
Superscaffold1	5200952	5413117	-0.144358	-0.166856	-0.078002	-0.077178
Superscaffold1	5413334	5660816	-0.297034	-0.292014	-0.149934	-0.165208
Superscaffold1	5660827	5827610	-0.053454	-0.045587	-0.027281	-0.029259
Superscaffold1	5827674	6100651	-0.113282	-0.081109	-0.049687	-0.057815
Superscaffold1	6100661	6324631	-0.094376	-0.070075	-0.036964	-0.038832
Superscaffold1	6325772	6539075	-0.420517	-0.248237	-0.157929	-0.215894
Superscaffold1	6539893	6805157	-0.193622	-0.105370	-0.067518	-0.110813
Superscaffold1	6805236	7191915	-0.111188	-0.048853	-0.030417	-0.042358
Superscaffold1	7192020	7482391	-0.187163	-0.105070	-0.064453	-0.093464
Superscaffold1	7482482	7770847	-0.016805	-0.016403	-0.008821	-0.007472
Superscaffold1	7770909	8455627	0.089325	0.049461	0.033958	0.038654
Superscaffold1	8455633	9128194	-0.019982	-0.014227	-0.008772	-0.011647
Superscaffold1	9128559	9884304	0.029317	0.017909	0.011700	0.011184
Superscaffold1	9884741	10603611	-0.053249	-0.037917	-0.022606	-0.032864
Superscaffold1	10603658	10815358	-0.065852	-0.053357	-0.033732	-0.031518
Superscaffold1	10815449	11044245	-0.052024	-0.041804	-0.021080	-0.021459
Superscaffold1	11044281	11331261	-0.103503	-0.051306	-0.037508	-0.049433
Superscaffold1	11331263	11532258	-0.119575	-0.056600	-0.041914	-0.036008
Superscaffold1	11532323	11795461	-0.171762	-0.095563	-0.057148	-0.058485
Superscaffold1	11795526	11994282	-0.196958	-0.148582	-0.092868	-0.090284
Superscaffold1	11994335	12270410	-0.019330	-0.013496	-0.007978	-0.009403
Superscaffold1	12270445	12501295	0.106734	0.114481	0.065473	0.053030
Superscaffold1	12501336	12857824	-0.071124	-0.028993	-0.019788	-0.035321
Superscaffold1	12857920	13341457	-0.134167	-0.044297	-0.032292	-0.068949
Superscaffold1	13341671	13804213	-0.218646	-0.096236	-0.063749	-0.115813
Superscaffold1	13804427	14350894	-0.231466	-0.086178	-0.055849	-0.110504
Superscaffold1	14350937	14721296	0.036766	0.017268	0.010400	0.017531
Superscaffold1	14721449	14931542	0.037540	0.025681	0.015150	0.020112
Superscaffold1	14931709	15188745	0.443716	0.303585	0.190973	0.351918
Superscaffold1	15188755	15442536	0.311108	0.212178	0.115319	0.200032
Superscaffold1	15442590	15705505	-0.129616	-0.072743	-0.042628	-0.066650
Superscaffold1	15705795	15954132	-0.254291	-0.136876	-0.075879	-0.128377
Superscaffold1	15954163	16175478	-0.136314	-0.109470	-0.048866	-0.068537
Superscaffold1	16175493	16446113	-0.418146	-0.238071	-0.126267	-0.222318
Superscaffold1	16446114	16719679	0.052358	0.044464	0.025273	0.023786
Superscaffold1	16719799	16978210	-0.031892	-0.028610	-0.017639	-0.013882
Superscaffold1	16979248	17290228	0.127635	0.109955	0.062729	0.057564
Superscaffold1	17290276	17780793	-0.128090	-0.049048	-0.034626	-0.064786
Superscaffold1	17780804	18311467	-0.081308	-0.085106	-0.038759	-0.036642
Superscaffold1	18311497	18515472	-0.044169	-0.033139	-0.018776	-0.022432
Superscaffold1	18515643	18946297	-0.171705	-0.088193	-0.053669	-0.077089
Superscaffold1	18946329	19132727	0.102913	0.082418	0.057278	0.047590
Superscaffold1	19132737	19525671	-0.101840	-0.058746	-0.038743	-0.051753
Superscaffold1	19525881	19821920	-0.265245	-0.102756	-0.078108	-0.152311
