chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	543509	713127	0.043346	0.057803	0.032718	0.022665
Superscaffold1	713128	875708	0.470000	0.381449	0.215435	0.251790
Superscaffold1	875798	1199971	0.326800	0.226252	0.132051	0.172448
Superscaffold1	1199976	1415206	0.117818	0.080140	0.045280	0.048203
Superscaffold1	1415207	1633180	0.402305	0.216564	0.136250	0.187867
Superscaffold1	1633268	1900647	0.284667	0.184636	0.096719	0.171626
Superscaffold1	1900666	2124942	0.067981	0.036034	0.016368	0.046664
Superscaffold1	2125035	2305087	0.077412	0.061036	0.032021	0.045428
Superscaffold1	2305186	2447504	0.032184	0.036566	0.019724	0.015983
Superscaffold1	2447513	2606296	-0.090768	-0.094760	-0.051183	-0.056925
Superscaffold1	2606309	2762410	0.076098	0.098640	0.047267	0.045048
Superscaffold1	2762425	2888702	0.138989	0.175092	0.074696	0.088767
Superscaffold1	2888777	3095468	0.030868	0.033691	0.015415	0.018292
Superscaffold1	3095469	3276807	-0.004230	-0.004538	-0.002141	-0.002301
Superscaffold1	3276813	3505556	0.280784	0.169247	0.097551	0.143807
Superscaffold1	3505799	3708898	0.173197	0.159606	0.074095	0.105536
Superscaffold1	3708907	3937819	0.250260	0.182941	0.083098	0.135148
Superscaffold1	3937899	4150380	0.168120	0.153325	0.065302	0.098873
Superscaffold1	4150496	4404287	0.140105	0.125377	0.063419	0.087265
Superscaffold1	4404313	4622638	0.392810	0.364506	0.181466	0.280692
Superscaffold1	4622716	4829227	-0.011423	-0.011782	-0.006694	-0.005509
Superscaffold1	4829254	5062771	0.136448	0.123898	0.063975	0.083554
Superscaffold1	5062812	5313728	0.426272	0.291878	0.162420	0.240470
Superscaffold1	5313772	5604228	0.091933	0.049257	0.030303	0.054024
Superscaffold1	5604238	5924542	0.105183	0.044595	0.029701	0.070865
Superscaffold1	5924609	6306642	0.098974	0.050639	0.031139	0.073719
Superscaffold1	6306809	6650571	0.167163	0.080179	0.053237	0.114082
Superscaffold1	6650582	7009572	-0.091328	-0.044287	-0.027362	-0.059745
Superscaffold1	7009941	7302689	-0.271198	-0.132680	-0.075976	-0.193899
Superscaffold1	7302773	7601346	0.008308	0.004480	0.002636	0.002093
Superscaffold1	7601445	8014303	0.082882	0.036412	0.020913	0.032101
Superscaffold1	8014316	8553272	0.050285	0.024623	0.014018	0.031787
Superscaffold1	8553278	9490821	0.102342	0.043768	0.029631	0.055857
Superscaffold1	9491047	10306444	0.196920	0.083065	0.057521	0.124604
Superscaffold1	10306514	10706939	0.037885	0.026465	0.015484	0.019818
Superscaffold1	10706963	10906992	-0.014273	-0.010800	-0.005392	-0.005781
Superscaffold1	10907161	11178837	-0.040629	-0.022615	-0.013679	-0.024234
Superscaffold1	11178848	11448992	-0.218800	-0.116555	-0.073660	-0.158994
Superscaffold1	11448995	11647179	-0.100242	-0.061044	-0.033534	-0.080729
Superscaffold1	11647189	11934527	0.065114	0.035715	0.020773	0.035069
Superscaffold1	11934531	12124395	0.157634	0.143138	0.083415	0.085915
Superscaffold1	12124424	12365783	0.096826	0.069415	0.035427	0.061725
Superscaffold1	12365795	12600710	0.295097	0.257708	0.146570	0.160965
Superscaffold1	12600713	12911960	-0.174284	-0.088165	-0.046123	-0.129418
Superscaffold1	12911971	13267079	0.423361	0.177762	0.106522	0.334946
Superscaffold1	13267082	13725993	0.663437	0.517375	0.260413	0.490774
Superscaffold1	13726175	14069956	-0.087198	-0.044571	-0.022359	-0.052163
Superscaffold1	14073592	14631665	-0.022902	-0.007441	-0.004684	-0.016824
Superscaffold1	14631686	14875268	0.062470	0.035783	0.020640	0.037222
Superscaffold1	14875311	15119879	0.293995	0.165529	0.101423	0.173319
Superscaffold1	15120709	15398667	0.024274	0.007494	0.005094	0.009948
Superscaffold1	15398678	15753738	-0.218967	-0.072840	-0.044456	-0.158491
Superscaffold1	15753810	16114790	0.091573	0.032576	0.020674	0.075397
Superscaffold1	16114799	16441208	0.024944	0.009052	0.005575	0.016983
Superscaffold1	16441307	16732747	0.058666	0.039175	0.021928	0.033695
Superscaffold1	16732764	17055249	0.054624	0.029201	0.015290	0.031760
Superscaffold1	17055250	17420724	0.009658	0.004745	0.002693	0.009033
Superscaffold1	17421107	18006663	0.143759	0.062603	0.036436	0.095245
Superscaffold1	18007829	18322372	-0.231401	-0.275426	-0.110837	-0.108477
Superscaffold1	18322381	18656196	0.047339	0.017680	0.010671	0.030461
Superscaffold1	18656928	19082989	0.091155	0.038559	0.025978	0.053740
Superscaffold1	19083000	19239833	0.048286	0.030435	0.018789	0.025102
Superscaffold1	19239853	19666229	0.284488	0.167553	0.115461	0.220524
Superscaffold1	19666479	19935763	0.045364	0.020462	0.012528	0.033950
Superscaffold1	19935767	20239466	0.051761	0.026683	0.015497	0.031151
Superscaffold1	20239478	20681598	0.255688	0.093639	0.057317	0.157460
Superscaffold1	20681602	21143376	0.069338	0.033710	0.018790	0.044609
Superscaffold1	21143385	21323790	0.344922	0.183571	0.096092	0.192333
Superscaffold1	21323869	21591901	0.074006	0.035884	0.018266	0.040080
Superscaffold1	21591904	21973302	-0.140865	-0.065862	-0.040112	-0.088460
Superscaffold1	21973784	22310188	0.230722	0.074111	0.048579	0.164847
Superscaffold1	22310319	22821181	0.640584	0.228505	0.146661	0.528936
Superscaffold1	22821203	23216369	0.450063	0.211587	0.119349	0.343869
Superscaffold1	23225060	23648824	0.039649	0.011210	0.006540	0.030986
Superscaffold1	23648914	23990333	0.021717	0.010130	0.006076	0.015666
Superscaffold1	23990336	24379269	0.346054	0.096960	0.069005	0.215011
Superscaffold1	24379287	24703366	0.236474	0.084790	0.055749	0.190604
Superscaffold1	24703771	25097295	0.040023	0.014743	0.008605	0.028932
Superscaffold1	25097426	25432069	-0.097801	-0.040914	-0.024693	-0.061280
Superscaffold1	25432090	25753124	0.271321	0.097941	0.065378	0.171955
Superscaffold1	25753576	25902610	-0.093864	-0.090232	-0.050754	-0.056504
Superscaffold1	25902612	26226629	-0.009460	-0.004239	-0.002365	-0.006711
Superscaffold1	26226674	26399726	0.047004	0.035067	0.017205	0.030515
Superscaffold1	26399759	26858096	0.032083	0.008536	0.005638	0.022288
Superscaffold1	26858354	27275083	-0.158526	-0.032524	-0.019944	-0.109396
Superscaffold1	27275134	27550656	-0.011184	-0.006034	-0.003412	-0.007507
Superscaffold1	27551182	27813770	-0.016286	-0.008126	-0.004776	-0.016698
Superscaffold1	27813780	27976614	-0.159923	-0.192286	-0.086161	-0.091263
Superscaffold1	27976647	28206120	-0.242790	-0.184668	-0.106785	-0.157114
Superscaffold1	28206228	28505447	0.220495	0.114527	0.072140	0.140069
Superscaffold1	28505971	28700148	0.187777	0.216065	0.142689	0.093566
Superscaffold1	28700155	28839359	-0.000714	-0.000956	-0.000479	0.001923
Superscaffold1	28839380	29282815	-0.048565	-0.013428	-0.008567	-0.031754
Superscaffold1	29282840	29503477	0.396104	0.203795	0.125177	0.275019
Superscaffold1	29503482	29772484	0.377329	0.182887	0.105651	0.301231
