chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60269	73679	-0.670885	-0.199553	-0.146304	-0.527208
Chr01	73733	79925	-0.761227	-0.411427	-0.255090	-0.645240
Chr01	79929	129003	-0.766435	-0.433053	-0.209855	-0.584883
Chr01	129218	148753	0.485211	0.239643	0.138808	0.278266
Chr01	148762	153080	0.486235	0.208450	0.123350	0.197777
Chr01	153096	163685	0.015742	0.008337	0.004999	-0.007652
Chr01	163719	181046	-0.354421	-0.216972	-0.133049	-0.217905
Chr01	181072	185158	-0.088684	-0.075601	-0.050143	-0.042466
Chr01	185202	189729	-0.015868	-0.011629	-0.007920	-0.008217
Chr01	189740	197330	-0.220467	-0.173582	-0.103454	-0.126129
Chr01	197363	205511	-0.081964	-0.057807	-0.037432	-0.025885
Chr01	205517	209161	0.260163	0.232726	0.142479	0.130776
Chr01	209182	212418	0.301820	0.224855	0.167818	0.121505
Chr01	212486	216433	0.403690	0.313057	0.250410	0.217273
Chr01	216440	218482	0.405879	0.253218	0.202133	0.133526
Chr01	218508	220783	0.287536	0.310420	0.198556	0.158943
Chr01	220788	225739	0.508279	0.315331	0.249653	0.230653
Chr01	225811	230947	0.439493	0.220737	0.172156	0.142001
Chr01	231023	235916	0.294577	0.220422	0.151175	0.133898
Chr01	235921	241174	0.195973	0.127808	0.089288	0.100605
Chr01	241176	248226	0.125988	0.080125	0.050619	0.052676
Chr01	248234	251387	0.138185	0.077004	0.053326	0.043864
Chr01	251390	254449	-0.185431	-0.110613	-0.070292	-0.116717
Chr01	254459	257409	-0.295065	-0.137705	-0.092646	-0.151755
Chr01	257473	261273	0.202417	0.076550	0.059908	0.083048
Chr01	261348	263418	0.211638	0.069072	0.054853	0.086620
Chr01	263433	265375	-0.227286	-0.115614	-0.080223	-0.136090
Chr01	265386	271199	-0.341995	-0.151999	-0.107738	-0.222891
Chr01	271205	276082	-0.013452	-0.004889	-0.003104	0.004481
Chr01	276088	282968	-0.184176	-0.111644	-0.067923	-0.085980
Chr01	283015	299157	-0.037972	-0.018369	-0.012129	-0.043968
Chr01	303275	310732	0.339588	0.190346	0.133144	0.209001
Chr01	311004	316719	0.311685	0.146106	0.106504	0.151834
Chr01	316739	323562	-0.205764	-0.139877	-0.086951	-0.104881
Chr01	323566	338519	-0.347333	-0.160669	-0.100044	-0.156916
Chr01	338534	350732	-0.281791	-0.160365	-0.099533	-0.137902
Chr01	350739	359316	-0.361831	-0.221241	-0.139367	-0.228839
Chr01	359521	385646	-0.296831	-0.166801	-0.110898	-0.242169
Chr01	385658	391097	0.259314	0.176459	0.125936	0.143128
Chr01	391100	397158	-0.067408	-0.050591	-0.031120	-0.035501
Chr01	397263	403029	-0.186337	-0.125927	-0.073800	-0.128695
Chr01	403047	407027	-0.300811	-0.292912	-0.143368	-0.204286
Chr01	407059	422266	0.341369	0.119680	0.091639	0.241933
Chr01	422277	429590	0.360187	0.232861	0.177538	0.209071
Chr01	429593	435229	-0.082008	-0.053951	-0.045840	-0.019255
Chr01	435245	445780	-0.118954	-0.016098	-0.014807	-0.012005
Chr01	445873	450656	-0.349691	-0.194705	-0.140728	-0.178006
Chr01	450662	463653	-0.292593	-0.181557	-0.126172	-0.109824
Chr01	463752	466267	-0.504312	-0.448007	-0.273732	-0.264668
Chr01	466283	477801	-0.300632	-0.225267	-0.153291	-0.160603
Chr01	477807	480996	0.196180	0.139738	0.120848	0.107342
Chr01	481006	487602	0.033503	0.018727	0.015869	0.011850
Chr01	487675	495717	-0.151959	-0.069804	-0.056367	-0.047466
Chr01	496121	500572	-0.246408	-0.081717	-0.063916	-0.126395
Chr01	500681	511697	-0.586296	-0.489414	-0.256576	-0.270069
Chr01	511729	516338	-0.288514	-0.236455	-0.142357	-0.066303
Chr01	516359	521602	0.005728	0.003288	0.002581	-0.002646
Chr01	521673	526625	-0.046683	-0.028435	-0.024353	-0.008330
Chr01	526629	531726	-0.059356	-0.026405	-0.022833	-0.008272
Chr01	531736	550867	0.087951	0.020505	0.015806	0.002907
Chr01	550964	561703	-0.101381	-0.020916	-0.017048	-0.017476
Chr01	561769	572692	-0.091519	-0.024210	-0.019683	-0.017910
Chr01	572716	577476	0.042898	0.012957	0.011672	0.003863
Chr01	577490	588321	0.188448	0.063751	0.059271	0.060298
Chr01	588329	607202	0.354658	0.098618	0.081599	0.138972
Chr01	607613	617421	0.325521	0.106436	0.089383	0.097790
Chr01	617436	625230	-0.117037	-0.071956	-0.041469	-0.036337
Chr01	625327	630355	-0.537680	-0.597593	-0.231240	-0.234840
Chr01	630420	637389	-0.033430	-0.021882	-0.014854	-0.008719
Chr01	637490	648444	-0.233706	-0.194957	-0.069774	-0.074171
Chr01	648509	652015	0.075406	0.055419	0.033151	0.026229
Chr01	652022	656959	0.039671	0.034101	0.018734	0.005763
Chr01	656978	661265	0.593931	0.240255	0.198990	0.345134
Chr01	661273	670803	0.566671	0.261896	0.205387	0.288816
Chr01	670814	682747	0.059058	0.034195	0.022193	0.080472
Chr01	682878	700951	-0.735882	-0.448041	-0.224942	-0.391924
Chr01	700964	722796	-0.239589	-0.096779	-0.063476	-0.145661
Chr01	723137	774202	-0.643461	-0.432900	-0.233435	-0.362551
Chr01	774324	816392	-0.213558	-0.095593	-0.062038	-0.098834
Chr01	817815	835144	-0.324484	-0.140760	-0.088186	-0.138340
Chr01	835166	844142	-0.629024	-0.172143	-0.101487	-0.339885
Chr01	844251	852922	-0.787105	-0.260134	-0.130578	-0.488983
Chr01	852944	861160	-0.402873	-0.305576	-0.103580	-0.234249
Chr01	861179	868677	-0.445424	-0.273405	-0.114201	-0.250883
Chr01	868724	877489	0.068518	0.031399	0.018884	0.009381
Chr01	877509	889894	-0.275416	-0.190400	-0.115434	-0.122127
Chr01	889920	901559	-0.258067	-0.133678	-0.080691	-0.101186
Chr01	901620	909065	-0.796977	-0.724668	-0.312763	-0.496502
Chr01	909066	927953	-0.351503	-0.240295	-0.153815	-0.203332
Chr01	927968	934770	-0.534716	-0.268988	-0.195993	-0.484122
Chr01	934782	953995	-0.373760	-0.102558	-0.074632	-0.181095
Chr01	954007	966799	-0.620716	-0.355626	-0.178514	-0.337545
