chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	120794	147266	-0.262904	-0.206199	-0.101602	-0.175998
Chr01	147377	152799	-0.206836	-0.113396	-0.065756	-0.142986
Chr01	152930	165743	-0.303653	-0.250484	-0.144219	-0.206083
Chr01	165852	184056	0.068528	0.039901	0.032357	0.042227
Chr01	184060	188838	0.135973	0.195130	0.139779	0.063738
Chr01	188869	197103	-0.063527	-0.082995	-0.050608	-0.032547
Chr01	197127	206622	-0.195810	-0.201311	-0.116256	-0.130403
Chr01	207539	210760	-0.271364	-0.440256	-0.231713	-0.183990
Chr01	210791	216632	-0.149310	-0.120470	-0.085263	-0.088121
Chr01	216669	219288	-0.167547	-0.247054	-0.148383	-0.130395
Chr01	219304	223935	-0.183972	-0.249135	-0.157298	-0.108241
Chr01	223992	230822	-0.339015	-0.367075	-0.228227	-0.232772
Chr01	230831	237311	-0.406206	-0.637076	-0.307153	-0.268352
Chr01	237312	244498	-0.408767	-0.356566	-0.211885	-0.274989
Chr01	244517	251013	-0.466824	-0.598272	-0.326751	-0.343768
Chr01	251037	255602	-0.393479	-0.580542	-0.321572	-0.305805
Chr01	255613	258775	-0.171303	-0.166047	-0.109335	-0.119492
Chr01	258809	262640	-0.555679	-0.869111	-0.383798	-0.355133
Chr01	262654	265129	-0.379776	-0.377336	-0.225640	-0.227618
Chr01	265160	272218	-0.311866	-0.324143	-0.185046	-0.207883
Chr01	272245	276911	-0.424861	-0.474500	-0.257331	-0.279121
Chr01	277019	288914	-0.253917	-0.371843	-0.172436	-0.163283
Chr01	288950	310133	0.087535	0.072532	0.039761	0.057622
Chr01	310136	317070	0.349236	0.297537	0.195588	0.170726
Chr01	317098	334845	0.020855	0.010877	0.006871	-0.000355
Chr01	335076	350282	-0.150762	-0.123443	-0.067590	-0.078482
Chr01	350383	358089	0.160617	0.153025	0.087306	0.091407
Chr01	358102	386127	0.666411	0.357693	0.255395	0.508473
Chr01	386133	392839	-0.037714	-0.030245	-0.020893	-0.023304
Chr01	392923	402581	-0.344945	-0.481458	-0.225494	-0.228336
Chr01	402602	416946	-0.017259	-0.009242	-0.005605	-0.010560
Chr01	417064	428054	0.661133	0.420202	0.334901	0.485576
Chr01	428100	437379	0.257685	0.228991	0.113097	0.150794
Chr01	437415	453277	-0.215373	-0.096616	-0.073163	-0.158629
Chr01	453282	478633	-0.103732	-0.040612	-0.030734	-0.072787
Chr01	478634	488353	-0.070336	-0.045897	-0.030079	-0.042993
Chr01	488374	509025	-0.226736	-0.062203	-0.045052	-0.140108
Chr01	509831	524158	0.122982	0.087166	0.045201	0.109762
Chr01	524249	545029	0.721272	0.483031	0.228083	0.676690
Chr01	545042	565834	0.015932	0.005884	0.003320	0.008119
Chr01	566036	575928	0.658111	0.346419	0.247528	0.517496
Chr01	575982	580873	0.721493	0.463463	0.357540	0.692070
Chr01	580889	608136	0.877318	0.443382	0.376049	0.825650
Chr01	608319	620154	0.185188	0.125524	0.084327	0.130484
Chr01	620502	635508	-0.194972	-0.107959	-0.070236	-0.120508
Chr01	635714	654717	-0.149056	-0.054529	-0.037401	-0.081915
Chr01	654862	661573	0.348528	0.173177	0.132659	0.259047
Chr01	661612	677633	0.143122	0.079613	0.057162	0.124865
Chr01	677647	712118	-0.129409	-0.097817	-0.045739	-0.096551
Chr01	712156	775240	-0.251318	-0.166870	-0.082478	-0.121130
Chr01	776075	819842	-0.113988	-0.088636	-0.054725	-0.086897
Chr01	819912	846312	-0.503897	-0.216513	-0.110366	-0.401218
Chr01	846630	864098	-0.365505	-0.255363	-0.086736	-0.286562
Chr01	864112	876337	-0.390533	-0.585930	-0.183928	-0.257091
Chr01	876509	897879	-0.173407	-0.118218	-0.065710	-0.095161
Chr01	898246	925402	0.054960	0.014836	0.011470	0.046613
Chr01	925424	932518	0.073413	0.044607	0.035739	0.040339
Chr01	932612	944644	0.092294	0.080724	0.045076	0.072440
Chr01	944677	970864	0.322899	0.140096	0.070620	0.218398
Chr01	971656	1006103	0.229536	0.064275	0.037660	0.162422
Chr01	1006246	1016599	0.522272	0.225809	0.147769	0.340293
Chr01	1016845	1027262	0.792408	0.337040	0.239401	0.411147
Chr01	1027334	1040277	0.405317	0.085665	0.068040	0.286340
Chr01	1040289	1053421	-0.295915	-0.124160	-0.070276	-0.118160
Chr01	1053422	1085387	0.354866	0.097178	0.063831	0.327406
Chr01	1086628	1105923	-0.385859	-0.093280	-0.058674	-0.337123
Chr01	1105970	1133247	-0.578006	-0.221348	-0.124729	-0.426763
Chr01	1133418	1144747	-0.288962	-0.098262	-0.066454	-0.265545
Chr01	1144815	1152494	-0.148348	-0.042225	-0.031442	-0.121276
Chr01	1152572	1164094	-0.477726	-0.140452	-0.096683	-0.430923
Chr01	1164229	1173834	-0.185874	-0.099837	-0.070415	-0.177796
Chr01	1174014	1185949	0.073460	0.031048	0.020620	0.064507
Chr01	1186091	1206729	-0.316355	-0.151385	-0.069966	-0.278592
Chr01	1206736	1218142	-0.274331	-0.077403	-0.037576	-0.260049
Chr01	1218559	1277107	0.049465	0.016766	0.009608	0.046577
Chr01	1277678	1299595	-0.566528	-0.108546	-0.070940	-0.412562
Chr01	1299627	1315729	-0.697532	-0.812175	-0.368554	-0.652008
Chr01	1315764	1346328	-0.361650	-0.092717	-0.058803	-0.324117
Chr01	1346548	1376119	-0.601774	-0.237634	-0.145693	-0.385779
Chr01	1376141	1393213	-0.737918	-0.447249	-0.263302	-0.555949
Chr01	1393236	1410183	-0.602332	-0.203748	-0.142661	-0.523209
Chr01	1410317	1435823	-0.049699	-0.030360	-0.017005	-0.040350
Chr01	1435827	1452802	0.321566	0.146519	0.090559	0.275967
Chr01	1452815	1460385	0.082240	0.047988	0.026282	0.071411
Chr01	1460507	1471131	0.135649	0.091744	0.047112	0.123377
Chr01	1471185	1486603	0.123574	0.043670	0.028007	0.097027
Chr01	1486842	1504213	-0.391055	-0.092206	-0.065583	-0.330456
Chr01	1504254	1516409	-0.193553	-0.128410	-0.063761	-0.115819
Chr01	1516547	1535378	-0.278908	-0.094285	-0.060547	-0.158453
Chr01	1535443	1539207	0.006708	0.008851	0.004164	0.004064
Chr01	1539262	1543534	-0.016865	-0.021476	-0.010561	0.002785
Chr01	1543565	1553101	-0.101687	-0.073087	-0.041100	-0.063007
Chr01	1553107	1563933	-0.635007	-0.474687	-0.196508	-0.453585
Chr01	1563943	1575955	-0.735801	-0.683848	-0.242768	-0.647992
Chr01	1575959	1595717	-0.507661	-0.168860	-0.081413	-0.481220
Chr01	1596020	1637273	0.050050	0.013564	0.007215	0.038856
Chr01	1637447	1646942	-0.683768	-0.547438	-0.215050	-0.646835
Chr01	1646963	1660534	-0.311636	-0.189622	-0.093100	-0.284015
Chr01	1660656	1669974	0.747218	0.304525	0.226536	0.704992
Chr01	1670072	1680611	0.189190	0.079390	0.055353	0.161677
Chr01	1680693	1687391	-0.064481	-0.023586	-0.015565	-0.031052
Chr01	1687396	1689917	-0.127676	-0.109888	-0.055244	-0.068838
Chr01	1689929	1691496	0.177017	0.140400	0.085104	0.116921
Chr01	1691499	1699951	-0.423132	-0.640054	-0.104045	-0.171264
Chr01	1700047	1720638	0.009646	0.002475	0.001485	0.001602
Chr01	1720650	1756174	-0.196821	-0.057541	-0.029148	-0.192041
Chr01	1756405	1801657	-0.163015	-0.038285	-0.020376	-0.163430
Chr01	1801658	1813434	0.099404	0.034745	0.016999	0.109710
Chr01	1813816	1831120	-0.205074	-0.083745	-0.033931	-0.164833
Chr01	1831254	1843489	0.351588	0.254643	0.141388	0.261480
Chr01	1843594	1858991	0.595417	0.237430	0.110135	0.453771
Chr01	1859037	1882296	-0.739439	-0.265888	-0.119820	-0.629092
Chr01	1882495	1900185	-0.470499	-0.181378	-0.075204	-0.444227
Chr01	1900277	1919359	-0.571638	-0.200359	-0.090551	-0.464404
Chr01	1919364	1952246	0.028577	0.011131	0.008448	0.017728
Chr01	1952379	1980507	-0.443200	-0.166142	-0.079083	-0.165920
Chr01	1980633	1993935	-0.033783	-0.015464	-0.005755	-0.006118
Chr01	1994007	2004580	0.312056	0.167805	0.081692	0.182609
Chr01	2004630	2014619	0.325605	0.128484	0.067336	0.192936
Chr01	2014622	2030543	-0.293657	-0.107614	-0.059371	-0.202970
Chr01	2030633	2039128	-0.163598	-0.132028	-0.066236	-0.115978
Chr01	2039165	2046576	-0.119993	-0.092533	-0.052694	-0.068076
Chr01	2046595	2053827	0.202341	0.090335	0.061532	0.133550
Chr01	2053943	2071646	-0.029235	-0.013901	-0.008392	-0.023605
Chr01	2071838	2085673	0.293242	0.218125	0.115019	0.215689
Chr01	2085826	2094576	-0.868341	-0.407294	-0.264509	-0.716598
Chr01	2094597	2099874	-0.862958	-0.142232	-0.118901	-0.664843
Chr01	2099933	2108675	-0.482613	-0.489668	-0.158859	-0.360344
Chr01	2108676	2118945	-0.045911	-0.037786	-0.015692	-0.043428
Chr01	2118953	2152286	-0.100387	-0.029722	-0.019543	-0.074100
Chr01	2152326	2170075	-0.326759	-0.102534	-0.077118	-0.144309
Chr01	2170096	2180762	0.057682	0.028776	0.023513	0.032757
Chr01	2180896	2194048	0.386401	0.123706	0.071331	0.123300
Chr01	2194091	2206561	-0.120557	-0.052422	-0.035615	-0.059972
Chr01	2206642	2212325	-0.316954	-0.269586	-0.152524	-0.206873
Chr01	2212332	2218965	-0.104695	-0.072763	-0.039482	-0.054418
Chr01	2219056	2226045	0.575402	0.423989	0.254863	0.463673
Chr01	2226064	2231658	-0.039344	-0.032855	-0.015867	-0.018707
Chr01	2231713	2236468	-0.087609	-0.059861	-0.035500	-0.053348
Chr01	2236521	2248295	-0.066652	-0.049953	-0.029292	-0.038151
Chr01	2248320	2255748	-0.229850	-0.235614	-0.116120	-0.110887
Chr01	2255773	2261347	-0.052511	-0.095538	-0.033619	-0.039274
Chr01	2261378	2265502	-0.017814	-0.029855	-0.014287	-0.007488
Chr01	2265573	2271957	0.598525	0.513588	0.394857	0.318463
Chr01	2271975	2277714	0.590095	0.421397	0.332196	0.327526
Chr01	2277745	2290920	-0.032960	-0.017049	-0.010764	-0.033051
Chr01	2290922	2306155	-0.215489	-0.146177	-0.072899	-0.126394
Chr01	2306243	2324371	-0.182407	-0.130623	-0.074410	-0.156389
Chr01	2324471	2357856	-0.651422	-0.916763	-0.345482	-0.504603
Chr01	2357860	2375985	-0.613059	-0.821287	-0.336101	-0.475568
Chr01	2376075	2382856	-0.290091	-0.327060	-0.129536	-0.138291
Chr01	2382859	2402236	0.252226	0.174762	0.078742	0.212061
Chr01	2402277	2416334	0.056879	0.027158	0.018498	0.075512
Chr01	2416343	2421983	0.261172	0.289186	0.147940	0.145230
Chr01	2421991	2427392	0.103322	0.130851	0.060642	0.053307
Chr01	2427468	2430572	0.070014	0.071531	0.043066	0.047296
Chr01	2430589	2436326	0.133105	0.137822	0.077804	0.093646
Chr01	2436361	2442406	-0.031030	-0.049323	-0.016969	-0.010687
Chr01	2442498	2447653	0.246756	0.327771	0.132045	0.181020
Chr01	2447796	2469183	0.258087	0.211474	0.112108	0.141773
Chr01	2469216	2474509	0.238070	0.188772	0.113930	0.156101
Chr01	2474526	2482477	0.073577	0.041059	0.026062	0.037543
Chr01	2482590	2493277	0.168134	0.099840	0.055476	0.062127
Chr01	2493310	2499162	0.447206	0.412659	0.221542	0.148790
Chr01	2499187	2502827	0.075328	0.115281	0.040998	0.025027
Chr01	2503933	2510149	0.148121	0.156549	0.086034	0.071356
Chr01	2510151	2521772	0.015554	0.013612	0.006949	0.006672
Chr01	2521816	2533101	-0.125267	-0.035575	-0.024123	-0.048924
Chr01	2533107	2538870	0.330714	0.325756	0.189989	0.197170
Chr01	2538970	2565048	0.186290	0.115056	0.069922	0.116934
Chr01	2565097	2595541	-0.466028	-0.260957	-0.156111	-0.379356
Chr01	2595578	2604083	-0.683046	-1.100774	-0.296527	-0.575804
Chr01	2604166	2612777	-0.709480	-2.007176	-0.411667	-0.528143
Chr01	2612785	2616975	0.153069	0.136390	0.075394	0.094696
Chr01	2616978	2619846	0.237827	0.244935	0.123025	0.139060
Chr01	2619847	2625314	-0.062553	-0.095798	-0.036144	-0.028471
Chr01	2625459	2636352	0.240164	0.198413	0.112849	0.131408
Chr01	2636381	2644319	0.350790	0.266360	0.144712	0.224163
Chr01	2644354	2652249	0.259064	0.151906	0.086272	0.114105
Chr01	2652294	2659115	-0.113635	-0.164571	-0.063931	-0.071909
Chr01	2659158	2662293	0.164888	0.114870	0.077823	0.125224
Chr01	2662333	2666212	0.032053	0.021457	0.014652	0.032139
Chr01	2666213	2672368	0.026336	0.016486	0.011395	0.019589
Chr01	2672434	2678155	0.033314	0.025626	0.015366	0.025295
Chr01	2678282	2684711	-0.223218	-0.188297	-0.094966	-0.173364
Chr01	2684790	2689742	0.259971	0.237432	0.148105	0.118585
Chr01	2689893	2694642	0.394079	0.325257	0.168032	0.243232
