chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	616131	918701	-0.299335	-0.185737	-0.102288	-0.171809
Superscaffold1	918921	1391343	-0.075592	-0.035211	-0.021869	-0.050612
Superscaffold1	1391345	1832595	-0.044005	-0.018974	-0.011846	-0.030771
Superscaffold1	1832719	2227491	-0.082829	-0.028983	-0.015558	-0.057308
Superscaffold1	2227986	2510514	0.001650	0.000903	0.000565	-0.001354
Superscaffold1	2510532	2771254	0.006223	0.003560	0.002343	0.007591
Superscaffold1	2771294	3067216	-0.089972	-0.055507	-0.028986	-0.060397
Superscaffold1	3067801	3493754	0.057357	0.020246	0.013132	0.037023
Superscaffold1	3493787	3941340	0.098407	0.042919	0.023801	0.064859
Superscaffold1	3941404	4391831	0.118717	0.059884	0.035645	0.095310
Superscaffold1	4391861	4776554	0.097190	0.057075	0.031537	0.063661
Superscaffold1	4776804	5252383	0.335297	0.125371	0.082325	0.235443
Superscaffold1	5252398	5666141	0.008983	0.003664	0.002278	0.008249
Superscaffold1	5666151	5981032	0.133305	0.070165	0.044375	0.082748
Superscaffold1	5981066	6383948	0.136970	0.057304	0.036618	0.096405
Superscaffold1	6384027	6793076	0.078551	0.036983	0.024174	0.059843
Superscaffold1	6793121	7263304	0.204551	0.075343	0.046848	0.139237
Superscaffold1	7263319	7586085	-0.077597	-0.045749	-0.024766	-0.051289
Superscaffold1	7586089	8247681	0.047652	0.022287	0.012292	0.033529
Superscaffold1	8247750	9075322	0.009655	0.004217	0.002500	0.006447
Superscaffold1	9075446	10301348	-0.024456	-0.009125	-0.005894	-0.009711
Superscaffold1	10301378	10801699	-0.049194	-0.022104	-0.014078	-0.035341
Superscaffold1	10801984	11145948	0.088735	0.041744	0.024015	0.060774
Superscaffold1	11145954	11580453	0.069750	0.022180	0.014852	0.062904
Superscaffold1	11580466	11976578	-0.094422	-0.038339	-0.023267	-0.065427
Superscaffold1	11976602	12464009	0.055924	0.021976	0.013813	0.035864
Superscaffold1	12464046	12806616	-0.001574	-0.000855	-0.000445	0.000315
Superscaffold1	12806618	13063188	0.295382	0.173081	0.089365	0.218380
Superscaffold1	13063193	13610772	0.439567	0.203125	0.098395	0.278666
Superscaffold1	13610839	14197651	0.105031	0.040048	0.020060	0.057586
Superscaffold1	14197676	14707108	-0.013465	-0.004730	-0.002879	-0.013519
Superscaffold1	14707112	14951421	0.057450	0.031757	0.017126	0.032481
Superscaffold1	14951495	15245336	0.474234	0.196779	0.137715	0.330819
Superscaffold1	15245384	15520298	0.299461	0.152765	0.090419	0.197371
Superscaffold1	15520316	15842207	0.066605	0.030803	0.017284	0.046519
Superscaffold1	15842656	16168137	0.056512	0.024666	0.014542	0.036993
Superscaffold1	16168198	16542116	0.173809	0.064602	0.039602	0.130390
Superscaffold1	16542518	16859405	-0.057978	-0.034893	-0.019564	-0.033579
Superscaffold1	16859419	17336460	0.078036	0.027602	0.017314	0.053674
Superscaffold1	17336490	18048960	0.094752	0.036317	0.020999	0.070229
Superscaffold1	18049158	18590866	-0.087019	-0.035602	-0.020656	-0.058676
Superscaffold1	18590873	19049281	-0.057764	-0.023793	-0.015548	-0.038803
Superscaffold1	19049683	19478071	0.009170	0.003998	0.002684	0.000063
Superscaffold1	19478145	19863677	0.425433	0.155268	0.110260	0.331263
Superscaffold1	19863798	20294646	-0.107661	-0.032466	-0.021533	-0.073666
Superscaffold1	20294712	21080918	0.180471	0.059494	0.035836	0.136789
Superscaffold1	21080967	21430180	0.321533	0.141210	0.087232	0.261431
Superscaffold1	21430805	21873963	0.018425	0.007185	0.004141	0.015714
Superscaffold1	21874182	22342729	0.017127	0.005560	0.003644	0.018372
Superscaffold1	22342766	22801668	-0.658423	-0.334932	-0.196717	-0.553858
Superscaffold1	22801676	23331622	0.102368	0.032520	0.018734	0.075785
Superscaffold1	23334694	23813559	0.103701	0.031467	0.018756	0.087359
Superscaffold1	23813603	24329223	-0.081230	-0.019635	-0.013289	-0.051610
Superscaffold1	24329292	24712842	0.330897	0.130563	0.081546	0.271527
Superscaffold1	24713185	25196609	-0.031364	-0.010454	-0.006450	-0.024772
Superscaffold1	25196864	25629318	-0.111982	-0.036928	-0.022835	-0.085875
Superscaffold1	25629642	26060259	0.152731	0.061581	0.041355	0.109268
Superscaffold1	26060380	26382732	-0.065279	-0.025004	-0.013673	-0.044940
Superscaffold1	26382985	26850514	-0.082385	-0.041267	-0.022109	-0.052041
Superscaffold1	26850561	27280638	0.083771	0.022648	0.013055	0.071387
Superscaffold1	27280851	27602946	0.180895	0.076336	0.046381	0.110947
Superscaffold1	27603053	27952436	-0.250047	-0.093173	-0.057649	-0.158526
Superscaffold1	27952454	28249722	0.168296	0.071395	0.041843	0.111860
Superscaffold1	28249749	28777304	0.132830	0.042348	0.030608	0.095033
Superscaffold1	28777311	29331991	-0.177634	-0.046081	-0.029255	-0.132438
Superscaffold1	29332039	29803916	0.098951	0.027176	0.016563	0.070293
Superscaffold1	29803925	30266921	-0.114765	-0.042381	-0.025651	-0.072631
Superscaffold1	30267064	30882317	0.053137	0.017566	0.011079	0.033146
Superscaffold1	30882319	31293627	-0.030219	-0.008692	-0.005717	-0.024297
Superscaffold1	31293640	32160530	-0.005758	-0.001672	-0.001072	-0.001590
Superscaffold1	32160544	32775118	0.325370	0.110496	0.065339	0.267108
Superscaffold1	32775232	33304302	0.087522	0.023594	0.015395	0.060964
