chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	205517	353670	-0.173269	-0.168377	-0.085939	-0.089195
Chr01	258725	477709	-0.103177	-0.090388	-0.039088	-0.046508
Chr01	353847	577223	0.099543	0.097085	0.036669	0.044575
Chr01	477711	801321	0.004678	0.004709	0.001905	0.008870
Chr01	577249	956829	-0.069579	-0.074095	-0.027872	-0.027805
Chr01	801389	1142704	0.084350	0.065907	0.028747	0.032699
Chr01	956889	1348613	-0.097329	-0.045595	-0.028080	-0.053282
Chr01	1142745	1517398	-0.273937	-0.117956	-0.077623	-0.170637
Chr01	1348816	1633008	-0.122050	-0.056650	-0.036094	-0.070953
Chr01	1517428	1809633	0.026190	0.009221	0.006372	0.012608
Chr01	1633054	2028893	0.123994	0.039613	0.026680	0.058800
Chr01	1809638	2143503	0.226740	0.089740	0.056056	0.103874
Chr01	2028938	2246554	0.146696	0.082381	0.050689	0.076390
Chr01	2143579	2383847	0.170300	0.110849	0.067521	0.100602
Chr01	2246634	2483692	0.096126	0.073626	0.041154	0.051722
Chr01	2383859	2592889	-0.040447	-0.038222	-0.019950	-0.022720
Chr01	2483763	2685613	-0.102964	-0.100063	-0.053984	-0.054379
Chr01	2593103	2755431	-0.068150	-0.051197	-0.029115	-0.030914
Chr01	2685637	2851267	0.089339	0.063431	0.036185	0.049281
Chr01	2755478	2945003	0.069307	0.058276	0.030765	0.038779
Chr01	2851354	3040034	-0.122703	-0.120569	-0.056272	-0.052132
Chr01	2945027	3163220	-0.054294	-0.047384	-0.024755	-0.022808
Chr01	3040048	3340795	0.039825	0.024794	0.013209	0.018865
Chr01	3163262	3527057	-0.008880	-0.004762	-0.002498	-0.004632
Chr01	3340835	3681615	-0.295841	-0.156285	-0.094330	-0.163510
Chr01	3527071	3843871	-0.252898	-0.123664	-0.083030	-0.124077
Chr01	3682005	3962350	0.055681	0.026963	0.018022	0.014353
Chr01	3843892	4065838	0.141466	0.085694	0.052600	0.044677
Chr01	3962370	4211513	0.165379	0.099498	0.055570	0.100459
Chr01	4066028	4320974	0.209185	0.125971	0.063814	0.113258
Chr01	4211592	4423727	0.248916	0.181725	0.100461	0.111351
Chr01	4320999	4498715	0.119610	0.099689	0.063607	0.061834
Chr01	4423929	4608542	0.039972	0.035121	0.019481	0.023004
Chr01	4498758	4730007	0.047133	0.033573	0.017970	0.021587
Chr01	4608571	4893479	0.053502	0.030842	0.017479	0.026725
Chr01	4730322	5039208	0.012987	0.008445	0.004657	0.011339
Chr01	4893588	5196925	0.110919	0.074218	0.040129	0.062065
Chr01	5039222	5479714	0.065767	0.038940	0.023049	0.036694
Chr01	5196986	5597566	0.038342	0.025437	0.016768	0.024743
Chr01	5479754	5772497	0.208696	0.124558	0.074124	0.108486
Chr01	5597574	5912242	0.121415	0.071653	0.034710	0.055439
Chr01	5772534	6012269	0.039263	0.025988	0.012880	0.016864
