chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	628213	932691	-0.344348	-0.199549	-0.117430	-0.197376
Superscaffold1	933675	1400878	0.082803	0.036201	0.023479	0.055930
Superscaffold1	1400943	1862113	0.115464	0.044721	0.028860	0.081369
Superscaffold1	1862144	2220073	0.133669	0.050474	0.026381	0.094024
Superscaffold1	2220910	2476840	0.074403	0.041514	0.026568	0.040776
Superscaffold1	2476888	2769522	0.017196	0.009619	0.006282	0.013700
Superscaffold1	2769622	3069772	-0.104415	-0.063838	-0.033541	-0.071071
Superscaffold1	3069793	3523244	0.111787	0.037202	0.024735	0.066632
Superscaffold1	3523263	3967377	0.078359	0.034056	0.018942	0.048609
Superscaffold1	3967437	4431255	0.115342	0.052719	0.032300	0.085224
Superscaffold1	4431312	4816676	-0.015238	-0.008701	-0.004921	-0.007111
Superscaffold1	4816803	5349471	0.327360	0.111571	0.073997	0.240177
Superscaffold1	5349690	5731080	0.018035	0.007538	0.004875	0.012911
Superscaffold1	5731083	6106958	0.049709	0.026500	0.016328	0.031632
Superscaffold1	6107101	6514316	0.155499	0.064720	0.041141	0.113102
Superscaffold1	6514741	7038319	0.295462	0.112766	0.073742	0.213922
Superscaffold1	7038359	7344673	-0.033852	-0.015804	-0.009137	-0.021745
Superscaffold1	7344725	7768043	0.077323	0.043866	0.025111	0.043799
Superscaffold1	7768068	8459643	0.173238	0.077001	0.042686	0.096620
Superscaffold1	8459645	9587542	-0.036890	-0.013391	-0.008584	-0.022185
Superscaffold1	9587636	10569782	0.089507	0.036347	0.024456	0.058361
Superscaffold1	10569803	10966222	0.140431	0.068317	0.041552	0.093933
Superscaffold1	10966321	11343526	0.179516	0.075037	0.046486	0.123914
Superscaffold1	11343539	11736557	-0.027532	-0.010300	-0.006224	-0.018617
Superscaffold1	11736573	12215495	-0.002043	-0.000735	-0.000485	-0.001914
Superscaffold1	12215661	12623225	0.102865	0.047198	0.029027	0.065303
Superscaffold1	12623250	12968053	-0.145043	-0.086228	-0.042886	-0.109957
Superscaffold1	12968164	13390829	0.457853	0.205332	0.106490	0.308434
Superscaffold1	13390903	13864409	0.345186	0.171361	0.077046	0.175133
Superscaffold1	13864414	14523239	-0.010253	-0.003434	-0.002080	-0.008448
Superscaffold1	14523246	14867154	0.171679	0.073860	0.044117	0.107094
Superscaffold1	14867233	15136906	0.269381	0.136191	0.081518	0.164677
Superscaffold1	15136913	15406326	0.590250	0.314681	0.199171	0.415981
Superscaffold1	15406426	15706074	0.174637	0.083081	0.050345	0.122411
Superscaffold1	15706333	16047806	0.003610	0.001588	0.000900	0.006410
Superscaffold1	16047820	16372010	0.145754	0.050509	0.030827	0.100887
Superscaffold1	16372231	16781822	0.142974	0.070964	0.044574	0.099567
Superscaffold1	16782350	17122102	-0.082757	-0.046863	-0.025364	-0.048137
Superscaffold1	17122177	17650305	0.186512	0.063091	0.039060	0.140547
Superscaffold1	17652039	18378637	-0.018341	-0.007733	-0.004217	-0.013044
Superscaffold1	18378658	18918669	-0.099134	-0.034904	-0.021760	-0.071988
Superscaffold1	18918815	19183823	-0.024097	-0.010018	-0.007170	-0.018873
Superscaffold1	19183878	19690321	0.194137	0.086379	0.058039	0.147099
Superscaffold1	19691180	20135435	0.168901	0.046060	0.032746	0.125550
Superscaffold1	20135690	20775698	0.315609	0.096493	0.063192	0.228063
Superscaffold1	20776549	21266508	0.313205	0.125637	0.076087	0.231486
Superscaffold1	21266524	21721806	0.019835	0.007771	0.004462	0.015011
Superscaffold1	21721807	22165677	0.215336	0.090586	0.056509	0.159517
Superscaffold1	22165700	22720445	-0.440780	-0.159147	-0.103142	-0.367980
