chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	547584	701815	0.057024	0.051578	0.031332	0.034418
Superscaffold1	701914	876839	-0.137624	-0.083891	-0.045964	-0.078322
Superscaffold1	877267	1187810	-0.134509	-0.080222	-0.045018	-0.075958
Superscaffold1	1187819	1425703	-0.161498	-0.066206	-0.040659	-0.092623
Superscaffold1	1425835	1699413	-0.284987	-0.129632	-0.077315	-0.182645
Superscaffold1	1699449	2040541	-0.222514	-0.098803	-0.052482	-0.158390
Superscaffold1	2040598	2309098	-0.100714	-0.042897	-0.025641	-0.071142
Superscaffold1	2309280	2518605	-0.096473	-0.066616	-0.040138	-0.060848
Superscaffold1	2518609	2708933	-0.006055	-0.004723	-0.002665	-0.000230
Superscaffold1	2708950	2843799	-0.123120	-0.129277	-0.063116	-0.072436
Superscaffold1	2843801	3072013	-0.177108	-0.172076	-0.080435	-0.095998
Superscaffold1	3072033	3345646	0.026526	0.011205	0.007236	0.012109
Superscaffold1	3345831	3695372	-0.044068	-0.015538	-0.009683	-0.024058
Superscaffold1	3695557	4103117	-0.256469	-0.091107	-0.053261	-0.159103
Superscaffold1	4103230	4454450	0.086269	0.032438	0.021204	0.065014
Superscaffold1	4454473	4784587	-0.351382	-0.224227	-0.130382	-0.238867
Superscaffold1	4784593	5191046	-0.040082	-0.013984	-0.009454	-0.025351
Superscaffold1	5191110	5638711	-0.237908	-0.052276	-0.037803	-0.135131
Superscaffold1	5638716	5984797	0.242137	0.094184	0.064116	0.149639
Superscaffold1	5984887	6420477	-0.004673	-0.001347	-0.000925	-0.002447
Superscaffold1	6420481	6786937	-0.138254	-0.055754	-0.036431	-0.086556
Superscaffold1	6786952	7239705	-0.394436	-0.141235	-0.088376	-0.256119
Superscaffold1	7239806	7591949	-0.164739	-0.074697	-0.047000	-0.125232
Superscaffold1	7591963	8238877	-0.204439	-0.083834	-0.050978	-0.117480
Superscaffold1	8238927	8579519	-0.097193	-0.050885	-0.027497	-0.054111
Superscaffold1	8579669	9738655	0.011769	0.003814	0.002610	0.006431
Superscaffold1	9739907	10648358	0.039078	0.016240	0.010622	0.026772
Superscaffold1	10649423	10928056	-0.119670	-0.050105	-0.031502	-0.078413
Superscaffold1	10928143	11264436	-0.022790	-0.008124	-0.005429	-0.017462
Superscaffold1	11267297	11602069	-0.473034	-0.220120	-0.132855	-0.360076
Superscaffold1	11602087	11996308	-0.043687	-0.015004	-0.009651	-0.029852
Superscaffold1	11996337	12290402	0.089741	0.046330	0.026935	0.057926
Superscaffold1	12290537	12551002	0.077119	0.050585	0.029793	0.041097
Superscaffold1	12551020	12877760	-0.263486	-0.098843	-0.059192	-0.185656
Superscaffold1	12877807	13265985	0.073441	0.025669	0.014811	0.047900
Superscaffold1	13266258	13952343	-0.018747	-0.003248	-0.002208	-0.011096
Superscaffold1	13952398	14580665	-0.031775	-0.007871	-0.005257	-0.022793
Superscaffold1	14580716	14920742	0.154874	0.051520	0.033274	0.102917
Superscaffold1	14920755	15380460	-0.172691	-0.039495	-0.027599	-0.134893
Superscaffold1	15380583	15746428	-0.248847	-0.059842	-0.039125	-0.162683
Superscaffold1	15746474	16080013	-0.073491	-0.023023	-0.014694	-0.046951
Superscaffold1	16080132	16458068	-0.213519	-0.063394	-0.040273	-0.142582
Superscaffold1	16458079	16742160	-0.026107	-0.011311	-0.006931	-0.012920
Superscaffold1	16742238	17154899	0.024045	0.008387	0.004652	0.013567
Superscaffold1	17159367	17579914	-0.139322	-0.051261	-0.031726	-0.105573
Superscaffold1	17580115	18265834	-0.105343	-0.060526	-0.029696	-0.054220
Superscaffold1	18265864	18595522	0.010699	0.003493	0.002134	0.008401
Superscaffold1	18595584	19032555	-0.042988	-0.013229	-0.008940	-0.023150
Superscaffold1	19032600	19204642	0.049029	0.031892	0.019216	0.022674
Superscaffold1	19204651	19612322	-0.454498	-0.268485	-0.170472	-0.333700
Superscaffold1	19612323	19890515	-0.235132	-0.096629	-0.062439	-0.166137
Superscaffold1	19890569	20291277	0.089034	0.025344	0.016191	0.053553
Superscaffold1	20291294	20921375	-0.024280	-0.007609	-0.004364	-0.015860
Superscaffold1	20921487	21303519	-0.063408	-0.019541	-0.012222	-0.041582
Superscaffold1	21303573	21684657	-0.256946	-0.104894	-0.058782	-0.169493
Superscaffold1	21684739	22043170	0.022536	0.008747	0.005566	0.013899
Superscaffold1	22043184	22602287	-0.071834	-0.014718	-0.009875	-0.053339
Superscaffold1	22602569	23147546	-0.219183	-0.046126	-0.028411	-0.163964
Superscaffold1	23147549	23615950	-0.046588	-0.011725	-0.007256	-0.039342
Superscaffold1	23616040	23991310	-0.300726	-0.109114	-0.066860	-0.214049
Superscaffold1	23991376	24408955	-0.100632	-0.028108	-0.019165	-0.052614
Superscaffold1	24408962	24683594	-0.036966	-0.015114	-0.009220	-0.026393
Superscaffold1	24683599	25062742	-0.026785	-0.010286	-0.006091	-0.014803
Superscaffold1	25062804	25488169	-0.047257	-0.013503	-0.008150	-0.030154
Superscaffold1	25488244	25835055	-0.099182	-0.030365	-0.020786	-0.072108
Superscaffold1	25835104	26200860	-0.284717	-0.102528	-0.064027	-0.182665
Superscaffold1	26201209	26490154	-0.127214	-0.044025	-0.027350	-0.083092
Superscaffold1	26490280	27059497	0.152697	0.027928	0.018344	0.109411
Superscaffold1	27059982	27489559	0.027090	0.008915	0.005038	0.021799
Superscaffold1	27489603	27826124	-0.204684	-0.077573	-0.045523	-0.126717
Superscaffold1	27826139	28022886	-0.209184	-0.146696	-0.072001	-0.097667
Superscaffold1	28023155	28323841	0.045015	0.016478	0.010957	0.029496
Superscaffold1	28324223	28770016	-0.296832	-0.088932	-0.064344	-0.168785
Superscaffold1	28770017	29182124	-0.359307	-0.105530	-0.070144	-0.271620
Superscaffold1	29182200	29503831	-0.006504	-0.002386	-0.001496	-0.009380
Superscaffold1	29503865	29863284	-0.520305	-0.253532	-0.133024	-0.390946
Superscaffold1	29863300	30238731	-0.350171	-0.155040	-0.098566	-0.234936
Superscaffold1	30238732	30879208	-0.023609	-0.006283	-0.004132	-0.013504
Superscaffold1	30879229	31286487	0.041850	0.010339	0.006721	0.035173
Superscaffold1	31286799	31912197	-0.189842	-0.037346	-0.025583	-0.118467
Superscaffold1	31912316	32458672	0.133624	0.049450	0.028841	0.083201
Superscaffold1	32458822	32887285	0.098291	0.026906	0.017083	0.061990
Superscaffold1	32887335	33344236	-0.214966	-0.069813	-0.044737	-0.144515
Superscaffold1	33344238	33568182	0.032720	0.017005	0.010985	0.017413
Superscaffold1	33568243	33815996	-0.131966	-0.090253	-0.048215	-0.067071
Superscaffold1	33816011	34064274	-0.319799	-0.134251	-0.087637	-0.182379
Superscaffold1	34064292	34358772	-0.150226	-0.038246	-0.025689	-0.101064
Superscaffold1	34358811	34801311	-0.068324	-0.016172	-0.011239	-0.054180
Superscaffold1	34801312	35423902	-0.150429	-0.031260	-0.021619	-0.088707
Superscaffold1	35423926	36329478	0.051373	0.021495	0.012725	0.034792
Superscaffold1	36329511	37061858	-0.173273	-0.033015	-0.023710	-0.117380
Superscaffold1	37061936	37410591	-0.197151	-0.076498	-0.048332	-0.130185
Superscaffold1	37410690	37616720	-0.033051	-0.016798	-0.009225	-0.018769
Superscaffold1	37616755	38205490	-0.020319	-0.007256	-0.004810	-0.013236
Superscaffold1	38205538	38543670	0.062617	0.019992	0.012977	0.049922
Superscaffold1	38543691	38947869	-0.117428	-0.025916	-0.019057	-0.093259
Superscaffold1	38947910	39202113	-0.117275	-0.044989	-0.026769	-0.084905
Superscaffold1	39202125	39647525	-0.370436	-0.095067	-0.061709	-0.286008
Superscaffold1	39649081	39966666	-0.091994	-0.025868	-0.017296	-0.068403
Superscaffold1	39966736	40379461	0.139397	0.029864	0.020494	0.098228
Superscaffold1	40379503	40834082	0.112839	0.032079	0.021465	0.069160
Superscaffold1	40834087	41404780	0.072890	0.014910	0.008803	0.052627
Superscaffold1	41404902	41911471	0.102670	0.016050	0.011217	0.082192
Superscaffold1	41911472	42617621	-0.165993	-0.015905	-0.012197	-0.129880
Superscaffold1	42617691	43299799	0.170282	0.027826	0.018612	0.128577
Superscaffold1	43300212	43891584	-0.005010	-0.000661	-0.000431	-0.012219
Superscaffold1	43891591	44581445	0.087669	0.018084	0.010936	0.071672
Superscaffold1	44581561	45212694	-0.269461	-0.030516	-0.023073	-0.193557
Superscaffold1	45213062	45808961	0.090775	0.015776	0.010068	0.063681
Superscaffold1	45809013	46377316	-0.472836	-0.091060	-0.053855	-0.372540
Superscaffold1	46377533	47316899	0.129780	0.019359	0.011200	0.099636
Superscaffold1	47316945	48019943	0.158178	0.022683	0.014393	0.130190
Superscaffold1	48019989	48498518	0.526998	0.117415	0.073811	0.443194
Superscaffold1	48498727	48926878	0.386412	0.093899	0.055405	0.306747
Superscaffold1	48927968	49545440	0.050155	0.006262	0.004491	0.020876
Superscaffold1	49547077	49980535	-0.290212	-0.066910	-0.037583	-0.169425
Superscaffold1	49980537	50253535	-0.651928	-0.348096	-0.181753	-0.595940
Superscaffold1	50253566	50848205	0.124635	0.022527	0.017490	0.078329
Superscaffold1	50848278	51292484	0.249360	0.126161	0.079540	0.136666
Superscaffold2	260444	633225	0.346077	0.122297	0.082705	0.169643
Superscaffold2	633234	953006	0.094079	0.036885	0.023479	0.070856
Superscaffold2	953086	1423503	-0.036680	-0.008155	-0.006047	-0.022531
Superscaffold2	1423868	1919910	-0.108162	-0.018657	-0.013721	-0.060911
Superscaffold2	1919994	2245248	-0.073648	-0.033084	-0.019984	-0.050699
Superscaffold2	2245510	2641861	0.223778	0.085581	0.052607	0.152557
Superscaffold2	2642877	3454115	-0.063130	-0.030986	-0.018511	-0.038667
Superscaffold2	3454232	3673708	0.202302	0.175873	0.090499	0.132526
