chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	544023	712832	-0.078353	-0.112015	-0.055876	-0.044834
Superscaffold1	712916	868169	0.268480	0.234636	0.119879	0.165372
Superscaffold1	868417	1174286	0.028494	0.024628	0.011970	0.019719
Superscaffold1	1174382	1389598	-0.002588	-0.002079	-0.001142	-0.000561
Superscaffold1	1389658	1599905	0.016873	0.012267	0.006707	0.006032
Superscaffold1	1599921	1879269	0.232455	0.147908	0.075446	0.137110
Superscaffold1	1879275	2080920	0.114496	0.065084	0.029268	0.070471
Superscaffold1	2080925	2268680	-0.028317	-0.020385	-0.009953	-0.017733
Superscaffold1	2268688	2414552	0.002106	0.002304	0.001191	0.000975
Superscaffold1	2414592	2568804	0.052016	0.057221	0.030020	0.028794
Superscaffold1	2568815	2736804	-0.033558	-0.039093	-0.019273	-0.016370
Superscaffold1	2736888	2843724	0.042975	0.058056	0.024789	0.025896
Superscaffold1	2843781	3072924	0.028974	0.028351	0.013613	0.017197
Superscaffold1	3072949	3270517	-0.097125	-0.095806	-0.046505	-0.053654
Superscaffold1	3270523	3493308	0.103890	0.067595	0.037230	0.053838
Superscaffold1	3493327	3685000	0.104783	0.093160	0.042697	0.066767
Superscaffold1	3685027	3935821	0.116386	0.087924	0.039162	0.060333
Superscaffold1	3935822	4175042	0.185440	0.148186	0.069475	0.119723
Superscaffold1	4175096	4444854	0.138204	0.105019	0.055554	0.080620
Superscaffold1	4444862	4668136	0.166014	0.142356	0.072678	0.119648
Superscaffold1	4668731	4898456	-0.030385	-0.028799	-0.015253	-0.018008
Superscaffold1	4898515	5180113	0.212216	0.182907	0.096094	0.139684
Superscaffold1	5180329	5493148	0.356742	0.164424	0.106751	0.184117
Superscaffold1	5493181	5778405	0.045305	0.024700	0.015167	0.030726
Superscaffold1	5778444	6157594	0.219855	0.101230	0.066610	0.140697
Superscaffold1	6157611	6494346	-0.137172	-0.062570	-0.039153	-0.096689
Superscaffold1	6494351	6850708	0.104734	0.044202	0.029420	0.075414
Superscaffold1	6850715	7226808	-0.345690	-0.171838	-0.096031	-0.227606
Superscaffold1	7226908	7518839	-0.034380	-0.021716	-0.011325	-0.019229
Superscaffold1	7518841	7875251	-0.079966	-0.037007	-0.020923	-0.033634
Superscaffold1	7875409	8498916	0.069802	0.035639	0.020086	0.038559
Superscaffold1	8498925	9171519	0.000866	0.000431	0.000267	-0.003400
Superscaffold1	9172152	9994022	0.176943	0.084237	0.056681	0.118412
Superscaffold1	9996871	10662339	-0.003225	-0.001726	-0.001060	-0.000386
Superscaffold1	10662383	10848381	0.225980	0.151093	0.090133	0.136476
Superscaffold1	10848418	11122490	-0.007542	-0.004313	-0.002394	-0.000977
Superscaffold1	11122652	11430144	-0.383758	-0.187156	-0.117304	-0.279217
Superscaffold1	11430421	11708943	-0.262854	-0.147007	-0.080812	-0.207496
Superscaffold1	11709000	11945755	-0.024572	-0.014453	-0.008536	-0.010792
Superscaffold1	11945958	12154863	0.143390	0.120815	0.069681	0.085809
Superscaffold1	12154873	12417064	0.004875	0.003615	0.001757	0.005339
Superscaffold1	12417155	12659829	0.167083	0.101085	0.057976	0.103725
Superscaffold1	12659830	12947643	-0.074229	-0.041391	-0.021734	-0.046431
Superscaffold1	12947690	13352346	0.380171	0.173645	0.098810	0.311124
Superscaffold1	13352354	13767986	0.537124	0.415039	0.202172	0.371489
Superscaffold1	13767991	14282699	-0.101115	-0.052181	-0.027069	-0.071582
Superscaffold1	14282979	14689364	-0.097402	-0.033922	-0.020013	-0.067075
Superscaffold1	14689379	14916620	0.155389	0.089255	0.050542	0.087431
Superscaffold1	14916710	15136283	0.239441	0.138827	0.082788	0.145801
Superscaffold1	15136327	15443323	-0.045987	-0.014203	-0.009643	-0.036229
Superscaffold1	15443352	15799871	-0.294107	-0.104015	-0.061757	-0.220431
Superscaffold1	15799891	16188514	0.216049	0.071509	0.046034	0.160609
Superscaffold1	16188710	16498278	-0.022690	-0.009285	-0.005476	-0.014935
Superscaffold1	16498319	16776716	-0.001426	-0.000973	-0.000545	-0.003384
Superscaffold1	16776724	17036252	0.043854	0.029057	0.013687	0.023957
Superscaffold1	17036415	17380141	0.010362	0.005474	0.003148	0.010358
Superscaffold1	17380705	17942667	0.062452	0.025870	0.014897	0.041080
Superscaffold1	17947591	18317831	-0.269875	-0.386567	-0.127838	-0.134251
Superscaffold1	18317836	18651763	0.045942	0.018224	0.010818	0.030279
Superscaffold1	18651772	19086984	-0.122393	-0.055492	-0.035023	-0.074389
Superscaffold1	19087087	19250427	-0.017789	-0.010875	-0.006471	-0.013272
Superscaffold1	19257258	19660761	0.355351	0.217692	0.153436	0.285608
Superscaffold1	19660791	19923799	0.037155	0.017664	0.010772	0.032719
Superscaffold1	19923827	20223647	0.026198	0.014014	0.007826	0.016966
Superscaffold1	20223714	20556474	0.197413	0.071666	0.044237	0.113334
Superscaffold1	20558751	21118021	-0.086537	-0.045950	-0.023148	-0.053798
Superscaffold1	21118104	21310074	0.242605	0.110699	0.063454	0.124853
Superscaffold1	21310114	21577274	0.178226	0.098343	0.045977	0.107355
Superscaffold1	21577406	21903877	-0.219884	-0.110922	-0.064574	-0.142644
Superscaffold1	21903895	22279179	0.282307	0.097560	0.063017	0.202441
Superscaffold1	22279408	22787146	0.460226	0.155341	0.097696	0.358156
Superscaffold1	22787166	23146501	0.519322	0.287056	0.159538	0.409684
Superscaffold1	23146516	23619421	-0.008131	-0.002192	-0.001269	-0.005848
Superscaffold1	23619480	23930557	0.119752	0.058788	0.034334	0.082812
Superscaffold1	23930592	24299427	0.096783	0.035830	0.022940	0.066708
Superscaffold1	24299442	24662340	0.175688	0.062226	0.038717	0.139441
Superscaffold1	24662401	24924781	0.020893	0.011051	0.006165	0.017264
Superscaffold1	24924909	25360396	-0.174199	-0.057996	-0.034005	-0.118415
Superscaffold1	25360465	25610361	0.106602	0.051886	0.030808	0.066052
Superscaffold1	25610891	25862758	-0.183872	-0.094931	-0.058430	-0.109045
Superscaffold1	25862794	26156684	0.029628	0.015802	0.008919	0.021318
Superscaffold1	26157008	26343940	-0.303254	-0.216323	-0.098765	-0.230415
Superscaffold1	26344465	26661452	0.159964	0.052945	0.035181	0.103890
Superscaffold1	26661489	27211572	-0.120915	-0.022224	-0.013654	-0.080589
Superscaffold1	27211622	27445054	-0.201458	-0.126942	-0.065322	-0.132942
Superscaffold1	27445772	27731614	-0.042047	-0.019560	-0.011505	-0.035961
Superscaffold1	27731621	27920849	-0.233340	-0.311839	-0.115214	-0.140871
Superscaffold1	27920865	28138456	-0.079385	-0.053960	-0.033468	-0.051100
Superscaffold1	28138467	28397672	-0.120425	-0.079324	-0.044674	-0.078577
Superscaffold1	28397680	28690984	0.226803	0.225449	0.144816	0.119815
Superscaffold1	28691004	28812130	-0.028344	-0.037233	-0.019310	-0.011963
Superscaffold1	28812162	29210162	-0.071343	-0.021673	-0.013507	-0.047644
Superscaffold1	29210869	29457343	0.054572	0.029672	0.016352	0.033526
Superscaffold1	29457367	29726170	0.312818	0.175692	0.105068	0.248913
Superscaffold1	29726225	29961815	-0.325465	-0.191924	-0.084684	-0.234828
Superscaffold1	29961897	30229477	-0.102328	-0.080110	-0.050674	-0.053087
Superscaffold1	30229495	30791477	-0.046089	-0.017192	-0.010125	-0.029315
Superscaffold1	30791696	31125265	-0.114532	-0.041974	-0.026782	-0.061865
Superscaffold1	31125266	31517773	0.082466	0.031296	0.018562	0.058601
Superscaffold1	31517796	32065885	-0.224770	-0.084821	-0.049939	-0.124682
Superscaffold1	32068299	32578644	0.397283	0.196402	0.098454	0.235073
Superscaffold1	32578761	32870826	0.186457	0.065539	0.041883	0.126788
Superscaffold1	32871104	33267157	-0.313262	-0.120732	-0.073620	-0.218829
Superscaffold1	33267198	33534501	-0.039893	-0.021601	-0.013946	-0.024689
Superscaffold1	33534553	33780432	0.071504	0.061939	0.032090	0.042664
Superscaffold1	33780444	33936286	0.094289	0.076785	0.048151	0.050815
Superscaffold1	33936357	34103271	-0.003372	-0.001915	-0.001053	-0.003991
Superscaffold1	34103354	34316903	0.018573	0.009147	0.005135	0.010206
Superscaffold1	34316921	34630498	-0.104282	-0.057561	-0.033196	-0.067118
Superscaffold1	34630683	34964797	0.151257	0.041282	0.028161	0.102784
Superscaffold1	34964823	35480151	0.264231	0.128910	0.081891	0.178049
Superscaffold1	35480351	36358575	0.060285	0.025034	0.015236	0.039072
Superscaffold1	36358577	37049805	0.146860	0.044447	0.029035	0.097827
Superscaffold1	37049815	37437805	-0.093849	-0.035969	-0.023526	-0.067017
Superscaffold1	37437822	37641352	0.043013	0.022089	0.012172	0.023859
Superscaffold1	37641367	38233556	-0.028925	-0.010895	-0.007117	-0.021721
Superscaffold1	38233972	38543003	0.216469	0.094347	0.057957	0.167577
Superscaffold1	38543384	38901858	0.144521	0.041587	0.029004	0.094498
Superscaffold1	38901948	39123617	-0.024566	-0.009719	-0.005743	-0.020356
Superscaffold1	39123625	39377263	-0.061750	-0.020974	-0.011844	-0.037698
Superscaffold1	39377276	39675833	-0.155481	-0.058924	-0.037606	-0.097704
Superscaffold1	39675917	39907920	0.324165	0.115778	0.071793	0.243322
Superscaffold1	39907988	40141770	0.180856	0.058451	0.038180	0.106895
Superscaffold1	40141810	40347749	0.502750	0.190474	0.117277	0.236456
Superscaffold1	40347756	40662075	0.178489	0.079216	0.046794	0.103143
Superscaffold1	40662203	41127108	0.153472	0.044753	0.026478	0.094056
Superscaffold1	41127314	41496355	-0.035533	-0.012426	-0.006946	-0.022415
Superscaffold1	41496388	41810026	0.396279	0.201152	0.115041	0.345924
Superscaffold1	41810041	42239469	-0.320705	-0.159837	-0.084159	-0.292836
Superscaffold1	42239493	42591731	-0.088834	-0.043774	-0.022566	-0.058749
Superscaffold1	42591783	43046305	0.209363	0.081995	0.051644	0.174769
Superscaffold1	43046577	43354474	0.754796	0.381048	0.203477	0.683111
Superscaffold1	43354484	43645822	0.521648	0.265045	0.122660	0.428521
