chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	54804	60448	0.562646	0.335084	0.276378	0.402684
Chr01	60462	67720	0.543292	0.349246	0.241137	0.420035
Chr01	67808	73496	0.681140	0.323190	0.278573	0.537726
Chr01	73526	78816	0.487867	0.473495	0.332257	0.382094
Chr01	78910	83607	0.568228	0.562042	0.498563	0.385619
Chr01	83632	136357	-0.225841	-0.244062	-0.099425	-0.140877
Chr01	136368	150963	-0.626017	-1.024594	-0.260838	-0.393253
Chr01	150987	153332	-0.417783	-1.868822	-0.267813	-0.240262
Chr01	153361	161140	-0.306234	-0.648893	-0.218959	-0.173606
Chr01	161149	168207	-0.051190	-0.067037	-0.030211	-0.025533
Chr01	168212	183971	-0.060093	-0.185754	-0.072093	-0.024294
Chr01	184022	185881	0.047737	0.173999	0.081085	0.024873
Chr01	185883	190092	0.021973	0.062310	0.023199	0.015369
Chr01	190152	196774	-0.128429	-0.348647	-0.141757	-0.071249
Chr01	196808	204693	0.090130	0.144434	0.075983	0.051621
Chr01	204704	208228	-0.184490	-0.429764	-0.150754	-0.121964
Chr01	208230	210057	-0.241460	-1.100516	-0.270106	-0.156311
Chr01	210077	214567	0.074987	0.089362	0.049176	0.032782
Chr01	214568	216804	-0.261282	-0.508001	-0.218422	-0.161950
Chr01	216805	218453	-0.277968	-1.067085	-0.304038	-0.192942
Chr01	218478	220424	-0.135736	-0.253768	-0.112463	-0.086219
Chr01	220426	224175	-0.096939	-0.207917	-0.095861	-0.051452
Chr01	224200	228380	-0.161503	-0.478502	-0.149740	-0.079407
Chr01	228396	232439	-0.222443	-1.590065	-0.219254	-0.107576
Chr01	232471	235934	-0.295805	-0.820340	-0.268462	-0.169858
Chr01	236569	239571	-0.295474	-0.757554	-0.251757	-0.200978
Chr01	239590	246350	-0.219437	-0.457931	-0.144637	-0.121432
Chr01	246363	249499	-0.169142	-0.363340	-0.126983	-0.089624
Chr01	249508	252165	-0.075301	-0.215106	-0.068710	-0.032736
Chr01	252457	254678	-0.243474	-0.784079	-0.217623	-0.133877
Chr01	254725	256726	-0.137589	-0.286125	-0.096318	-0.054937
Chr01	256728	260772	-0.059772	-0.082512	-0.040517	-0.022817
Chr01	260773	262640	-0.189710	-0.382688	-0.125019	-0.084333
Chr01	262654	264399	-0.119179	-0.162425	-0.076657	-0.052057
Chr01	264400	269063	-0.137110	-0.225040	-0.097153	-0.063443
Chr01	269071	271205	0.077941	0.143747	0.064071	0.041425
Chr01	271261	274998	-0.128416	-0.251965	-0.064246	-0.072280
Chr01	275076	276516	-0.111123	-0.404471	-0.102531	-0.057987
Chr01	276518	281839	-0.157771	-0.479131	-0.114982	-0.086957
Chr01	282213	298097	0.099175	0.136902	0.059580	0.066196
Chr01	298167	309883	0.124278	0.122446	0.066265	0.066128
Chr01	309920	314935	0.389302	0.400465	0.296028	0.290628
Chr01	314955	319620	-0.125179	-0.310935	-0.091439	-0.052730
Chr01	319699	331801	0.173174	0.156330	0.081847	0.082176
