chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	225848	568725	-0.121912	-0.078066	-0.040970	-0.076536
Chr01	381836	858023	-0.048103	-0.029152	-0.013918	-0.024012
Chr01	568874	1049265	-0.167156	-0.104835	-0.051453	-0.094904
Chr01	858025	1263786	-0.108611	-0.052443	-0.030579	-0.061197
Chr01	1049374	1466085	-0.183584	-0.084770	-0.053182	-0.106419
Chr01	1264049	1580736	-0.154471	-0.080110	-0.048232	-0.080446
Chr01	1466264	1756866	0.097552	0.038235	0.025775	0.055422
Chr01	1580764	2063460	0.167613	0.049907	0.034394	0.097811
Chr01	1756877	2224043	0.132277	0.040914	0.027590	0.083582
Chr01	2063487	2396238	0.099170	0.047184	0.031287	0.070333
Chr01	2224099	2537533	0.061432	0.041881	0.024979	0.044724
Chr01	2396303	2685847	-0.017340	-0.011886	-0.007242	-0.012305
Chr01	2537625	2754728	-0.109715	-0.074116	-0.048890	-0.070499
Chr01	2685911	2912945	0.054220	0.033174	0.020421	0.040537
Chr01	2754729	3029658	0.037852	0.025090	0.014648	0.033007
Chr01	2912990	3179814	-0.197061	-0.139912	-0.084151	-0.118987
Chr01	3029660	3403764	-0.078428	-0.039322	-0.023618	-0.047486
Chr01	3179865	3586679	-0.028434	-0.013761	-0.007789	-0.015307
Chr01	3403796	3795376	-0.040733	-0.021351	-0.013363	-0.022703
Chr01	3586693	3972392	0.051297	0.027629	0.019121	0.024588
Chr01	3795454	4141395	0.116965	0.068668	0.041470	0.067086
Chr01	3972420	4305360	0.181380	0.093308	0.052459	0.118969
Chr01	4141398	4442807	0.157307	0.081626	0.050337	0.090292
Chr01	4305430	4578020	0.095193	0.059171	0.038491	0.056627
Chr01	4443248	4765276	0.003934	0.002302	0.001381	0.005060
Chr01	4578044	4954790	0.019957	0.011200	0.006484	0.018464
Chr01	4765410	5159199	0.166516	0.088024	0.052213	0.113139
Chr01	4954920	5592293	0.264679	0.143973	0.088827	0.185097
Chr01	5159364	5782844	0.231619	0.123187	0.073519	0.149822
Chr01	5592357	5930905	0.224754	0.114006	0.063559	0.126299
Chr01	5782849	6104448	0.111574	0.048912	0.029907	0.068176
Chr01	5930943	6264902	0.021376	0.008329	0.004963	0.020021
Chr01	6104530	6628678	0.176888	0.071510	0.038247	0.141443
Chr01	6264951	6920208	0.334219	0.140861	0.070478	0.241245
Chr01	6628869	7127624	0.335323	0.168655	0.076377	0.237389
Chr01	6920261	7413408	0.164221	0.082833	0.037149	0.119235
Chr01	7127895	7635023	0.157262	0.068314	0.029164	0.103145
Chr01	7413874	7827261	0.197751	0.075569	0.036141	0.113357
Chr01	7635069	8014452	0.029761	0.010644	0.006610	0.019505
Chr01	7827302	8205697	-0.082854	-0.035109	-0.022857	-0.048089
Chr01	8014589	8528626	-0.043281	-0.016931	-0.010487	-0.018854
Chr01	8205707	8820120	0.021239	0.007195	0.004621	0.015819
Chr01	8528996	9260148	-0.034308	-0.016585	-0.010766	-0.021378
Chr01	8820767	9485573	-0.011492	-0.005227	-0.003295	-0.009212
Chr01	9260181	9655907	0.101571	0.045600	0.030471	0.056258
Chr01	9485664	9842759	0.096565	0.059988	0.041690	0.054713
Chr01	9656392	9945693	0.102190	0.058915	0.040177	0.066307
Chr01	9842763	10054759	0.052318	0.035933	0.022607	0.033187
Chr01	9945710	10275665	0.050514	0.030798	0.019072	0.032461
Chr01	10054768	10410457	0.125663	0.065885	0.041876	0.077125
